Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Total Non-Current Assets,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets,Contingent Liabilities,Non-Current Investments Unquoted Book Value,Long Term Borrowings,OtherCurrentAssets,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Trade Payables,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Other Non-Current Assets,Current Investments,Inventories,Trade Receivables,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency
2011-03-31,5.0,5.0,398.74,398.74,403.74,1115916.32,165808.52,1281724.84,397.11,16080.67,16477.78,1298606.36,2839.41,0.0,0.0,2839.41,1150539.37,83882.65,1237261.42,23272.86,38072.08,61344.93,1298606.36,994.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,100.0,100.0,430.57,430.57,530.57,1241779.13,137806.92,1379586.05,15934.01,16224.29,32158.3,1412274.92,2863.91,0.0,0.0,2863.91,1223470.08,86664.18,1312998.17,46033.16,53243.6,99276.75,1412274.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,100.0,100.0,415.47,415.47,515.47,1329472.02,109794.37,1522555.71,8135.57,16379.44,24515.01,1547586.2,2972.17,0.0,0.0,2972.17,1188231.83,90991.41,1282195.4,86390.75,57229.36,265390.79,1547586.2,239.62,1188231.83,83289.32,121770.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,100.0,100.0,438.6,438.6,538.6,1529303.06,86424.76,1723918.96,5608.08,16577.32,22185.4,1746642.96,2782.81,0.0,0.0,2782.81,1390380.47,96275.01,1489438.29,88082.41,70134.12,257204.66,1746642.96,538.61,1390380.47,108191.14,98988.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,100.0,100.0,462.54,462.54,562.54,1754324.89,78522.43,1991515.97,5658.6,16746.11,22404.71,2014483.22,3166.39,0.0,0.0,3166.39,1678247.66,101027.99,1782442.04,64375.49,73007.15,232041.18,2014483.22,0.0,1678247.66,158668.65,94658.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,100.0,100.0,482.94,482.94,582.94,1998832.02,67421.29,2170224.86,5824.08,17440.14,23264.22,2194072.02,3210.55,0.0,0.0,3210.55,1872755.7,104164.4,1980130.65,42910.69,86519.56,213941.37,2194072.02,0.0,1872755.7,103971.54,84511.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,100.0,100.0,506.45,506.45,606.45,2468027.88,60512.33,2528540.22,25655.86,17143.39,42799.25,2571945.92,2585.79,0.0,0.0,2585.79,2335630.73,102291.25,2440507.78,32729.17,98708.98,131438.14,2571945.92,16192.3,2335630.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,100.0,100.0,550.37,550.37,650.37,2740044.56,50920.27,2790964.84,36178.8,17195.48,53374.28,2844989.49,2748.86,0.0,0.0,2748.86,2604268.95,102749.8,2709767.61,22680.53,112541.34,135221.87,2844989.49,23397.44,2604268.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,100.0,100.0,578.68,578.68,678.68,3013325.98,41607.99,3054933.97,38594.3,17603.65,56197.95,3111810.61,2606.63,35.88,241.49,2884.0,2829867.45,104322.55,2937074.0,42178.13,132558.48,174736.6,3111810.61,19556.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,100.0,100.0,639.53,639.53,739.53,3090495.3,32497.65,3122992.95,62126.73,17640.8,79767.53,3203500.02,2736.72,30.75,246.35,3013.82,2919478.01,107822.67,3030314.51,28581.23,144604.27,173185.5,3203500.02,23107.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
