Date,Net Sales/Income from operations,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2014-12-31,11.46,11.46,0.0,4.77,0.0,0.46,6.23,0.0,6.23,0.06,6.17,6.17,0.0,6.17,6.17,0.05,0.0,1234.0,1234.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,11.46,11.46,0.0,12.18,0.0,5.17,-5.89,0.91,-4.98,19.12,-24.1,-24.1,0.0,-24.1,-24.1,1090.0,0.0,-1.05,-1.05,0.0,0.0,0.0,0.0,0.0
2015-06-30,30.91,30.91,0.0,7.83,0.01,4.55,18.52,1.02,19.54,44.1,-24.56,-24.56,0.0,-24.56,-24.56,1099.81,0.0,-0.22,-0.22,27.5,25.0,82.49,100.0,75.0
2015-09-30,35.28,35.28,0.0,8.84,0.01,13.32,13.11,9.53,22.64,40.53,-17.89,-17.89,0.0,-17.89,-17.89,1099.81,0.0,-0.16,-0.16,27.5,25.0,82.49,100.0,75.0
2015-12-31,49.85,49.85,19.15,6.82,0.01,9.37,14.5,41.8,56.3,66.08,-9.78,-9.78,0.0,-9.78,-9.78,1099.81,0.0,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0
2016-03-31,158.41,158.41,129.36,0.77,0.01,6.3,21.97,94.59,116.56,117.99,-1.43,-1.43,0.0,-1.43,-1.43,1099.81,0.0,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0
2016-06-30,30.98,30.98,23.48,7.08,0.01,6.44,-6.03,141.38,135.35,161.37,-26.02,-26.02,0.0,-26.02,-26.02,1099.81,0.0,-0.24,-0.24,0.0,0.0,0.0,0.0,0.0
2016-09-30,191.83,191.83,184.3,1.81,0.02,1.81,3.89,213.42,217.31,232.26,-14.95,-14.95,0.0,-14.95,-14.95,1099.81,0.0,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0
2016-12-31,239.56,239.56,221.15,3.05,0.01,2.47,12.88,212.98,225.86,218.02,7.84,7.84,0.0,7.84,7.84,1099.81,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0
2017-03-31,347.28,347.28,326.47,1.5,0.01,5.07,14.23,230.87,245.1,207.09,38.01,38.01,1.03,36.98,36.98,1099.81,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0
2017-06-30,124.19,124.19,112.2,2.69,0.01,5.07,4.22,187.56,191.78,187.23,4.55,4.55,0.97,3.58,3.58,1099.81,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2017-09-30,243.3,243.3,239.28,1.09,0.03,3.42,-0.52,179.87,179.35,200.44,-21.09,-21.09,-0.97,-20.12,-20.12,1099.81,0.0,-0.18,-0.18,0.0,0.0,0.0,0.0,0.0
2017-12-31,241.96,241.96,241.76,1.12,0.02,9.18,-10.12,189.95,179.83,212.11,-32.28,-32.28,0.0,-32.28,-32.28,1099.81,0.0,-0.29,-0.29,0.0,0.0,0.0,0.0,0.0
2018-03-31,225.84,225.84,222.37,1.17,0.02,1.36,0.92,217.65,218.57,194.38,24.19,24.19,0.0,24.19,24.19,1099.81,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0
2018-06-30,67.94,67.94,67.93,1.0,0.02,2.05,-3.06,226.26,223.2,183.44,39.76,39.76,8.57,31.19,31.19,1099.81,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2018-09-30,264.24,264.24,262.37,1.51,0.02,0.56,-0.22,208.71,208.49,179.67,28.82,28.82,6.21,22.61,22.61,1099.81,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2018-12-31,240.38,240.38,237.84,1.02,0.04,3.39,-1.91,179.85,177.94,186.28,-8.34,-8.34,-1.8,-6.54,-6.54,1099.81,0.0,-0.9,-0.9,0.0,0.0,0.0,0.0,0.0
2019-03-31,260.27,260.27,260.11,0.92,0.04,5.14,-5.94,183.76,177.82,184.06,-6.24,-6.24,-1.38,-4.86,-4.86,1099.81,0.0,-0.87,-0.87,0.0,0.0,0.0,0.0,0.0
2019-06-30,0.06,0.06,0.0,0.63,0.08,0.89,-1.54,182.6,181.06,179.06,2.0,2.0,0.43,1.57,1.57,1099.81,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2019-09-30,0.06,0.06,0.0,1.26,0.07,3.38,-4.65,172.06,167.41,176.84,-9.43,-9.43,-0.43,-9.0,-9.0,1099.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,192.38,192.38,192.26,0.72,0.08,1.2,-1.88,195.28,193.4,202.66,-9.26,-9.26,0.0,-9.26,-9.26,1099.81,0.0,-1.01,-1.01,0.0,0.0,0.0,0.0,0.0
2020-03-31,665.29,665.29,664.95,0.66,0.07,14.64,-15.03,245.89,230.86,208.63,22.23,22.23,0.0,22.23,22.23,1099.81,0.0,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2020-06-30,0.06,0.06,0.0,1.41,0.07,1.62,-3.04,169.31,166.27,162.59,3.68,3.68,0.0,3.68,3.68,1099.81,0.0,-0.54,-0.54,0.0,0.0,0.0,0.0,0.0
2020-09-30,0.06,0.06,0.0,0.85,0.08,2.33,-3.2,172.48,169.28,173.24,-3.96,-3.96,0.0,-3.96,-3.96,1099.81,0.0,-0.55,-0.55,0.0,0.0,0.0,0.0,0.0
2020-12-31,304.72,304.72,304.71,0.8,0.07,1.09,-1.95,174.64,172.69,176.73,-4.04,-4.04,0.0,-4.04,-4.04,1099.81,0.0,-0.55,-0.55,0.0,0.0,0.0,0.0,0.0
2021-03-31,450.39,450.39,449.72,0.74,0.07,2.07,-2.21,163.0,160.79,177.68,-16.89,-16.89,0.0,-16.89,-16.89,1099.81,0.0,-0.66,-0.66,0.0,0.0,0.0,0.0,0.0
2021-06-30,42.37,42.37,42.19,0.78,0.07,0.57,-1.24,163.88,162.64,181.79,-19.15,-19.15,0.0,-19.15,-19.15,1099.81,0.0,-0.74,-0.74,0.0,0.0,0.0,0.0,0.0
2021-09-30,66.72,66.72,61.96,0.63,0.07,1.2,2.86,165.87,168.73,190.22,-21.49,-21.49,0.0,-21.49,-21.49,1099.81,0.0,-0.78,-0.78,0.0,0.0,0.0,0.0,0.0
2021-12-31,298.35,298.35,298.26,-0.13,0.07,1.2,-1.05,161.48,160.43,190.3,-29.87,-29.87,0.0,-29.87,-29.87,1099.81,0.0,-0.85,-0.85,0.0,0.0,0.0,0.0,0.0
2022-03-31,332.37,332.37,331.7,0.29,0.05,3.41,-3.08,209.63,206.55,200.65,5.9,5.9,0.0,5.9,5.9,1099.81,0.0,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0
2022-06-30,83.3,83.3,83.12,0.36,0.03,1.08,-1.29,177.0,175.71,192.67,-16.96,-16.96,0.0,-16.96,-16.96,1115.49,0.0,-0.33,-0.33,0.0,0.0,0.0,0.0,0.0
2022-09-30,175.15,175.15,174.95,0.39,0.03,5.19,-5.41,177.41,172.0,139.79,32.21,32.21,0.0,32.21,32.21,1115.49,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2022-12-31,271.14,271.14,270.8,0.28,0.04,2.28,-2.26,136.63,134.37,35.27,99.1,99.1,0.0,99.1,99.1,1115.49,0.0,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2023-03-31,158.41,158.41,156.37,0.15,0.05,21.3,-19.46,123.75,104.29,48.35,55.94,55.94,0.01,55.93,55.93,1115.49,9211.16,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2023-06-30,14.44,14.44,0.0,0.14,0.03,18.26,-3.99,425.2,421.21,55.92,365.29,365.29,64.43,300.86,300.86,1115.49,9512.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0
2023-09-30,202.23,202.23,176.78,0.26,0.12,31.6,-6.53,193.07,186.54,81.16,105.38,105.38,0.0,105.38,105.38,1115.43,9617.39,0.94,0.94,0.0,0.0,0.0,0.0,0.0
2023-12-31,885.01,885.01,737.46,0.45,0.09,130.56,16.45,200.84,217.29,102.96,114.33,114.33,0.0,114.33,114.33,1115.49,9731.75,1.03,1.03,0.0,0.0,0.0,0.0,0.0
2024-03-31,415.67,415.67,91.84,1.2,0.1,315.82,6.71,175.43,182.14,107.8,74.34,74.34,0.0,74.34,74.34,1115.49,9806.05,0.66,0.66,0.0,0.0,0.0,0.0,0.0
2024-06-30,113.89,113.89,76.39,1.61,0.09,34.45,1.35,195.47,196.82,120.18,76.64,76.64,0.0,76.64,76.64,1115.49,9882.69,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2024-09-30,468.17,468.17,249.25,2.56,0.1,175.29,40.97,270.44,311.41,131.74,179.67,179.67,0.0,179.67,179.67,1201.28,0.0,1.55,1.55,0.0,0.0,0.0,0.0,0.0
2024-12-31,348.69,348.69,213.65,2.5,0.15,141.66,-9.27,309.51,300.24,136.48,163.76,163.76,0.0,163.76,163.76,1201.28,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2025-03-31,1007.0,1007.0,855.41,0.19,0.26,136.2,14.94,333.14,348.08,141.55,206.53,206.53,8.85,197.68,197.68,1201.28,18497.49,1.65,1.65,0.0,0.0,0.0,0.0,0.0
