Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-06-30,427.86,0.0,427.86,0.2,134.55,41.27,0.0,296.74,-44.9,32.83,-12.07,14.21,-26.28,0.0,-26.28,-6.44,-19.84,-19.84,36.43,-0.57,-0.57
2022-09-30,447.9,0.0,447.9,0.01,131.59,44.82,0.0,338.49,-67.01,33.56,-33.45,15.86,-49.31,0.0,-49.31,3.29,-52.6,-52.6,36.42,-1.45,-1.45
2022-12-31,431.96,20.01,451.97,0.0,120.19,47.52,0.0,282.88,1.38,51.56,52.95,18.38,34.56,0.0,34.56,-2.45,37.01,37.01,36.43,1.02,0.0
2023-03-31,490.83,0.0,490.83,0.0,111.81,52.75,0.0,308.07,18.2,41.93,60.13,19.93,40.2,-10.0,30.2,24.03,6.17,6.17,36.43,0.17,0.17
2023-06-30,501.25,0.0,501.25,0.0,125.76,51.71,0.0,321.85,1.93,48.11,50.04,20.97,29.07,-23.17,5.9,6.53,-0.63,-0.63,36.43,-0.02,-0.02
2023-09-30,490.72,0.0,490.72,0.05,129.23,54.53,0.0,319.66,-12.75,42.13,29.38,17.13,12.25,49.21,61.46,3.84,57.62,57.62,43.77,1.38,1.35
2023-12-31,471.89,0.0,471.89,0.0,121.09,52.41,0.0,306.11,-7.72,64.26,56.54,9.68,46.86,0.0,46.86,11.07,35.79,35.79,44.01,0.82,0.81
2024-03-31,474.41,0.0,474.41,0.0,111.55,48.27,0.0,331.52,-16.93,46.88,29.95,12.91,17.04,0.0,17.04,4.37,12.67,12.67,44.05,0.29,0.29
2024-06-30,469.03,0.0,469.03,0.0,110.46,43.6,0.0,318.22,-3.25,26.15,22.9,10.86,12.04,0.0,12.04,3.35,8.69,8.69,44.06,0.2,0.2
2024-09-30,457.94,0.0,457.94,0.0,114.51,42.89,-8.75,303.48,5.81,44.15,49.96,10.35,39.61,0.0,39.61,10.19,29.42,29.42,44.09,0.67,0.66
2024-12-31,477.44,0.0,477.44,0.0,118.49,42.3,6.79,314.59,-4.73,29.46,24.73,10.54,14.19,0.0,14.19,3.29,10.9,10.9,44.14,0.25,0.25
