Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,405.55,405.55,49.89,8.7,20.09,57.37,269.5,23.45,292.95,244.2,48.76,0.0,48.76,15.75,33.01,33.01,37.99,1.55,1.55,12.6,66.34,5.91,92.42,31.11
2013-03-31,439.47,439.47,60.84,8.53,29.91,57.62,282.58,25.67,308.24,246.59,61.65,0.0,61.65,18.39,43.27,43.27,37.99,2.04,2.03,12.6,66.34,5.91,92.42,31.11
2013-06-30,436.63,436.63,49.24,8.64,32.62,53.18,292.95,20.5,313.45,254.63,58.82,0.0,58.82,15.47,43.35,43.35,37.99,2.09,2.09,12.6,66.34,6.13,95.88,32.27
2013-09-30,434.82,434.82,49.33,8.87,40.32,55.94,280.36,19.65,300.0,261.77,38.23,0.0,38.23,7.63,30.6,30.6,38.02,1.43,1.43,12.62,66.37,6.39,100.0,33.63
2013-12-31,455.33,455.33,53.68,7.69,43.33,55.7,294.93,18.2,313.12,274.85,38.27,0.0,38.27,7.41,30.86,30.86,38.02,1.46,1.45,12.62,66.37,6.39,100.0,33.63
2014-03-31,484.14,484.14,60.84,7.95,47.46,67.33,300.56,6.42,306.98,263.9,43.08,0.0,43.08,12.32,30.76,30.76,38.02,1.48,1.48,12.62,66.37,6.39,100.0,33.63
2014-06-30,470.65,470.65,66.15,6.86,46.98,62.44,288.22,7.97,296.19,258.31,37.88,0.0,37.88,3.25,34.63,34.63,38.02,1.67,1.67,12.62,66.37,6.39,100.0,33.63
2014-09-30,492.6,492.6,65.2,7.28,56.45,67.65,296.02,7.86,303.88,267.01,36.87,0.0,36.87,2.39,34.48,34.48,38.07,1.65,1.65,12.64,66.41,6.39,100.0,33.59
2014-12-31,524.09,524.09,73.61,8.37,71.2,64.85,306.07,5.53,311.6,270.65,40.95,0.0,40.95,7.12,33.83,33.83,38.08,1.62,1.62,12.65,66.42,6.39,100.0,33.58
2015-03-31,531.43,531.43,84.74,12.0,47.93,67.23,319.52,5.35,324.87,265.47,59.4,0.0,59.4,13.28,46.12,46.12,38.09,2.27,2.26,12.65,66.43,6.39,100.0,33.57
