Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,515.72,515.72,66.89,9.62,78.65,63.0,297.55,8.16,305.71,254.14,51.57,0.0,51.57,11.55,40.02,40.02,47.35,1.72,1.71,17.28,73.0,6.39,100.0,27.0
2015-09-30,526.13,526.13,63.68,10.16,80.6,64.36,307.33,8.77,316.11,247.41,68.7,0.0,68.7,21.27,47.43,47.43,47.36,1.94,1.93,17.28,73.0,6.39,100.0,27.0
2015-12-31,530.23,530.23,62.9,10.65,90.69,64.4,301.6,5.94,307.53,246.95,60.58,0.0,60.58,17.02,43.56,43.56,47.36,1.8,1.8,0.0,0.0,0.0,0.0,0.0
2016-03-31,536.26,536.26,53.12,8.92,87.42,58.74,328.07,6.65,334.71,249.59,85.12,0.0,85.12,28.98,56.14,56.14,47.37,2.36,2.35,0.0,0.0,0.0,0.0,0.0
2016-06-30,508.49,508.49,57.86,10.77,76.59,61.7,301.57,10.14,311.71,256.53,55.19,0.0,55.19,15.07,40.11,40.11,47.37,1.69,1.69,0.0,0.0,0.0,0.0,0.0
2016-09-30,504.79,504.79,55.71,11.66,87.77,63.21,286.44,13.86,300.3,240.47,59.84,0.0,59.84,20.8,39.04,39.04,47.39,1.65,1.64,0.0,0.0,0.0,0.0,0.0
2016-12-31,487.85,487.85,59.24,13.62,91.15,64.08,259.77,11.78,271.55,225.77,45.78,0.0,45.78,16.34,29.44,29.44,47.39,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2017-03-31,471.85,471.85,57.4,12.24,286.82,63.64,51.74,13.28,65.03,215.12,-150.09,0.0,-150.09,-47.6,-102.49,-102.49,47.39,-4.33,-4.32,0.0,0.0,0.0,0.0,0.0
2017-06-30,470.04,470.04,75.38,12.79,77.36,61.44,243.07,18.66,261.73,203.15,58.59,0.0,58.59,19.51,39.07,39.07,47.39,1.65,1.65,0.0,0.0,0.0,0.0,0.0
2017-09-30,460.73,460.73,77.97,11.63,78.1,61.67,231.36,18.29,249.65,194.02,55.63,0.0,55.63,18.76,36.87,36.87,47.39,1.56,1.55,0.0,0.0,0.0,0.0,0.0
2017-12-31,498.31,498.31,82.99,11.79,90.53,63.32,249.68,10.55,260.23,188.84,71.39,0.0,71.39,24.01,47.38,47.38,47.39,2.0,1.99,0.0,0.0,0.0,0.0,0.0
2018-03-31,550.07,550.07,87.99,12.77,100.38,76.58,272.36,10.45,282.81,198.67,84.13,0.0,84.13,4.97,79.16,79.16,47.41,3.34,3.33,0.0,0.0,0.0,0.0,0.0
2018-06-30,533.46,533.46,97.77,12.08,83.79,40.13,299.69,18.9,318.59,240.79,77.8,0.0,77.8,26.35,51.46,51.46,53.86,1.94,1.93,0.0,0.0,0.0,0.0,0.0
2018-09-30,565.99,565.99,93.46,12.37,85.04,46.11,329.0,14.3,343.31,248.98,94.32,0.0,94.32,23.74,70.58,70.58,53.86,2.62,2.61,0.0,0.0,0.0,0.0,0.0
2018-12-31,563.95,563.95,97.55,11.97,51.34,45.3,357.79,7.29,365.08,259.82,105.27,0.0,105.27,38.69,66.57,66.57,53.86,2.47,2.45,0.0,0.0,0.0,0.0,0.0
2019-03-31,567.16,567.16,91.63,13.73,42.25,39.7,379.84,13.1,392.94,267.46,125.49,0.0,125.49,38.97,86.52,86.52,53.86,3.21,3.21,0.0,0.0,0.0,0.0,0.0
2019-06-30,559.01,559.01,99.61,18.37,123.98,32.29,284.75,17.64,302.39,291.37,11.02,0.0,11.02,3.17,7.85,7.85,53.87,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2019-09-30,580.69,580.69,93.0,18.35,122.19,38.45,308.7,11.67,320.37,302.73,17.64,0.0,17.64,5.54,12.09,12.09,53.87,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2019-12-31,518.41,518.41,91.18,18.63,116.88,38.22,253.5,20.68,274.19,267.46,6.73,0.0,6.73,1.33,5.4,5.4,53.89,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2020-03-31,519.43,519.43,90.3,16.73,116.36,39.82,256.22,4.99,261.21,262.41,-1.19,0.0,-1.19,34.16,-35.35,-35.35,53.9,-1.31,-1.31,0.0,0.0,0.0,0.0,0.0
2020-06-30,473.65,473.65,82.38,14.26,83.04,19.98,273.98,4.02,278.0,244.19,33.81,0.0,33.81,7.02,26.8,26.8,53.9,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2020-09-30,488.5,488.5,79.71,13.2,126.01,21.92,247.65,7.72,255.37,228.24,27.13,0.0,27.13,7.42,19.71,19.71,53.91,0.73,0.73,0.0,0.0,0.0,0.0,0.0
2020-12-31,454.66,454.66,69.21,11.53,140.28,25.37,208.27,4.78,213.05,211.47,1.58,0.0,1.58,0.53,1.05,1.05,53.92,0.04,0.04,0.0,0.0,0.0,0.0,0.0
2021-03-31,434.7,434.7,74.69,13.16,971.51,31.42,-656.07,11.6,-644.48,190.7,-835.18,0.0,-835.18,-209.26,-625.91,-625.91,53.92,-23.22,-23.22,0.0,0.0,0.0,0.0,0.0
2021-06-30,372.56,372.56,97.14,10.6,37.94,22.09,204.8,4.86,209.66,146.79,62.86,0.0,62.86,13.04,49.82,49.82,152.87,0.87,0.86,0.0,0.0,0.0,0.0,0.0
2021-09-30,393.43,393.43,99.04,12.25,23.96,35.35,222.83,3.7,226.53,128.18,98.35,0.0,98.35,24.32,74.03,74.03,152.91,0.97,0.97,0.0,0.0,0.0,0.0,0.0
2021-12-31,387.32,387.32,103.53,12.95,8.09,38.98,223.77,6.92,230.69,123.87,106.82,0.0,106.82,26.6,80.22,80.22,152.93,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2022-03-31,382.92,382.92,110.14,13.7,-1.37,48.84,211.6,15.38,226.98,110.44,116.54,0.0,116.54,27.41,89.13,89.13,152.98,1.17,1.15,0.0,0.0,0.0,0.0,0.0
2022-06-30,406.93,406.93,129.2,12.31,-16.35,51.04,230.73,22.11,252.84,118.73,134.11,20.85,154.96,31.3,123.66,123.66,152.99,1.62,1.6,0.0,0.0,0.0,0.0,0.0
2022-09-30,454.86,454.86,136.8,13.93,-48.24,60.01,292.36,25.67,318.03,144.08,173.95,0.0,173.95,43.78,130.17,130.17,153.02,1.7,1.68,0.0,0.0,0.0,0.0,0.0
2022-12-31,501.37,501.37,129.39,15.82,-45.24,59.04,342.36,17.94,360.3,159.29,201.01,0.0,201.01,50.59,150.42,150.42,153.02,1.97,1.94,0.0,0.0,0.0,0.0,0.0
2023-03-31,577.17,577.17,119.41,19.35,-34.7,67.62,405.49,3.98,409.47,173.18,236.29,0.36,236.65,55.96,180.69,180.69,153.59,2.36,2.33,0.0,0.0,0.0,0.0,0.0
2023-06-30,698.51,698.51,105.04,15.49,26.56,62.84,488.58,13.82,502.4,234.82,267.58,0.0,267.58,67.35,200.23,200.23,153.63,2.61,2.58,0.0,0.0,0.0,0.0,0.0
2023-09-30,738.11,738.11,109.31,14.74,28.06,69.58,516.42,6.62,523.04,215.51,307.53,1221.2,1528.73,269.84,1258.89,1258.89,153.69,16.39,16.21,0.0,0.0,0.0,0.0,0.0
2023-12-31,762.61,762.61,112.98,15.15,-6.54,71.7,569.32,11.15,580.47,223.71,356.76,0.0,356.76,91.62,265.14,265.14,153.75,3.45,3.41,0.0,0.0,0.0,0.0,0.0
2024-03-31,915.0,915.0,117.09,13.93,23.94,100.24,659.8,6.73,666.53,281.06,385.47,0.0,385.47,53.77,331.7,331.7,154.11,4.31,4.26,0.0,0.0,0.0,0.0,0.0
2024-06-30,977.59,977.59,102.23,14.51,42.49,126.88,691.48,18.27,709.75,320.1,389.65,0.0,389.65,98.01,291.64,291.64,153.98,3.79,3.77,0.0,0.0,0.0,0.0,0.0
2024-09-30,988.87,988.87,212.1,15.8,909.63,137.83,-286.49,7.63,-278.86,351.59,-630.45,0.0,-630.45,-159.41,-471.04,-471.04,154.53,-6.1,-6.1,0.0,0.0,0.0,0.0,0.0
2024-12-31,1057.03,1057.03,148.45,15.27,347.87,135.38,410.06,0.14,410.2,385.02,25.18,0.0,25.18,6.45,18.73,18.73,154.58,0.24,0.24,0.0,0.0,0.0,0.0,0.0
2025-03-31,1166.27,1166.27,173.44,19.52,158.18,283.57,531.56,7.04,538.6,458.38,80.22,0.0,80.22,17.89,62.33,62.33,154.58,0.81,0.81,0.0,0.0,0.0,0.0,0.0
