Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Deferred Tax Liabilities [Net],Short Term Borrowings,Inventories,Raw Materials,Capital Goods,Long Term Borrowings,Trade/Other Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2005-03-31,10.68,10.68,24.52,24.52,35.2,0.0,0.0,0.0,5.52,0.0,26.37,21.55,51.92,92.64,35.76,0.0,2.89,0.0,38.65,12.57,0.0,0.0,0.08,51.3,0.0,22.32,2.35,16.65,0.01,41.35,92.64,22.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.12,4.0,0.02,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,37.08,37.08,291.1,291.1,328.19,0.0,0.0,0.0,1.11,0.0,42.77,25.53,68.3,397.61,48.67,0.0,0.46,0.0,49.13,218.91,0.0,0.0,0.0,268.03,0.0,37.43,11.59,80.53,0.03,129.58,397.61,58.24,6.87,0.0,0.0,1.04,0.0,0.0,218.91,0.0,0.0,0.01,0.02,0.0,0.0,12.26,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,37.16,37.16,327.68,327.68,364.83,0.0,0.0,0.0,43.54,0.0,48.07,15.83,63.9,472.3,49.84,0.0,0.7,0.0,50.55,247.66,0.0,0.0,0.0,298.21,0.0,61.48,6.03,106.55,0.03,174.09,472.3,70.48,23.36,0.0,0.0,72.62,0.0,0.0,247.66,0.0,0.0,0.02,1.04,0.0,0.0,29.11,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,37.24,37.24,356.62,356.62,393.86,0.0,0.0,0.0,42.56,0.0,71.81,37.96,109.77,546.2,68.65,0.0,0.62,0.0,69.27,265.74,0.0,0.0,0.0,335.01,0.0,58.65,41.8,110.68,0.06,211.19,546.2,291.36,25.99,0.0,0.0,79.0,0.0,0.0,265.74,0.0,0.0,0.0,1.64,0.0,0.0,5.98,0.0,40.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,37.32,37.32,403.55,403.55,440.87,0.0,0.93,6.17,7.94,79.02,6.92,22.76,157.15,605.96,46.3,24.28,0.0,0.0,71.9,223.23,25.97,1.01,0.0,322.11,96.09,62.22,110.88,7.14,7.52,283.85,605.96,0.0,36.0,5.37,110.91,0.0,0.0,0.0,223.23,0.0,96.09,0.0,0.0,48.45,0.0,0.0,3.83,0.84,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,42.97,42.97,588.56,588.56,631.53,0.0,0.59,7.08,12.04,91.91,8.46,35.72,192.05,835.62,61.01,33.26,0.0,3.49,99.3,266.23,16.05,4.45,0.0,386.03,147.07,91.31,114.96,49.17,47.08,449.59,835.62,0.0,46.11,7.77,179.86,0.0,0.0,43.35,261.23,41.93,105.57,0.0,3.75,55.96,0.0,0.0,13.06,0.62,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,43.02,43.02,665.28,665.28,708.3,0.0,0.37,8.55,13.65,126.46,7.67,81.14,269.55,991.5,59.85,36.12,0.0,3.29,112.93,246.48,0.0,4.36,13.34,377.11,262.46,124.59,19.07,198.84,9.43,614.39,991.5,0.0,29.3,11.25,225.98,0.0,0.0,17.52,228.98,42.19,224.46,0.0,4.56,54.28,0.0,0.0,8.48,0.17,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,43.02,43.02,716.47,716.47,759.49,0.0,0.0,16.43,19.92,129.92,8.89,92.38,321.03,1100.44,74.08,39.39,0.0,1.88,115.84,233.98,0.0,8.19,26.09,384.1,492.9,114.92,88.9,11.16,8.46,716.34,1100.44,0.0,35.76,20.28,256.44,0.0,0.0,5.18,228.98,79.72,415.4,0.0,3.44,89.84,0.0,0.0,7.64,0.05,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,43.02,43.02,532.49,532.49,575.51,0.0,0.99,14.85,19.93,119.62,7.73,312.48,533.58,1129.02,75.23,44.69,3.16,3.71,126.79,233.98,0.0,19.92,33.18,413.87,271.87,126.09,78.97,212.97,24.5,715.15,1129.02,0.0,21.65,23.93,0.0,307.24,0.0,5.12,228.98,16.68,256.87,0.0,4.09,93.75,0.75,0.0,9.15,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,43.02,43.02,573.88,573.88,616.9,0.0,2.35,15.31,20.27,136.36,18.47,105.13,359.33,996.69,84.95,58.84,3.44,0.0,147.23,233.98,0.0,27.74,36.9,445.85,58.47,194.38,85.15,156.98,55.86,550.84,996.69,0.0,16.65,54.35,0.0,372.43,0.0,5.12,228.98,18.11,43.47,0.19,2.61,99.37,0.0,1.53,10.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,43.02,43.02,708.66,708.66,751.68,0.0,3.03,21.93,24.96,134.57,33.57,1.15,266.57,1043.61,77.24,59.06,2.91,7.71,146.92,254.0,31.24,9.36,7.05,448.57,185.35,219.92,99.16,5.59,85.02,595.04,1043.61,0.0,36.42,0.0,0.0,403.08,0.0,0.0,254.0,0.0,185.35,0.4,0.0,97.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,43.04,43.04,654.65,654.65,697.69,23.16,1.03,24.46,25.49,126.61,72.56,1.38,200.55,947.29,70.56,50.37,0.11,12.84,133.88,255.7,25.47,8.13,7.24,430.42,0.0,339.08,24.09,77.72,74.77,516.87,947.29,16.04,53.95,0.0,0.0,428.72,0.0,31.79,223.91,0.0,0.0,0.4,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,43.05,43.05,692.7,692.7,735.75,23.16,0.37,24.68,25.05,121.84,70.11,1.54,193.49,977.79,61.63,35.63,3.98,21.06,122.3,252.74,24.7,7.71,20.34,427.79,5.0,365.24,16.18,60.73,102.85,550.0,977.79,0.0,0.0,0.0,0.0,0.0,0.0,33.83,218.91,0.0,5.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,41.81,41.81,695.41,695.41,737.22,23.16,76.46,22.49,98.95,81.74,73.95,1.84,157.53,1016.86,144.98,45.79,0.09,0.26,191.12,223.91,18.25,6.5,36.63,476.41,31.06,290.89,67.89,26.79,123.82,540.45,1016.86,0.0,0.0,0.0,0.0,0.0,0.0,5.0,218.91,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
