Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2313.32,21.87,2335.19,162.53,0.0,-19.27,547.28,136.65,185.53,1057.92,264.55,88.12,352.67,24.27,328.4,0.0,328.4,116.43,211.97,211.97,308.44,1.37,1.37,72.18,46.8,78.03,100.0,50.6
2013-03-31,2544.83,12.19,2557.02,176.27,0.0,67.91,549.45,120.76,120.4,1089.48,432.75,149.52,582.27,13.24,569.03,0.0,569.03,81.13,487.9,487.9,308.49,3.16,3.15,72.49,46.99,78.03,100.0,50.59
2013-06-30,2345.73,30.77,2376.5,165.54,0.0,-62.47,555.97,131.97,122.33,1062.69,400.47,74.37,474.84,17.08,457.76,0.0,457.76,133.56,324.2,324.2,308.75,2.08,2.07,72.86,47.19,78.03,100.0,50.55
2013-09-30,2004.94,12.51,2017.45,143.42,0.0,59.59,456.82,130.03,124.56,959.73,143.3,81.49,224.79,17.83,206.96,24.82,231.78,65.81,165.97,165.97,308.98,1.07,1.07,73.89,47.82,78.03,100.0,50.51
2013-12-31,2191.34,18.04,2209.38,160.94,0.71,53.3,500.68,119.65,122.78,1067.08,184.24,88.24,272.48,16.93,255.55,60.95,316.5,0.0,316.5,316.5,309.17,2.05,2.04,74.09,47.92,78.03,100.0,50.48
2014-03-31,2639.8,9.52,2649.32,201.68,0.77,53.47,578.32,129.08,119.74,1098.85,467.41,131.89,599.3,16.1,583.2,0.0,583.2,63.19,520.01,520.01,309.25,3.36,3.36,74.17,47.97,78.03,100.0,50.46
2014-06-30,2706.35,13.71,2720.06,220.43,5.88,-52.01,624.18,140.72,124.15,1193.08,463.63,138.08,601.71,20.25,581.46,0.0,581.46,172.76,408.7,408.7,309.45,2.64,2.64,73.98,47.82,78.03,100.0,50.43
2014-09-30,2187.55,14.51,2202.06,176.71,19.13,-47.1,509.79,142.41,130.15,1007.71,263.26,88.51,351.77,17.86,333.91,0.0,333.91,94.85,239.06,239.06,309.71,1.54,1.54,73.78,47.64,78.03,100.0,50.39
2014-12-31,2378.97,25.88,2404.85,188.86,14.81,61.55,552.93,169.4,135.49,1059.07,222.74,72.37,295.11,10.27,284.84,0.0,284.84,-43.75,328.59,328.59,309.95,2.12,2.12,73.84,47.64,78.03,100.0,50.35
2015-03-31,2424.57,38.47,2463.04,207.16,4.19,0.98,536.78,148.03,157.76,1055.95,352.19,95.1,447.29,21.36,425.93,0.0,425.93,108.24,317.69,317.69,310.0,2.05,2.05,73.75,47.59,78.03,100.0,50.34
2015-06-30,2492.76,15.51,2508.27,217.21,0.0,-38.97,582.12,150.14,148.51,1213.98,235.28,105.69,340.97,31.56,309.41,0.0,309.41,83.06,226.35,226.35,310.38,1.46,1.46,73.99,47.68,78.03,100.0,50.28
2015-09-30,2095.16,15.71,2110.87,179.9,0.0,-70.91,486.16,151.49,155.26,1054.1,154.87,74.1,228.97,20.74,208.23,0.0,208.23,54.66,153.57,153.57,310.38,0.99,0.99,74.04,47.71,78.03,100.0,50.28
2015-12-31,2355.81,23.41,2379.22,192.84,0.0,134.29,447.88,139.86,164.13,1136.74,163.48,83.3,246.78,18.13,228.65,0.0,228.65,118.69,109.96,109.96,310.38,0.71,0.71,0.0,0.0,0.0,0.0,0.0
2016-03-31,2405.97,26.33,2432.3,220.69,0.0,-66.75,511.8,147.25,382.96,1167.44,68.91,124.99,193.9,18.8,175.1,0.0,175.1,121.59,53.51,53.51,310.38,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2016-06-30,2541.16,19.56,2560.72,206.84,0.0,-3.38,467.5,153.45,151.06,1135.43,449.82,117.21,567.03,20.54,546.49,0.0,546.49,146.98,399.51,399.51,310.38,2.57,2.57,0.0,0.0,0.0,0.0,0.0
2016-09-30,2004.28,27.16,2031.44,171.58,0.0,-40.5,437.38,141.76,159.49,1018.06,143.67,223.18,366.85,19.15,347.7,0.0,347.7,70.68,277.02,277.02,397.13,1.4,1.39,0.0,0.0,0.0,0.0,0.0
2016-12-31,2196.66,34.37,2231.03,177.57,0.0,80.44,415.28,148.61,156.26,1080.05,172.82,41.08,213.9,13.63,200.27,0.0,200.27,24.39,175.88,175.88,397.13,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2017-03-31,2533.42,29.02,2562.44,204.31,0.0,31.11,538.79,167.71,145.98,1226.43,248.11,101.94,350.05,37.7,312.35,0.0,312.35,65.81,246.54,246.54,397.13,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2017-06-30,2823.29,37.97,2861.26,237.91,0.0,-9.02,564.66,169.67,143.89,1247.02,507.13,55.99,563.12,16.5,546.62,0.0,546.62,154.39,392.23,392.23,397.13,1.98,1.98,0.0,0.0,0.0,0.0,0.0
2017-09-30,2319.64,0.0,2319.64,226.2,0.0,44.67,485.98,161.29,140.34,1047.11,214.05,153.11,367.16,31.25,335.91,0.0,335.91,63.49,272.42,272.42,397.13,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2017-12-31,2712.61,0.0,2712.61,240.91,0.0,-130.75,644.77,162.7,142.71,1254.34,397.93,48.05,445.98,21.74,424.24,0.0,424.24,85.86,338.38,338.38,397.13,1.7,1.7,0.0,0.0,0.0,0.0,0.0
2018-03-31,2862.58,0.0,2862.58,270.39,0.0,-58.62,635.11,169.55,139.25,1339.05,367.85,50.72,418.57,25.73,392.84,0.0,392.84,121.07,271.77,271.77,397.13,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2018-06-30,3016.92,0.0,3016.92,288.23,1.4,-78.35,654.68,175.79,136.4,1352.84,485.93,191.09,677.02,19.2,657.82,0.0,657.82,158.55,499.27,499.27,397.13,2.51,2.51,0.0,0.0,0.0,0.0,0.0
2018-09-30,2613.93,0.0,2613.93,215.84,2.83,89.31,549.83,163.33,135.95,1234.64,222.2,48.22,270.42,19.2,251.22,0.0,251.22,72.62,178.6,178.6,397.13,0.9,0.9,0.0,0.0,0.0,0.0,0.0
2018-12-31,2863.33,0.0,2863.33,238.62,1.73,-29.06,709.37,170.9,136.49,1367.89,267.39,84.95,352.34,18.2,334.14,-129.95,204.19,-333.18,537.37,537.37,397.13,2.71,2.71,0.0,0.0,0.0,0.0,0.0
2019-03-31,2927.62,0.0,2927.62,248.85,9.51,-1.71,709.88,167.07,131.4,1330.77,331.85,240.2,572.05,17.47,554.58,0.0,554.58,127.6,426.98,426.98,397.13,2.15,2.15,0.0,0.0,0.0,0.0,0.0
2019-06-30,2978.27,0.0,2978.27,235.16,23.46,33.19,608.5,168.83,130.85,1210.74,567.54,57.95,625.49,20.81,604.68,0.0,604.68,192.63,412.05,412.05,397.13,2.08,2.07,0.0,0.0,0.0,0.0,0.0
2019-09-30,2626.11,0.0,2626.11,255.09,30.11,-71.43,598.81,167.75,132.92,1205.96,306.9,62.76,369.66,21.57,348.09,0.0,348.09,113.48,234.61,234.61,397.13,1.18,1.18,0.0,0.0,0.0,0.0,0.0
2019-12-31,3135.88,0.0,3135.88,255.32,25.19,82.75,669.23,168.98,148.66,1387.02,398.73,65.61,464.34,23.67,440.67,0.0,440.67,-14.23,454.9,454.9,397.13,2.29,2.29,0.0,0.0,0.0,0.0,0.0
2020-03-31,2827.54,0.0,2827.54,252.23,38.21,-39.0,562.17,172.15,137.91,1238.55,465.32,88.14,553.46,23.05,530.41,0.0,530.41,131.31,399.1,399.1,397.13,2.01,2.01,0.0,0.0,0.0,0.0,0.0
2020-06-30,2176.75,0.0,2176.75,140.22,46.92,44.38,413.9,149.45,128.9,786.67,466.31,192.15,658.46,18.26,640.2,0.0,640.2,186.83,453.37,453.37,397.13,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2020-09-30,2852.46,0.0,2852.46,216.35,57.86,-19.5,574.87,162.2,128.66,1180.35,551.67,52.27,603.94,18.45,585.49,0.0,585.49,144.96,440.53,440.53,397.13,2.22,2.22,0.0,0.0,0.0,0.0,0.0
2020-12-31,3515.11,0.0,3515.11,266.08,54.32,128.2,700.97,184.98,125.7,1412.73,642.13,39.44,681.57,23.29,658.28,0.0,658.28,161.18,497.1,497.1,397.13,2.5,2.5,0.0,0.0,0.0,0.0,0.0
2021-03-31,3621.39,0.0,3621.39,306.11,47.82,-10.36,735.16,169.16,125.44,1396.72,851.34,55.16,906.5,20.4,886.1,0.0,886.1,221.53,664.57,664.57,397.13,3.35,3.35,0.0,0.0,0.0,0.0,0.0
2021-06-30,3371.18,0.0,3371.18,284.43,103.1,-211.88,788.09,161.58,130.35,1286.2,829.31,161.03,990.34,23.85,966.49,0.0,966.49,243.41,723.08,723.08,397.13,3.64,3.64,0.0,0.0,0.0,0.0,0.0
2021-09-30,3237.26,0.0,3237.26,251.51,114.89,-96.98,0.0,169.15,125.7,2095.53,577.46,36.22,613.68,21.47,592.21,0.0,592.21,150.98,441.23,441.23,397.13,2.22,2.22,0.0,0.0,0.0,0.0,0.0
2021-12-31,3735.12,0.0,3735.12,292.2,115.58,-36.91,1126.33,177.76,169.75,1492.28,398.13,33.23,431.36,25.22,406.14,-65.69,340.45,88.79,251.66,251.66,397.13,1.27,1.27,0.0,0.0,0.0,0.0,0.0
2022-03-31,3925.22,0.0,3925.22,311.73,149.88,69.56,1030.87,152.94,151.47,1419.83,638.94,36.71,675.65,21.39,654.26,0.0,654.26,159.09,495.17,495.17,397.13,2.49,2.49,0.0,0.0,0.0,0.0,0.0
2022-06-30,3993.45,0.0,3993.45,311.79,165.3,-155.37,1319.82,163.65,153.94,1503.72,530.6,632.43,1163.03,25.08,1137.95,0.0,1137.95,90.05,1047.9,1047.9,397.13,5.28,5.28,0.0,0.0,0.0,0.0,0.0
2022-09-30,3670.4,0.0,3670.4,305.7,121.2,-130.92,1414.67,153.23,157.06,1502.19,147.27,47.03,194.3,22.79,171.51,-15.21,156.3,18.41,137.89,137.89,397.13,0.69,0.69,0.0,0.0,0.0,0.0,0.0
2022-12-31,4128.52,0.0,4128.52,378.23,206.59,163.17,1211.12,159.52,164.83,1383.75,461.31,88.99,550.3,25.25,525.05,-61.35,463.7,94.71,368.99,368.99,397.13,1.86,1.71,0.0,0.0,0.0,0.0,0.0
2023-03-31,4256.31,0.0,4256.31,359.02,389.85,120.63,1034.26,168.0,204.7,1396.29,583.56,173.97,757.53,33.47,724.06,-80.71,643.35,140.95,502.4,502.4,397.13,2.53,2.4,0.0,0.0,0.0,0.0,0.0
2023-06-30,4729.71,0.0,4729.71,474.28,465.79,-57.33,0.0,130.91,231.9,2767.5,716.66,189.47,906.13,39.61,866.52,0.0,866.52,221.64,644.88,644.88,397.13,3.25,3.07,0.0,0.0,0.0,0.0,0.0
2023-09-30,3969.79,0.0,3969.79,372.07,446.21,-91.51,0.0,148.96,228.58,2320.63,544.85,378.13,922.98,43.48,879.5,0.0,879.5,235.66,643.84,643.84,397.13,3.24,3.03,0.0,0.0,0.0,0.0,0.0
2023-12-31,4439.52,0.0,4439.52,387.45,684.24,56.12,858.17,136.94,233.48,1465.54,617.58,108.21,725.79,45.36,680.43,0.0,680.43,166.75,513.68,513.68,397.13,2.59,2.41,0.0,0.0,0.0,0.0,0.0
2024-03-31,4780.32,0.0,4780.32,407.48,898.79,87.94,887.76,131.94,243.99,1568.62,553.8,176.82,730.62,33.8,696.82,-15.82,681.0,148.71,532.29,532.29,439.54,2.68,2.42,0.0,0.0,0.0,0.0,0.0
2024-06-30,4515.79,0.0,4515.79,541.4,927.31,-91.87,909.86,138.16,245.04,1444.94,400.95,420.34,821.29,40.87,780.42,-12.89,767.53,196.88,570.65,570.65,492.62,2.36,2.34,0.0,0.0,0.0,0.0,0.0
2024-09-30,4213.24,0.0,4213.24,514.5,764.66,12.14,803.02,131.77,239.8,1306.63,440.72,265.0,705.72,32.26,673.46,0.0,673.46,172.8,500.66,500.66,492.62,2.03,2.03,0.0,0.0,0.0,0.0,0.0
2024-12-31,5043.18,0.0,5043.18,755.19,953.2,123.34,866.23,142.54,252.89,1602.05,347.74,771.71,1119.45,35.46,1083.99,0.0,1083.99,-674.04,1758.03,1758.03,492.62,7.14,7.14,0.0,0.0,0.0,0.0,0.0
2025-03-31,5681.38,0.0,5681.38,714.94,1150.14,81.05,944.77,145.05,296.39,1607.2,741.84,442.05,1183.89,-13.09,1196.98,0.0,1196.98,268.1,928.88,928.88,492.62,3.77,3.77,0.0,0.0,0.0,0.0,0.0
