Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,25.17,25.17,2.97,0.32,7.14,14.74,2.74,17.48,17.48,0.0,17.48,6.35,11.13,0.0,11.13,79.56,0.7,0.7,6.54,41.11,9.37,100.0,58.89
2013-03-31,24.59,24.59,2.93,0.32,7.62,13.72,2.82,16.54,16.54,-27.0,-10.46,6.82,-17.28,0.0,-17.28,79.56,-1.1,-1.1,6.54,41.11,9.37,100.0,58.89
2013-06-30,28.45,28.45,3.81,0.32,9.47,14.85,3.12,17.97,17.97,0.0,17.97,6.86,11.11,0.0,11.11,79.56,0.7,0.7,6.54,41.11,9.37,100.0,58.89
2013-09-30,80.48,80.48,3.48,0.32,9.55,67.13,2.8,69.93,69.93,-7.24,62.69,6.33,56.36,0.0,56.36,79.56,3.5,3.5,6.54,41.11,9.37,100.0,58.89
2013-12-31,20.77,20.77,3.56,0.32,9.86,7.03,3.65,10.68,10.68,0.0,10.68,5.33,5.35,0.0,5.35,79.56,0.3,0.3,6.54,41.11,9.37,100.0,58.89
2014-03-31,14.79,14.79,4.34,0.34,6.42,3.69,3.24,6.93,6.93,7.24,14.17,3.48,10.69,-0.12,10.57,79.56,0.7,0.7,6.54,41.11,9.37,100.0,58.89
2014-06-30,22.59,22.59,3.8,0.72,8.31,9.76,2.95,12.71,12.71,0.0,12.71,4.74,7.97,0.0,7.97,79.56,0.5,0.5,6.54,41.11,9.37,100.0,58.89
2014-09-30,75.49,75.49,3.76,0.72,9.2,61.81,2.73,64.54,64.54,0.0,64.54,4.51,60.03,0.0,60.03,79.56,3.8,3.8,6.54,41.11,9.37,100.0,58.89
2014-12-31,25.61,25.61,4.29,0.7,8.06,12.56,2.73,15.29,15.29,0.0,15.29,1.16,14.13,0.0,14.13,79.56,0.9,0.9,6.52,40.98,9.39,100.0,59.02
2015-03-31,76.55,76.55,4.78,0.4,8.82,62.55,3.01,65.56,65.56,0.0,65.56,21.76,43.8,0.0,43.8,79.56,2.8,2.8,6.63,41.65,9.29,100.0,58.35
2015-06-30,36.72,36.72,4.64,0.37,12.11,19.6,2.36,21.96,21.96,0.0,21.96,8.37,13.59,0.0,13.59,79.56,0.9,0.9,6.63,41.65,9.29,100.0,58.35
2015-09-30,94.92,94.92,4.2,0.39,10.57,79.76,2.18,81.94,81.94,0.0,81.94,10.08,71.86,0.0,71.86,79.56,4.5,4.5,6.63,41.65,9.29,100.0,58.35
2015-12-31,28.16,28.16,4.22,0.38,9.09,14.47,2.27,16.74,16.74,0.0,16.74,6.54,10.2,0.0,10.2,79.57,0.6,0.6,0.0,0.0,0.0,0.0,0.0
2016-03-31,82.52,82.52,3.99,0.24,6.44,71.85,2.32,74.17,74.17,0.0,74.17,6.69,67.48,0.0,67.48,79.57,4.2,4.2,0.0,0.0,0.0,0.0,0.0
2016-06-30,40.63,40.63,4.91,0.36,10.43,24.93,2.68,27.61,27.61,0.0,27.61,10.95,16.66,0.0,16.66,79.57,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,66.69,66.69,4.77,0.36,11.81,49.75,2.75,52.5,52.5,0.0,52.5,11.81,40.69,0.0,40.69,79.57,2.6,2.6,0.0,0.0,0.0,0.0,0.0
2016-12-31,22.7,22.7,4.72,0.37,8.14,9.47,2.68,12.15,12.15,0.0,12.15,5.83,6.32,0.0,6.32,79.57,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2017-03-31,23.88,23.88,5.95,0.37,8.81,8.75,2.99,11.74,11.74,0.0,11.74,5.39,6.35,0.0,6.35,79.57,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2017-06-30,27.4,27.4,5.91,0.34,16.25,4.9,3.0,7.9,7.9,0.0,7.9,4.0,3.9,0.0,3.9,79.57,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2017-09-30,150.76,150.76,6.08,0.33,19.26,125.09,3.31,128.4,128.4,0.0,128.4,12.42,115.98,0.0,115.98,79.57,7.3,7.3,0.0,0.0,0.0,0.0,0.0
2017-12-31,31.88,31.88,6.35,0.34,11.6,13.59,3.08,16.67,16.67,0.0,16.67,5.64,11.03,0.0,11.03,79.57,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2018-03-31,29.72,29.72,8.97,0.35,9.67,10.73,3.09,13.82,13.82,0.0,13.82,3.39,10.43,0.0,10.43,79.57,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2018-06-30,29.47,29.47,8.85,0.36,16.91,3.35,5.29,8.64,8.64,0.0,8.64,2.55,6.09,0.0,6.09,79.57,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2018-09-30,331.91,331.91,10.48,0.37,26.18,294.88,7.89,302.77,302.77,0.0,302.77,11.18,291.59,0.0,291.59,79.57,18.3,18.3,0.0,0.0,0.0,0.0,0.0
2018-12-31,28.85,28.85,11.05,0.38,12.8,4.62,6.5,11.12,11.12,0.0,11.12,3.44,7.68,0.0,7.68,79.57,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2019-03-31,30.95,30.95,23.15,0.44,11.6,-4.24,7.7,3.46,3.46,0.0,3.46,1.65,1.81,0.0,1.81,79.57,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2019-06-30,24.3,24.3,20.03,0.43,10.37,-6.53,7.24,0.71,0.71,0.0,0.71,0.22,0.49,0.0,0.49,79.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,381.39,381.39,22.34,0.44,13.94,344.67,9.63,354.3,354.3,0.0,354.3,9.27,345.03,0.0,345.03,79.57,21.7,21.7,0.0,0.0,0.0,0.0,0.0
2019-12-31,30.59,30.59,21.28,0.94,11.2,-2.83,8.94,6.11,6.11,0.0,6.11,2.92,3.19,0.0,3.19,79.57,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2020-03-31,343.58,343.58,21.07,1.09,10.15,311.27,9.49,320.76,320.76,0.0,320.76,2.61,318.15,0.0,318.15,79.57,20.0,20.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,27.63,27.63,22.47,1.13,11.15,-7.12,10.31,3.19,3.19,0.0,3.19,2.15,1.04,0.0,1.04,79.57,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2020-09-30,25.67,25.67,26.19,1.13,11.38,-13.03,13.96,0.93,0.93,0.0,0.93,0.29,0.64,0.0,0.64,79.57,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,19.73,19.73,25.66,1.17,9.76,-16.86,26.94,10.08,10.08,0.0,10.08,1.68,8.4,0.0,8.4,79.57,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2021-03-31,250.7,250.7,27.56,1.25,8.08,213.81,17.09,230.9,230.9,0.0,230.9,62.2,168.7,0.0,168.7,79.57,10.6,10.6,0.0,0.0,0.0,0.0,0.0
2021-06-30,22.89,22.89,28.5,1.2,10.59,-17.4,17.93,0.53,0.53,0.0,0.53,0.16,0.37,0.0,0.37,79.57,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,349.08,349.08,32.56,1.24,16.63,298.65,18.32,316.97,316.97,0.0,316.97,78.48,238.49,0.0,238.49,79.57,15.0,15.0,0.0,0.0,0.0,0.0,0.0
