Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-12-31,628.19,12.67,640.86,322.94,85.11,-0.81,52.28,27.56,0.0,123.44,30.34,17.6,47.94,0.84,47.1,0.0,47.1,19.03,28.07,28.07,28.92,0.0,1.94,1.94,0.0,0.0,0.0,0.0,0.0
2017-03-31,700.33,0.0,700.33,351.29,88.31,0.57,49.26,28.16,0.0,143.72,39.02,21.17,60.19,0.56,59.63,0.0,59.63,15.41,44.22,44.22,28.92,1587.79,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2017-06-30,709.25,0.0,709.25,353.51,119.37,-14.31,50.96,27.82,0.0,134.71,37.19,18.12,55.31,0.84,54.47,0.0,54.47,18.02,36.45,36.45,28.92,0.0,2.52,2.52,0.0,0.0,0.0,0.0,0.0
2017-09-30,646.71,0.0,646.71,330.08,81.37,2.61,53.45,27.94,0.0,122.19,29.07,15.59,44.66,0.75,43.91,0.0,43.91,14.02,29.89,29.89,28.92,0.0,2.07,2.07,0.0,0.0,0.0,0.0,0.0
2017-12-31,684.61,0.0,684.61,355.09,81.48,-3.59,52.85,28.06,0.0,134.71,36.01,22.3,58.31,0.76,57.55,0.0,57.55,18.1,39.45,39.45,28.92,0.0,2.73,2.73,0.0,0.0,0.0,0.0,0.0
2018-03-31,791.32,0.0,791.32,411.85,110.74,-11.49,48.85,24.75,0.0,152.94,53.68,13.9,67.58,1.03,66.55,0.0,66.55,22.23,44.32,44.32,28.92,1608.42,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2018-06-30,819.97,0.0,819.97,391.03,143.99,16.21,51.56,19.77,0.0,135.82,61.59,13.2,74.79,0.81,73.98,0.0,73.98,24.34,49.64,49.64,28.92,0.0,3.43,3.43,0.0,0.0,0.0,0.0,0.0
2018-09-30,762.03,0.0,762.03,363.2,146.45,-9.95,54.5,18.42,0.0,142.04,47.37,16.14,63.51,0.98,62.53,0.0,62.53,21.3,41.23,41.23,28.92,0.0,2.85,2.85,0.0,0.0,0.0,0.0,0.0
2018-12-31,774.31,0.0,774.31,341.34,172.97,-1.95,53.68,17.35,0.0,141.94,48.98,14.18,63.16,1.05,62.11,0.0,62.11,20.11,42.0,42.0,28.92,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0
2019-03-31,848.05,0.0,848.05,348.54,155.28,3.96,56.01,17.3,0.0,146.75,120.21,18.1,138.31,1.4,136.91,0.0,136.91,44.81,92.1,92.1,28.92,0.0,6.37,6.37,0.0,0.0,0.0,0.0,0.0
2019-06-30,765.1,0.0,765.1,335.23,180.68,-6.77,53.51,17.18,0.0,129.06,56.21,11.34,67.55,0.78,66.77,0.0,66.77,22.66,44.11,44.11,28.92,0.0,3.05,3.05,0.0,0.0,0.0,0.0,0.0
2019-09-30,683.27,0.0,683.27,301.27,153.5,-9.2,57.32,16.36,0.0,136.81,27.21,9.77,36.98,1.28,35.7,16.49,52.19,15.21,36.98,36.98,28.92,0.0,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2019-12-31,722.1,0.0,722.1,323.35,140.67,9.0,56.95,16.84,0.0,135.14,40.15,6.18,46.33,0.95,45.38,0.0,45.38,2.69,42.69,42.69,28.92,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0
2020-03-31,710.62,0.0,710.62,343.13,123.9,-20.79,50.04,16.25,0.0,146.98,51.11,11.1,62.21,1.33,60.88,0.0,60.88,14.28,46.6,46.6,28.92,0.0,3.22,3.22,0.0,0.0,0.0,0.0,0.0
2020-06-30,320.44,0.0,320.44,111.8,52.74,39.86,44.64,14.75,0.0,75.92,-19.27,4.82,-14.45,0.52,-14.97,0.0,-14.97,-4.17,-10.8,-10.8,28.92,0.0,-0.75,-0.75,0.0,0.0,0.0,0.0,0.0
2020-09-30,661.72,0.0,661.72,285.88,125.75,10.52,41.8,15.07,0.0,122.21,60.49,6.41,66.9,1.81,65.09,0.0,65.09,17.86,47.23,47.23,28.92,0.0,3.27,3.27,0.0,0.0,0.0,0.0,0.0
2020-12-31,797.7,0.0,797.7,355.28,162.57,6.2,55.71,15.29,0.0,124.15,78.5,6.61,85.11,2.71,82.4,0.0,82.4,21.79,60.61,60.61,28.92,0.0,4.19,4.19,0.0,0.0,0.0,0.0,0.0
2021-03-31,914.58,0.0,914.58,424.31,184.58,-16.36,56.72,17.04,0.0,147.86,100.43,8.14,108.57,1.32,107.25,-8.37,98.88,26.18,72.7,72.7,28.92,0.0,5.03,5.03,0.0,0.0,0.0,0.0,0.0
2021-06-30,647.24,0.0,647.24,306.26,136.35,3.16,48.94,19.58,-2.41,105.97,29.39,5.72,35.11,1.61,33.5,0.0,33.5,9.03,24.47,24.47,28.92,0.0,1.69,1.69,0.0,0.0,0.0,0.0,0.0
2021-09-30,825.48,0.0,825.48,401.58,182.86,-12.76,54.25,19.55,0.0,133.04,46.96,6.68,53.64,0.92,52.72,0.0,52.72,14.01,38.71,38.71,28.92,0.0,2.68,2.67,0.0,0.0,0.0,0.0,0.0
2021-12-31,836.91,0.0,836.91,408.37,198.14,-12.4,54.87,18.96,-3.72,140.98,31.71,4.81,36.52,2.21,34.31,0.0,34.31,9.04,25.27,25.27,28.92,0.0,1.75,1.74,0.0,0.0,0.0,0.0,0.0
2022-03-31,990.03,0.0,990.03,444.29,219.75,15.59,48.93,19.14,-4.07,162.93,83.47,7.55,91.02,1.5,89.52,52.65,142.17,22.61,119.56,119.56,28.92,0.0,8.27,8.26,0.0,0.0,0.0,0.0,0.0
2022-06-30,953.01,0.0,953.01,485.12,211.91,-35.92,55.51,20.53,-2.37,135.36,82.87,5.35,88.22,1.1,87.12,0.0,87.12,22.54,64.58,64.58,28.92,0.0,4.47,4.46,0.0,0.0,0.0,0.0,0.0
2022-09-30,1010.4,0.0,1010.4,490.59,182.71,0.74,56.67,21.32,-2.65,167.01,94.01,4.77,98.78,1.03,97.75,0.0,97.75,25.16,72.59,72.59,28.93,0.0,5.02,5.01,0.0,0.0,0.0,0.0,0.0
2022-12-31,1000.13,0.0,1000.13,493.38,186.74,-3.05,61.22,21.23,-2.65,155.63,87.63,6.01,93.64,1.9,91.74,0.0,91.74,23.55,68.19,68.19,28.93,0.0,4.71,4.7,0.0,0.0,0.0,0.0,0.0
2023-03-31,1152.59,0.0,1152.59,569.81,231.44,-23.78,63.08,21.68,-3.6,216.48,77.48,11.38,88.86,1.33,87.53,0.0,87.53,22.64,64.89,64.89,28.95,0.0,4.48,4.47,0.0,0.0,0.0,0.0,0.0
2023-06-30,1264.7,0.0,1264.7,633.91,206.3,25.13,65.77,21.3,0.0,180.57,131.72,8.41,140.13,1.35,138.78,0.0,138.78,35.54,103.24,103.24,28.97,0.0,7.13,7.11,0.0,0.0,0.0,0.0,0.0
2023-09-30,1058.97,0.0,1058.97,532.78,200.22,-24.89,74.39,24.34,0.0,177.84,74.29,6.37,80.66,1.6,79.06,0.0,79.06,20.48,58.58,58.58,28.98,0.0,4.04,4.03,0.0,0.0,0.0,0.0,0.0
2023-12-31,1135.19,0.0,1135.19,564.14,190.73,-5.59,79.23,25.67,0.0,173.78,107.23,5.65,112.88,1.98,110.9,0.0,110.9,28.71,82.19,82.19,28.98,0.0,5.67,5.65,0.0,0.0,0.0,0.0,0.0
2024-03-31,1391.68,0.0,1391.68,681.06,223.07,17.06,87.53,25.7,-4.47,209.25,152.48,8.47,160.95,2.85,158.1,0.0,158.1,40.48,117.62,117.62,28.99,0.0,8.12,8.09,0.0,0.0,0.0,0.0,0.0
2024-06-30,1342.91,0.0,1342.91,661.29,216.87,8.19,83.0,24.74,-3.02,178.91,172.93,10.75,183.68,2.73,180.95,0.0,180.95,46.23,134.72,134.72,29.01,0.0,9.29,9.27,0.0,0.0,0.0,0.0,0.0
2024-09-30,1194.35,0.0,1194.35,704.46,177.17,-127.2,92.13,26.56,0.0,182.82,138.41,11.75,150.16,2.61,147.55,0.0,147.55,36.5,111.05,111.05,29.02,0.0,7.65,7.63,0.0,0.0,0.0,0.0,0.0
2024-12-31,1163.6,0.0,1163.6,568.9,172.43,17.72,84.37,31.99,0.0,203.17,85.02,6.76,91.78,3.11,88.67,0.0,88.67,23.64,65.03,65.03,29.03,0.0,4.48,4.47,0.0,0.0,0.0,0.0,0.0
2025-03-31,1412.47,0.0,1412.47,599.39,203.87,133.72,87.97,33.71,-3.62,220.39,137.04,8.49,145.53,3.66,141.87,20.9,162.77,41.64,121.13,121.13,29.04,0.0,8.35,8.35,0.0,0.0,0.0,0.0,0.0
