Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,530.89,8.95,539.84,317.22,33.05,-19.76,38.22,23.31,0.0,96.62,51.18,9.94,61.12,0.86,60.26,0.0,60.26,15.41,44.85,44.85,28.92,0.0,3.09,3.09,4.72,32.64,9.74,100.0,67.36
2013-03-31,587.7,11.02,598.72,320.75,33.92,7.92,35.86,23.04,0.0,107.25,69.98,9.07,79.05,0.5,78.55,0.0,78.55,19.38,59.17,59.17,28.92,0.0,4.08,4.08,4.63,32.02,9.83,100.0,67.98
2013-06-30,583.43,7.41,590.84,344.11,39.7,-21.23,41.21,24.53,0.0,103.54,58.98,12.99,71.97,0.43,71.54,0.0,71.54,18.65,52.89,52.89,28.92,0.0,3.66,3.66,4.48,31.0,9.98,100.0,69.0
2013-09-30,508.88,8.45,517.33,308.7,27.82,-20.69,43.43,24.48,0.0,98.17,35.42,6.66,42.08,0.42,41.66,0.0,41.66,10.99,30.67,30.67,28.92,0.0,2.12,2.12,4.28,29.57,10.19,100.0,70.43
2013-12-31,562.36,6.67,569.03,294.48,28.44,29.27,42.27,24.4,0.0,96.71,53.46,8.55,62.01,0.17,61.84,0.0,61.84,16.58,45.26,45.26,28.92,0.0,3.13,3.13,3.95,27.29,10.52,100.0,72.71
2014-03-31,632.29,10.51,642.8,308.5,90.3,14.11,35.68,24.91,0.0,110.44,58.86,9.6,68.46,0.06,68.4,0.0,68.4,18.77,49.63,49.63,28.92,0.0,3.43,3.43,3.95,27.29,10.52,100.0,72.71
2014-06-30,629.08,10.01,639.09,313.48,102.82,-0.43,45.79,24.38,0.0,102.04,51.01,13.75,64.76,0.09,64.67,0.0,64.67,17.39,47.28,47.28,28.92,0.0,3.27,3.27,3.95,27.29,10.52,100.0,72.71
2014-09-30,622.51,5.4,627.91,333.96,88.14,-12.87,48.47,25.71,0.0,106.43,38.07,12.14,50.21,0.15,50.06,0.0,50.06,14.73,35.33,35.33,28.92,0.0,2.44,2.44,3.95,27.28,10.52,100.0,72.72
2014-12-31,604.41,7.86,612.27,316.25,82.23,-3.46,49.75,25.59,0.0,109.29,32.62,16.31,48.93,0.05,48.88,0.0,48.88,14.79,34.09,34.09,28.92,0.0,2.36,2.36,3.95,27.28,10.52,100.0,72.72
2015-03-31,617.3,11.06,628.36,305.44,89.73,10.41,44.39,26.22,0.0,127.09,25.08,16.75,41.83,0.01,41.82,0.0,41.82,15.38,26.44,26.44,28.92,0.0,1.83,1.83,3.95,27.28,10.52,100.0,72.72
2015-06-30,577.16,4.34,581.5,344.63,32.99,-4.46,47.6,26.09,0.0,108.19,26.46,19.13,45.59,0.03,45.56,0.0,45.56,9.67,35.89,35.89,28.92,0.0,2.48,2.48,3.95,27.28,10.52,100.0,72.72
2015-09-30,584.2,5.78,589.98,259.18,121.51,-13.07,50.2,26.71,0.0,123.89,21.56,19.56,41.12,0.02,41.1,0.0,41.1,5.38,35.72,35.72,28.92,0.0,2.47,2.47,5.89,40.7,8.58,100.0,59.3
2015-12-31,595.0,5.69,600.69,313.09,79.76,-9.69,50.92,27.02,0.0,117.69,21.9,18.45,40.35,0.01,40.34,-10.38,29.96,8.2,21.76,21.76,28.92,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0
2016-03-31,662.65,21.34,683.99,322.83,87.08,9.21,36.84,31.68,0.0,138.04,58.31,16.84,75.15,0.01,75.14,-15.1,60.04,12.89,47.15,47.15,28.92,0.0,3.26,3.26,0.0,0.0,0.0,0.0,0.0
2016-06-30,651.25,13.36,664.61,323.22,90.28,10.75,49.37,27.56,0.0,109.29,54.14,28.37,82.51,0.68,81.83,0.0,81.83,23.08,58.75,58.75,28.92,0.0,4.06,4.06,0.0,0.0,0.0,0.0,0.0
2016-09-30,650.13,13.15,663.28,354.12,84.51,-21.98,50.66,27.4,0.0,122.0,46.57,17.89,64.46,0.72,63.74,0.0,63.74,21.16,42.58,42.58,28.92,0.0,2.94,2.94,0.0,0.0,0.0,0.0,0.0
