Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1428.08,-0.05,1428.03,128.39,0.0,-14.82,422.74,74.89,81.83,445.14,289.86,32.3,322.16,56.29,265.87,-11.97,253.9,36.46,217.44,0.0,217.44,34.84,62.42,62.42,1.23,35.21,2.26,100.0,64.79
2013-03-31,1456.84,14.79,1471.63,140.68,0.0,0.45,354.49,74.71,126.48,481.11,293.71,42.78,336.49,44.72,291.77,-0.05,291.72,17.63,274.09,0.0,274.09,34.84,78.68,78.68,1.23,35.21,2.26,100.0,64.79
2013-06-30,1441.43,7.58,1449.01,141.45,0.0,-3.56,406.6,94.23,133.17,423.07,254.05,84.05,338.1,37.82,300.28,-0.04,300.24,15.93,284.31,0.0,284.31,34.84,81.61,81.61,1.23,35.21,2.26,100.0,64.79
2013-09-30,1247.53,0.01,1247.54,104.53,0.0,-4.84,300.45,101.3,113.87,496.69,135.54,73.95,209.49,31.19,178.3,-1.05,177.25,5.03,172.22,0.0,172.22,34.84,49.44,49.44,1.23,35.21,2.26,100.0,64.79
2013-12-31,1316.98,1.15,1318.13,115.34,0.0,-24.34,312.25,101.07,115.57,543.27,154.97,9.9,164.87,30.94,133.93,-3.17,130.76,15.27,115.49,0.0,115.49,34.84,33.15,33.15,1.23,35.21,2.26,100.0,64.79
2014-03-31,1659.99,4.93,1664.92,119.46,0.0,-11.82,381.84,91.53,166.65,652.88,264.38,49.64,314.02,36.3,277.72,-74.3,203.42,49.36,154.06,68.45,222.51,34.84,63.87,63.87,1.23,35.21,2.26,100.0,64.79
2014-06-30,1651.38,5.34,1656.72,124.53,0.0,24.63,384.16,101.4,153.82,583.18,285.0,51.45,336.45,30.76,305.69,-1.97,303.72,26.7,277.02,0.0,277.02,34.84,79.52,79.52,1.23,35.21,2.26,100.0,64.79
2014-09-30,1605.25,2.83,1608.08,137.41,0.0,-6.61,413.47,112.75,222.65,610.64,117.77,28.05,145.82,34.97,110.85,-6.72,104.13,-4.68,108.81,0.0,108.81,34.84,31.23,31.23,1.23,35.21,2.26,100.0,64.97
2014-12-31,1541.89,2.61,1544.5,141.04,0.0,-16.93,395.38,109.46,200.94,609.47,105.14,20.13,125.27,32.26,93.01,-0.8,92.21,15.18,77.03,16.65,93.68,34.84,26.89,26.89,1.23,35.21,2.26,100.0,64.79
2015-03-31,1573.31,3.09,1576.4,138.32,0.0,-16.71,355.29,113.81,262.94,645.11,77.64,50.44,128.08,27.04,101.04,-3.95,97.09,-22.64,119.73,0.0,119.73,34.84,34.37,34.37,1.23,35.21,2.26,100.0,64.79
2015-06-30,1719.43,5.16,1724.59,162.76,0.0,-38.85,415.68,119.01,238.25,709.22,118.52,39.23,157.75,26.36,131.39,-23.99,107.4,3.29,104.11,0.0,104.11,34.84,29.88,29.88,1.23,35.21,2.26,100.0,64.79
2015-09-30,1711.87,0.01,1711.88,135.38,0.0,-9.82,372.17,122.8,244.8,675.07,171.48,95.77,267.25,23.47,243.78,0.0,243.78,-2.57,246.35,0.0,246.35,34.84,70.71,70.71,0.0,0.0,0.0,0.0,0.0
2015-12-31,1802.96,0.0,1802.96,152.17,0.0,20.59,373.93,120.1,276.61,677.53,182.03,101.72,283.75,23.52,260.23,0.0,260.23,26.48,233.75,0.0,233.75,34.84,67.1,67.1,0.0,0.0,0.0,0.0,0.0
2016-03-31,1998.8,0.0,1998.8,161.75,0.0,-7.49,376.85,126.96,306.16,808.74,225.83,475.19,701.02,28.78,672.24,0.0,672.24,9.21,663.03,0.0,663.03,34.84,190.32,190.32,0.0,0.0,0.0,0.0,0.0
2016-06-30,2198.65,26.39,2225.04,161.22,0.0,16.97,327.88,133.1,154.04,828.67,603.16,71.48,674.64,27.59,647.05,0.0,647.05,139.38,507.67,0.0,507.67,34.84,145.73,145.73,0.0,0.0,0.0,0.0,0.0
2016-09-30,2006.82,0.01,2006.83,155.19,0.0,-67.08,357.25,137.67,432.2,767.54,224.06,123.27,347.33,29.34,317.99,0.0,317.99,26.49,291.5,0.0,291.5,34.84,83.67,83.67,0.0,0.0,0.0,0.0,0.0
