Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Revaluation Reserves,Deferred Tax Liabilities [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,34.84,34.84,216.55,305.17,340.01,270.42,0.0,0.0,333.88,66.66,23.33,21.84,12.42,124.24,798.13,602.53,0.0,23.04,625.57,0.8,0.0,0.0,0.0,626.37,0.0,58.78,29.73,7.62,75.64,0.0,171.76,798.13,4.96,0.59,0.9,0.0,0.0,0.8,0.0,0.0,4.81,0.0,0.0,0.76,88.62,63.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,34.84,34.84,254.65,318.09,352.93,232.83,0.0,0.0,296.86,50.41,36.51,27.57,23.68,138.16,787.95,483.16,0.0,152.16,635.33,0.0,0.94,0.0,0.0,636.26,0.0,72.59,23.95,13.04,42.12,0.0,151.69,787.95,93.39,0.48,1.08,0.0,0.0,0.0,0.0,0.0,5.34,0.0,0.0,6.61,63.44,64.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,34.84,34.84,261.46,316.15,350.99,306.17,0.0,0.0,375.33,41.74,100.27,51.82,25.97,219.8,946.12,630.0,0.0,97.75,727.75,0.0,0.19,0.0,0.0,727.94,0.0,112.94,18.26,19.07,67.91,0.0,218.18,946.12,161.18,1.94,1.44,0.0,0.0,0.0,0.0,0.0,5.52,0.0,0.0,25.56,54.69,69.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,34.84,34.84,419.71,468.94,503.78,879.59,0.0,0.0,882.45,0.0,149.22,98.85,88.32,336.38,1722.61,547.92,0.26,343.75,891.94,50.0,6.6,0.0,0.0,948.54,0.0,156.07,26.27,353.31,238.42,0.0,774.07,1722.61,244.48,0.74,1.8,0.0,0.0,50.0,0.0,0.0,14.07,0.0,0.0,35.43,49.23,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,34.84,34.84,637.97,637.97,672.81,1236.78,0.0,0.0,1236.83,33.34,166.76,129.99,243.73,573.82,2483.46,759.89,0.07,17.96,777.92,591.0,18.51,0.0,0.0,1387.43,0.0,176.57,49.39,467.43,402.63,0.0,1096.03,2483.46,90.94,2.85,2.16,17.08,0.0,591.0,0.0,0.0,16.03,0.0,0.0,30.72,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,34.84,34.84,1175.18,1175.18,1210.02,1270.97,0.0,0.0,1270.97,163.34,212.88,144.6,388.55,909.36,3390.35,623.15,3.71,478.89,1105.75,844.83,10.39,0.0,0.0,1960.97,0.0,154.46,58.32,472.26,744.34,0.0,1429.38,3390.35,438.0,2.77,2.88,18.49,0.0,844.83,0.0,0.0,42.23,0.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,34.84,34.84,5241.56,5241.56,5276.4,401.41,852.32,19.11,1272.84,214.95,292.37,872.38,68.91,1448.61,7997.85,2921.19,83.14,511.1,3515.43,1493.91,195.19,460.19,0.0,5664.72,168.7,918.86,476.39,307.5,446.41,15.27,2333.13,7997.85,746.86,7.56,7.92,0.0,1910.6,140.12,90.22,78.98,12.06,14.18,1570.9,127.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,34.84,34.84,6810.69,6810.69,6845.53,530.74,918.61,6.7,1456.05,195.75,257.24,707.66,1.05,1161.7,9463.28,3050.17,0.0,264.5,3314.67,2950.39,371.79,33.9,983.87,7654.62,80.08,815.19,328.62,83.04,11.02,490.71,1808.66,9463.28,746.68,572.26,0.0,0.0,2593.73,402.75,0.0,80.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,34.84,34.84,7663.3,7663.3,7698.14,518.74,952.94,7.28,1478.96,773.74,351.68,862.74,0.85,1989.01,11166.11,2586.34,12.78,710.44,3309.56,3388.48,507.69,43.59,634.72,7884.04,654.12,1314.5,335.12,111.0,5.48,861.85,3282.07,11166.11,1833.18,1388.57,0.0,0.0,3245.99,202.66,77.91,576.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,34.84,34.84,8861.99,8861.99,8896.83,2208.13,1062.12,7.61,3277.86,1185.86,727.27,1053.07,0.94,2967.14,15141.83,3577.11,12.07,1427.15,5016.33,3123.29,513.05,48.81,740.19,9441.67,2311.04,1569.02,459.25,120.9,7.77,1232.18,5700.16,15141.83,1505.35,1876.16,0.0,0.0,2918.24,276.57,40.38,2270.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
