Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,867.91,2.59,870.51,431.23,38.13,5.5,37.88,9.64,94.75,131.27,122.11,25.33,147.44,10.55,136.89,0.0,136.89,26.72,110.17,110.17,64.47,1.71,1.71,25.96,40.26,38.51,100.0,59.74
2013-03-31,731.33,1.02,732.35,433.79,22.19,-96.47,35.51,7.47,88.04,142.11,99.7,7.57,107.28,9.07,98.21,46.5,144.71,34.11,110.61,110.61,64.48,1.72,1.71,25.97,40.27,38.51,100.0,59.73
2013-06-30,1055.39,1.63,1057.02,441.48,52.28,73.99,44.36,10.16,120.56,138.45,175.74,9.35,185.09,9.17,175.92,0.0,175.92,37.85,138.07,138.07,64.48,2.14,2.14,25.98,40.28,38.51,100.0,59.72
2013-09-30,840.9,2.21,843.1,432.64,25.06,-2.53,49.8,9.77,90.48,130.87,107.02,51.69,158.71,9.34,149.37,0.0,149.37,29.15,120.22,120.22,64.49,1.86,1.86,25.99,40.31,38.49,100.0,59.69
2013-12-31,928.23,1.97,930.2,466.11,29.9,11.79,42.61,13.62,103.96,134.21,128.01,55.98,183.98,6.3,177.68,0.0,177.68,35.89,141.79,141.79,64.49,2.2,2.2,25.99,40.31,38.49,100.0,59.69
2014-03-31,850.27,1.9,852.17,501.94,31.18,-59.1,34.57,12.65,94.71,133.67,102.55,117.36,219.91,5.62,214.29,0.0,214.29,37.16,177.12,177.12,64.49,2.75,2.75,25.99,40.31,38.49,100.0,59.69
2014-06-30,1348.65,3.56,1352.22,667.88,58.74,77.98,52.61,11.4,138.38,153.5,191.72,10.26,201.98,6.12,195.86,0.0,195.86,51.47,144.39,144.39,64.49,2.24,2.24,25.99,40.31,38.49,100.0,59.69
2014-09-30,1142.54,1.63,1144.17,744.4,49.69,-111.15,49.33,13.58,119.39,154.06,124.86,52.08,176.94,3.94,172.99,0.0,172.99,44.79,128.2,128.2,64.49,1.99,1.99,25.99,40.31,38.49,100.0,59.69
2014-12-31,1189.57,3.31,1192.88,606.79,15.79,65.81,48.9,16.21,117.15,151.93,170.29,8.61,178.91,3.06,175.85,0.0,175.85,43.99,131.86,131.86,64.49,2.04,2.04,26.0,40.31,38.49,100.0,59.69
2015-03-31,988.81,3.12,991.94,656.82,10.49,-127.51,46.32,13.56,105.59,166.32,120.34,69.84,190.18,3.85,186.33,0.0,186.33,45.61,140.72,140.72,64.5,2.18,2.18,26.01,40.32,38.49,100.0,59.68
2015-06-30,1442.46,1.63,1444.09,670.41,15.89,139.13,63.06,12.73,135.09,168.51,239.27,18.89,258.16,3.17,254.99,0.0,254.99,72.87,182.12,182.12,64.51,1.41,1.41,26.02,40.33,38.49,100.0,59.67
2015-09-30,1152.41,1.78,1154.19,639.67,18.77,-20.64,50.09,15.57,140.77,156.6,153.36,26.53,179.89,2.29,177.6,0.0,177.6,47.68,129.92,129.92,64.51,1.02,1.01,0.0,0.0,0.0,0.0,0.0
2015-12-31,1233.17,1.65,1234.82,653.17,11.92,-20.84,57.77,16.48,119.75,184.98,211.59,92.84,304.43,4.94,299.49,0.0,299.49,64.88,234.61,234.61,129.02,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2016-03-31,1030.77,4.13,1034.9,529.18,33.37,-60.43,57.29,24.04,115.87,179.41,156.17,52.3,208.47,4.77,203.7,0.0,203.7,59.06,144.64,144.64,129.02,1.17,1.17,0.0,0.0,0.0,0.0,0.0
2016-06-30,1450.11,4.28,1454.39,531.18,36.23,166.93,65.22,14.74,154.15,186.93,299.01,22.32,321.33,3.42,317.91,0.0,317.91,83.03,234.88,234.88,129.02,1.83,1.82,0.0,0.0,0.0,0.0,0.0
2016-09-30,1156.96,3.54,1160.5,577.45,55.01,-35.49,64.82,14.28,135.91,167.62,180.9,60.41,241.31,2.16,239.15,0.0,239.15,60.02,179.13,179.13,129.02,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2016-12-31,1140.48,2.5,1142.98,575.3,43.09,-23.01,58.47,15.83,103.14,172.44,197.72,157.64,355.36,2.89,352.47,0.0,352.47,87.16,265.31,265.31,129.04,2.06,2.06,0.0,0.0,0.0,0.0,0.0
2017-03-31,1096.79,6.67,1103.46,678.86,35.11,-155.87,62.41,19.25,74.27,174.62,214.81,21.49,236.3,4.12,232.18,0.0,232.18,68.81,163.37,163.37,129.05,1.27,1.27,0.0,0.0,0.0,0.0,0.0
2017-06-30,1372.78,0.0,1372.78,691.73,16.72,43.73,73.01,15.51,123.72,172.16,236.2,21.46,257.66,1.99,255.67,0.0,255.67,57.65,198.02,198.02,129.05,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2017-09-30,1246.28,0.0,1246.28,684.17,12.06,-1.14,70.83,17.93,122.09,161.07,179.27,32.21,211.48,1.87,209.61,0.0,209.61,49.3,160.31,160.31,129.08,1.25,1.24,0.0,0.0,0.0,0.0,0.0
2017-12-31,1337.59,0.0,1337.59,794.11,20.37,-66.8,65.1,16.26,103.97,168.27,236.31,71.89,308.2,1.86,306.34,0.0,306.34,66.23,240.11,240.11,129.08,1.86,1.86,0.0,0.0,0.0,0.0,0.0
2018-03-31,1213.76,0.0,1213.76,847.82,24.31,-197.41,65.33,17.2,84.8,175.44,196.27,91.66,287.93,1.83,286.1,-104.0,182.1,62.32,119.78,119.78,129.09,0.93,0.93,0.0,0.0,0.0,0.0,0.0
2018-06-30,1684.61,0.0,1684.61,932.55,25.65,66.55,77.25,19.0,126.63,180.97,256.01,23.03,279.04,2.42,276.62,0.0,276.62,61.7,214.92,214.92,129.09,1.67,1.67,0.0,0.0,0.0,0.0,0.0
2018-09-30,1496.75,0.0,1496.75,844.96,24.81,14.65,74.78,18.67,0.0,313.9,204.98,84.27,289.25,2.28,286.97,0.0,286.97,61.74,225.23,225.23,129.09,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2018-12-31,1499.81,0.0,1499.81,762.54,26.85,68.41,79.83,18.69,0.0,300.17,243.32,97.13,340.45,2.35,338.1,0.0,338.1,75.63,262.47,262.47,129.09,2.04,2.03,0.0,0.0,0.0,0.0,0.0
2019-03-31,1290.0,0.0,1290.0,923.0,31.0,-250.0,75.0,25.0,0.0,292.0,194.0,97.0,291.0,5.0,286.0,0.0,286.0,-144.0,430.0,430.0,129.09,3.33,3.33,0.0,0.0,0.0,0.0,0.0
2019-06-30,1777.0,0.0,1777.0,769.0,31.0,197.0,86.0,29.0,0.0,345.0,320.0,26.0,346.0,8.0,338.0,-19.0,319.0,68.0,251.0,251.0,129.0,1.95,1.94,0.0,0.0,0.0,0.0,0.0
2019-09-30,1454.0,0.0,1454.0,775.0,34.0,-22.0,81.0,27.0,0.0,324.0,235.0,101.0,336.0,9.0,327.0,0.0,327.0,68.0,259.0,259.0,129.0,2.01,2.01,0.0,0.0,0.0,0.0,0.0
2019-12-31,1434.0,0.0,1434.0,700.0,35.0,44.0,73.0,27.0,0.0,296.0,259.0,76.0,335.0,7.0,328.0,0.0,328.0,59.0,269.0,269.0,129.0,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2020-03-31,1188.0,0.0,1188.0,686.0,38.0,-81.0,68.0,30.0,0.0,259.0,188.0,105.0,293.0,9.0,284.0,0.0,284.0,57.0,227.0,227.0,129.0,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2020-06-30,1516.0,0.0,1516.0,702.0,50.0,90.0,95.0,26.0,88.0,159.0,306.0,19.0,325.0,6.0,319.0,0.0,319.0,64.0,255.0,255.0,129.0,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2020-09-30,1550.0,0.0,1550.0,869.0,66.0,-56.0,87.0,26.0,114.0,191.0,253.0,145.0,398.0,5.0,393.0,-33.0,360.0,47.0,313.0,313.0,129.0,2.42,2.42,0.0,0.0,0.0,0.0,0.0
2020-12-31,1667.0,0.0,1667.0,864.0,71.0,32.0,97.0,27.0,112.0,187.0,277.0,77.0,354.0,5.0,349.0,0.0,349.0,56.0,293.0,293.0,129.0,2.29,2.29,0.0,0.0,0.0,0.0,0.0
2021-03-31,1604.0,0.0,1604.0,913.0,80.0,-10.0,95.0,28.0,102.0,190.0,206.0,108.0,314.0,6.0,308.0,-27.0,281.0,37.0,244.0,244.0,129.0,1.88,1.88,0.0,0.0,0.0,0.0,0.0
2021-06-30,2043.0,0.0,2043.0,1230.0,99.0,-11.0,99.0,24.0,104.0,181.0,317.0,29.0,346.0,6.0,340.0,0.0,340.0,77.0,263.0,263.0,129.0,2.04,2.04,0.0,0.0,0.0,0.0,0.0
2021-09-30,1916.0,0.0,1916.0,1186.0,111.0,-93.0,96.0,23.0,116.0,204.0,273.0,128.0,401.0,8.0,393.0,0.0,393.0,64.0,329.0,329.0,129.0,2.55,2.54,0.0,0.0,0.0,0.0,0.0
2021-12-31,1855.0,0.0,1855.0,1019.0,95.0,27.0,92.0,26.0,132.0,191.0,273.0,74.0,347.0,8.0,339.0,0.0,339.0,61.0,278.0,278.0,129.0,2.16,2.15,0.0,0.0,0.0,0.0,0.0
2022-03-31,1686.0,0.0,1686.0,932.0,105.0,-9.0,85.0,24.0,115.0,211.0,223.0,126.0,349.0,8.0,341.0,0.0,341.0,48.0,293.0,293.0,129.0,2.27,2.27,0.0,0.0,0.0,0.0,0.0
2022-06-30,1976.0,0.0,1976.0,983.0,121.0,74.0,103.0,25.0,109.0,204.0,357.0,132.0,489.0,8.0,481.0,0.0,481.0,94.0,387.0,387.0,129.0,3.0,2.99,0.0,0.0,0.0,0.0,0.0
2022-09-30,1909.0,0.0,1909.0,1076.0,140.0,-37.0,100.0,25.0,112.0,210.0,283.0,131.0,414.0,10.0,404.0,0.0,404.0,70.0,334.0,334.0,129.0,2.58,2.58,0.0,0.0,0.0,0.0,0.0
2022-12-31,1891.0,0.0,1891.0,887.0,115.0,121.0,98.0,28.0,128.0,202.0,312.0,35.0,347.0,9.0,338.0,0.0,338.0,84.0,254.0,254.0,129.0,1.98,1.97,0.0,0.0,0.0,0.0,0.0
2023-03-31,1702.0,0.0,1702.0,876.0,90.0,18.0,108.0,31.0,113.0,218.0,248.0,30.0,278.0,9.0,269.0,0.0,269.0,65.0,204.0,204.0,129.0,1.58,1.57,0.0,0.0,0.0,0.0,0.0
2023-06-30,1841.0,0.0,1841.0,854.0,88.0,67.0,114.0,25.0,119.0,196.0,378.0,37.0,415.0,7.0,408.0,0.0,408.0,101.0,307.0,307.0,129.0,2.38,2.37,0.0,0.0,0.0,0.0,0.0
2023-09-30,1791.0,0.0,1791.0,961.0,117.0,-96.0,115.0,26.0,139.0,213.0,316.0,35.0,351.0,10.0,341.0,0.0,341.0,83.0,258.0,258.0,129.0,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2023-12-31,1733.0,0.0,1733.0,795.0,99.0,40.0,113.0,29.0,113.0,209.0,335.0,35.0,370.0,8.0,362.0,0.0,362.0,78.0,284.0,284.0,129.0,2.2,2.19,0.0,0.0,0.0,0.0,0.0
2024-03-31,1637.0,0.0,1637.0,821.0,9.0,50.0,121.0,27.0,114.0,225.0,270.0,28.0,298.0,7.0,291.0,0.0,291.0,62.0,229.0,229.0,129.0,1.77,1.77,0.0,0.0,0.0,0.0,0.0
2024-06-30,1886.0,0.0,1886.0,964.0,88.0,-42.0,127.0,28.0,0.0,321.0,400.0,18.0,418.0,5.0,413.0,0.0,413.0,102.0,311.0,311.0,129.0,2.41,2.4,0.0,0.0,0.0,0.0,0.0
2024-09-30,1860.0,0.0,1860.0,998.0,114.0,-80.0,132.0,28.0,0.0,351.0,317.0,302.0,619.0,7.0,612.0,0.0,612.0,83.0,529.0,529.0,129.0,4.1,4.09,0.0,0.0,0.0,0.0,0.0
2024-12-31,1965.0,0.0,1965.0,1116.0,110.0,-101.0,122.0,29.0,0.0,354.0,335.0,122.0,457.0,6.0,451.0,0.0,451.0,75.0,376.0,376.0,129.0,2.9,2.89,0.0,0.0,0.0,0.0,0.0
2025-03-31,1870.0,0.0,1870.0,890.0,96.0,116.0,124.0,38.0,98.0,234.0,274.0,149.0,423.0,5.0,418.0,0.0,418.0,93.0,325.0,325.0,129.0,2.51,2.51,0.0,0.0,0.0,0.0,0.0
