Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,Raw Materials,Trade/Other Goods,Capital Goods,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,29.0,29.0,150.93,150.93,0.0,179.93,0.0,8.72,0.0,8.72,9.38,75.19,10.48,12.22,107.28,295.92,74.59,7.58,7.61,0.0,89.77,14.43,2.47,0.0,0.0,106.67,0.0,94.72,33.46,23.66,37.41,0.0,189.25,295.92,9.73,8.54,33.61,2.3,26.5,0.0,14.43,0.0,0.0,0.0,29.71,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,58.0,58.0,160.54,160.54,0.0,218.54,0.0,8.49,0.0,8.49,52.39,90.28,10.29,15.06,168.02,395.05,80.13,8.98,11.65,0.0,100.76,29.09,2.44,0.0,0.0,132.29,0.0,112.47,35.36,17.8,97.13,0.0,262.76,395.05,15.96,14.31,47.23,6.65,55.5,0.0,29.09,0.0,0.0,0.0,43.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,58.0,58.0,219.36,219.36,0.0,277.36,0.0,12.12,0.0,212.12,23.51,133.6,8.15,19.52,184.78,674.26,56.21,233.34,18.97,0.0,308.52,36.39,3.84,0.0,0.0,348.75,0.0,119.59,49.53,28.08,128.28,0.03,325.51,674.26,16.78,19.91,61.4,6.24,55.5,0.0,36.39,0.0,0.0,0.0,12.76,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,60.9,60.9,122.59,122.59,0.0,183.49,0.0,3.97,0.0,3.97,167.25,287.54,24.1,12.77,491.66,679.12,59.9,35.16,8.97,0.0,104.03,80.91,118.99,0.0,0.0,303.93,0.0,196.21,41.29,24.8,109.06,3.83,375.19,679.12,16.18,14.35,72.64,17.51,55.5,0.0,80.91,0.0,0.0,0.0,23.63,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,60.9,60.9,219.33,219.33,0.0,280.23,0.0,2.74,0.0,131.96,176.37,187.72,15.94,42.63,422.66,834.85,61.1,35.89,49.1,0.0,146.09,106.52,98.27,0.0,0.0,350.88,0.0,218.59,41.68,29.93,193.77,0.0,483.97,834.85,21.04,0.69,71.23,10.21,55.5,0.0,106.52,0.0,0.0,0.0,10.14,0.0,1.71,129.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,60.9,60.9,306.78,306.78,0.0,367.68,0.0,6.16,0.0,131.0,183.69,178.63,17.73,30.87,410.92,909.6,77.68,38.23,45.61,0.0,161.52,112.58,69.57,0.0,0.0,343.67,0.0,273.69,61.05,24.96,206.23,0.0,565.93,909.6,26.32,5.27,125.14,8.66,55.5,0.0,112.58,0.0,0.0,0.0,99.89,0.0,2.48,124.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,60.93,60.93,510.73,510.73,0.0,571.66,0.0,4.24,0.0,96.0,285.16,210.66,15.85,62.24,573.91,1241.57,89.61,40.36,109.96,0.0,239.93,209.11,62.74,0.0,0.0,511.78,0.0,369.9,94.51,11.21,254.17,0.0,729.79,1241.57,209.3,8.12,130.64,15.66,55.5,812.01,198.04,0.0,0.0,0.0,94.07,0.0,0.5,91.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,61.44,61.44,811.68,811.68,0.0,873.12,0.0,0.0,0.0,307.5,192.71,162.73,108.97,40.7,505.11,1685.73,221.16,1.3,24.71,0.0,247.17,392.42,26.54,205.6,98.21,969.94,77.94,454.22,118.98,15.94,44.94,3.77,715.79,1685.73,553.86,15.48,139.16,15.35,55.5,1154.8,381.35,0.0,77.94,0.02,35.5,1.88,0.16,307.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,61.49,61.49,1062.63,1062.63,0.0,1124.12,0.0,0.0,0.0,330.05,228.42,244.47,85.72,47.88,606.49,2060.66,238.08,2.01,36.22,0.0,276.31,405.91,19.08,235.81,123.14,1060.25,266.26,530.04,101.04,32.26,54.46,16.35,1000.41,2060.66,1392.55,14.57,192.35,32.37,55.5,700.15,381.35,97.44,168.86,5.32,134.09,1.09,1.17,324.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,64.48,64.48,1926.95,1926.95,0.0,1991.43,0.0,3.04,0.97,380.84,279.36,310.08,152.37,54.19,796.0,3168.27,322.76,12.47,145.34,0.0,480.57,1087.05,0.0,139.28,135.34,1842.24,229.42,708.98,123.85,22.03,233.41,8.34,1326.03,3168.27,808.28,19.07,138.59,29.59,55.5,707.46,1072.56,9.99,219.34,0.0,149.22,1.33,0.36,376.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
