Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,439.8,439.8,308.63,0.0,-8.51,12.12,13.18,73.8,40.58,1.49,42.07,22.51,19.56,0.0,19.56,3.92,15.64,15.64,31.75,4.93,4.93,1.15,36.21,1.75,86.52,55.19
2013-03-31,482.72,482.72,311.17,7.4,27.6,9.5,12.88,72.21,41.96,5.27,47.23,26.71,20.52,0.0,20.52,-36.65,57.17,57.17,32.75,17.98,16.94,1.15,35.11,1.85,87.16,56.56
2013-06-30,380.61,380.61,253.7,0.71,5.81,10.82,13.22,62.32,34.03,1.7,35.73,22.16,13.57,0.0,13.57,-4.71,18.28,18.28,32.75,5.58,5.58,1.15,35.11,1.85,87.16,56.56
2013-09-30,344.38,344.38,204.98,1.17,22.86,11.74,15.33,63.61,24.69,3.18,27.87,26.56,1.31,0.0,1.31,0.29,1.02,1.02,32.75,0.31,0.31,1.15,35.11,1.85,87.16,56.56
2013-12-31,394.52,394.52,244.25,2.09,-23.85,17.76,18.72,91.96,43.59,1.23,44.82,32.5,12.32,0.0,12.32,6.34,5.98,5.98,32.75,1.83,1.83,1.15,35.11,1.85,87.16,56.56
2014-03-31,421.41,421.41,268.51,0.0,-5.4,15.43,19.42,80.53,42.92,18.38,61.3,33.29,28.01,0.0,28.01,-2.65,30.66,30.66,32.75,9.36,9.36,1.15,35.11,1.85,87.16,56.56
2014-06-30,509.8,509.8,324.8,0.0,-11.95,14.78,15.81,97.48,68.88,1.4,70.28,32.8,37.48,0.0,37.48,-2.19,39.67,39.67,32.75,12.11,12.11,1.15,35.11,1.85,87.16,56.56
2014-09-30,555.66,555.66,387.7,3.19,-13.22,15.64,16.0,93.89,52.46,6.9,59.36,33.91,25.45,0.0,25.45,6.9,18.55,18.55,32.75,5.66,5.66,1.15,35.11,1.85,87.16,56.56
2014-12-31,405.16,405.16,253.87,40.43,-43.03,18.78,15.95,78.86,40.3,3.57,43.87,38.44,5.43,0.0,5.43,-1.49,6.92,6.92,32.75,2.11,2.11,1.15,35.11,1.85,87.16,56.56
2015-03-31,464.43,464.43,304.82,2.5,13.33,18.22,18.06,71.63,35.87,4.62,40.49,39.73,0.76,0.0,0.76,3.79,-3.03,-3.03,32.75,-0.93,-0.93,1.15,35.11,1.85,87.16,56.56
