Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Long Term Loans And Advances,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Non-Current Investments,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2012-03-31,785.0,785.0,-468.47,-468.47,0.0,316.53,0.0,175.63,0.0,9.36,184.99,1631.61,12.85,74.82,1844.93,2346.45,1.58,0.07,0.0,0.0,1.64,0.0,0.0,270.3,0.0,0.0,32.19,1998.04,45.93,2076.15,2346.45,0.0,8.98,0.0,5.59,0.0,0.0,125.66,268.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,785.0,785.0,-332.0,-332.0,0.0,453.0,0.0,225.42,0.0,15.99,241.41,2578.07,20.86,69.09,2793.52,3487.93,1.19,0.0,0.0,0.0,1.19,0.0,0.0,390.36,0.0,0.0,83.67,2969.25,44.65,3097.57,3487.93,0.0,13.46,0.0,10.52,0.0,0.0,125.51,389.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,785.0,785.0,-39.02,-39.02,0.0,745.98,0.0,140.73,0.0,21.7,162.43,3356.97,7.59,286.71,3826.54,4734.94,1.4,0.0,0.0,0.0,1.4,0.0,0.0,542.07,0.0,0.0,161.96,3967.57,63.34,4192.87,4734.94,0.0,45.03,0.0,2.54,0.0,0.0,175.28,540.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,785.0,785.0,180.63,180.63,0.0,965.63,0.0,240.74,0.0,31.82,272.56,4458.52,90.51,151.1,4936.99,6175.18,1.62,0.0,0.0,0.0,1.62,99.29,0.0,635.57,0.0,0.0,209.36,5296.04,34.21,5539.61,6175.18,0.0,51.39,15.7,2.64,0.0,0.0,236.86,534.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,785.0,785.0,370.04,370.04,0.0,1155.04,0.0,341.14,0.0,45.33,386.46,5586.99,85.89,287.04,6338.85,7880.35,2.06,0.0,0.0,0.0,2.06,90.2,0.0,684.48,0.0,0.0,274.46,6853.75,67.67,7195.87,7880.35,0.0,77.03,31.4,52.93,0.0,0.0,378.92,592.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,785.0,785.0,665.89,665.89,0.0,1450.89,0.0,501.18,0.0,47.89,549.07,7705.98,118.76,473.0,8829.09,10829.05,3.61,0.0,0.0,0.0,3.61,128.11,0.02,808.92,0.0,0.0,282.95,9637.69,99.49,10020.13,10829.05,0.0,98.64,31.4,104.1,0.0,0.0,531.34,677.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,785.0,785.0,1568.06,1568.06,0.0,2353.06,0.0,11412.82,350.44,392.42,12155.68,0.0,529.56,647.71,1177.27,15686.01,41.86,199.9,13.34,21.72,276.82,88.01,538.31,903.14,0.0,150.73,472.68,14045.54,113.92,14782.87,15686.01,46.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,837.22,837.22,2735.33,2735.33,9.17,3581.73,0.0,5276.11,646.69,628.42,6551.22,8374.41,665.06,1067.23,10106.69,20239.64,57.54,228.89,4.34,15.83,306.6,166.51,753.83,1226.94,1.46,295.02,776.78,17908.73,30.71,19012.7,20239.64,79.28,378.28,0.0,275.84,0.0,1.46,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,938.96,938.96,4384.08,4384.08,18.18,5341.22,0.0,6932.12,593.47,602.63,8128.22,10432.82,728.84,671.71,11833.36,25302.8,233.13,77.78,11.17,12.49,334.57,275.13,929.0,1538.7,1.46,234.62,676.03,22811.65,40.34,23764.1,25302.8,195.96,483.24,0.0,385.17,0.0,1.46,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,940.53,940.53,5321.0,5321.0,40.5,6302.03,0.0,7231.26,637.58,542.22,8411.06,10836.78,760.15,702.84,12299.77,27012.86,218.44,89.66,0.49,9.58,318.17,395.09,886.31,1599.57,957.56,56.82,718.1,23459.14,221.67,25413.29,27012.86,215.36,313.54,0.0,292.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,943.18,943.18,6809.52,6809.52,0.0,7752.7,0.0,0.0,735.52,477.39,1212.91,22982.46,1127.67,1572.69,25682.82,34648.43,323.05,116.41,0.49,13.75,453.7,218.53,1003.58,1675.81,1297.19,168.47,1106.39,30187.25,213.32,32972.62,34648.43,75.93,446.39,0.0,462.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,946.07,946.07,8883.99,8883.99,0.0,9830.06,0.0,7966.75,876.5,637.99,9481.24,23142.86,1405.96,1685.44,26234.26,45545.56,447.54,103.42,6.06,16.63,573.65,246.67,1311.45,2131.77,2139.69,142.16,1354.47,39360.98,416.49,43413.79,45545.56,105.9,607.48,0.0,792.92,0.0,2139.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,950.97,950.97,11133.02,11133.02,0.0,12083.99,0.04,7897.87,1086.69,635.63,9620.19,31993.21,1528.63,2945.17,36467.01,58171.23,438.31,103.79,0.1,22.21,564.41,354.61,1351.4,2270.42,3519.13,243.08,2729.62,49078.95,330.03,55900.81,58171.23,90.13,687.94,0.0,746.52,0.0,3519.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,951.36,951.36,12830.36,12830.36,0.0,13781.72,0.0,0.0,1167.1,676.7,1843.8,44946.61,1604.69,3368.98,49920.28,65545.8,236.74,93.37,0.15,0.0,330.26,442.78,1351.0,2124.04,6235.1,235.5,2738.19,53934.62,278.35,63421.76,65545.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
