Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,201.84,0.06,201.9,120.38,33.43,2.08,104.33,4.8,15.63,-78.75,4.98,-73.77,23.8,-97.57,0.0,-97.57,-97.57,0.0,0.0,-97.57,288.0,-3.39,-3.39,2.02,7.02,26.78,100.0,92.98
2012-12-31,206.29,0.06,206.35,151.78,9.46,-0.04,102.36,4.99,16.34,-78.54,3.98,-74.56,14.22,-88.78,-0.1,-88.88,-88.88,0.0,0.0,-88.88,288.0,-3.09,-3.09,2.02,7.02,26.78,100.0,92.98
2013-03-31,300.29,0.73,301.02,212.3,11.21,7.07,91.58,3.45,33.7,-58.29,20.93,-37.36,30.89,-68.25,47.85,-20.4,-20.4,0.0,130.0,109.6,288.0,3.81,3.81,2.02,7.02,26.78,100.0,92.98
2013-06-30,117.73,0.11,117.84,81.06,17.1,3.3,100.63,4.52,15.61,-104.38,7.14,-97.24,24.28,-121.52,0.0,-121.52,-121.52,0.0,0.0,-121.52,288.0,-4.45,-4.45,2.02,7.02,26.78,100.0,92.98
2013-09-30,158.29,0.16,158.45,64.78,51.8,-3.14,100.83,4.51,15.66,-75.99,5.75,-70.24,28.82,-99.06,0.0,-99.06,-99.06,0.0,0.0,-99.06,288.0,-3.67,-3.67,2.88,10.0,25.92,100.0,90.0
2013-12-31,154.66,0.26,154.92,58.28,55.49,-1.73,93.81,4.22,17.57,-72.72,5.5,-67.22,33.51,-100.73,0.0,-100.73,-100.73,0.0,0.0,-100.73,288.0,-3.73,-3.73,2.88,10.0,25.92,100.0,90.0
2014-03-31,274.78,2.73,277.51,256.65,-66.68,3.55,42.05,3.97,44.17,-6.2,18.67,12.47,37.47,-25.0,2.05,-22.95,-22.95,0.0,0.0,-22.95,288.0,-1.03,-1.03,2.88,10.0,25.92,100.0,90.0
2014-06-30,96.96,0.02,96.98,48.23,10.85,1.79,91.22,4.28,14.4,-73.79,5.3,-68.49,35.16,-103.65,0.0,-103.65,-103.65,0.0,0.0,-103.65,288.0,-3.83,-3.83,2.88,10.0,25.92,100.0,90.0
2014-09-30,123.77,0.3,124.07,62.49,33.03,0.51,90.91,4.33,15.05,-82.25,9.93,-72.32,37.91,-110.23,0.0,-110.23,-110.23,0.0,0.0,-110.23,288.0,-4.06,-4.06,2.88,10.0,25.92,100.0,90.0
2014-12-31,160.46,0.0,160.46,103.74,12.02,2.43,77.28,4.23,15.11,-54.35,8.32,-46.03,39.52,-85.55,0.0,-85.55,-85.55,0.0,0.0,-85.55,288.0,-3.21,-3.21,2.88,10.0,25.92,100.0,90.0
2015-03-31,191.99,0.83,192.82,42.45,86.16,-2.67,61.78,2.48,17.9,-15.28,61.37,46.09,44.66,1.43,0.0,1.43,1.43,0.87,0.0,2.3,288.0,0.16,0.16,2.88,10.0,25.92,100.0,90.0
2015-06-30,125.5,0.04,125.54,55.8,49.93,2.2,79.65,3.79,13.35,-79.18,45.28,-33.9,37.87,-71.77,0.0,-71.77,-71.77,0.0,112.5,40.73,288.0,1.18,1.18,2.88,10.0,25.92,100.0,90.0
2015-09-30,329.84,0.23,330.07,169.45,91.6,3.93,75.94,3.79,14.87,-29.51,36.69,7.18,41.04,-33.86,0.0,-33.86,-33.86,0.0,0.0,-33.86,288.0,-1.41,-1.41,2.88,10.0,25.92,100.0,90.0
2015-12-31,258.72,0.28,259.0,138.73,71.36,0.37,76.19,3.79,18.4,-49.84,96.2,46.36,39.25,7.11,0.0,7.11,7.11,0.0,0.0,7.11,288.0,0.01,0.01,2.88,10.0,25.92,100.0,90.0
2016-03-31,475.28,0.56,475.84,181.68,229.08,-6.06,83.35,1.53,12.99,-26.73,306.3,279.57,38.99,240.58,0.0,240.58,240.58,-3.36,0.0,237.22,288.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,325.39,0.51,325.9,108.79,163.82,2.56,71.69,2.98,13.85,-37.79,31.02,-6.77,37.03,-43.8,0.0,-43.8,-43.8,0.0,55.04,11.24,288.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2016-09-30,281.54,0.04,281.58,178.14,52.64,-2.89,74.08,4.09,15.55,-40.03,173.38,133.35,36.72,96.63,0.0,96.63,96.63,0.0,93.96,190.59,480.0,5.22,5.22,0.0,0.0,0.0,0.0,0.0
2016-12-31,221.06,0.19,221.25,137.21,27.93,0.37,64.31,3.33,16.34,-28.24,-1.19,-29.43,34.97,-64.4,0.0,-64.4,-64.4,-1.24,0.0,-65.64,480.0,-1.51,-1.51,0.0,0.0,0.0,0.0,0.0
2017-03-31,700.13,0.0,700.13,310.52,267.8,-17.67,52.06,6.54,56.91,23.97,171.92,195.89,43.9,151.99,0.0,151.99,151.99,1.0,15.71,168.7,560.0,3.11,3.11,0.0,0.0,0.0,0.0,0.0
2017-06-30,175.39,0.0,175.39,100.53,23.81,0.21,62.03,4.56,27.3,-43.05,83.05,40.0,39.63,0.37,0.0,0.37,0.37,0.0,0.0,0.37,560.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0
2017-09-30,240.88,0.0,240.88,109.11,3.48,24.89,65.62,5.23,15.33,17.22,66.03,83.25,37.14,46.11,0.0,46.11,46.11,0.0,0.0,46.11,660.0,0.68,0.68,0.0,0.0,0.0,0.0,0.0
2017-12-31,250.97,0.0,250.97,170.51,12.89,-10.78,49.75,5.15,16.1,7.35,106.08,113.43,37.19,76.24,0.0,76.24,76.24,0.0,0.0,76.24,660.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0
2018-03-31,789.91,0.0,789.91,459.37,191.8,-2.55,48.1,9.91,26.28,57.0,90.29,147.29,39.45,107.84,0.0,107.84,107.84,0.0,0.0,107.84,760.0,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2018-06-30,188.61,0.0,188.61,144.76,3.5,5.79,53.31,7.14,67.62,-93.51,125.44,31.93,29.24,2.69,0.0,2.69,2.69,0.0,0.0,2.69,897.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0
2018-09-30,283.62,0.0,283.62,150.54,64.55,-3.6,50.89,8.2,98.23,-85.19,124.62,39.43,31.87,7.56,0.0,7.56,7.56,0.0,0.0,7.56,897.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0
2018-12-31,563.23,0.0,563.23,289.78,223.77,1.41,54.16,8.84,13.42,-28.15,72.57,44.42,30.84,13.58,0.0,13.58,13.58,0.0,0.0,13.58,897.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2019-03-31,632.91,0.0,632.91,482.57,29.82,-14.89,45.86,12.91,7.24,69.4,13.85,83.25,14.52,68.73,0.0,68.73,68.73,0.0,0.0,68.73,897.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2019-06-30,160.95,0.0,160.95,105.23,23.62,-7.69,51.13,10.84,16.32,-38.5,9.65,-28.85,32.19,-61.04,0.0,-61.04,-61.04,0.0,0.0,-61.04,897.0,-0.71,-0.71,0.0,0.0,0.0,0.0,0.0
2019-09-30,419.5,0.0,419.5,222.06,53.41,17.27,61.27,10.0,22.31,33.18,10.77,43.95,36.76,7.19,0.0,7.19,7.19,0.0,0.0,7.19,897.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2019-12-31,827.95,0.0,827.95,681.15,26.03,-13.88,55.86,11.55,14.09,53.15,150.87,204.02,35.77,168.25,0.0,168.25,168.25,0.0,0.0,168.25,897.0,1.79,1.79,0.0,0.0,0.0,0.0,0.0
2020-03-31,650.48,0.0,650.48,194.11,315.63,-35.99,62.56,9.49,44.71,59.97,12.43,72.4,35.94,36.46,0.0,36.46,36.46,0.0,0.0,36.46,925.12,0.41,0.41,0.0,0.0,0.0,0.0,0.0
2020-06-30,165.01,0.0,165.01,86.14,48.56,0.38,57.36,10.52,32.42,-70.37,8.82,-61.55,40.74,-102.29,0.0,-102.29,-102.29,0.0,0.0,-102.29,925.12,-1.11,-1.11,0.0,0.0,0.0,0.0,0.0
2020-09-30,433.97,0.0,433.97,317.48,70.03,-17.27,110.89,11.45,30.36,-88.97,77.66,-11.31,44.73,-56.04,0.0,-56.04,-56.04,0.0,0.0,-56.04,925.12,-0.61,-0.61,0.0,0.0,0.0,0.0,0.0
2020-12-31,496.88,0.0,496.88,421.68,24.17,-21.43,50.36,10.83,12.69,-1.42,10.16,8.74,40.5,-31.76,0.0,-31.76,-31.76,0.0,0.0,-31.76,925.12,-0.34,-0.34,0.0,0.0,0.0,0.0,0.0
2021-03-31,1266.32,0.0,1266.32,822.68,127.38,29.77,71.83,9.04,35.44,170.18,64.74,234.92,33.63,201.29,0.0,201.29,201.29,0.0,0.0,201.29,933.52,2.17,2.17,0.0,0.0,0.0,0.0,0.0
2021-06-30,229.42,0.0,229.42,47.14,149.34,3.98,57.15,10.61,16.06,-54.86,12.0,-42.86,45.09,-87.94,0.0,-87.94,-87.94,0.0,0.0,-87.94,933.52,-0.94,-0.94,0.0,0.0,0.0,0.0,0.0
2021-09-30,352.49,0.0,352.49,115.58,169.55,-7.62,54.92,14.53,26.7,-21.17,10.34,-10.83,44.95,-55.78,0.0,-55.78,-55.78,0.0,0.0,-55.78,933.52,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0
2021-12-31,137.32,0.0,137.32,65.83,33.09,4.76,55.5,11.85,15.88,-49.59,6.7,-42.89,49.7,-92.59,0.0,-92.59,-92.59,0.0,0.0,-92.59,933.52,-0.99,-0.99,0.0,0.0,0.0,0.0,0.0
2022-03-31,1141.5,0.0,1141.5,605.82,268.19,-20.4,54.61,13.04,36.01,184.23,225.54,409.77,52.39,357.38,0.0,357.38,357.38,0.0,0.0,357.38,933.52,3.83,3.83,0.0,0.0,0.0,0.0,0.0
2022-06-30,166.28,0.0,166.28,216.25,16.77,-83.28,50.21,11.96,30.22,-75.85,21.98,-53.87,45.6,-99.47,0.0,-99.47,-99.47,0.0,0.0,-99.47,941.84,-1.06,-1.06,0.0,0.0,0.0,0.0,0.0
2022-09-30,197.55,0.0,197.55,44.07,67.62,55.75,51.05,11.87,27.85,-60.66,10.46,-50.21,50.13,-100.34,0.0,-100.34,-100.34,0.0,0.0,-100.34,949.58,-1.07,-1.07,0.0,0.0,0.0,0.0,0.0
2022-12-31,256.35,0.0,256.35,179.12,19.18,6.52,55.52,12.24,30.69,-46.91,10.19,-36.73,50.68,-87.4,0.0,-87.4,-87.4,0.0,0.0,-87.4,949.58,-0.93,-0.93,0.0,0.0,0.0,0.0,0.0
