Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Government/Other Grants,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Preference Share Capital,"Stores, Spares And Loose Tools",Trade/Other Goods,Intangible Assets,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Current Investments
2004-03-31,88.0,388.0,0.0,-914.76,-914.76,-526.76,0.0,0.0,1081.64,0.0,0.0,1081.64,676.19,712.14,595.1,48.8,2032.23,2587.11,233.27,1.25,0.0,242.73,5.01,0.0,245.28,493.02,637.53,1189.15,39.95,227.46,0.0,2094.09,2587.11,67.29,410.21,9.21,0.55,3.02,5.34,5.01,300.0,0.0,0.0,8.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,288.0,588.0,0.0,-1138.72,-1138.72,-550.72,0.0,0.0,1323.75,0.0,0.0,1323.75,306.35,857.92,624.58,98.22,1887.07,2660.1,182.99,4.38,0.0,200.84,5.01,0.0,33.05,238.9,552.83,1420.22,177.41,270.74,0.0,2421.2,2660.1,118.16,693.75,36.99,17.2,6.52,0.0,5.01,300.0,0.0,0.0,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,288.0,588.0,2653.94,-1595.35,1058.59,1646.59,0.0,0.0,1209.01,0.0,0.0,1209.01,771.71,918.99,746.1,181.34,2618.14,5473.74,2849.82,4.98,0.0,2868.27,0.41,0.0,8.42,2877.1,412.23,1662.46,219.02,302.93,0.0,2596.64,5473.74,237.17,810.97,39.13,2.12,0.77,0.0,0.41,300.0,0.0,0.0,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,288.0,588.0,2526.83,-2036.93,489.9,1077.9,0.0,0.0,1106.51,0.0,0.0,1106.51,635.47,1007.75,1182.01,235.16,3060.39,5244.8,2697.47,2.16,0.0,2713.1,0.41,0.0,0.0,2713.51,425.48,1707.63,37.0,361.18,0.0,2531.29,5244.8,184.03,893.42,4.8,5.93,18.46,0.0,0.41,300.0,0.0,0.0,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,288.0,588.0,2498.72,-2400.5,98.22,686.22,0.0,0.0,1337.6,0.0,0.0,1337.6,893.17,783.37,1387.73,133.87,3198.14,5221.96,2656.3,1.29,0.0,2671.06,0.41,0.0,0.0,2671.47,370.61,1825.24,14.22,340.42,0.0,2550.49,5221.96,243.62,481.76,12.1,6.35,9.12,0.0,0.41,300.0,0.0,0.0,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,288.0,588.0,2472.72,-3064.78,-592.06,-4.06,0.0,0.0,1249.93,0.0,0.0,1249.93,893.99,1513.31,1777.09,232.82,4417.21,5663.08,2625.54,1.78,0.0,2640.79,0.41,0.0,0.0,2641.2,403.35,2268.17,19.03,331.33,0.0,3021.88,5663.08,177.55,637.86,11.75,34.97,0.25,0.0,0.41,300.0,0.0,0.0,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,288.0,588.0,2448.06,-1021.09,1426.97,2014.97,0.0,0.0,26.97,0.0,0.0,26.97,251.24,3429.37,2345.38,361.48,6387.47,8429.41,2578.34,1.33,0.0,2593.14,0.41,0.0,0.0,2593.55,284.22,4921.27,297.24,333.13,0.0,5835.86,8429.41,326.39,1637.89,0.55,1.42,0.03,0.0,0.41,300.0,0.0,0.0,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,288.0,588.0,2423.9,-1205.3,1218.61,1806.61,0.0,0.0,0.0,1225.46,127.23,1352.69,341.04,2617.18,1690.94,252.73,4901.9,8061.19,2541.41,6.83,0.0,2554.51,0.41,0.16,1501.7,4056.78,117.89,3477.13,93.69,315.25,0.46,4004.41,8061.19,488.68,781.06,6.89,0.72,0.0,0.0,0.41,300.0,4.24,12.52,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,288.0,588.0,2406.06,-1580.85,825.21,1413.21,0.0,0.0,0.0,1335.43,126.69,1462.12,483.0,1877.57,1707.94,288.94,4357.45,7232.78,2512.04,1.78,0.0,2518.52,0.41,0.16,1270.41,3789.5,112.62,2997.83,21.26,310.32,1.24,3443.27,7232.78,513.27,62.28,0.97,0.71,0.0,0.0,0.41,300.0,0.09,68.74,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,288.0,588.0,2390.18,-1805.77,584.41,1172.41,0.0,0.0,0.0,369.71,733.1,1102.81,605.82,2024.29,1773.56,328.73,4732.4,7007.62,2482.51,1.32,0.0,2486.97,0.41,1.92,2683.84,5173.13,104.91,1383.48,16.87,328.74,0.48,1834.49,7007.62,557.34,17.17,1.59,5.46,0.0,0.0,0.41,300.0,0.26,8.09,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
