Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,Trade/Other Goods
2004-03-31,7.24,7.24,23.4,23.4,30.64,8.09,0.0,0.0,10.36,0.0,0.0,30.67,0.0,30.67,71.66,14.5,0.0,0.0,0.0,14.5,8.13,0.0,0.0,0.01,22.64,0.0,24.95,12.32,3.71,5.36,2.68,49.02,71.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,6.75,6.75,26.89,26.89,33.64,17.65,0.0,0.0,20.16,0.0,0.0,24.14,0.0,24.14,77.94,27.23,0.0,0.0,0.0,27.23,5.47,0.0,0.0,0.01,32.7,0.0,1.09,19.29,11.2,5.57,8.1,45.24,77.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,20.25,20.25,27.16,27.16,47.41,55.5,0.0,0.0,62.29,0.0,0.0,50.32,0.0,50.32,160.02,42.48,0.0,1.88,0.0,44.36,30.71,0.0,0.0,0.0,75.08,0.0,6.79,33.09,9.78,16.25,19.04,84.95,160.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,20.25,20.25,45.88,45.88,66.13,91.9,0.0,0.0,98.1,20.06,49.98,21.13,13.21,104.38,268.6,101.39,0.0,0.27,0.0,101.67,31.55,0.0,0.0,0.0,133.21,0.0,4.93,42.15,12.39,63.65,12.27,135.39,268.6,83.76,0.0,0.0,3.41,0.0,0.0,0.0,31.55,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,28.12,28.12,198.13,198.13,226.25,134.48,0.0,0.0,141.04,29.07,85.46,73.59,26.01,214.12,581.41,178.63,0.0,0.9,0.0,179.53,113.63,0.0,0.0,8.1,301.25,0.0,15.94,59.84,36.59,157.32,10.48,280.16,581.41,552.34,0.0,0.0,7.11,0.0,13.5,51.38,53.12,0.0,0.0,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,28.12,28.12,235.2,235.2,263.33,87.77,0.0,0.0,94.89,48.21,91.73,135.85,43.94,319.73,677.95,206.66,0.0,2.55,0.0,209.21,110.51,0.0,0.0,7.13,326.84,0.0,18.55,128.44,43.22,152.56,8.34,351.11,677.95,566.69,0.0,8.32,0.04,0.0,13.5,40.65,24.34,0.0,0.0,7.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,28.12,28.12,278.9,278.9,307.03,17.15,0.0,0.0,24.04,57.09,154.69,195.89,71.65,479.31,810.38,209.95,0.0,10.53,0.0,220.49,65.07,0.0,0.0,6.24,291.79,0.0,13.68,190.08,39.13,237.21,38.5,518.59,810.38,531.03,0.0,1.58,2.15,352.8,13.5,0.13,64.97,0.0,0.0,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,28.12,28.12,329.19,329.19,357.31,4.75,101.22,1.2,109.91,59.47,100.94,128.74,64.48,353.62,820.85,281.16,0.06,10.62,0.0,291.83,27.83,0.0,62.45,5.94,388.06,40.75,22.09,140.51,38.11,110.04,81.29,432.79,820.85,557.04,0.0,0.0,15.4,1502.86,13.5,0.22,27.68,0.0,40.75,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,28.12,28.12,378.69,378.69,406.81,3.36,67.02,1.08,72.18,46.5,102.03,99.41,88.95,336.9,815.89,309.8,0.05,0.43,0.0,310.28,29.11,0.0,68.91,5.05,413.34,25.54,26.77,93.41,8.45,150.97,97.41,402.55,815.89,694.73,0.0,0.0,3.46,1121.44,13.5,0.19,28.96,0.0,25.54,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,28.12,28.12,427.53,427.53,455.66,3.65,136.81,1.09,141.55,63.56,106.28,78.81,108.2,356.85,954.05,290.1,0.04,3.86,0.0,293.99,30.13,3.6,64.18,57.65,449.56,18.19,29.73,121.29,7.22,233.74,94.34,504.49,954.05,644.57,0.0,0.0,13.68,577.82,13.5,0.17,29.98,0.0,18.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
