Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,138.5,0.54,139.04,43.68,7.46,14.23,0.0,60.08,13.6,0.63,14.23,2.07,12.16,0.0,12.16,1.51,10.65,0.0,10.65,28.12,3.79,3.79,0.73,25.99,2.02,96.93,71.73
2012-12-31,164.03,0.97,164.99,52.75,7.17,14.1,0.0,76.65,14.32,4.36,18.68,2.75,15.93,0.0,15.93,3.41,12.53,0.0,12.53,28.12,4.45,4.45,0.73,25.99,2.02,96.93,71.73
2013-03-31,227.52,2.42,229.94,61.09,7.86,14.0,0.0,126.33,20.66,4.79,25.45,3.66,21.79,0.0,21.79,4.14,17.65,0.0,17.65,28.12,6.28,6.28,0.73,25.99,2.02,96.93,71.73
2013-06-30,206.69,0.96,207.65,73.01,8.34,14.31,0.0,97.61,14.37,1.77,16.13,3.76,12.38,0.0,12.38,1.28,11.1,0.0,11.1,28.12,3.95,3.95,0.73,25.99,2.08,100.0,74.01
2013-09-30,157.0,0.84,157.85,63.76,9.07,14.44,0.0,59.46,11.12,1.24,12.36,4.43,7.93,0.0,7.93,-0.48,8.41,0.0,8.41,28.12,2.99,2.99,0.73,25.99,2.08,100.0,74.01
2013-12-31,207.78,1.09,208.87,63.66,8.63,14.38,0.0,102.24,19.95,1.88,21.83,3.09,18.75,0.0,18.75,5.28,13.46,0.0,13.46,28.12,4.79,4.79,0.73,25.99,2.08,100.0,74.01
2014-03-31,265.56,-5.12,260.44,90.2,8.9,14.1,0.0,124.12,23.13,10.62,33.75,5.92,27.83,0.0,27.83,-0.18,28.01,0.0,28.01,28.12,9.96,9.96,0.73,25.99,2.08,100.0,74.01
2014-06-30,236.44,0.04,236.48,93.43,8.53,15.36,0.0,103.47,15.69,2.85,18.55,2.97,15.57,0.0,15.57,-4.22,19.8,0.0,19.8,28.12,7.04,7.04,0.84,29.86,1.97,100.0,70.14
2014-09-30,170.21,0.21,170.42,58.15,8.89,13.23,0.0,73.02,17.13,2.2,19.33,3.23,16.09,0.0,16.09,2.14,13.95,0.0,13.95,28.12,4.96,4.96,0.92,32.71,1.89,100.0,67.29
2014-12-31,213.16,0.4,213.56,88.4,9.63,12.89,0.0,85.51,17.13,2.01,19.14,2.86,16.28,0.0,16.28,1.4,14.88,0.0,14.88,28.12,5.29,5.29,0.92,32.71,1.89,100.0,67.29
