Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,16119.67,231.66,16351.33,0.0,0.0,9932.66,896.45,786.52,1066.29,3669.41,816.55,4485.96,303.46,4182.5,0.0,4182.5,1040.15,3142.35,0.0,0.0,3142.35,8245.46,3.81,3.81,127.81,15.5,696.74,100.0,84.5
2012-12-31,15774.91,32.65,15807.56,0.0,0.0,10098.18,691.64,828.76,989.87,3199.11,721.99,3921.1,530.38,3390.72,0.0,3390.72,793.96,2596.76,0.0,0.0,2596.76,8245.46,3.15,3.15,127.81,15.5,696.74,100.0,84.5
2013-03-31,16461.84,887.25,17349.09,0.0,0.0,10389.69,981.36,1021.26,1184.34,3772.44,884.1,4656.54,591.17,4065.37,1684.11,5749.48,1367.87,4381.61,0.0,0.0,4381.61,8245.46,5.31,5.31,206.14,25.0,618.41,100.0,75.0
2013-06-30,15612.89,48.96,15661.85,0.0,0.0,9425.83,942.5,942.33,979.28,3371.91,696.93,4068.84,617.41,3451.43,0.0,3451.43,924.41,2527.02,0.0,0.0,2527.02,8245.46,3.06,3.06,206.14,25.0,618.41,100.0,75.0
2013-09-30,16272.27,143.17,16415.44,0.0,0.0,10139.25,837.95,967.94,1186.3,3284.0,643.97,3927.97,620.46,3307.51,0.0,3307.51,814.61,2492.9,0.0,0.0,2492.9,8245.46,3.03,3.03,206.14,25.0,618.41,100.0,75.0
2013-12-31,18779.39,25.73,18805.12,0.0,0.0,11830.52,1179.65,1024.28,1139.14,3631.53,748.95,4380.48,601.03,3779.45,0.0,3779.45,918.17,2861.28,0.0,0.0,2861.28,8245.46,3.47,3.47,206.14,25.0,618.41,100.0,75.0
2014-03-31,20938.08,100.75,21038.83,0.0,0.0,14434.11,894.65,1207.64,1167.52,3334.91,599.04,3933.95,567.69,3366.26,0.0,3366.26,272.72,3093.54,0.0,0.0,3093.54,8245.46,3.75,3.75,206.14,25.0,618.41,100.0,75.0
2014-06-30,18086.47,250.28,18336.75,0.0,0.0,12765.13,934.24,1115.47,1118.75,2403.16,548.39,2951.55,667.91,2283.64,0.0,2283.64,82.44,2201.2,0.0,0.0,2201.2,8245.46,2.67,2.67,206.48,25.04,618.06,100.0,74.96
2014-09-30,16582.36,154.27,16736.63,0.0,0.0,11439.33,918.01,1151.58,1136.96,2090.75,530.69,2621.44,667.41,1954.03,0.0,1954.03,-117.6,2071.63,0.0,0.0,2071.63,8245.46,2.51,2.51,206.48,25.04,618.06,100.0,74.96
2014-12-31,18738.98,119.11,18858.09,0.0,0.0,12119.63,901.36,1253.41,1177.38,3406.31,481.28,3887.59,700.81,3186.78,0.0,3186.78,112.78,3074.0,0.0,0.0,3074.0,8245.46,3.73,3.73,206.48,25.04,618.06,100.0,74.96
2015-03-31,19229.94,84.64,19314.58,0.0,0.0,12521.1,932.0,1391.19,1212.39,3257.9,571.79,3829.69,707.49,3122.2,0.0,3122.2,178.17,2944.03,0.0,0.0,2944.03,8245.46,3.57,3.57,206.48,25.04,618.06,100.0,74.96
2015-06-30,17010.35,82.63,17092.98,0.0,0.0,11509.14,891.12,1186.3,1161.37,2345.05,240.93,2585.98,751.49,1834.49,0.0,1834.49,-421.89,2256.38,0.0,20.12,2276.5,8245.46,2.76,2.76,0.0,0.0,0.0,0.0,0.0
2015-09-30,17748.23,191.73,17939.96,0.0,0.0,11540.83,899.18,1288.72,1384.57,2826.66,278.2,3104.86,826.52,2278.34,0.0,2278.34,-726.55,3004.89,0.0,34.34,3039.23,8245.46,3.69,3.69,0.0,0.0,0.0,0.0,0.0
2015-12-31,17358.98,126.74,17485.72,0.0,0.0,10580.28,868.42,1371.63,1233.38,3432.01,238.96,3670.97,842.43,2828.54,0.0,2828.54,121.34,2707.2,0.0,-38.43,2668.77,8245.46,3.23,3.23,0.0,0.0,0.0,0.0,0.0
2016-03-31,18325.15,0.0,18325.15,0.0,0.0,10168.34,912.99,1325.69,1797.17,4120.96,407.26,4528.22,875.97,3652.25,0.0,3652.25,855.62,2796.63,0.0,-3.94,2792.69,8245.46,3.39,3.39,0.0,0.0,0.0,0.0,0.0
2016-06-30,18939.81,123.1,19062.91,0.0,0.0,11632.37,958.86,1395.19,1261.14,3815.35,157.89,3973.24,900.42,3072.82,0.0,3072.82,706.6,2366.22,0.0,3.31,2369.53,8245.46,2.87,2.87,0.0,0.0,0.0,0.0,0.0
2016-09-30,19241.47,156.47,19397.94,0.0,0.0,11912.97,848.31,1434.15,1240.85,3961.66,190.62,4152.28,889.83,3262.45,0.0,3262.45,762.05,2500.4,0.0,-4.43,2495.97,8245.46,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2016-12-31,19395.92,0.0,19395.92,0.0,0.0,12080.43,843.0,1485.31,1220.58,3766.6,250.17,4016.77,909.03,3107.74,0.0,3107.74,613.28,2494.46,0.0,-25.2,2469.26,8245.46,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,20416.67,0.0,20416.67,0.0,0.0,11946.42,1637.69,1606.17,1369.81,3856.58,470.18,4326.76,897.92,3428.84,-782.95,2645.89,928.55,1717.34,0.0,362.06,2079.4,8245.46,2.52,2.52,0.0,0.0,0.0,0.0,0.0
2017-06-30,19879.32,0.0,19879.32,0.0,137.57,11940.11,1071.21,1570.0,1690.33,3470.1,662.61,4132.71,895.6,3237.11,0.0,3237.11,847.21,2389.9,0.0,228.27,2618.17,8245.46,3.18,3.18,0.0,0.0,0.0,0.0,0.0
2017-09-30,19698.75,0.0,19698.75,0.0,261.26,11398.8,1000.99,1712.68,1597.46,3727.56,261.6,3989.16,919.47,3069.69,0.0,3069.69,784.17,2285.52,0.0,153.08,2438.6,8245.46,2.95,2.95,0.0,0.0,0.0,0.0,0.0
2017-12-31,20774.37,0.0,20774.37,0.0,386.05,12406.89,1294.26,1881.37,1410.17,3395.63,313.47,3709.1,1065.01,2644.09,0.0,2644.09,223.97,2420.12,0.0,-59.31,2360.81,8245.46,2.86,2.86,0.0,0.0,0.0,0.0,0.0
2018-03-31,23100.26,0.0,23100.26,0.0,528.63,12569.67,1368.21,1934.81,2723.77,3975.17,517.57,4492.74,1104.17,3388.57,0.0,3388.57,762.67,2625.9,0.0,299.69,2925.59,8245.46,3.18,3.18,0.0,0.0,0.0,0.0,0.0
2018-06-30,22703.6,0.0,22703.6,0.0,680.83,13118.74,1241.89,1860.15,1707.31,4094.68,136.38,4231.06,1219.93,3011.13,0.0,3011.13,583.1,2428.03,0.0,160.11,2588.14,8245.46,3.14,3.14,0.0,0.0,0.0,0.0,0.0
2018-09-30,22261.08,0.0,22261.08,0.0,613.12,12872.48,1185.55,1888.45,1997.57,3703.91,224.88,3928.79,1294.11,2634.68,0.0,2634.68,578.57,2056.11,0.0,369.91,2426.02,8245.46,2.94,2.5,0.0,0.0,0.0,0.0,0.0
2018-12-31,24120.36,0.0,24120.36,0.0,710.15,14511.85,1146.37,2001.01,1172.09,4578.89,187.65,4766.54,1277.0,3489.54,462.53,3952.07,1566.66,2385.41,0.0,0.0,2385.41,8245.46,2.41,2.41,0.0,0.0,0.0,0.0,0.0
2019-03-31,21222.39,0.0,21222.39,0.0,709.58,11990.67,1206.08,1504.75,2671.66,3139.65,1323.22,4462.87,925.7,3537.17,0.0,3537.17,-7189.08,10726.25,0.0,-6375.93,4350.32,9894.56,4.4,10.84,0.0,0.0,0.0,0.0,0.0
2019-06-30,24192.59,0.0,24192.59,784.48,0.0,13874.33,1195.81,2050.95,1885.59,4401.43,326.22,4727.65,1565.26,3162.39,510.61,3673.0,1070.21,2602.79,0.0,0.0,2602.79,9894.56,2.63,2.63,0.0,0.0,0.0,0.0,0.0
2019-09-30,22764.57,0.0,22764.57,12912.21,0.0,0.0,1137.15,2123.14,2369.02,4223.05,893.66,5116.71,1618.99,3497.72,867.75,4365.47,1103.03,3262.44,0.0,0.0,3262.44,9894.56,3.3,3.3,0.0,0.0,0.0,0.0,0.0
2019-12-31,23496.35,0.0,23496.35,593.42,0.0,12466.87,1164.74,2319.81,2294.93,4656.58,526.27,5182.85,1760.81,3422.04,1598.16,5020.2,2025.06,2995.14,0.0,0.0,2995.14,9894.56,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2020-03-31,27246.88,0.0,27246.88,14988.41,0.0,0.0,1427.9,2128.95,3512.81,5188.81,1031.87,6220.68,1836.91,4383.77,1852.32,6236.09,4983.65,1252.44,0.0,0.0,1252.44,9894.56,1.27,1.27,0.0,0.0,0.0,0.0,0.0
2020-06-30,23453.46,0.0,23453.46,11508.18,0.0,0.0,1287.77,2529.74,2912.49,5215.28,567.54,5782.82,2082.52,3700.3,0.03,3700.33,1230.17,2470.16,0.0,0.0,2470.16,9894.56,2.5,2.5,0.0,0.0,0.0,0.0,0.0
2020-09-30,24677.14,0.0,24677.14,13038.53,0.0,0.0,1346.46,2529.42,3108.75,4653.98,1346.19,6000.17,1772.81,4227.36,-560.43,3666.93,509.01,3157.92,346.88,0.0,3504.8,9894.56,3.54,3.19,0.0,0.0,0.0,0.0,0.0
2020-12-31,24509.26,0.0,24509.26,12690.87,0.0,673.87,1286.49,2555.42,2490.96,4811.65,759.3,5570.95,2009.36,3561.59,922.39,4483.98,1168.64,3315.34,0.0,0.0,3315.34,9696.67,3.35,2.42,0.0,0.0,0.0,0.0,0.0
2021-03-31,26566.86,0.0,26566.86,15612.06,0.0,0.0,1021.47,2797.22,3425.52,3710.59,1672.96,5383.55,1594.34,3789.21,-292.42,3496.79,-982.43,4479.22,0.0,0.0,4479.22,9696.67,4.62,4.62,0.0,0.0,0.0,0.0,0.0
2021-06-30,26038.51,0.0,26038.51,14042.49,0.0,0.0,1257.78,2675.36,3299.31,4763.57,763.74,5527.31,1988.55,3538.76,787.38,4326.14,1180.51,3145.63,0.0,0.0,3145.63,9696.67,3.24,3.24,0.0,0.0,0.0,0.0,0.0
2021-09-30,28329.01,0.0,28329.01,16644.37,0.0,0.0,1334.34,2721.5,3125.95,4502.85,943.99,5446.84,1716.34,3730.5,441.94,4172.44,960.53,3211.91,0.0,0.0,3211.91,9696.67,3.31,2.86,0.0,0.0,0.0,0.0,0.0
2021-12-31,28864.79,0.0,28864.79,15631.96,0.0,0.0,1326.49,2891.38,2844.48,6170.48,972.34,7142.82,1733.81,5409.01,-57.06,5351.95,1219.96,4131.99,0.0,0.0,4131.99,9696.67,4.26,4.26,0.0,0.0,0.0,0.0,0.0
2022-03-31,32905.02,0.0,32905.02,17844.86,0.0,0.0,1370.9,2945.9,3568.7,7174.66,1225.03,8399.69,1912.21,6487.48,139.8,6627.28,1005.39,5621.89,0.0,0.0,5621.89,9696.67,5.8,5.8,0.0,0.0,0.0,0.0,0.0
2022-06-30,38349.79,0.0,38349.79,24781.97,0.0,0.0,1295.82,2911.41,3189.67,6170.92,852.95,7023.87,1933.08,5090.79,-82.98,5007.81,1331.38,3676.43,0.0,0.0,3676.43,9696.67,3.79,3.79,0.0,0.0,0.0,0.0,0.0
2022-09-30,41015.14,0.0,41015.14,26401.89,0.0,0.0,1207.36,3287.15,3884.25,6234.49,795.82,7030.31,2737.09,4293.22,812.11,5105.33,1774.13,3331.2,0.0,0.0,3331.2,9696.67,3.44,3.44,0.0,0.0,0.0,0.0,0.0
2022-12-31,41410.52,0.0,41410.52,20996.8,0.0,0.0,1497.83,3312.12,5676.7,9927.07,738.34,10665.41,2874.44,7790.97,-1733.49,6057.48,1581.23,4476.25,0.0,0.0,4476.25,9696.67,4.62,4.62,0.0,0.0,0.0,0.0,0.0
2023-03-31,41317.86,0.0,41317.86,0.0,1013.42,23773.12,1524.38,3393.29,3897.43,7716.22,1721.06,9437.28,2581.66,6855.62,360.23,7215.85,1543.53,5672.32,0.0,0.0,5672.32,9696.67,5.85,5.85,0.0,0.0,0.0,0.0,0.0
2023-06-30,39122.25,0.0,39122.25,0.0,1012.59,22850.27,1357.62,3260.34,2532.38,8109.05,558.44,8667.49,2514.94,6152.55,-432.4,5720.15,1654.11,4066.04,0.0,0.0,4066.04,9696.67,4.19,4.19,0.0,0.0,0.0,0.0,0.0
2023-09-30,40875.32,0.0,40875.32,0.0,983.76,24577.73,1297.35,3464.18,3479.0,7073.3,642.55,7715.85,2464.72,5251.13,75.34,5326.47,1441.46,3885.01,0.0,0.0,3885.01,9696.67,4.01,4.01,0.0,0.0,0.0,0.0,0.0
2023-12-31,39455.28,0.0,39455.28,0.0,911.39,22606.72,1380.35,3490.69,4615.76,6450.37,832.53,7282.9,2783.12,4499.78,1466.41,5966.19,1394.28,4571.91,0.0,0.0,4571.91,9696.67,4.71,4.71,0.0,0.0,0.0,0.0,0.0
