Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Capital Goods,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Raw Materials,Government/Other Grants,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,7812.5,7812.5,28116.0,28116.0,35928.5,15452.8,940.9,0.0,0.0,16393.7,0.0,1278.1,5246.3,1724.5,8248.9,60730.2,21155.2,4.9,7589.7,0.0,0.0,28749.8,17338.0,0.0,0.0,47028.6,0.0,1738.0,469.9,609.1,10832.6,52.0,13701.6,60730.2,8746.5,37.2,1333.4,0.3,0.0,19.2,17318.8,0.0,0.0,88.6,159.1,940.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,8245.5,8245.5,33530.8,33530.8,41776.3,17087.8,654.0,0.0,0.0,17741.8,0.0,1160.2,4070.4,2676.7,7907.3,67762.8,22195.3,9.4,10038.6,0.0,0.0,32243.3,20797.7,0.0,0.0,53694.9,0.0,1777.7,1374.7,6078.3,4743.5,93.7,14067.9,67762.8,16680.0,82.2,1406.7,0.5,0.0,3524.9,17684.9,0.0,0.0,63.0,337.4,653.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,8245.5,8245.5,36713.2,36713.2,44958.7,20197.3,0.1,0.0,0.0,20197.4,0.0,2436.5,2473.7,3740.3,8650.5,74247.4,22953.1,14.4,13756.0,0.0,0.0,36723.5,19289.1,0.0,0.0,56012.6,0.0,2340.5,867.8,8471.4,6555.1,0.0,18234.8,74247.4,16429.8,638.0,447.7,0.7,0.0,951.6,18409.6,0.0,0.0,51.8,440.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,8245.5,8245.5,40351.3,40351.3,48596.8,24484.4,0.1,0.0,0.0,24484.5,0.0,1662.5,3759.6,5280.3,10702.4,84440.4,25505.7,19.3,16962.3,0.0,0.0,42487.3,16094.3,0.0,0.0,58581.6,0.0,2510.2,1252.3,13314.6,8781.7,0.0,25858.8,84440.4,25218.8,735.8,341.5,1.0,0.0,316.4,18008.2,0.0,0.0,69.4,656.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,8245.5,8245.5,46021.9,46021.9,54267.4,27190.6,0.1,0.0,0.0,27190.7,0.0,1610.8,3937.5,7360.6,12908.9,94367.0,26041.5,52.2,22478.3,0.0,0.0,48572.0,15267.2,0.0,0.0,63839.2,0.0,2675.7,2982.7,14933.2,9936.2,0.0,30527.8,94367.0,29361.8,1180.2,402.8,3.5,0.0,304.3,15453.1,0.0,0.0,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,8245.5,8245.5,50749.4,50749.4,58994.9,34567.8,0.1,0.0,0.0,34567.9,0.0,2840.2,4598.9,3249.5,10688.6,104251.4,32858.7,79.0,26404.9,0.0,0.0,59342.6,13983.5,0.0,0.0,73326.1,0.0,3243.4,3584.2,16271.6,7825.0,1.1,30925.3,104251.4,66083.2,1038.6,469.2,3.6,0.0,275.5,13785.0,0.0,0.0,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,8245.5,8245.5,55478.6,55478.6,63724.1,37797.0,209.2,0.0,0.0,38006.2,0.0,2581.5,5106.1,3070.5,10758.1,112488.4,34474.6,100.4,32290.6,0.0,0.0,66865.6,14807.1,0.0,0.0,81672.7,0.0,3347.7,6651.4,14459.5,6355.0,2.1,30815.7,112488.4,40044.0,897.0,382.9,0.9,0.0,133.6,14795.1,0.0,0.0,139.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,8245.46,8245.46,59646.79,59646.79,67892.25,39735.68,602.95,2905.06,561.9,43805.59,0.0,4088.01,7762.5,2190.53,14041.04,125738.88,39029.07,206.89,35495.3,0.03,0.0,74731.29,10532.84,3901.96,459.15,89625.24,1812.0,3639.12,1434.96,16185.26,3777.86,9264.44,36113.64,125738.88,44055.8,965.31,532.44,1.12,0.0,100.92,10520.84,1812.0,98.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,8245.46,8245.46,65045.71,65045.71,73291.17,45908.27,636.9,3159.12,603.7,50307.99,0.0,4468.07,9554.95,3215.62,17238.64,140837.8,45046.47,211.89,41827.82,0.04,0.0,87086.22,9583.92,3883.26,1371.88,101925.28,1622.46,3702.85,5832.51,16146.11,2754.73,8853.86,38912.52,140837.8,53173.05,880.34,411.54,2.76,0.0,73.32,9571.92,1622.46,190.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,8245.46,8245.46,72142.05,72142.05,80387.51,53253.66,915.3,3210.04,739.92,58118.92,0.0,5158.77,10446.72,7004.54,22610.03,161116.46,62687.42,248.68,37109.42,0.0,0.0,100045.52,9137.64,9633.45,1132.77,119949.38,1622.46,4057.19,5365.49,16867.7,1745.53,11508.71,41167.08,161116.46,73660.54,1009.05,635.06,2.25,0.0,71.94,9125.64,1622.46,124.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
