Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,"Stores, Spares And Loose Tools",Deferred Tax Assets [Net],Raw Materials,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,3035.25,3035.25,5454.23,5454.23,8489.48,12661.71,182.31,0.0,0.0,12844.02,0.0,100.83,1737.1,364.58,2202.51,23574.82,14876.85,0.0,3883.04,0.0,0.0,18759.89,1851.13,0.0,39.0,20650.02,0.0,196.86,485.4,775.45,1453.47,13.62,2924.8,23574.82,2437.22,401.09,233.39,0.0,0.03,0.0,0.0,1851.13,0.0,0.0,0.0,0.0,0.0,0.0,19.36,38.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,3165.25,3165.25,5826.87,5826.87,8992.12,13448.37,240.35,0.0,0.0,13688.72,550.0,87.24,2142.19,344.61,3124.04,25843.69,16287.82,0.0,5032.49,0.0,0.0,21320.31,1882.42,0.0,29.69,23232.42,0.0,184.27,450.7,603.97,1369.41,2.92,2611.27,25843.69,5257.02,226.85,218.28,0.0,0.11,0.0,57.61,1870.42,0.0,0.0,0.0,0.0,0.0,0.0,10.46,38.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,3584.63,3584.63,6378.55,6378.55,9963.18,14476.13,327.74,0.0,0.0,14803.87,550.0,1044.04,2741.25,678.4,5013.69,29819.55,18507.21,0.0,6409.89,0.0,0.0,24917.1,2139.41,0.0,20.73,27095.47,0.0,180.24,325.6,589.05,1623.83,5.36,2724.08,29819.55,6207.85,152.89,249.53,0.0,0.26,0.0,70.92,2127.41,0.0,0.0,0.0,0.0,0.0,18.23,1.42,38.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,3787.41,3787.41,7138.66,7138.66,10926.07,18575.5,432.68,0.0,0.0,19008.18,750.0,1700.29,3502.67,833.37,6786.33,36759.39,21805.53,0.0,9450.93,0.0,0.0,31256.46,1967.0,0.0,12.86,33249.67,0.0,184.13,490.48,1196.82,1631.09,7.2,3509.72,36759.39,6909.61,337.01,325.44,0.0,0.45,0.0,71.46,1955.0,0.0,0.0,0.0,0.0,0.0,13.35,3.46,38.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,4208.84,4208.84,9545.33,9545.33,13754.17,21513.48,516.52,0.0,0.0,22030.0,750.0,985.15,4384.31,1352.59,7472.05,43256.22,27240.48,114.72,8758.09,0.0,0.0,36113.29,1736.22,0.0,7.19,37879.44,0.0,248.22,1100.5,1865.59,2162.11,0.36,5376.78,43256.22,5754.66,243.4,338.36,0.0,2.66,0.0,116.16,1724.22,0.0,0.0,0.0,0.0,0.0,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,4208.84,4208.84,9325.14,9325.14,13533.98,27715.43,568.6,0.0,0.0,28284.03,750.0,1072.88,7210.08,2189.82,11222.78,53040.79,30918.26,210.18,13286.0,0.0,0.0,44414.44,1592.83,0.0,5.5,46042.83,0.0,297.57,1373.56,2428.88,2893.56,4.39,6997.96,53040.79,22265.47,1126.16,364.22,0.0,1.01,0.0,83.94,1580.83,0.0,0.0,0.0,0.0,0.0,30.06,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,4208.84,4208.84,11585.08,11585.08,15793.92,33168.2,755.31,0.0,0.0,33923.51,1248.59,1060.62,8787.61,2458.29,13555.11,63272.54,31811.4,233.67,20438.37,0.0,0.0,52483.44,1453.22,0.0,3.56,53992.02,0.0,344.9,2214.86,3277.64,3375.6,67.52,9280.52,63272.54,27614.51,470.5,236.09,0.0,2.37,0.0,134.46,1441.22,0.0,0.0,0.0,0.0,0.0,51.8,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,4629.73,4629.73,16737.27,16737.27,21367.0,37215.84,1146.74,5162.41,316.64,43841.63,1450.0,196.66,6307.46,2558.82,10512.94,75721.57,36970.29,253.69,12864.63,99.05,10749.25,60936.91,1214.01,3615.33,0.0,65766.25,184.34,381.51,1114.0,3680.06,2037.28,2229.16,9626.35,75721.57,33983.32,1820.36,164.31,0.0,19.38,0.0,100.08,1202.01,0.0,184.34,0.0,328.97,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,4629.73,4629.73,18858.05,18858.05,23487.78,49119.19,1600.88,4208.0,421.49,55349.56,1650.0,200.78,8463.56,1056.67,11371.01,90208.35,47339.78,322.52,15499.89,73.61,12610.04,75845.84,1101.19,5614.76,0.0,82561.79,183.26,440.31,1497.49,2336.88,425.96,1445.99,6329.89,90208.35,0.0,2164.7,175.19,0.0,9.65,0.0,73.68,1089.19,0.0,183.26,0.0,1316.67,26.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,4629.73,4629.73,21609.74,21609.74,26239.47,63076.27,1959.16,4707.53,442.63,70185.59,2000.0,246.73,11693.46,768.31,14708.5,111133.56,60877.69,522.95,18921.3,193.62,15708.62,96224.18,964.24,5963.4,0.0,103151.82,183.26,551.53,1434.09,1661.97,595.03,1839.57,6265.45,111133.56,47462.01,1543.54,406.61,86.44,7.41,0.0,71.94,952.24,0.0,183.26,0.0,1716.29,5.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
