Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Intangible Assets,Capital Work-In-Progress,Non-Current Investments,Long Term Loans And Advances,Money Received Against Share Warrants,Equity Share Application Money,Short Term Borrowings,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,23.14,23.14,449.34,449.34,0.0,472.48,134.13,7.59,0.0,0.0,141.72,28.47,4.29,92.15,706.35,62.65,64.45,0.0,1.45,584.73,0.0,20.73,3.81,86.4,0.0,121.62,706.35,93.51,2.03,21.31,42.47,11.53,0.01,518.4,0.0,0.0,18.84,1.11,0.69,518.83,0.0,0.0,0.0,40.55,10.69,17.42,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,27.25,27.25,528.59,528.59,0.0,555.84,158.85,10.97,0.0,0.0,169.82,25.68,8.53,102.3,836.11,58.49,60.09,2.96,2.32,710.82,0.0,22.0,7.34,85.28,0.0,125.29,836.11,254.01,1.25,25.87,0.0,11.53,0.01,645.45,0.0,0.0,18.91,1.16,0.44,645.46,0.0,0.0,8.16,49.18,10.68,15.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,34.91,34.91,922.23,922.23,0.0,957.14,154.68,10.06,0.0,0.0,164.74,27.69,1.51,86.32,1210.63,53.78,62.94,4.81,0.25,1092.98,0.0,21.66,4.9,79.74,0.0,117.65,1210.63,311.53,1.22,20.42,0.0,11.53,0.01,1024.97,0.0,0.0,56.62,1.2,7.96,1024.98,0.0,0.0,2.44,0.5,11.35,19.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,35.98,35.98,967.27,967.27,0.0,1003.25,264.22,16.18,0.0,0.0,280.4,34.13,3.27,105.68,1389.34,165.85,171.4,5.13,6.33,1241.14,0.0,29.71,8.15,89.77,7.23,148.2,1389.34,262.85,1.84,30.81,0.0,11.53,0.02,1058.27,0.0,0.0,56.84,1.63,3.92,1058.28,0.0,0.0,0.0,11.44,13.34,35.26,0.0,77.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,44.35,44.35,1999.43,1999.43,0.0,2043.78,269.21,17.55,0.0,0.0,286.76,37.46,2.16,126.48,2457.02,172.22,179.29,5.55,2.71,2252.08,0.0,61.52,7.57,101.0,7.23,204.94,2457.02,261.44,2.08,62.74,0.0,11.53,0.02,2064.53,0.0,0.0,59.67,1.86,5.22,2064.54,0.0,0.0,0.0,27.2,27.61,43.35,0.0,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,44.41,44.41,2017.95,2017.95,0.0,2062.35,73.11,0.0,0.0,0.0,73.11,30.9,2.19,125.55,2261.02,172.29,199.87,0.0,0.6,1890.78,0.0,52.9,166.33,122.97,0.0,370.24,2261.02,256.7,2.41,65.58,0.0,11.53,0.01,1690.3,0.0,0.0,64.17,1.98,25.6,1690.3,0.0,0.0,0.0,28.3,28.04,54.05,0.0,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,46.47,46.47,2188.79,2188.79,0.0,2235.26,574.92,23.29,0.0,0.0,598.21,25.53,5.87,126.66,3046.83,182.14,206.53,20.6,24.45,2834.14,0.0,61.2,14.44,111.59,0.0,212.69,3046.83,486.74,4.63,52.73,0.0,11.53,0.02,2582.56,0.0,0.0,66.23,2.0,22.4,2582.56,0.0,0.0,86.7,29.03,25.46,49.64,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,46.5,46.5,2137.56,2137.56,0.0,2270.75,101.64,9.98,0.0,1.62,113.25,53.36,542.03,607.28,2991.28,328.91,330.05,0.0,0.0,2291.98,15.28,75.25,457.69,101.22,8.3,699.3,2991.28,716.95,6.59,109.68,17.94,11.53,0.0,1955.39,0.03,15.28,11.89,0.48,0.67,1955.39,6.55,86.7,0.0,0.0,41.56,78.01,4.12,87.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,52.91,52.91,2818.74,2818.74,0.0,2871.66,88.16,12.22,0.0,2.18,102.56,48.72,29.37,98.88,3073.09,323.07,325.05,0.0,0.0,2518.85,118.51,119.52,178.16,87.83,1.71,554.24,3073.09,497.31,8.96,220.45,0.0,11.53,0.0,2189.14,0.02,118.5,12.69,1.85,0.13,2189.14,4.66,0.0,0.0,8.09,48.52,100.33,4.3,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,53.1,53.1,3032.83,3032.83,0.0,3085.94,66.78,19.06,0.1,3.92,89.85,50.15,32.98,215.17,3390.96,309.61,324.56,0.0,0.0,2727.49,349.4,138.22,7.7,122.32,0.89,663.47,3390.96,17.98,9.93,237.73,0.0,11.53,0.0,2383.16,0.03,349.39,65.59,2.94,12.01,2383.16,19.76,0.0,0.0,66.45,44.93,104.99,4.46,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
