Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2016-06-30,413.17,0.0,413.17,162.4,12.34,53.62,9.24,6.5,77.02,92.05,35.01,127.05,2.62,124.43,0.0,124.43,43.46,80.97,80.97,113.28,7.15,7.15
2016-09-30,541.8,0.0,541.8,273.61,-68.38,49.67,9.6,-0.43,151.63,126.1,44.28,170.38,2.65,167.73,0.0,167.73,58.71,109.02,109.02,113.28,9.62,9.62
2016-12-31,580.27,2.15,582.42,189.51,106.62,56.29,9.83,-10.35,126.85,103.67,22.9,126.58,2.67,123.91,0.0,123.91,43.52,80.39,80.39,113.28,0.0,0.0
2017-03-31,522.09,0.0,522.09,383.21,-64.53,57.08,9.84,4.28,112.34,19.87,46.82,66.69,2.59,64.1,0.0,64.1,22.3,41.8,41.8,113.28,3.69,3.69
2017-06-30,556.25,0.0,556.25,289.28,1.14,57.88,9.84,7.51,86.39,104.2,38.81,143.01,2.63,140.39,0.0,140.39,49.23,91.16,91.16,113.28,8.05,8.05
2017-09-30,583.24,0.0,583.24,359.9,-42.49,62.17,9.61,2.54,106.71,84.81,65.17,149.97,3.16,146.81,0.0,146.81,46.61,100.21,100.21,135.94,7.93,7.93
2017-12-31,615.04,0.0,615.04,242.55,64.28,68.36,9.09,11.12,91.55,128.08,51.01,179.09,3.03,176.06,0.0,176.06,62.3,113.76,113.76,135.94,8.37,8.37
2018-03-31,600.6,0.0,600.6,273.92,2.17,82.99,8.98,41.02,85.42,106.1,38.09,144.19,2.59,141.6,0.0,141.6,49.98,91.62,91.62,135.94,6.74,6.74
2018-06-30,658.73,0.0,658.73,320.15,0.0,65.94,8.41,2.53,154.88,106.82,57.58,164.41,3.2,161.2,0.0,161.2,54.89,106.31,106.31,135.94,7.82,7.82
2018-09-30,799.4,0.0,799.4,370.61,0.0,70.09,8.43,3.84,166.82,179.62,55.81,235.43,3.14,232.29,0.0,232.29,84.66,147.64,147.64,135.94,10.86,10.86
2018-12-31,716.42,0.0,716.42,396.03,0.0,73.05,8.6,7.75,81.11,149.88,49.74,199.62,2.67,196.95,0.0,196.95,67.23,129.72,129.72,131.54,9.58,9.58
2019-03-31,787.61,0.0,787.61,414.89,0.0,68.47,8.72,58.14,136.15,101.24,64.98,166.22,5.29,160.93,0.0,160.93,63.43,97.51,97.51,131.54,7.41,7.41
2019-06-30,735.44,0.0,735.44,410.97,0.0,70.35,12.1,1.88,110.49,129.64,67.94,197.59,11.11,186.48,0.0,186.48,66.22,120.25,120.25,131.54,9.14,9.14
2019-09-30,971.2,0.0,971.2,523.86,0.0,73.94,12.1,25.92,141.82,193.57,80.14,273.71,11.15,262.56,0.0,262.56,54.99,207.57,207.57,131.54,15.78,15.78
2019-12-31,896.09,0.0,896.09,463.87,0.0,75.16,12.37,5.72,152.95,186.02,54.87,240.88,11.21,229.67,0.0,229.67,58.58,171.09,171.09,131.54,13.01,13.01
2020-03-31,816.69,0.0,816.69,394.66,0.0,86.22,12.17,0.0,172.79,150.85,44.99,195.84,11.12,184.72,0.0,184.72,45.94,138.77,138.77,131.54,10.55,10.55
2020-06-30,332.48,0.0,332.48,193.34,0.0,69.9,12.06,4.38,47.81,4.98,64.62,69.6,11.37,58.23,0.0,58.23,15.58,42.65,42.65,131.54,3.24,3.24
2020-09-30,657.4,0.0,657.4,333.22,0.0,70.89,13.66,22.54,104.96,112.13,45.34,157.48,11.4,146.07,0.0,146.07,37.71,108.36,108.36,131.54,8.24,8.24
2020-12-31,748.7,0.0,748.7,191.25,0.0,72.41,13.78,0.0,167.06,304.2,15.34,319.54,11.53,308.02,0.0,308.02,78.54,229.48,229.48,131.54,17.45,17.45
2021-03-31,1080.32,0.0,1080.32,502.0,0.0,78.38,13.57,0.0,240.97,245.4,69.03,314.43,16.16,298.27,0.0,298.27,68.65,229.61,229.61,131.54,17.46,17.46
2021-06-30,329.42,0.0,329.42,143.99,0.0,68.03,13.78,0.0,94.55,9.08,47.02,56.1,11.62,44.48,0.0,44.48,12.2,32.28,32.28,131.54,2.45,2.45
2021-09-30,696.29,0.0,696.29,313.29,0.0,82.88,14.01,0.0,133.78,152.34,42.2,194.54,11.64,182.89,0.0,182.89,47.07,135.82,135.82,131.54,10.33,10.33
2021-12-31,952.88,0.0,952.88,524.68,0.0,72.03,14.11,0.0,214.08,127.99,64.37,192.36,11.64,180.71,0.0,180.71,46.33,134.39,134.39,131.54,10.22,10.22
2022-03-31,1211.4,0.0,1211.4,633.21,0.0,82.95,14.15,0.0,196.04,285.05,112.83,397.88,11.58,386.3,0.0,386.3,102.23,284.07,284.07,131.54,21.6,21.6
2022-06-30,439.72,0.0,439.72,156.78,0.0,75.75,14.15,0.0,173.28,19.76,57.49,77.25,11.84,65.41,0.0,65.41,16.5,48.91,48.91,131.54,3.72,3.72
2022-09-30,682.91,0.0,682.91,320.8,0.0,78.58,14.91,0.0,144.07,124.55,61.46,186.01,11.87,174.14,0.0,174.14,54.3,119.83,119.83,131.54,9.11,9.11
2022-12-31,630.86,0.0,630.86,226.47,0.0,82.34,14.42,0.0,168.2,139.43,23.09,162.52,11.87,150.66,0.0,150.66,32.25,118.41,118.41,131.54,9.0,9.0
2023-03-31,576.97,0.0,576.97,398.8,0.0,86.96,8.66,0.0,157.38,-74.83,69.48,-5.35,-1.84,-3.5,61.81,58.31,10.96,47.34,47.34,131.54,3.6,3.6
2023-06-30,444.14,0.0,444.14,144.68,0.0,83.54,12.86,0.0,133.82,69.25,84.19,153.44,8.32,145.12,0.0,145.12,35.71,109.41,109.41,131.54,8.32,8.32
2023-09-30,954.2,0.0,954.2,456.87,0.0,93.21,15.06,0.0,209.18,179.88,87.57,267.45,9.26,258.18,0.0,258.18,67.18,191.0,191.0,131.54,14.52,14.52
2023-12-31,1021.45,0.0,1021.45,432.64,0.0,89.7,15.18,8.64,178.98,296.31,56.24,352.55,7.71,344.84,0.0,344.84,96.82,248.02,248.02,131.54,18.86,18.86
2024-03-31,1225.49,0.0,1225.49,591.75,0.0,105.08,13.83,0.0,242.48,272.36,79.38,351.74,6.26,345.48,0.0,345.48,80.81,264.67,264.67,131.54,10.06,10.06
2024-06-30,709.84,0.0,709.84,276.0,0.0,95.2,14.08,0.0,156.28,168.29,80.14,248.43,6.29,242.15,0.0,242.15,61.3,180.85,180.85,131.54,6.87,6.87
2024-09-30,1096.98,0.0,1096.98,590.29,0.0,99.18,20.93,0.0,211.45,175.13,100.27,275.4,9.05,266.35,0.0,266.35,73.28,193.07,193.07,131.54,7.34,7.34
2024-12-31,1069.88,0.0,1069.88,463.71,0.0,98.15,26.65,0.0,266.37,215.01,44.51,259.52,10.52,249.0,0.0,249.0,64.71,184.29,184.29,131.54,7.01,7.01
2025-03-31,1651.13,0.0,1651.13,651.59,-0.76,111.21,21.99,117.14,518.55,231.42,155.52,386.94,10.6,376.34,0.0,376.34,91.65,284.7,284.7,131.54,10.82,10.82
