Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,22.74,22.74,19.62,19.62,42.36,8.46,0.0,0.0,23.31,9.37,83.17,27.19,4.12,123.85,189.53,65.65,35.2,3.15,0.0,104.0,0.0,0.86,0.0,0.0,104.86,0.0,49.17,13.25,13.96,8.28,0.0,84.66,189.53,15.73,0.79,0.01,7.63,0.22,0.0,0.0,0.0,0.0,0.0,74.62,0.0,0.0,0.02,14.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,22.64,22.64,27.21,27.21,49.86,8.95,0.0,0.0,9.51,5.57,93.88,39.1,7.61,146.17,205.53,65.56,35.2,0.66,0.0,101.41,0.0,1.01,0.0,0.0,102.42,0.0,73.81,5.18,8.97,15.16,0.0,103.11,205.53,12.33,1.37,0.02,10.21,0.27,0.0,0.0,0.0,0.0,0.0,79.76,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,22.58,22.58,53.57,53.57,76.15,7.98,0.0,0.0,8.53,4.32,112.86,42.63,7.72,167.53,252.22,37.62,35.2,7.06,0.0,79.88,50.01,1.35,0.0,0.0,131.25,0.0,87.89,6.52,13.73,12.83,0.0,120.97,252.22,55.64,3.17,0.03,10.75,0.3,0.0,0.0,50.01,0.0,0.0,102.78,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,22.58,22.58,88.32,88.32,110.9,9.26,0.0,0.0,108.07,14.05,83.6,130.57,8.21,236.44,455.41,76.13,72.0,39.81,0.0,187.94,71.79,1.29,0.0,0.0,261.02,0.0,117.23,9.8,21.73,45.64,0.0,194.39,455.41,67.99,2.77,0.03,11.6,2.79,0.0,0.0,71.79,0.0,0.0,128.68,0.0,0.0,0.0,98.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,22.58,22.58,127.91,127.91,150.5,10.9,0.0,0.0,135.44,10.05,121.21,122.65,30.53,284.44,570.37,82.96,71.62,71.58,0.0,226.16,77.61,1.83,0.0,2.87,308.46,0.0,164.91,12.2,19.85,64.95,0.0,261.91,570.37,48.93,1.73,0.03,12.53,2.37,0.0,0.0,77.61,0.0,0.0,182.89,0.0,0.0,0.0,124.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,25.7,25.7,511.22,511.22,536.92,6.46,0.0,0.0,61.6,7.75,84.2,154.02,32.94,278.9,877.42,165.45,4.35,2.5,0.0,172.29,97.89,2.29,0.0,0.0,272.47,0.0,126.67,9.86,344.57,123.85,0.0,604.95,877.42,45.42,2.92,0.03,16.23,5.29,0.0,0.0,97.89,0.0,0.0,220.54,0.0,0.0,0.0,55.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,30.82,30.82,796.65,796.65,827.47,9.24,0.0,0.0,9.74,11.89,100.7,238.95,52.28,403.82,1241.03,161.21,4.35,0.84,0.0,166.4,521.88,2.92,0.0,0.0,691.2,0.0,168.05,33.15,185.7,162.93,0.0,549.83,1241.03,79.41,4.45,0.04,24.73,7.31,0.0,0.0,521.88,0.0,0.0,150.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,32.36,32.36,1501.34,1501.34,1533.7,8.53,7.11,7.01,22.79,69.25,248.15,436.61,16.46,770.47,2326.96,210.72,1018.98,7.55,0.0,1237.25,362.06,0.0,158.6,0.0,1757.91,0.0,306.37,103.29,80.62,77.64,1.13,569.05,2326.96,2152.77,13.93,17.62,132.42,69.48,0.0,0.0,364.9,0.0,0.0,145.56,0.0,0.0,0.22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,34.03,34.03,2489.89,2489.89,2523.92,10.86,6.29,6.9,259.37,2.19,531.01,243.95,18.88,796.03,3579.32,215.61,965.8,12.19,0.0,1193.6,1193.46,0.0,238.67,0.0,2625.73,0.0,433.04,94.27,369.63,53.07,3.58,953.59,3579.32,2407.03,4.18,0.04,147.77,224.38,0.0,0.0,1196.3,0.0,0.0,278.99,0.03,0.0,1.21,235.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,34.03,34.03,2727.07,2727.07,2761.1,4.59,4.42,4.9,274.13,0.6,666.53,358.49,27.53,1053.15,4088.38,225.69,920.14,121.1,0.0,1266.93,1450.05,0.0,167.5,0.0,2884.48,0.0,536.37,122.13,460.55,82.05,2.8,1203.9,4088.38,2861.54,2.99,0.04,141.83,63.62,0.0,0.0,1452.89,0.0,0.0,287.07,0.1,0.0,0.34,260.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
