Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,921.59,17.51,939.1,410.36,82.26,-68.74,47.62,8.0,107.28,194.07,158.25,21.7,179.95,1.94,178.01,0.0,178.01,35.93,142.08,142.08,34.03,4.17,4.17,12.42,36.49,21.61,100.0,63.51
2013-03-31,925.41,15.72,941.13,355.43,73.55,-8.07,45.72,7.64,75.76,213.53,177.57,8.8,186.37,5.86,180.51,0.0,180.51,30.25,150.26,150.26,34.03,4.42,4.41,12.42,36.49,21.61,100.0,63.51
2013-06-30,923.12,12.2,935.32,370.66,51.44,24.52,42.57,9.15,138.39,161.32,137.27,3.9,141.17,7.57,133.6,0.0,133.6,26.52,107.08,107.08,34.03,3.15,3.15,12.48,36.68,21.55,100.0,63.32
2013-09-30,1024.25,13.87,1038.12,412.91,81.92,-5.78,54.78,9.68,109.19,191.47,183.95,4.58,188.53,8.12,180.41,0.0,180.41,37.79,142.62,142.62,34.04,4.19,4.19,12.49,36.69,21.55,100.0,63.31
2013-12-31,1044.7,13.31,1058.01,412.08,60.4,33.36,45.74,8.84,117.24,196.05,184.3,10.57,194.87,10.85,184.02,0.0,184.02,35.99,148.03,148.03,34.04,4.35,4.35,12.49,36.69,21.55,100.0,63.31
2014-03-31,1032.67,15.72,1048.39,440.01,48.6,9.95,57.32,7.84,61.07,207.98,215.62,11.18,226.8,11.92,214.88,0.0,214.88,47.85,167.03,167.03,34.04,4.91,4.91,12.49,36.69,21.55,100.0,63.31
2014-06-30,977.45,14.08,991.53,451.09,55.67,-38.07,50.66,10.26,127.76,197.9,136.26,15.58,151.84,9.77,142.07,8.6,150.67,29.88,120.79,120.79,34.04,3.55,3.55,12.49,36.7,21.55,100.0,63.3
2014-09-30,1091.21,14.8,1106.01,458.12,55.17,13.12,64.2,10.61,103.94,194.03,206.82,23.6,230.42,9.71,220.71,0.0,220.71,46.94,173.77,173.77,34.04,5.1,5.1,12.49,36.7,21.55,100.0,63.3
2014-12-31,1167.08,16.82,1183.9,471.17,44.56,7.8,78.52,10.17,122.97,231.18,217.53,7.9,225.43,9.14,216.29,0.0,216.29,44.46,171.83,171.83,34.04,5.05,5.05,12.49,36.7,21.55,100.0,63.3
2015-03-31,1133.51,14.85,1148.36,433.69,38.42,22.2,65.92,10.63,133.6,206.51,237.39,9.59,246.98,8.3,238.68,0.84,239.52,51.46,188.06,188.06,34.04,5.52,5.52,12.5,36.7,21.55,100.0,63.3
2015-06-30,1048.45,14.94,1063.39,450.08,40.15,-31.69,97.88,10.18,128.6,197.89,170.3,22.12,192.42,16.45,175.97,0.0,175.97,40.58,135.39,135.39,34.05,3.98,3.98,12.5,36.71,21.55,100.0,63.29
2015-09-30,1218.09,13.46,1231.55,471.99,49.51,-22.28,89.15,10.48,127.49,264.15,241.06,15.36,256.42,16.48,239.94,0.0,239.94,56.08,183.86,183.86,34.05,5.4,5.4,0.0,0.0,0.0,0.0,0.0
2015-12-31,1182.61,17.2,1199.81,515.32,53.25,-52.19,77.8,11.37,133.78,204.38,256.1,13.73,269.83,14.41,255.42,0.0,255.42,61.51,193.91,193.91,34.05,5.69,5.69,0.0,0.0,0.0,0.0,0.0
2016-03-31,1134.06,17.78,1151.84,410.48,51.99,57.92,66.54,12.88,103.73,173.58,274.72,9.5,284.22,7.33,276.89,0.0,276.89,67.38,209.51,209.51,34.05,6.15,6.15,0.0,0.0,0.0,0.0,0.0
2016-06-30,1042.43,15.73,1058.16,424.4,35.7,16.99,72.29,13.71,123.96,176.47,194.64,12.84,207.48,7.07,200.41,0.0,200.41,47.55,152.86,152.86,34.05,4.45,4.45,0.0,0.0,0.0,0.0,0.0
2016-09-30,1225.66,14.68,1240.34,459.89,56.91,28.51,75.16,13.92,154.93,183.17,267.85,15.23,283.08,7.67,275.41,0.0,275.41,63.46,211.95,211.95,34.06,6.22,6.22,0.0,0.0,0.0,0.0,0.0
2016-12-31,1179.82,16.09,1195.91,482.13,65.04,-50.01,73.24,14.35,135.96,181.64,293.56,16.05,309.61,9.2,300.41,0.0,300.41,69.01,231.4,231.4,34.06,6.79,6.79,0.0,0.0,0.0,0.0,0.0
2017-03-31,1226.14,28.8,1254.94,468.35,58.61,0.72,75.42,14.7,113.37,196.03,327.74,18.53,346.27,12.12,334.15,0.0,334.15,81.06,253.09,253.09,34.06,7.43,7.43,0.0,0.0,0.0,0.0,0.0
2017-06-30,1091.66,10.56,1102.22,451.41,75.25,-19.23,68.05,14.96,142.98,181.72,187.08,18.98,206.06,13.34,192.72,0.0,192.72,43.16,149.56,149.56,68.12,2.19,2.19,0.0,0.0,0.0,0.0,0.0
2017-09-30,1346.72,17.06,1363.78,403.79,57.18,110.62,85.24,15.72,163.43,201.1,326.7,15.04,341.74,13.28,328.46,0.0,328.46,72.35,256.11,256.11,68.13,3.76,3.76,0.0,0.0,0.0,0.0,0.0
2017-12-31,1394.74,30.3,1425.04,524.57,66.49,-28.3,99.71,16.36,0.0,367.08,379.13,18.52,397.65,12.62,385.03,0.0,385.03,85.96,299.07,299.07,68.13,4.39,4.39,0.0,0.0,0.0,0.0,0.0
2018-03-31,1329.3,40.46,1369.76,504.97,48.49,-16.85,102.51,16.27,0.0,340.29,374.08,21.36,395.44,12.64,382.8,0.0,382.8,87.67,295.13,295.13,68.13,4.33,4.33,0.0,0.0,0.0,0.0,0.0
2018-06-30,1278.54,31.43,1309.97,497.83,62.44,-14.16,113.78,16.85,0.0,364.03,269.2,24.59,293.79,13.65,280.14,0.0,280.14,59.69,220.45,220.45,68.13,3.24,3.24,0.0,0.0,0.0,0.0,0.0
2018-09-30,1480.7,26.91,1507.61,573.47,75.21,-35.42,76.63,17.4,0.0,427.38,372.94,24.82,397.76,17.48,380.28,0.0,380.28,84.5,295.78,295.78,102.22,2.89,2.89,0.0,0.0,0.0,0.0,0.0
2018-12-31,1472.31,33.33,1505.64,501.35,58.07,44.66,88.81,17.44,0.0,374.22,421.09,22.3,443.39,16.82,426.57,0.0,426.57,94.68,331.89,331.89,102.22,3.25,3.25,0.0,0.0,0.0,0.0,0.0
2019-03-31,1325.24,30.85,1356.09,458.17,58.98,32.67,72.28,17.38,0.0,336.35,380.26,22.74,403.0,16.91,386.09,0.0,386.09,-520.77,906.86,906.86,102.22,8.87,8.87,0.0,0.0,0.0,0.0,0.0
2019-06-30,1289.81,25.55,1315.36,513.25,56.03,-25.04,93.51,19.03,0.0,370.91,287.67,19.64,307.31,10.58,296.73,0.0,296.73,56.67,240.06,240.06,102.22,2.35,2.35,0.0,0.0,0.0,0.0,0.0
2019-09-30,1490.45,30.83,1521.28,567.14,79.94,-12.06,96.94,20.28,0.0,392.18,376.86,24.71,401.57,14.16,387.41,0.0,387.41,52.84,334.57,334.57,102.23,3.27,3.27,0.0,0.0,0.0,0.0,0.0
2019-12-31,1491.8,32.07,1523.87,485.86,72.01,51.3,84.4,21.28,0.0,389.22,419.8,22.8,442.6,13.0,429.6,0.0,429.6,64.69,364.91,364.91,102.23,3.57,3.57,0.0,0.0,0.0,0.0,0.0
2020-03-31,1089.21,24.73,1113.94,476.43,72.21,-91.1,44.37,20.78,0.0,309.24,282.01,24.11,306.12,20.23,285.89,0.0,285.89,45.54,240.35,240.35,102.23,2.35,2.35,0.0,0.0,0.0,0.0,0.0
2020-06-30,1358.35,22.3,1380.65,466.77,89.72,47.05,106.05,20.19,73.62,221.28,355.97,22.19,378.16,12.15,366.01,-15.38,350.63,78.97,271.66,271.66,102.23,2.66,2.66,0.0,0.0,0.0,0.0,0.0
2020-09-30,1650.43,28.76,1679.19,698.79,113.77,-93.37,93.08,20.98,160.89,239.12,445.93,19.4,465.33,6.67,458.66,0.0,458.66,108.06,350.6,350.6,102.25,3.43,3.43,0.0,0.0,0.0,0.0,0.0
2020-12-31,1658.3,36.45,1694.75,593.18,103.45,26.84,98.39,20.62,173.14,227.91,451.22,11.72,462.94,4.41,458.53,0.0,458.53,107.15,351.38,351.38,102.25,3.44,3.44,0.0,0.0,0.0,0.0,0.0
2021-03-31,1466.36,33.38,1499.74,635.56,49.37,-21.72,119.57,21.59,135.87,243.88,315.62,12.06,327.68,1.58,326.1,0.0,326.1,75.4,250.7,250.7,102.25,2.45,2.45,0.0,0.0,0.0,0.0,0.0
2021-06-30,1621.17,39.48,1660.65,806.19,80.67,-101.67,108.21,21.0,88.0,247.4,410.85,16.23,427.08,1.85,425.23,0.0,425.23,99.86,325.37,325.37,102.25,3.18,3.18,0.0,0.0,0.0,0.0,0.0
2021-09-30,1838.14,0.0,1838.14,774.07,99.73,64.75,72.79,21.42,130.63,244.53,430.22,18.27,448.49,3.19,445.3,0.0,445.3,89.04,356.26,356.26,102.26,3.48,3.48,0.0,0.0,0.0,0.0,0.0
2021-12-31,1785.18,32.25,1817.43,704.14,80.09,93.93,82.91,21.88,158.52,239.81,436.15,18.11,454.26,1.63,452.63,15.38,468.01,88.01,380.0,380.0,102.26,3.72,3.72,0.0,0.0,0.0,0.0,0.0
2022-03-31,1603.88,31.46,1635.34,779.53,65.05,-54.03,83.61,21.31,123.98,250.98,364.91,17.38,382.29,1.2,381.09,42.83,423.92,6.39,417.53,417.53,102.26,4.08,4.08,0.0,0.0,0.0,0.0,0.0
2022-06-30,1813.71,35.7,1849.41,985.89,71.86,-60.44,78.89,25.81,125.7,232.88,388.82,21.29,410.11,0.51,409.6,0.0,409.6,90.07,319.53,319.53,102.26,3.12,3.12,0.0,0.0,0.0,0.0,0.0
2022-09-30,1985.03,0.0,1985.03,957.95,97.92,-30.4,81.24,21.68,198.52,251.81,406.31,27.57,433.88,0.79,433.09,-18.57,414.52,86.33,328.19,328.19,102.26,3.21,3.21,0.0,0.0,0.0,0.0,0.0
2022-12-31,1974.94,34.86,2009.8,704.06,78.19,139.08,98.18,25.02,187.81,257.75,519.71,40.74,560.45,0.72,559.73,-8.82,550.91,92.45,458.46,458.46,102.27,4.48,4.48,0.0,0.0,0.0,0.0,0.0
2023-03-31,1789.18,33.75,1822.93,718.36,47.81,17.23,113.88,35.48,175.31,268.92,445.94,49.87,495.81,1.05,494.76,-0.2,494.56,87.05,407.51,407.51,102.27,3.98,3.98,0.0,0.0,0.0,0.0,0.0
2023-06-30,2005.48,0.0,2005.48,890.9,128.48,-158.14,117.8,45.29,0.0,530.49,450.66,182.76,633.42,24.69,608.73,-77.7,531.03,140.55,390.48,390.48,102.27,3.82,3.82,0.0,0.0,0.0,0.0,0.0
2023-09-30,2129.06,39.16,2168.22,613.86,248.04,48.21,143.65,32.49,0.0,557.08,524.89,157.54,682.43,36.18,646.25,-1.2,645.05,160.18,484.87,484.87,102.28,4.74,4.74,0.0,0.0,0.0,0.0,0.0
2023-12-31,2204.11,0.0,2204.11,737.75,120.32,41.97,117.07,27.02,0.0,539.19,620.79,55.34,676.13,36.16,639.97,-5.86,634.11,161.53,472.58,472.58,102.28,4.62,4.62,0.0,0.0,0.0,0.0,0.0
