Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2293.99,14.95,2308.94,1482.54,318.55,30.31,51.63,15.14,308.19,102.58,14.44,117.02,46.42,70.6,0.0,70.6,1.95,68.65,68.65,28.29,0.0,2.43,2.42,10.24,34.17,18.06,99.99,63.82
2013-03-31,1940.48,7.83,1948.31,745.83,38.1,790.73,50.12,15.05,251.11,57.37,15.24,72.61,49.68,22.93,0.0,22.93,9.33,13.6,13.6,28.31,0.0,0.48,0.48,10.24,36.18,18.06,99.99,63.82
2013-06-30,1637.26,6.82,1644.08,898.01,378.48,-48.9,54.81,19.51,276.87,65.3,15.75,81.05,60.96,20.09,0.0,20.09,5.74,14.35,14.35,28.31,0.0,0.51,0.51,10.24,36.18,18.06,99.99,63.81
2013-09-30,2891.35,7.41,2898.76,1916.98,416.63,-94.23,58.33,19.95,337.73,243.37,12.62,255.99,43.49,212.5,-12.61,199.89,54.56,145.33,145.33,28.31,0.0,5.13,5.12,10.25,36.2,18.06,99.99,63.79
2013-12-31,2489.53,11.19,2500.72,1792.69,296.31,-219.8,62.05,19.71,360.77,188.99,12.55,201.54,50.69,150.85,0.0,150.85,48.77,102.08,102.08,28.32,424.23,3.6,3.6,10.25,36.21,18.06,99.99,63.78
2014-03-31,2320.55,16.41,2336.96,1339.87,137.8,238.98,68.57,22.86,369.96,158.92,20.45,179.37,55.82,123.55,0.0,123.55,40.46,83.09,83.09,28.32,0.0,2.89,2.89,10.25,36.21,18.06,99.99,63.78
2014-06-30,1677.52,7.89,1685.41,1231.79,464.87,-456.52,57.2,21.61,290.58,75.88,16.53,92.41,55.66,36.75,0.0,36.75,11.43,25.32,25.32,28.58,0.0,0.89,0.88,10.51,36.78,18.06,99.99,63.2
2014-09-30,3240.76,4.59,3245.35,1661.98,422.69,398.12,62.19,22.45,382.96,294.96,13.51,308.47,53.95,254.52,0.0,254.52,84.14,170.38,170.38,28.58,0.0,5.96,5.96,10.52,36.8,18.06,99.99,63.19
2014-12-31,3338.95,30.78,3369.73,2303.52,589.47,-366.96,84.21,32.68,480.6,246.21,12.52,258.73,55.73,203.0,-3.94,199.06,60.26,138.8,138.8,28.59,0.0,4.77,4.76,10.53,36.8,18.06,99.99,63.19
2015-03-31,2969.24,15.53,2984.77,1899.71,439.2,17.8,71.88,26.57,396.56,133.05,13.04,146.09,43.98,102.11,0.0,102.11,33.47,68.64,68.64,29.13,0.0,2.36,2.35,11.05,37.95,18.07,99.97,62.03
