Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Employees Stock Options,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Share Capital Suspense,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,25.41,25.41,305.65,312.4,337.81,88.9,0.0,0.0,265.71,102.52,232.51,30.14,39.43,404.59,1008.11,382.43,0.0,1.89,0.0,384.33,136.17,0.0,0.0,522.24,0.0,196.96,161.17,2.9,124.84,0.0,485.87,1008.11,18.43,3.09,0.0,30.84,0.0,13.86,62.74,1.98,0.0,0.0,0.0,176.8,643.49,0.0,0.0,12.66,0.0,0.0,1.75,0.0,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,25.41,25.41,353.66,359.82,385.23,88.95,0.0,0.0,263.14,73.94,258.99,32.41,44.91,410.25,1058.62,365.31,0.0,12.2,0.0,377.51,134.88,0.0,0.0,514.41,0.0,191.1,100.0,32.84,220.27,0.0,544.2,1058.62,29.79,6.31,0.04,39.03,0.0,13.86,88.77,1.93,0.0,0.0,0.0,174.19,930.07,0.0,0.0,0.63,0.0,0.0,2.02,0.0,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,25.41,25.41,412.58,412.58,437.99,77.74,0.0,0.0,230.14,242.81,475.32,53.99,57.65,829.76,1497.89,358.01,0.0,5.66,0.0,363.67,161.81,0.0,0.0,528.05,0.0,395.31,106.75,24.33,443.45,0.0,969.84,1497.89,20.49,7.94,0.04,19.62,2.23,13.86,119.35,28.91,0.0,0.0,0.0,152.4,1345.83,0.0,0.0,4.21,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,25.41,25.41,486.86,486.86,512.27,78.97,0.0,0.0,310.8,283.79,504.51,64.83,61.51,914.63,1737.86,371.14,0.0,11.27,0.0,382.41,174.08,0.0,0.0,564.12,0.0,404.73,160.52,169.49,439.01,0.0,1173.74,1737.86,188.83,11.6,0.05,63.24,2.16,13.86,173.04,39.86,0.0,0.0,0.0,231.83,1309.1,0.0,0.0,1.73,0.0,0.17,7.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,27.98,27.98,766.46,766.46,794.44,95.41,0.0,0.0,364.99,643.1,658.44,162.82,103.66,1568.01,2727.43,724.55,0.0,10.84,0.0,735.39,351.34,0.0,0.0,1099.67,0.0,864.87,102.59,66.32,593.99,0.0,1627.77,2727.43,64.25,24.99,0.05,58.85,2.01,13.86,0.11,326.31,0.0,0.0,0.0,269.58,2625.02,0.0,0.0,2.51,0.0,0.0,12.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,27.98,27.98,1099.16,1099.16,1127.14,96.0,0.0,0.0,217.79,1505.21,1570.87,155.1,121.96,3353.14,4698.07,764.03,0.0,27.8,0.0,791.84,1043.6,0.0,0.0,1851.97,0.0,1347.51,104.33,341.49,1052.76,0.0,2846.1,4698.07,376.11,43.41,4.81,59.75,175.3,13.86,0.05,163.28,0.0,0.0,0.0,121.79,7071.8,0.0,0.0,3.7,0.0,0.0,16.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,28.05,28.05,1406.93,1406.93,1434.99,96.26,0.0,0.0,168.56,1747.43,755.81,200.21,94.39,2797.85,4401.4,804.04,0.0,13.28,0.0,817.31,1071.0,0.0,0.0,1899.11,0.0,926.42,142.71,809.86,623.29,0.0,2502.28,4401.4,321.18,22.73,5.07,59.2,6.12,13.86,0.06,210.99,0.0,0.0,0.0,72.3,3718.47,0.0,0.0,0.78,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,28.18,28.18,1875.93,1875.93,1904.11,81.45,30.0,14.59,266.84,1223.4,1510.82,200.95,117.68,3052.85,5223.8,793.7,0.0,20.64,0.0,814.34,212.31,53.83,0.0,1080.48,0.04,1513.12,202.41,902.05,1087.63,438.07,4143.32,5223.8,264.25,25.03,6.08,66.38,6.52,13.86,0.0,212.31,0.04,0.0,0.0,140.8,4520.72,2.6,603.48,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,28.26,28.26,2342.93,2342.93,2371.19,67.45,33.99,16.29,390.52,2144.75,2042.72,224.51,132.34,4544.32,7306.03,800.4,6.7,133.13,0.0,940.23,627.9,51.4,0.0,1619.53,0.04,1855.61,887.02,917.85,2013.38,12.6,5686.5,7306.03,371.92,43.34,7.08,57.92,56.92,13.86,184.62,227.39,0.04,0.0,0.0,272.79,5205.75,2.04,1639.42,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,28.31,28.31,2147.3,2147.3,2175.61,179.79,30.12,16.4,998.34,1467.55,2202.65,320.93,182.2,4173.33,7347.28,1136.24,5.81,27.94,0.0,1169.99,879.51,87.79,0.0,2137.29,0.04,1264.89,1610.89,452.76,1874.17,7.24,5209.99,7347.28,772.82,68.54,3.02,72.94,35.89,13.86,344.12,308.1,0.04,0.0,0.0,772.03,3866.62,1.74,1185.44,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
