Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,167.84,0.0,167.84,97.77,6.2,12.83,5.35,0.9,29.94,14.85,0.15,15.0,4.07,10.92,0.0,10.92,3.27,7.65,7.65,20.07,238.37,3.81,3.68,1.11,55.49,0.61,68.09,30.31
2012-12-31,173.96,0.0,173.96,111.6,-0.99,13.23,5.05,1.19,31.99,11.89,0.37,12.26,4.46,7.8,0.0,7.8,2.37,5.43,5.43,20.12,243.98,2.7,2.62,1.12,55.57,0.79,88.81,39.46
2013-03-31,178.95,0.0,178.95,106.47,-5.39,12.15,5.52,0.83,39.73,19.64,1.02,20.65,3.97,16.68,0.0,16.68,5.59,11.09,11.09,20.13,250.37,5.52,5.38,1.12,55.56,0.81,90.61,40.27
2013-06-30,208.71,0.0,208.71,140.36,-12.29,16.44,5.01,0.97,34.36,23.85,1.7,25.55,3.41,22.14,0.0,22.14,7.41,14.73,14.73,20.15,265.27,7.32,7.13,1.12,55.59,0.7,78.2,34.73
2013-09-30,239.0,0.0,239.0,145.59,-7.56,17.25,5.4,1.08,47.42,29.8,0.41,30.21,4.14,26.07,0.0,26.07,8.83,17.24,17.24,20.25,283.04,8.56,8.38,1.03,51.08,0.7,70.39,34.43
2013-12-31,262.12,0.0,262.12,147.92,-0.8,17.24,6.66,0.87,51.88,38.34,0.31,38.65,4.3,34.35,0.0,34.35,11.36,22.99,22.99,20.28,306.29,11.39,11.17,1.04,51.14,0.75,75.32,36.8
2014-03-31,291.84,0.0,291.84,153.48,18.26,18.34,9.32,2.75,45.07,44.62,1.22,45.84,7.07,38.77,0.0,38.77,12.73,26.04,26.04,20.28,324.03,12.88,12.63,1.04,51.14,0.75,75.32,36.8
2014-06-30,253.45,0.0,253.45,144.91,-0.85,18.3,9.66,0.47,41.58,39.39,0.31,39.7,6.55,33.15,0.0,33.15,10.8,22.35,22.35,20.36,346.83,11.01,10.77,1.04,51.26,0.84,84.84,41.35
2014-09-30,271.7,0.0,271.7,163.91,-16.03,20.05,9.91,0.38,48.14,45.35,0.46,45.81,7.19,38.62,0.0,38.62,12.51,26.11,26.11,20.41,373.37,12.85,12.6,1.05,51.37,0.84,84.84,41.26
2014-12-31,319.54,0.0,319.54,180.47,5.61,24.58,13.74,0.39,52.39,42.35,0.77,43.12,8.61,34.51,0.0,34.51,10.12,24.39,24.39,20.43,388.76,11.99,11.84,1.06,51.41,0.84,84.84,41.23
2015-03-31,317.22,0.0,317.22,177.59,9.41,21.27,13.37,7.16,46.78,41.63,1.42,43.05,7.34,35.71,0.0,35.71,7.19,28.52,28.52,20.43,404.98,1.4,1.38,10.5,51.41,8.42,84.84,41.22
2015-06-30,325.32,0.0,325.32,184.19,-6.04,25.75,13.91,4.23,52.97,50.3,1.63,51.93,8.07,43.86,0.0,43.86,13.51,30.35,30.35,20.48,0.0,1.49,1.47,10.55,51.53,8.8,88.64,42.96
2015-09-30,332.58,0.0,332.58,195.98,-5.88,25.67,14.37,3.03,51.61,47.79,1.35,49.14,8.8,40.34,0.0,40.34,13.55,26.79,26.79,20.52,0.0,1.31,1.3,10.58,51.58,7.87,79.24,38.37
2015-12-31,317.27,0.0,317.27,183.47,-13.3,26.74,14.59,3.1,49.52,53.15,2.0,55.16,10.42,44.73,0.0,44.73,14.31,30.42,30.42,20.94,0.0,1.48,1.41,0.0,0.0,0.0,0.0,0.0
2016-03-31,352.47,0.22,352.69,187.81,3.42,27.1,15.37,4.95,54.73,59.3,1.95,61.25,9.37,51.88,0.0,51.88,18.48,33.4,33.4,21.67,0.0,1.62,1.58,0.0,0.0,0.0,0.0,0.0
2016-06-30,337.26,0.23,337.49,171.87,2.99,30.33,16.31,7.04,53.53,55.43,4.5,59.93,7.97,51.95,0.0,51.95,16.36,35.59,35.59,21.67,0.0,1.64,1.6,0.0,0.0,0.0,0.0,0.0
2016-09-30,341.22,0.24,341.46,168.02,8.17,30.47,18.43,6.43,57.28,52.66,3.48,56.15,8.21,47.93,0.0,47.93,14.44,33.5,33.5,21.72,0.0,1.54,1.52,0.0,0.0,0.0,0.0,0.0
2016-12-31,337.14,0.24,337.38,183.24,-20.45,32.78,18.66,5.21,63.21,54.72,5.68,60.4,8.33,52.07,0.0,52.07,16.78,35.29,35.29,22.12,0.0,1.62,1.6,0.0,0.0,0.0,0.0,0.0
2017-03-31,344.85,0.0,344.85,159.35,-2.91,32.23,17.96,0.0,78.31,59.93,2.56,62.49,7.64,54.84,0.0,54.84,16.4,38.45,38.45,22.87,0.0,1.76,1.75,0.0,0.0,0.0,0.0,0.0
2017-06-30,388.36,0.0,388.36,190.3,12.42,34.3,17.52,0.0,75.74,58.08,3.0,61.08,8.18,52.89,0.0,52.89,17.39,35.51,35.51,22.88,0.0,1.55,1.55,0.0,0.0,0.0,0.0,0.0
2017-09-30,373.53,0.0,373.53,205.11,-11.57,37.43,18.51,0.0,70.18,53.86,10.11,63.97,10.4,53.57,0.0,53.57,17.93,35.64,35.64,25.38,0.0,1.55,1.55,0.0,0.0,0.0,0.0,0.0
2017-12-31,412.65,0.0,412.65,218.33,2.09,38.04,19.53,0.0,79.98,54.68,4.12,58.8,8.16,50.63,0.0,50.63,16.8,33.84,33.84,25.38,0.0,1.33,1.33,0.0,0.0,0.0,0.0,0.0
2018-03-31,473.33,0.0,473.33,276.47,9.95,38.15,20.35,0.0,84.32,44.09,13.45,57.54,6.18,51.36,0.0,51.36,17.17,34.18,34.18,25.38,0.0,1.35,1.34,0.0,0.0,0.0,0.0,0.0
2018-06-30,440.34,0.0,440.34,294.41,-40.98,41.45,21.87,0.0,75.82,47.78,18.02,65.79,6.52,59.27,0.0,59.27,19.7,39.57,39.57,25.41,0.0,1.56,1.55,0.0,0.0,0.0,0.0,0.0
2018-09-30,515.94,0.0,515.94,337.06,-36.75,41.41,22.65,0.0,85.83,65.75,3.46,69.21,7.59,61.62,0.0,61.62,20.8,40.82,40.82,25.42,0.0,1.61,1.6,0.0,0.0,0.0,0.0,0.0
2018-12-31,581.15,0.0,581.15,345.62,20.96,41.53,23.12,0.0,87.69,62.25,5.5,67.75,7.44,60.31,0.0,60.31,20.21,40.09,40.09,25.42,0.0,1.58,1.57,0.0,0.0,0.0,0.0,0.0
2019-03-31,561.0,0.0,561.0,340.25,-10.24,42.61,23.14,0.0,99.44,65.8,1.51,67.32,6.8,60.51,0.0,60.51,19.16,41.36,41.36,25.42,0.0,1.63,1.62,0.0,0.0,0.0,0.0,0.0
2019-06-30,567.85,0.0,567.85,311.4,-8.48,45.77,25.26,0.0,100.54,93.36,1.51,94.88,6.8,88.08,0.0,88.08,28.54,59.53,59.53,25.42,0.0,2.34,2.34,0.0,0.0,0.0,0.0,0.0
2019-09-30,638.77,0.0,638.77,331.73,11.99,46.89,25.0,0.0,107.86,115.31,4.38,119.69,6.7,112.99,0.0,112.99,18.67,94.32,94.32,25.42,0.0,3.71,3.71,0.0,0.0,0.0,0.0,0.0
2019-12-31,616.44,0.0,616.44,337.32,-4.7,46.96,25.23,0.0,98.96,112.68,3.74,116.41,6.69,109.73,0.0,109.73,21.26,88.47,88.47,25.42,0.0,3.48,3.47,0.0,0.0,0.0,0.0,0.0
2020-03-31,486.87,0.0,486.87,272.83,-30.1,52.89,26.34,0.0,93.94,70.97,16.83,87.8,6.67,81.12,161.12,242.24,40.49,201.75,201.75,25.42,0.0,7.94,7.91,0.0,0.0,0.0,0.0,0.0
2020-06-30,742.92,0.0,742.92,359.8,-19.31,62.81,28.58,0.0,143.97,167.07,6.31,173.38,5.85,167.53,0.0,167.53,42.53,125.0,125.0,24.71,0.0,4.92,4.89,0.0,0.0,0.0,0.0,0.0
2020-09-30,834.5,0.0,834.5,398.33,8.68,58.29,29.59,0.0,129.42,210.19,3.07,213.26,6.23,207.03,0.0,207.03,52.55,154.47,154.47,24.76,0.0,6.24,6.21,0.0,0.0,0.0,0.0,0.0
2020-12-31,776.01,0.0,776.01,390.6,3.64,57.84,29.77,0.0,122.56,171.6,2.95,174.55,5.94,168.6,0.0,168.6,37.55,131.06,131.06,24.77,0.0,5.29,5.26,0.0,0.0,0.0,0.0,0.0
2021-03-31,781.55,0.0,781.55,353.47,14.43,77.47,30.51,0.0,113.27,192.4,3.06,195.47,5.75,189.71,0.0,189.71,47.46,142.25,142.25,24.77,0.0,5.74,5.72,0.0,0.0,0.0,0.0,0.0
2021-06-30,732.12,0.0,732.12,432.51,-41.58,71.21,31.5,0.0,119.93,118.54,7.36,125.9,5.38,120.51,0.0,120.51,30.67,89.85,89.85,24.77,0.0,3.63,3.61,0.0,0.0,0.0,0.0,0.0
2021-09-30,703.69,0.0,703.69,414.82,-21.29,64.29,31.86,0.0,152.45,61.56,4.28,65.84,4.01,61.83,0.0,61.83,15.73,46.1,46.1,24.77,0.0,1.86,1.85,0.0,0.0,0.0,0.0,0.0
2021-12-31,889.78,0.0,889.78,513.47,-26.24,71.84,31.13,0.0,138.66,160.91,4.79,165.7,2.96,162.74,0.0,162.74,41.41,121.33,121.33,24.8,0.0,4.89,4.88,0.0,0.0,0.0,0.0,0.0
2022-03-31,912.85,0.0,912.85,503.35,-17.31,75.45,31.68,0.0,145.39,174.29,4.28,178.56,4.0,174.56,0.0,174.56,45.32,129.24,129.24,24.8,0.0,5.21,5.2,0.0,0.0,0.0,0.0,0.0
2022-06-30,921.36,0.0,921.36,470.22,34.54,76.85,34.6,0.0,143.08,162.06,4.55,166.61,4.44,162.17,0.0,162.17,37.4,124.77,124.77,24.8,0.0,5.03,5.02,0.0,0.0,0.0,0.0,0.0
2022-09-30,963.58,0.0,963.58,560.07,-22.46,80.51,34.87,0.0,159.8,150.79,3.75,154.55,8.36,146.18,0.0,146.18,37.26,108.93,108.93,24.83,0.0,4.39,4.37,0.0,0.0,0.0,0.0,0.0
2022-12-31,1032.39,0.0,1032.39,541.93,18.08,83.05,38.32,0.0,150.71,200.3,-0.93,199.37,11.76,187.61,0.0,187.61,47.82,139.8,139.8,24.2,0.0,5.75,5.74,0.0,0.0,0.0,0.0,0.0
2023-03-31,1013.88,0.0,1013.88,527.72,31.36,89.66,37.77,0.0,147.85,179.53,2.56,182.09,14.12,167.97,0.0,167.97,42.68,125.29,125.29,24.2,0.0,5.18,5.17,0.0,0.0,0.0,0.0,0.0
2023-06-30,821.0,0.0,821.0,534.87,-95.94,91.21,35.27,0.0,134.09,121.51,0.44,121.94,14.79,107.16,0.0,107.16,27.32,79.84,79.84,24.2,0.0,3.3,3.29,0.0,0.0,0.0,0.0,0.0
2023-09-30,1009.42,0.0,1009.42,449.33,97.18,93.49,36.01,0.0,161.0,172.41,1.25,173.66,17.65,156.01,0.0,156.01,39.86,116.16,116.16,24.24,0.0,4.8,4.8,0.0,0.0,0.0,0.0,0.0
2023-12-31,984.49,0.0,984.49,471.67,0.83,99.87,36.16,0.0,165.23,210.73,0.67,211.39,19.78,191.61,0.0,191.61,48.91,142.71,142.71,24.24,0.0,5.89,5.88,0.0,0.0,0.0,0.0,0.0
2024-03-31,940.19,0.0,940.19,471.25,-22.27,96.04,36.41,0.0,205.89,152.87,3.43,156.3,19.79,136.51,0.0,136.51,39.3,97.22,97.22,24.24,0.0,4.01,4.01,0.0,0.0,0.0,0.0,0.0
2024-06-30,851.95,0.0,851.95,402.33,-13.55,99.17,35.85,0.0,186.58,141.57,1.81,143.38,17.52,125.86,0.0,125.86,32.08,93.78,93.78,24.24,0.0,3.87,3.87,0.0,0.0,0.0,0.0,0.0
