Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Other Assets,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Share Capital Suspense,Long Term Borrowings,Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,61.84,61.84,3.5,2507.92,2511.41,2573.25,0.0,72.54,88.82,486.36,131.51,149.29,154.52,199.12,634.44,3694.05,130.89,22.0,9.06,0.0,161.95,2405.66,46.81,70.5,2734.47,0.0,635.92,114.87,7.88,189.92,10.98,959.57,3694.05,52.29,24.02,1.28,172.43,184.93,33.18,1796.84,1938.86,0.0,0.0,0.0,49.55,52.71,1.08,3.03,1.72,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,61.84,61.84,21.86,2416.67,2438.54,2500.38,0.0,72.54,114.02,511.56,152.5,143.88,153.48,192.61,642.47,3655.68,168.91,24.43,11.09,0.18,204.61,2231.86,71.79,70.5,2624.51,0.0,819.27,93.62,21.01,93.36,3.91,1031.17,3655.68,96.59,59.03,2.34,166.13,157.05,33.18,1875.27,2009.16,0.0,0.0,0.0,45.75,55.46,0.56,1.32,1.69,1.27,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,63.11,63.11,21.86,2810.93,2832.79,2895.9,0.0,0.0,177.87,177.87,52.61,198.38,544.95,195.21,991.15,4064.92,183.21,16.05,10.1,0.0,209.36,2264.34,120.5,70.5,2704.18,0.0,889.71,124.09,239.2,104.47,3.27,1360.74,4064.92,33.86,33.34,5.33,190.82,124.02,33.18,1389.03,2050.16,0.0,0.0,0.0,39.48,55.85,0.72,1.97,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,63.11,63.11,0.0,3721.44,3721.44,3784.55,0.0,0.0,119.91,119.91,32.26,244.33,177.44,57.05,511.08,4415.54,197.76,16.03,7.38,4.12,225.98,2903.97,24.73,185.25,3378.79,67.7,764.19,99.62,20.78,11.97,72.49,1036.75,4415.54,12.24,0.0,0.0,0.0,0.0,33.18,2032.08,2062.58,0.0,67.7,0.69,38.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,63.11,63.11,0.0,4150.24,4150.24,4213.35,0.0,0.0,109.65,109.65,84.25,248.46,189.16,47.3,569.17,4892.17,207.59,19.21,11.49,1.16,240.12,2284.28,20.44,147.89,2791.74,536.98,744.4,136.66,535.27,8.1,139.02,2100.43,4892.17,11.97,96.8,0.0,0.0,458.3,33.18,1276.93,2062.8,0.0,536.98,0.67,99.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,63.11,63.11,21.86,4358.71,4380.57,4443.68,0.0,0.0,115.25,115.25,4.53,239.42,180.92,20.65,445.52,5004.45,223.84,18.06,10.52,6.73,259.8,2318.59,16.77,167.28,2796.3,497.74,846.91,181.92,472.95,8.13,200.5,2208.15,5004.45,49.08,104.69,0.0,0.0,324.84,33.18,1022.67,2103.33,0.0,497.74,0.65,33.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,92.16,92.16,21.86,10735.99,10757.85,10850.01,149.22,121.82,137.52,408.56,35.0,447.04,235.86,73.96,791.86,12050.43,350.2,6102.34,22.16,5.99,6480.69,2324.91,22.35,235.38,9063.33,724.51,919.95,314.17,737.77,0.66,290.04,2987.1,12050.43,135.06,86.11,0.0,0.0,287.37,33.18,612.56,2153.67,0.0,724.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,92.16,92.16,21.86,11110.08,11131.94,11224.1,367.55,291.5,148.21,807.26,0.0,1102.63,215.73,82.04,1400.4,13431.76,482.94,6088.41,46.46,16.44,6634.25,2605.19,21.71,315.11,9576.26,287.77,1408.37,257.23,1613.69,3.79,284.65,3855.5,13431.76,473.63,90.49,0.0,0.0,322.69,33.18,1300.31,2428.57,0.0,287.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,92.16,92.16,21.86,11647.89,11669.75,11761.91,511.22,282.1,135.32,928.64,0.0,1263.74,209.18,62.74,1535.66,14226.21,507.9,6056.15,2.58,37.18,6603.81,3368.76,13.8,312.68,10299.05,156.94,1271.94,281.76,1328.61,559.7,328.21,3927.16,14226.21,216.42,108.46,0.0,0.0,412.35,33.18,2345.86,3344.28,0.0,156.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,92.9,92.9,21.86,12638.5,12660.36,12753.26,575.38,285.66,130.11,991.15,39.5,1518.17,233.64,56.82,1848.13,15592.54,507.82,6041.73,13.89,8.45,6571.89,4184.25,12.36,334.45,11102.95,651.39,1400.6,341.65,1247.78,430.56,417.61,4489.59,15592.54,59.88,150.36,0.0,0.0,367.02,33.18,2236.2,3997.08,0.0,651.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,95.28,95.28,0.0,13511.46,13511.46,13606.74,615.41,294.48,176.99,1086.88,1444.3,1847.37,291.18,110.22,3693.07,18386.69,719.57,5985.84,14.01,17.06,6736.48,8382.96,6.99,190.22,15316.65,118.85,1545.68,486.9,200.02,250.97,467.62,3070.04,18386.69,397.89,393.34,0.0,0.0,897.22,33.18,91.71,7863.99,0.0,118.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,98.95,98.95,0.0,16911.01,16911.01,17009.96,687.43,365.1,172.3,1224.83,165.78,2672.27,310.88,110.85,3259.78,21494.57,4831.59,2475.57,5.4,0.0,7312.56,9711.34,1.59,297.91,17323.4,238.47,2139.29,547.62,345.12,295.96,604.71,4171.17,21494.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
