Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Other Assets,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Share Capital Suspense,Long Term Borrowings,Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,56.22,56.22,21.86,897.17,919.03,975.25,49.35,0.0,0.0,245.02,0.04,104.77,28.45,80.84,214.1,1434.37,311.23,0.0,1.65,0.0,312.88,835.45,0.0,0.0,1160.68,0.0,109.49,36.34,6.29,121.57,0.0,273.69,1434.37,19.44,4.97,0.2,86.48,32.22,33.18,444.79,606.78,0.0,0.0,0.0,12.35,1.98,0.0,0.0,2.68,0.0,195.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,56.22,56.22,21.86,970.89,992.75,1048.97,33.89,0.0,0.0,210.88,14.38,134.62,45.54,85.8,280.35,1540.2,296.26,0.0,6.42,0.0,302.69,865.86,0.0,34.52,1214.19,0.0,165.53,29.39,46.34,84.76,0.0,326.01,1540.2,38.49,9.61,0.13,97.02,32.38,33.18,712.89,617.96,0.0,0.0,0.0,11.12,3.26,0.0,0.0,3.54,0.0,176.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,56.22,56.22,21.86,1083.18,1105.05,1161.27,28.55,0.0,0.0,200.39,69.51,149.39,25.45,97.54,341.89,1703.55,238.01,7.08,5.22,0.0,250.31,1106.83,0.0,33.66,1396.93,0.0,139.57,48.2,6.62,112.23,0.0,306.62,1703.55,24.3,4.34,0.12,154.72,36.91,33.18,1227.31,966.27,0.0,0.0,0.0,6.12,29.43,0.0,0.0,0.25,0.0,171.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,59.03,59.03,21.86,1462.83,1484.69,1543.72,28.02,0.0,0.0,185.52,639.5,180.2,25.99,126.7,972.38,2723.46,237.48,7.08,2.02,0.0,246.58,2045.92,0.0,25.16,2336.5,0.0,180.01,64.86,21.53,120.56,0.0,386.96,2723.46,12.83,4.99,0.1,161.5,18.32,33.18,971.32,1739.64,0.0,0.0,0.0,18.85,29.31,0.0,0.0,0.1,0.0,157.5,21.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,61.84,61.84,21.86,1720.35,1742.21,1804.05,27.91,0.0,0.0,413.98,371.43,218.24,18.91,278.19,886.78,3104.8,83.44,10.08,4.57,0.0,98.09,2193.77,0.0,16.38,2328.32,0.0,195.83,63.5,14.04,162.18,340.94,776.48,3104.8,19.19,7.68,0.03,144.48,67.86,33.18,1178.38,1733.02,0.0,0.0,0.0,20.08,35.37,0.0,0.0,0.13,0.0,386.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,61.84,61.84,21.86,1715.61,1737.48,1799.32,24.37,0.0,0.0,359.01,420.36,284.24,26.33,149.31,880.23,3038.56,86.56,10.5,6.9,0.0,103.96,2073.67,0.0,7.6,2205.8,0.0,291.1,91.84,45.65,105.52,298.65,832.76,3038.56,26.74,9.5,0.06,136.73,108.59,33.18,687.41,1593.01,0.0,0.0,0.0,20.57,50.46,0.0,0.0,0.74,0.0,334.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,61.84,61.84,21.86,1994.14,2016.0,2077.84,19.22,0.0,0.0,347.44,171.45,273.78,26.14,189.04,660.41,3085.69,95.3,10.5,5.57,0.0,111.36,2309.05,0.0,0.0,2440.46,0.0,378.14,116.39,5.36,144.74,0.6,645.23,3085.69,71.1,25.15,0.03,155.59,85.13,33.18,1222.73,1817.32,0.0,0.0,0.0,20.04,51.89,0.0,0.0,10.24,0.0,328.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,61.84,61.84,21.86,1972.75,1994.61,2056.45,0.0,65.68,48.51,439.2,180.47,125.14,119.01,184.98,609.59,3105.24,109.02,3.0,1.56,12.42,126.0,2166.54,43.04,0.6,2344.98,124.36,429.91,101.9,6.87,92.04,5.18,760.26,3105.24,77.68,24.7,0.29,155.56,72.99,33.18,1923.93,1721.13,23.76,100.15,0.0,8.8,54.25,0.7,0.0,0.07,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,61.84,61.84,21.86,2126.41,2148.27,2210.11,0.0,63.46,64.71,453.19,41.82,140.1,120.73,199.62,502.27,3165.57,116.55,23.54,2.69,0.0,142.78,2163.61,37.4,30.6,2392.09,42.09,453.47,90.64,17.47,163.66,6.15,773.48,3165.57,82.46,33.04,0.02,157.31,56.75,33.18,1720.55,1730.31,18.6,20.0,0.0,17.71,50.92,0.53,1.47,0.04,0.0,325.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,61.84,61.84,0.22,2256.23,2256.45,2318.29,0.0,0.0,79.97,79.97,183.57,148.5,514.64,195.24,1041.95,3440.21,125.43,21.25,3.77,0.0,150.45,2225.14,42.08,0.0,2440.87,0.0,651.56,109.11,50.52,181.7,6.44,999.34,3440.21,148.39,37.81,0.6,152.26,79.51,33.18,2388.32,1758.34,0.0,0.0,0.0,23.2,52.83,0.75,0.91,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
