Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,617.21,8.08,625.29,427.75,0.0,-12.65,28.72,3.7,0.0,113.88,63.89,58.07,121.96,12.87,109.09,-11.42,97.67,26.49,71.18,71.18,61.84,1.15,1.15,40.07,64.8,17.69,81.26,28.6
2013-03-31,558.36,20.01,578.37,406.96,0.0,-56.47,36.62,5.67,0.0,130.79,54.8,6.48,61.28,10.7,50.58,-5.63,44.95,7.95,37.0,37.0,61.84,0.6,0.6,40.07,64.8,17.69,81.26,28.6
2013-06-30,666.65,12.94,679.59,385.56,0.45,54.97,34.17,4.04,0.0,120.08,80.32,13.3,93.62,4.99,88.63,24.98,113.61,29.04,84.57,84.57,61.84,1.37,1.37,40.07,64.8,17.69,81.26,28.6
2013-09-30,634.52,17.5,652.02,452.0,0.38,-14.6,34.44,4.15,0.0,136.03,39.62,47.98,87.6,9.1,78.5,157.89,236.39,63.31,173.08,173.08,61.84,2.8,2.8,40.13,64.9,21.71,100.0,35.1
2013-12-31,703.2,15.39,718.59,451.69,0.61,5.71,35.72,4.19,0.0,135.3,85.37,50.31,135.68,15.71,119.97,-6.97,113.0,25.05,87.95,87.95,61.84,1.42,1.42,40.13,64.9,21.71,100.0,35.1
2014-03-31,605.53,27.22,632.75,440.86,2.0,-51.18,27.24,3.97,0.0,147.58,62.28,73.3,135.58,9.4,126.18,-3.7,122.48,21.12,101.36,101.36,61.84,1.64,1.64,40.13,64.9,20.56,94.7,33.24
2014-06-30,707.53,18.52,726.05,422.51,0.3,52.16,36.0,4.51,0.0,129.89,80.68,7.55,88.23,4.27,83.96,-0.95,83.01,23.75,59.26,59.26,61.84,0.96,0.96,40.13,64.9,20.56,94.7,33.24
2014-09-30,681.9,30.47,712.37,490.66,0.5,-16.94,37.38,4.83,0.0,142.01,53.93,119.23,173.16,6.25,166.91,-0.35,166.56,35.34,131.22,131.22,61.84,2.12,2.12,40.13,64.9,20.56,94.7,33.24
2014-12-31,759.14,22.61,781.75,499.62,0.05,-0.65,38.3,5.06,0.0,158.02,81.35,14.99,96.34,13.52,82.82,0.0,82.82,27.21,55.61,55.61,61.84,0.9,0.9,40.13,64.9,20.56,94.7,33.24
2015-03-31,649.14,22.35,671.49,460.08,0.68,-62.56,48.1,5.54,0.0,138.61,81.04,13.39,94.43,10.15,84.28,-67.62,16.66,-26.25,42.91,42.91,63.11,0.68,0.68,40.13,64.9,20.56,94.7,33.24
2015-06-30,783.82,18.5,802.32,477.71,1.13,41.44,42.7,5.41,0.0,125.73,108.2,3.84,112.04,11.81,100.23,0.0,100.23,34.79,65.44,65.44,63.11,1.03,1.03,40.13,64.9,20.56,94.7,33.24
2015-09-30,722.55,25.68,748.23,468.72,0.69,8.06,40.86,5.75,0.0,156.85,67.3,77.83,145.13,12.28,132.85,-3.0,129.85,24.21,105.64,105.64,63.11,1.67,1.67,0.0,0.0,0.0,0.0,0.0
2015-12-31,744.38,16.72,761.1,498.26,6.02,-21.1,45.37,5.63,0.0,137.22,89.7,3.48,93.18,20.14,73.04,-0.97,72.07,22.7,49.37,49.37,63.11,0.78,0.78,0.0,0.0,0.0,0.0,0.0
2016-03-31,676.75,0.0,676.75,444.51,4.09,-32.32,39.69,6.0,0.0,143.65,71.13,26.33,97.46,23.48,73.98,-59.25,14.73,8.69,6.04,6.04,63.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2016-06-30,804.1,15.98,820.08,463.04,1.31,66.36,46.1,5.56,0.0,127.18,110.53,12.74,123.27,12.18,111.09,0.0,111.09,37.83,73.26,73.26,63.11,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2016-09-30,736.85,22.27,759.12,458.51,5.25,3.31,47.48,5.83,0.0,159.75,78.99,50.99,129.98,14.79,115.19,0.0,115.19,28.87,86.32,86.32,63.11,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2016-12-31,769.92,16.51,786.43,479.96,8.06,-10.48,48.83,5.99,0.0,163.12,90.95,18.24,109.19,12.43,96.76,0.0,96.76,24.3,72.46,72.46,63.11,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2017-03-31,696.57,0.0,696.57,464.52,8.41,-60.98,45.41,6.32,0.0,174.41,58.48,14.37,72.85,9.7,63.15,0.0,63.15,19.19,43.96,43.96,63.11,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2017-06-30,859.44,0.0,859.44,455.02,8.7,47.73,51.0,6.28,0.0,136.78,153.93,45.02,198.95,3.12,195.83,18.77,214.6,62.12,152.48,152.48,63.11,2.42,2.42,0.0,0.0,0.0,0.0,0.0
2017-09-30,794.8,0.0,794.8,452.38,7.62,20.55,50.48,6.61,0.0,141.27,115.89,52.17,168.06,3.5,164.56,0.0,164.56,44.31,120.25,120.25,63.11,1.9,1.9,0.0,0.0,0.0,0.0,0.0
2017-12-31,848.43,0.0,848.43,505.69,9.03,-20.02,56.55,6.99,0.0,148.7,141.49,26.29,167.78,3.51,164.27,102.08,266.35,57.92,208.43,208.43,63.11,3.3,3.3,0.0,0.0,0.0,0.0,0.0
2018-03-31,714.65,0.0,714.65,458.46,7.65,-49.93,50.1,7.32,0.0,178.18,62.87,24.1,86.97,3.52,83.45,-5.49,77.96,24.8,53.16,53.16,63.11,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2018-06-30,908.6,0.0,908.6,456.77,5.91,78.56,55.05,7.32,0.0,145.36,159.63,59.9,219.53,3.69,215.84,0.0,215.84,68.13,147.71,147.71,63.11,2.35,2.35,0.0,0.0,0.0,0.0,0.0
2018-09-30,847.28,0.0,847.28,535.67,4.68,-19.96,56.14,7.72,0.0,172.47,90.56,74.15,164.71,2.69,162.02,0.0,162.02,41.72,120.3,120.3,63.11,1.9,1.9,0.0,0.0,0.0,0.0,0.0
2018-12-31,889.73,0.0,889.73,562.67,4.81,-27.59,55.99,7.91,0.0,179.87,106.07,21.85,127.92,3.56,124.36,0.0,124.36,34.7,89.66,89.66,63.11,1.42,1.42,0.0,0.0,0.0,0.0,0.0
2019-03-31,784.05,0.0,784.05,500.86,8.25,-30.85,49.67,8.73,0.0,197.06,50.33,26.61,76.94,3.24,73.7,0.0,73.7,20.44,53.26,53.26,63.11,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2019-06-30,968.82,0.0,968.82,532.14,6.5,66.03,56.23,13.68,0.0,161.03,133.21,38.4,171.61,5.49,166.12,-8.06,158.06,51.96,106.1,106.1,63.11,1.68,1.68,0.0,0.0,0.0,0.0,0.0
2019-09-30,914.14,0.0,914.14,547.2,13.1,-3.59,57.75,15.34,0.0,175.99,108.35,32.53,140.88,5.57,135.31,-1.5,133.81,34.11,99.7,99.7,63.11,1.58,1.58,0.0,0.0,0.0,0.0,0.0
2019-12-31,1463.45,0.0,1463.45,601.49,309.21,-10.28,69.09,29.4,107.69,179.36,177.49,24.81,202.3,7.16,195.14,-0.84,194.3,51.31,142.99,142.99,92.16,1.55,1.55,0.0,0.0,0.0,0.0,0.0
2020-03-31,1335.31,0.0,1335.31,527.09,287.42,-26.4,74.35,33.0,107.92,204.55,127.38,16.7,144.08,6.79,137.29,-41.41,95.88,24.95,70.93,70.93,92.16,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2020-06-30,1605.43,0.0,1605.43,603.91,340.15,5.62,71.77,29.59,56.49,201.81,296.09,45.7,341.79,6.53,335.26,-21.0,314.26,81.95,232.31,232.31,92.16,2.52,2.52,0.0,0.0,0.0,0.0,0.0
2020-09-30,1736.14,0.0,1736.14,863.14,353.86,-87.74,77.45,30.84,90.04,185.66,222.89,33.57,256.46,6.46,250.0,-19.3,230.7,61.31,169.39,169.39,92.16,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2020-12-31,1962.73,0.0,1962.73,1061.64,367.97,-57.43,80.18,32.41,126.64,186.62,164.7,25.02,189.72,7.22,182.5,-6.37,176.13,40.01,136.12,136.12,92.16,1.48,1.48,0.0,0.0,0.0,0.0,0.0
2021-03-31,1850.06,0.0,1850.06,892.96,363.65,22.65,92.18,33.37,123.66,212.91,108.68,28.72,137.4,7.92,129.48,-14.43,115.05,33.36,81.69,81.69,92.16,0.89,0.89,0.0,0.0,0.0,0.0,0.0
2021-06-30,1965.89,0.0,1965.89,886.85,416.94,-20.11,88.36,34.88,86.14,233.79,239.04,146.23,385.27,7.66,377.61,0.0,377.61,73.87,303.74,303.74,92.16,3.3,3.3,0.0,0.0,0.0,0.0,0.0
2021-09-30,1987.5,0.0,1987.5,826.54,403.04,19.05,88.87,36.09,0.0,381.29,232.62,31.05,263.67,7.65,256.02,-7.19,248.83,60.49,188.34,188.34,92.16,2.04,2.04,0.0,0.0,0.0,0.0,0.0
2021-12-31,2030.48,0.0,2030.48,746.38,440.47,57.64,90.91,35.73,0.0,414.44,244.91,23.8,268.71,7.28,261.43,-9.41,252.02,64.54,187.48,187.48,92.16,2.03,2.03,0.0,0.0,0.0,0.0,0.0
2022-03-31,1948.42,0.0,1948.42,735.95,441.18,-10.18,80.27,35.05,142.07,271.51,252.57,37.88,290.45,7.19,283.26,-10.63,272.63,66.44,206.19,206.19,92.16,2.24,2.24,0.0,0.0,0.0,0.0,0.0
2022-06-30,2076.88,0.0,2076.88,747.94,551.55,-10.26,97.86,35.09,127.48,255.48,271.74,53.9,325.64,7.14,318.5,-11.1,307.4,74.57,232.83,232.83,92.16,2.53,2.53,0.0,0.0,0.0,0.0,0.0
