Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1746.05,1746.05,855.63,453.45,6.8,101.17,18.01,196.46,114.53,25.97,140.5,-3.23,143.73,0.0,143.73,37.57,106.16,0.0,106.16,128.3,0.0,1.66,1.66,37.4,58.31,13.95,52.14,21.74
2013-03-31,2059.87,2059.87,979.81,552.62,41.61,107.62,19.3,236.23,122.68,9.08,131.76,-8.64,140.4,0.0,140.4,32.68,107.72,0.0,107.72,128.3,0.0,1.68,1.68,37.4,58.31,10.28,38.42,16.02
2013-06-30,1819.42,1819.42,878.56,542.75,-51.67,113.17,21.18,184.22,131.21,29.83,161.04,-6.6,167.64,0.0,167.64,43.01,124.63,0.0,124.63,128.3,0.0,1.94,1.94,37.4,58.31,9.58,35.82,14.93
2013-09-30,1765.85,1765.85,827.14,452.13,38.03,115.23,21.69,174.31,137.32,29.51,166.83,-10.7,177.53,0.0,177.53,42.73,134.8,0.0,134.8,125.94,0.0,2.12,2.12,36.22,57.53,8.49,31.74,13.48
2013-12-31,1867.65,1867.65,925.89,485.06,-22.29,121.72,21.95,187.98,147.34,29.42,176.76,-0.91,177.67,0.0,177.67,42.13,135.54,0.0,135.54,125.82,0.0,2.14,2.14,36.16,57.49,12.22,45.71,19.43
2014-03-31,2036.65,2036.65,985.93,513.27,23.16,126.42,24.53,202.72,160.62,25.18,185.8,-3.81,189.61,0.0,189.61,63.49,126.12,0.0,126.12,125.35,0.0,1.99,1.99,35.93,57.33,11.38,42.55,18.16
2014-06-30,1904.69,1904.69,839.14,582.93,-18.79,131.97,23.89,198.4,147.15,20.25,167.4,-4.2,171.6,0.0,171.6,45.04,126.56,0.0,126.56,125.35,0.0,2.02,2.02,35.93,57.33,10.9,40.77,17.4
2014-09-30,1923.48,1923.48,908.77,497.21,3.23,130.28,23.96,217.01,143.02,28.82,171.84,-3.84,175.68,0.0,175.68,49.72,125.96,0.0,125.96,125.35,0.0,2.01,2.01,35.93,57.33,10.32,38.58,16.46
2014-12-31,1858.21,1858.21,900.99,483.88,-11.06,125.2,24.22,196.78,138.2,22.35,160.55,-9.16,169.71,267.54,437.25,42.23,395.02,0.0,395.02,125.35,0.0,6.3,6.3,41.13,65.62,7.29,33.86,11.64
2015-03-31,2147.62,2147.62,988.69,594.73,53.28,133.21,23.66,224.94,129.11,31.98,161.09,-7.4,168.49,-52.32,116.17,31.36,84.81,0.0,84.81,125.35,0.0,1.35,1.35,41.13,65.62,7.39,34.28,11.79
2015-06-30,769.98,769.98,642.45,27.89,-101.1,95.0,27.48,118.0,-39.74,65.91,26.17,5.63,20.54,-1.1,19.44,9.11,10.33,63.79,74.12,125.35,0.0,1.18,1.18,41.13,65.62,7.24,33.6,11.55
2015-09-30,1150.33,1150.33,691.78,20.86,53.7,89.53,27.05,201.44,65.97,39.4,105.37,5.79,99.58,-0.13,99.45,30.66,68.79,32.37,101.16,125.35,0.0,1.61,1.61,0.0,0.0,0.0,0.0,0.0
2015-12-31,1053.02,1053.02,684.59,25.16,-1.43,88.86,24.98,200.77,30.09,49.99,80.08,9.35,70.73,-92.56,-21.83,-4.65,-17.18,-4.28,-21.46,125.35,0.0,-0.34,-0.34,0.0,0.0,0.0,0.0,0.0
2016-03-31,1205.29,1205.29,762.14,44.7,-15.45,94.43,21.37,241.11,56.99,71.03,128.02,19.1,108.92,-1426.01,-1317.09,5.81,-1322.9,-1.22,-1324.12,125.35,0.0,-21.13,-21.13,0.0,0.0,0.0,0.0,0.0
2016-06-30,1042.93,1042.93,766.37,56.25,-60.36,97.18,24.23,121.94,37.32,35.93,73.25,25.25,48.0,0.0,48.0,9.73,38.27,0.0,38.27,125.35,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.0
2016-09-30,1208.13,1208.13,777.13,36.15,1.39,91.14,20.19,216.1,66.03,67.88,133.91,35.77,98.14,0.0,98.14,8.2,89.94,0.0,89.94,125.35,0.0,1.44,1.44,0.0,0.0,0.0,0.0,0.0
2016-12-31,1160.12,1160.12,747.58,26.91,-0.22,88.08,23.53,221.16,53.08,58.5,111.58,47.09,64.49,-3.39,61.1,-11.2,72.3,-29.87,42.43,125.35,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0
2017-03-31,1284.49,1284.49,877.34,107.44,-109.65,85.67,21.73,242.33,59.63,35.02,94.65,55.82,38.83,-57.88,-19.05,-10.09,-8.96,-3.21,-12.17,125.35,0.0,-0.19,-0.19,0.0,0.0,0.0,0.0,0.0
2017-06-30,1260.68,1260.68,788.84,16.26,56.12,85.45,22.92,248.71,42.38,42.82,85.2,52.5,32.7,12.49,45.19,14.2,30.99,0.0,30.99,125.35,0.0,0.49,0.49,0.0,0.0,0.0,0.0,0.0
2017-09-30,1208.5,1208.5,806.37,12.03,70.77,88.62,26.53,153.6,50.58,61.47,112.05,54.14,57.91,-18.94,38.97,-0.2,39.17,-30.0,9.17,125.35,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2017-12-31,1179.38,1179.38,877.12,11.52,-28.75,91.93,26.23,140.45,60.88,45.44,106.32,53.57,52.75,-42.58,10.17,0.96,9.21,0.0,9.21,125.35,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2018-03-31,1430.85,1430.85,980.66,6.84,80.93,97.44,26.42,149.28,89.28,48.35,137.63,53.77,83.86,-404.37,-320.51,21.17,-341.68,-32.41,-374.09,125.35,0.0,-5.45,-5.45,0.0,0.0,0.0,0.0,0.0
2018-06-30,1179.84,1179.84,870.81,4.68,-74.56,100.56,25.72,187.43,65.2,37.45,102.65,51.67,50.98,1.46,52.44,15.63,36.81,0.0,36.81,125.35,0.0,0.59,0.59,0.0,0.0,0.0,0.0,0.0
2018-09-30,1388.12,1388.12,893.52,3.91,56.75,102.55,25.87,204.09,101.43,38.41,139.84,58.42,81.42,-34.92,46.5,18.1,28.4,0.0,28.4,125.35,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2018-12-31,1370.3,1370.3,966.68,12.45,-9.31,87.2,26.12,205.19,81.97,51.39,133.36,68.43,64.93,-138.52,-73.59,-6.77,-66.82,0.0,-66.82,125.35,0.0,-1.07,-1.07,0.0,0.0,0.0,0.0,0.0
2019-03-31,1417.34,1417.34,997.55,13.75,-45.23,103.26,26.19,317.35,4.47,79.37,83.84,110.35,-26.51,-1477.51,-1504.02,-46.16,-1457.86,-21.94,-1479.8,125.35,2402.01,-23.61,-23.61,0.0,0.0,0.0,0.0,0.0
2019-06-30,1188.59,1188.59,818.83,18.85,-25.37,86.8,25.87,197.29,66.32,19.97,86.29,70.84,15.45,0.0,15.45,-7.93,23.38,0.0,23.38,125.35,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2019-09-30,957.36,957.36,573.97,26.15,65.36,85.9,25.85,135.93,44.2,19.76,63.96,71.0,-7.04,0.0,-7.04,-7.93,0.89,0.0,0.89,125.35,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-12-31,558.12,558.12,249.87,5.95,134.62,78.65,22.79,94.01,-27.77,10.36,-17.41,67.34,-84.75,-50.73,-135.48,-8.8,-126.68,0.0,-126.68,125.35,0.0,-2.03,-2.03,0.0,0.0,0.0,0.0,0.0
2020-03-31,465.41,465.41,304.67,9.97,-3.32,71.58,21.38,141.19,-80.06,6.79,-73.27,72.6,-145.87,-124.45,-270.32,-85.96,-184.36,0.0,-184.36,125.35,0.0,-2.94,-2.94,0.0,0.0,0.0,0.0,0.0
2020-06-30,235.69,235.69,141.27,5.93,23.94,64.38,21.0,61.3,-82.13,9.59,-72.54,64.61,-137.15,-272.54,-409.69,12.06,-421.75,0.0,-421.75,125.35,0.0,-6.73,-6.73,0.0,0.0,0.0,0.0,0.0
2020-09-30,564.8,564.8,400.02,14.55,-43.3,64.4,20.6,85.31,23.22,7.77,30.99,70.87,-39.88,-88.64,-128.52,6.38,-134.9,0.0,-134.9,125.35,0.0,-2.15,-2.15,0.0,0.0,0.0,0.0,0.0
2020-12-31,703.3,703.3,465.3,21.58,-18.11,65.79,19.97,91.38,57.39,10.86,68.25,10.17,58.08,-799.52,-741.44,-415.39,-326.05,0.0,-326.05,267.6,0.0,-3.67,-3.67,0.0,0.0,0.0,0.0,0.0
2021-03-31,1022.1,1022.1,755.4,42.63,-59.61,64.33,19.64,164.91,34.8,13.95,48.75,20.6,28.15,84.62,112.77,-561.0,673.77,0.0,673.77,267.6,0.0,5.04,4.53,0.0,0.0,0.0,0.0,0.0
2021-06-30,953.82,953.82,675.32,35.67,-17.0,67.33,18.85,99.43,74.22,14.77,88.99,16.11,72.88,-4.89,67.99,23.47,44.52,0.0,44.52,267.6,0.0,0.33,0.3,0.0,0.0,0.0,0.0,0.0
2021-09-30,1351.88,1351.88,995.23,36.91,-48.75,66.19,18.66,144.86,138.78,15.13,153.91,16.82,137.09,3.03,140.12,46.45,93.67,0.0,93.67,270.37,0.0,0.7,0.62,0.0,0.0,0.0,0.0,0.0
2021-12-31,1446.23,1446.23,1001.45,41.5,-18.18,75.53,18.5,156.74,170.69,7.22,177.91,17.05,160.86,241.81,402.67,43.06,359.61,0.0,359.61,270.37,0.0,2.66,2.37,0.0,0.0,0.0,0.0,0.0
2022-03-31,1407.25,1407.25,929.71,50.79,50.01,78.47,17.71,141.68,138.88,8.72,147.6,16.4,131.2,-0.37,130.83,21.81,109.02,0.0,109.02,288.37,0.0,0.78,0.74,0.0,0.0,0.0,0.0,0.0
2022-06-30,1558.59,1558.59,1134.68,77.5,-77.66,88.57,18.7,159.65,157.15,12.73,169.88,5.16,164.72,1.26,165.98,41.59,124.39,0.0,124.39,305.42,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2022-09-30,1588.05,1588.05,1004.16,50.69,47.16,80.32,18.68,163.42,223.62,17.29,240.91,4.27,236.64,0.89,237.53,59.54,177.99,0.0,177.99,305.42,0.0,1.17,1.17,0.0,0.0,0.0,0.0,0.0
2022-12-31,1645.27,1645.27,1112.36,63.1,-29.08,79.46,18.63,159.09,241.71,35.03,276.74,3.13,273.61,50.8,324.41,81.66,242.75,0.0,242.75,305.42,0.0,1.59,1.59,0.0,0.0,0.0,0.0,0.0
2023-03-31,1787.72,1787.72,1130.9,77.32,61.39,83.0,18.68,177.0,239.43,14.6,254.03,2.0,252.03,3.12,255.15,14.92,240.23,0.0,240.23,305.43,0.0,1.57,1.57,0.0,0.0,0.0,0.0,0.0
2023-06-30,1766.01,1766.01,1264.63,79.43,-90.82,94.58,20.17,167.53,230.49,25.9,256.39,0.77,255.62,0.0,255.62,63.56,192.06,0.0,192.06,305.43,0.0,1.26,1.26,0.0,0.0,0.0,0.0,0.0
