Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Trade/Other Goods,Preference Share Capital,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,52.37,52.37,272.12,288.11,0.0,340.48,151.97,10.27,0.0,0.0,162.24,181.68,571.89,38.5,37.86,829.93,1332.65,357.59,0.0,10.87,0.0,368.46,69.93,0.0,0.0,0.0,438.39,0.0,174.26,526.85,76.15,117.0,0.0,894.26,1332.65,75.37,10.55,2.48,178.9,2.75,16.2,5.41,65.91,0.0,93.66,0.0,5.11,15.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,5.24,5.24,34.07,35.64,0.0,40.88,20.37,0.0,0.0,0.0,20.37,11.09,43.95,13.2,1.57,69.81,131.05,34.19,0.02,0.95,0.0,35.15,6.82,0.0,0.0,0.0,41.97,0.0,17.71,54.11,7.34,9.92,0.0,89.08,131.05,10.31,2.12,0.86,29.59,0.24,1.62,0.39,6.48,0.0,13.13,0.0,1.18,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,52.37,52.37,468.77,484.01,0.0,536.38,207.38,39.92,0.0,0.0,247.3,42.39,551.38,190.99,59.99,844.75,1628.43,348.39,1.32,14.08,0.0,363.79,102.13,28.82,0.0,0.0,494.74,0.0,191.81,659.64,125.13,157.11,0.0,1133.69,1628.43,357.03,25.26,3.17,466.89,7.54,16.2,3.73,98.71,0.0,172.68,0.0,9.21,15.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,73.32,73.32,586.01,600.98,0.0,674.3,162.41,45.31,0.0,0.0,207.72,107.62,654.78,234.6,158.04,1155.04,2037.06,387.77,2.23,43.38,0.0,433.38,135.11,7.73,0.0,0.0,576.22,0.0,247.01,803.89,173.58,236.37,0.0,1460.85,2037.06,675.38,33.69,4.09,615.65,0.57,37.15,3.68,131.69,0.0,314.87,0.0,24.16,14.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,73.32,73.32,842.67,857.43,0.0,930.75,71.41,67.0,0.0,0.0,138.41,16.15,779.63,261.57,254.1,1311.45,2380.6,488.36,4.35,22.59,0.0,515.3,194.33,14.75,0.0,0.0,724.38,0.0,262.95,956.22,157.65,279.4,0.0,1656.22,2380.6,801.03,27.03,4.62,756.45,0.8,37.15,31.17,163.49,0.0,325.76,0.0,11.36,14.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,73.32,73.32,1153.99,1168.57,0.0,1241.89,53.67,78.21,0.0,0.0,131.88,0.0,902.26,285.41,510.38,1698.05,3071.82,500.22,10.49,12.95,0.0,523.66,265.52,14.29,0.0,0.0,803.47,0.0,281.32,1012.26,472.51,502.26,0.0,2268.35,3071.82,788.21,46.95,4.23,1157.65,1.46,37.15,100.44,165.16,0.0,426.78,0.0,13.56,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,128.3,128.3,1622.0,1636.42,0.0,1764.72,26.78,88.03,0.0,0.0,114.81,0.0,1016.04,430.56,395.9,1842.5,3722.03,521.46,12.35,33.03,0.0,566.84,688.06,4.61,0.0,0.0,1259.51,0.0,303.53,1212.79,548.5,397.7,0.0,2462.52,3722.03,362.56,77.93,4.24,1226.97,5.6,92.13,302.97,387.54,0.0,472.2,0.0,3.84,14.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,128.3,128.3,2161.51,2175.78,0.0,2304.08,5.08,73.52,67.36,8.4,154.36,0.0,1095.42,374.88,160.88,1631.18,4089.62,820.15,55.15,41.66,5.57,922.53,379.02,0.0,18.36,0.0,1319.91,402.62,405.72,1510.18,150.89,252.54,47.76,2769.71,4089.62,278.74,61.47,3.48,842.52,18.57,92.13,0.49,378.53,405.13,452.51,5.45,8.39,14.27,70.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,128.3,128.3,2558.56,2572.58,0.0,2700.88,2.06,43.23,8.15,11.97,65.41,0.2,1171.03,494.65,138.32,1804.2,4570.49,530.89,65.27,58.29,21.03,675.48,551.59,0.0,24.12,0.0,1251.19,500.91,449.6,1735.62,320.1,263.19,49.88,3319.3,4570.49,326.08,55.69,3.39,752.1,26.97,92.13,0.49,551.1,501.55,557.98,3.32,33.6,14.02,95.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,128.3,128.3,2914.93,2928.55,0.0,3056.85,0.75,49.83,27.33,38.09,116.0,12.93,1514.31,421.66,147.87,2096.77,5269.62,604.32,56.17,74.91,39.86,775.26,554.58,0.0,18.1,0.0,1347.94,500.46,548.5,1840.62,288.79,693.57,49.74,3921.68,5269.62,1422.59,66.49,2.36,748.52,27.04,92.13,0.46,554.12,500.46,598.14,2.88,28.85,13.62,130.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
