Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,5791.01,1809.42,297.61,124.65,937.14,5714.21,833.06,556.77,1855.79,915.78,940.01,136.53,803.48,803.48,574.52,62.72,10.93,10.59,14.0,14.0,8625.06,5455.48,3.08,1.97,0.75,21.39,37.28,35.99,100.0,62.72
2013-03-31,5926.43,1720.14,398.43,126.61,1093.94,5695.6,854.7,640.17,2075.08,1510.63,564.45,-192.12,756.57,756.57,596.64,64.11,11.35,11.02,13.04,13.04,8765.25,5947.31,2.99,2.06,0.68,21.39,35.89,38.2,100.0,64.11
2013-06-30,6190.4,1885.13,465.49,0.22,1180.77,6004.22,962.51,574.89,2180.39,694.56,1485.83,521.65,964.18,964.18,596.64,64.11,0.0,10.66,16.18,16.18,9413.45,6408.87,3.04,2.1,0.8,21.39,35.89,38.2,100.0,64.11
2013-09-30,6631.44,2128.64,478.91,0.3,1100.26,6712.13,896.82,628.12,2102.48,1232.28,870.2,248.43,621.77,621.77,596.64,64.11,0.0,10.86,10.43,10.43,9880.07,6156.58,2.93,1.85,0.48,21.39,35.89,38.2,100.0,64.11
2013-12-31,7016.69,2206.59,545.91,-0.03,1097.13,7050.12,988.67,683.52,2143.98,1403.74,740.24,154.42,585.82,585.82,643.0,66.7,0.0,10.66,9.66,9.66,10023.09,6147.08,2.81,1.75,0.42,21.39,33.3,42.84,100.0,66.7
2014-03-31,7280.75,2184.6,513.06,382.0,913.68,7313.1,1143.15,821.79,1996.05,1547.27,448.78,-108.73,557.51,557.51,643.0,66.7,0.0,10.76,8.68,8.68,11868.6,7417.23,3.15,2.0,0.39,21.39,33.3,42.84,100.0,66.7
2014-06-30,7536.62,2281.39,485.93,0.32,1024.47,7617.77,1072.57,578.09,2060.3,893.07,1167.23,361.54,805.69,805.69,643.0,66.7,0.0,10.79,12.53,12.53,12532.49,8041.56,3.28,2.14,0.53,21.39,33.3,42.84,100.0,66.7
2014-09-30,8093.78,2388.12,611.1,0.06,1006.39,8062.34,1134.77,766.8,2135.54,963.43,1172.11,386.11,786.0,786.0,643.0,66.7,0.0,11.5,12.24,12.24,14127.09,9101.35,3.54,2.32,0.49,21.39,33.3,42.84,100.0,66.7
2014-12-31,8013.2,2354.98,499.34,0.24,1079.69,8087.6,1288.19,706.28,1865.38,1580.72,284.66,111.28,173.38,173.38,643.0,66.7,0.0,11.21,2.7,2.7,16693.66,10061.3,4.07,2.5,0.11,21.39,33.3,42.84,100.0,66.7
2015-03-31,8034.56,2375.42,546.88,207.97,1122.15,8318.54,1490.29,1051.6,1426.55,2255.49,-828.94,-772.8,-56.14,-56.14,665.65,64.43,0.0,11.42,-0.87,-0.87,22193.24,13517.57,5.39,3.36,0.03,23.65,35.57,42.84,100.0,64.43
2015-06-30,8024.32,2304.91,428.14,61.22,840.57,7905.91,1119.36,929.68,1704.21,1514.73,189.48,59.76,129.72,129.72,665.65,64.43,0.0,11.44,1.95,1.95,26889.17,15788.95,6.8,4.11,0.08,23.65,35.57,42.84,100.0,64.43
2015-09-30,7830.33,2157.77,459.86,91.91,778.1,7520.13,1278.21,1061.37,1458.26,3237.39,-1779.13,-652.89,-1126.24,-1126.24,791.91,70.13,0.0,11.95,-16.9,-16.9,29893.67,16466.48,7.55,4.31,-0.71,23.65,29.87,55.54,100.0,70.13
2015-12-31,7180.96,2369.68,407.36,81.68,1047.27,7331.64,1305.23,1041.11,1408.97,3603.92,-2194.95,-689.37,-1505.58,-1505.58,791.91,70.13,0.0,12.06,-19.01,-19.01,36519.14,19978.6,9.18,5.25,-0.93,0.0,0.0,0.0,0.0,0.0
2016-03-31,7335.3,2119.77,928.57,117.68,883.59,7314.16,1654.43,952.13,1464.19,5470.36,-4006.17,-419.06,-3587.11,-3587.11,817.29,73.72,0.0,0.0,-44.22,-44.22,49879.12,27996.39,13.07,7.79,-2.2,0.0,0.0,0.0,0.0,0.0
2016-06-30,6737.27,2113.93,466.81,107.92,1238.43,6650.76,1288.41,1071.33,1653.86,2770.19,-1116.33,-374.97,-741.36,-741.36,934.77,70.32,0.0,12.22,-8.32,-8.32,51874.5,28260.4,13.38,7.78,-0.45,0.0,0.0,0.0,0.0,0.0
2016-09-30,6928.32,2126.14,296.49,107.53,2010.63,6738.74,1395.0,842.53,2492.84,2296.22,196.62,69.78,126.84,126.84,1055.43,73.72,0.0,0.0,1.32,1.32,52261.95,27467.05,13.45,7.56,0.1,0.0,0.0,0.0,0.0,0.0
2016-12-31,6757.98,2337.93,423.74,305.1,1769.25,6962.14,1318.78,854.64,2458.44,2302.57,155.87,54.15,101.72,101.72,1055.43,73.72,0.0,0.0,0.96,0.96,51781.06,25534.41,13.38,7.09,0.06,0.0,0.0,0.0,0.0,0.0
2017-03-31,6764.29,2481.92,825.19,510.31,1754.02,7113.11,1394.44,700.69,3127.49,4736.21,-1608.72,-563.18,-1045.54,-1045.54,1055.43,73.72,0.0,0.0,-9.91,-9.91,52044.52,25305.03,13.22,6.9,-0.61,0.0,0.0,0.0,0.0,0.0
2017-06-30,6348.56,2207.96,795.3,143.83,1610.96,6962.62,921.69,842.87,2379.43,2245.28,134.15,46.44,87.71,87.71,1072.93,72.52,0.0,0.0,0.83,0.83,51019.11,24369.98,13.05,6.7,0.05,0.0,0.0,0.0,0.0,0.0
2017-09-30,6695.75,2240.23,777.41,180.7,1706.38,6985.85,1269.06,1112.51,2233.05,1953.3,279.75,100.68,179.07,179.07,1185.29,75.12,0.0,0.0,1.57,1.57,49306.9,23565.73,12.62,6.47,0.11,0.0,0.0,0.0,0.0,0.0
2017-12-31,6331.06,2289.86,609.32,104.6,1041.19,6833.61,1182.79,1005.29,1354.34,4899.72,-3545.38,-1204.18,-2341.2,-2341.2,1185.29,75.12,0.0,0.0,-19.76,-19.76,64248.58,36117.23,16.93,10.29,-1.36,0.0,0.0,0.0,0.0,0.0
2018-03-31,5919.94,2415.49,549.67,461.74,1375.23,6782.99,1529.73,1237.23,1172.12,6674.12,-5502.0,-1532.73,-3969.27,-3969.27,1743.72,83.09,0.0,0.0,-32.65,-32.65,62328.46,28207.27,16.58,8.26,-2.36,0.0,0.0,0.0,0.0,0.0
2018-06-30,6713.64,2446.43,650.37,202.42,830.1,6658.56,1089.45,1225.76,1869.19,2564.19,-695.0,-790.11,95.11,95.11,1743.72,83.09,0.0,0.0,0.55,0.55,60604.46,27932.25,16.66,8.45,0.06,0.0,0.0,0.0,0.0,0.0
2018-09-30,6494.52,2435.2,749.44,90.66,1030.42,6843.03,1390.31,919.89,1647.01,3343.27,-1696.26,-540.01,-1156.25,-1156.25,1743.72,83.09,0.0,0.0,-6.63,-6.63,61560.65,25994.15,16.36,7.64,-0.7,0.0,0.0,0.0,0.0,0.0
2018-12-31,6952.89,2428.78,703.06,86.28,1668.52,6838.83,1507.41,1220.47,2272.82,9000.72,-6727.9,-1990.34,-4737.56,-4737.56,1743.72,83.09,0.0,0.0,-27.18,-27.18,60797.55,19437.35,16.31,5.87,-2.85,0.0,0.0,0.0,0.0,0.0
2019-03-31,7089.3,2662.48,734.79,327.55,1602.96,6769.72,2033.88,1310.3,2303.18,1897.43,405.75,153.96,251.79,251.79,2760.03,87.05,0.0,0.0,1.13,1.13,60661.12,19118.95,15.84,5.61,0.15,0.0,0.0,0.0,0.0,0.0
2019-06-30,6924.16,2631.67,702.4,73.94,1194.78,6846.75,1407.47,1001.38,2271.35,1911.98,359.37,116.75,242.62,242.62,3277.66,89.1,0.0,0.0,0.77,0.77,62068.4,19288.34,16.5,5.79,0.14,0.0,0.0,0.0,0.0,0.0
2019-09-30,7341.94,2588.49,648.71,79.0,1327.36,6797.68,1606.7,1121.28,2459.84,2052.27,407.57,141.2,266.37,266.37,3277.66,89.1,0.0,0.0,0.81,0.81,61475.6,19645.83,16.31,5.87,0.16,0.0,0.0,0.0,0.0,0.0
2019-12-31,7331.32,2713.52,594.86,195.22,2503.17,6716.89,1454.33,1031.99,4134.88,4015.2,119.68,14.16,105.52,105.52,3277.66,89.1,0.0,0.0,0.32,0.32,61730.54,20113.34,16.3,5.97,0.06,0.0,0.0,0.0,0.0,0.0
2020-03-31,7207.32,2770.47,485.55,64.68,1687.76,6734.97,1672.95,1155.3,2652.56,8141.92,-5489.36,-1917.95,-3571.41,-3571.41,3277.66,89.1,0.0,0.0,-10.9,-10.9,61549.93,14320.1,14.78,3.88,-2.02,0.0,0.0,0.0,0.0,0.0
2020-06-30,6992.31,2803.2,380.62,58.11,1707.28,6753.1,1450.55,893.35,2844.52,1512.07,1332.45,488.85,843.6,843.6,3277.66,89.1,0.0,0.0,2.57,2.57,57787.78,13274.95,13.91,3.58,0.46,0.0,0.0,0.0,0.0,0.0
2020-09-30,7289.31,2903.51,262.25,340.44,1613.15,6682.21,1502.77,1126.01,3097.67,2312.29,785.38,259.6,525.78,525.78,3277.66,89.1,0.0,0.0,1.6,1.6,56231.76,10443.71,13.79,2.89,0.28,0.0,0.0,0.0,0.0,0.0
2020-12-31,6941.46,2926.19,319.84,55.61,2067.82,6503.56,1856.25,1115.45,2835.66,1980.1,855.56,314.84,540.72,540.72,3277.66,89.1,0.0,0.0,1.65,1.65,54997.03,9077.32,13.25,2.46,0.28,0.0,0.0,0.0,0.0,0.0
2021-03-31,6183.66,2914.89,179.38,48.67,2053.24,6390.74,1663.41,1231.32,2094.37,1831.04,263.33,13.14,250.19,250.19,3277.66,89.1,0.0,0.0,0.76,0.76,56534.95,12262.03,13.77,3.35,0.13,0.0,0.0,0.0,0.0,0.0
2021-06-30,6017.81,2860.79,155.29,287.42,2376.82,6176.7,1709.33,1005.89,2806.21,1709.12,1097.09,377.09,720.0,720.0,3698.83,90.34,0.0,0.0,2.14,2.14,56041.63,12424.13,13.51,3.35,0.37,0.0,0.0,0.0,0.0,0.0
2021-09-30,6509.84,2794.88,170.61,46.98,2136.28,5998.83,1736.44,1245.72,2677.6,893.8,1783.8,732.82,1050.98,1050.98,4104.31,81.41,0.0,0.0,2.74,2.74,50270.13,10576.22,12.0,2.79,0.53,0.0,0.0,0.0,0.0,0.0
2021-12-31,6432.26,2737.61,162.81,43.24,1835.22,5968.02,1832.0,1315.38,2095.74,334.93,1760.81,733.36,1027.45,1027.45,4104.31,81.41,0.0,0.0,2.5,2.5,45759.76,10708.02,10.46,2.66,0.51,0.0,0.0,0.0,0.0,0.0
2022-03-31,6881.6,2722.98,134.68,117.02,1587.17,5870.18,1777.76,1329.85,2465.66,1540.61,925.05,318.78,606.27,606.27,4104.31,81.41,0.0,0.0,1.48,1.48,45605.4,9851.93,9.98,2.34,0.3,0.0,0.0,0.0,0.0,0.0
2022-06-30,6969.18,2785.35,177.35,40.76,1151.72,5900.21,1809.16,1232.18,2182.81,1321.74,861.07,299.58,561.49,561.49,4104.31,81.41,0.0,0.0,1.37,1.37,44414.67,9775.23,9.3,2.21,0.29,0.0,0.0,0.0,0.0,0.0
2022-09-30,8130.3,2876.27,314.82,176.01,1417.32,6413.8,1932.57,1194.17,3374.18,1912.06,1462.12,502.12,960.0,960.0,4104.31,81.41,0.0,0.0,2.34,2.34,42014.4,8836.18,8.51,1.92,0.47,0.0,0.0,0.0,0.0,0.0
2022-12-31,8827.72,2985.08,560.07,354.88,1431.85,7132.72,1783.43,1591.52,3651.93,1878.98,1772.95,621.94,1151.01,1151.01,4104.31,81.41,0.0,0.0,2.8,2.8,38884.61,7646.19,7.66,1.61,0.55,0.0,0.0,0.0,0.0,0.0
2023-03-31,9440.41,3296.5,614.15,98.88,3099.0,7926.09,2866.68,1572.46,4183.71,2050.53,2133.18,782.73,1350.45,1350.45,4104.31,81.41,0.0,0.0,3.29,3.29,37685.56,8053.61,7.31,1.66,0.63,0.0,0.0,0.0,0.0,0.0
2023-06-30,9681.17,3475.92,687.38,514.16,1462.45,8444.6,2257.18,1367.35,3751.95,824.16,2927.79,1376.72,1551.07,1551.07,4104.31,81.41,0.0,0.0,3.78,3.78,34582.01,8118.68,6.67,1.65,0.71,0.0,0.0,0.0,0.0,0.0
2023-09-30,10588.02,3482.94,782.36,117.86,1687.95,9231.67,2178.33,1493.57,3755.56,818.31,2937.25,1478.82,1458.43,1458.43,4104.31,81.41,0.0,0.0,3.55,3.55,31718.78,7978.26,5.84,1.54,0.67,0.0,0.0,0.0,0.0,0.0
