Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Trade/Other Goods,Capital Goods,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools"
2004-03-31,33.32,33.32,3220.11,3220.11,0.0,3253.43,0.0,0.0,0.0,11.36,549.08,1323.08,1883.52,5136.95,724.68,42.14,203.48,970.3,1027.38,35.63,0.0,0.0,2033.31,0.0,632.51,1638.01,832.68,0.44,3103.64,5136.95,197.02,1926.64,10.64,4531.54,1.02,28.94,0.0,1027.38,0.0,0.0,0.0,70.64,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,135.29,135.29,5106.44,5106.44,0.0,5241.73,0.0,0.0,0.0,0.96,577.6,767.48,1346.04,6587.77,1134.76,42.14,317.52,1494.42,1328.7,34.03,0.0,0.0,2857.15,0.0,1252.82,1481.54,984.96,11.3,3730.62,6587.77,289.87,2762.96,71.49,6103.02,2.0,129.25,0.0,1328.7,0.0,0.0,0.0,130.87,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,138.0,138.0,6759.0,6759.0,0.0,6897.0,0.0,0.0,0.0,6.0,802.0,1409.0,2217.0,9114.0,1562.0,0.0,571.0,2133.0,876.0,56.0,0.0,0.0,3065.0,0.0,1518.0,3279.0,1252.0,0.0,6049.0,9114.0,523.0,3327.0,50.0,8649.0,6.0,129.25,0.0,876.0,0.0,0.0,0.0,211.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,286.0,286.0,10876.0,10876.0,0.0,11162.0,0.0,0.0,0.0,23.0,1139.0,662.0,1824.0,12986.0,2150.0,0.0,957.0,3107.0,839.0,79.0,0.0,0.0,4025.0,0.0,2292.0,5507.0,1162.0,0.0,8961.0,12986.0,670.0,5387.0,188.0,12143.0,13.0,267.66,0.0,839.0,0.0,0.0,0.0,258.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,286.0,286.0,13204.0,13204.0,0.0,13490.0,0.0,0.0,0.0,36.0,1447.0,2248.0,3731.0,17221.0,2671.0,0.0,1260.0,3931.0,964.0,99.0,0.0,0.0,4994.0,0.0,3093.0,6429.0,2705.0,0.0,12227.0,17221.0,603.0,6484.0,137.0,14468.0,22.0,267.66,0.0,964.0,0.0,0.0,0.0,296.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,286.0,286.0,17523.0,17523.0,0.0,17809.0,37.0,0.0,37.0,35.0,1472.0,1798.0,3305.0,21151.0,3787.0,12.0,615.0,4414.0,1005.0,139.0,0.0,0.0,5558.0,0.0,3390.0,9039.0,3164.0,0.0,15593.0,21151.0,347.0,8043.0,408.0,19812.0,24.0,267.66,0.0,1005.0,0.0,0.0,0.0,207.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,287.0,287.0,21749.0,21749.0,0.0,22036.0,232.0,0.0,232.0,96.0,1667.0,2035.0,3798.0,26066.0,3767.0,12.0,409.0,4188.0,4636.0,313.0,0.0,0.0,9137.0,0.0,3244.0,9797.0,3888.0,0.0,16929.0,26066.0,295.0,8389.0,252.0,21072.0,3.0,267.66,0.0,4636.0,0.0,0.0,0.0,91.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,287.0,287.0,24214.0,24214.0,0.0,24501.0,0.0,0.0,0.0,0.0,1880.0,2473.0,4353.0,28854.0,4056.0,0.0,249.0,4305.0,1325.0,230.0,0.0,0.0,5860.0,0.0,4212.0,13665.0,3617.0,1500.0,22994.0,28854.0,1016.0,10765.0,0.0,23960.0,0.0,267.66,0.0,1325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,287.0,287.0,29470.0,29470.0,0.0,29757.0,0.0,0.0,0.0,0.0,2454.0,3604.0,6058.0,35815.0,4061.0,0.0,588.0,4649.0,1409.0,189.0,0.0,0.0,6247.0,0.0,5404.0,18057.0,4594.0,1513.0,29568.0,35815.0,1024.0,13532.0,0.0,31187.0,0.0,267.66,0.0,1409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,287.0,287.0,35772.0,35772.0,0.0,36059.0,56.0,120.0,176.0,178.0,2827.0,3788.0,6793.0,43028.0,4425.0,28.0,1135.0,5588.0,2764.0,378.0,1529.0,31.0,10290.0,1580.0,6365.0,20401.0,2175.0,2217.0,32738.0,43028.0,1693.0,16834.0,344.0,36020.0,87.0,267.66,317.0,2456.0,0.0,1580.0,3.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
