Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1273.99,7.5,1281.49,944.57,10.68,-49.42,80.36,26.83,177.71,90.76,3.0,93.76,53.04,40.72,-10.67,30.05,8.91,21.14,21.14,41.06,5.15,5.15,2.16,52.66,1.94,100.0,47.34
2013-03-31,1377.19,5.64,1382.83,766.37,8.79,192.38,91.43,32.86,187.59,103.41,3.56,106.97,58.98,47.99,-1.04,46.95,13.25,33.7,33.7,41.06,8.21,8.21,0.22,52.66,1.94,100.0,47.34
2013-06-30,1480.42,3.87,1484.29,1019.37,11.81,-34.17,101.97,37.57,206.18,141.56,2.83,144.39,60.52,83.87,-33.72,50.15,15.61,34.54,34.54,41.06,8.41,8.41,2.16,52.66,1.94,100.0,47.34
2013-09-30,1434.99,4.67,1439.66,1041.95,8.53,-82.62,101.61,38.21,210.97,121.01,4.43,125.44,57.31,68.13,-16.88,51.25,16.02,35.23,35.23,41.06,8.58,8.58,2.16,52.66,1.94,100.0,47.34
2013-12-31,1426.85,16.39,1443.24,944.99,9.52,16.64,100.13,38.49,209.82,123.65,2.91,126.56,63.75,62.81,-12.46,50.35,16.34,34.01,34.01,41.06,8.28,8.28,2.16,52.66,1.94,100.0,47.34
2014-03-31,1568.83,15.06,1583.89,966.35,8.88,124.29,94.68,38.2,233.78,117.71,6.08,123.79,66.72,57.07,-12.77,44.3,13.4,30.9,30.9,41.06,7.53,7.37,2.16,52.66,1.94,100.0,47.34
2014-06-30,1557.8,8.94,1566.74,1033.75,10.24,17.67,104.28,34.57,237.14,129.09,3.21,132.3,65.08,67.22,-5.38,61.84,22.86,38.98,38.98,41.06,9.49,9.11,2.16,52.66,1.94,100.0,47.34
2014-09-30,1520.26,11.6,1531.86,1003.22,9.28,-19.12,110.69,34.33,241.23,152.23,3.24,155.47,60.76,94.71,-4.44,90.27,32.07,58.2,58.2,41.06,14.17,13.34,2.16,52.65,1.94,100.0,47.35
2014-12-31,1512.26,10.81,1523.07,942.19,10.25,12.41,114.88,35.33,247.0,161.01,3.66,164.67,57.68,106.99,-6.59,100.4,30.16,70.24,70.24,41.06,3.42,3.18,10.81,52.65,9.72,100.0,47.35
2015-03-31,1489.89,13.67,1503.56,882.46,10.85,36.44,129.63,34.91,239.01,170.26,4.64,174.9,57.28,117.62,6.98,124.6,38.72,85.88,85.88,45.36,3.81,3.79,10.81,47.66,11.87,100.0,52.34
2015-06-30,1487.23,14.85,1502.08,870.87,10.08,-7.89,124.12,38.73,247.29,218.88,2.83,221.71,60.53,161.18,-1.95,159.23,54.37,104.86,104.86,45.36,4.62,4.62,10.81,47.66,11.87,100.0,52.34
2015-09-30,1489.55,17.28,1506.83,870.23,8.73,-19.9,135.07,41.58,249.56,221.56,4.1,225.66,55.72,169.94,-8.77,161.17,51.47,109.7,109.7,45.36,4.84,4.84,10.81,47.66,11.87,100.0,52.34
2015-12-31,1355.13,16.82,1371.95,777.52,7.23,-21.66,136.82,44.44,235.95,191.65,3.17,194.82,55.37,139.45,-5.43,134.02,41.85,92.17,92.17,45.36,4.06,4.06,0.0,0.0,0.0,0.0,0.0
2016-03-31,1480.99,18.58,1499.57,793.3,6.66,63.51,138.04,47.55,264.13,186.38,4.88,191.26,57.41,133.85,1.96,135.81,41.58,94.23,94.23,45.36,4.15,4.15,0.0,0.0,0.0,0.0,0.0
2016-06-30,1463.57,16.29,1479.86,788.7,86.99,-39.01,141.31,47.09,244.92,209.86,4.69,214.55,64.67,149.88,-3.85,146.03,45.18,100.85,100.85,45.36,4.45,4.45,0.0,0.0,0.0,0.0,0.0
2016-09-30,1425.88,17.9,1443.78,761.7,118.41,-32.97,136.22,45.57,237.15,177.7,6.2,183.9,66.84,117.06,0.22,117.28,35.18,82.1,82.1,45.36,3.62,3.62,0.0,0.0,0.0,0.0,0.0
2016-12-31,1406.12,15.78,1421.9,774.3,169.31,-75.56,132.7,46.69,243.51,130.95,4.12,135.07,70.07,65.0,59.49,124.49,46.32,78.17,78.17,45.36,3.45,3.45,0.0,0.0,0.0,0.0,0.0
2017-03-31,1614.95,18.63,1633.58,875.47,190.82,78.8,124.67,44.23,276.24,43.35,44.65,88.0,66.0,22.0,49.9,71.9,0.89,71.01,71.01,45.36,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2017-06-30,1313.37,0.0,1313.37,926.68,139.62,-144.26,121.75,42.46,267.32,-40.2,7.77,-32.43,68.71,-101.14,-0.48,-101.62,-35.76,-65.86,-65.86,45.36,-2.9,-2.9,0.0,0.0,0.0,0.0,0.0
