Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Money Received Against Share Warrants,Deferred Tax Assets [Net]
2004-09-30,37.46,37.46,818.76,818.76,856.22,574.46,13.8,0.0,0.0,588.26,176.21,448.34,179.4,21.42,825.37,2269.85,1207.11,0.0,16.43,0.0,0.0,1223.54,252.26,0.0,15.42,1493.55,0.0,178.17,449.52,38.23,0.0,776.3,2269.85,121.77,12.59,0.77,371.19,0.0,0.04,36.12,233.18,0.0,110.38,282.72,0.0,13.07,0.0,2.33
2005-09-30,37.46,37.46,745.14,745.14,782.6,558.38,11.31,0.0,0.0,569.69,272.12,468.6,206.53,25.9,973.15,2325.44,1173.98,0.0,61.63,0.0,0.0,1235.61,250.04,0.0,12.94,1512.95,0.0,244.03,411.79,36.11,0.0,812.49,2325.44,131.32,12.62,0.81,382.87,0.0,0.04,72.82,216.47,0.0,120.56,418.11,0.0,51.5,0.0,14.36
2006-09-30,30.79,30.79,560.93,560.93,591.72,532.55,14.81,0.0,0.0,547.36,411.32,556.57,212.7,27.59,1208.18,2347.26,1224.19,0.0,22.51,0.0,0.0,1246.7,61.46,0.0,9.16,1333.74,0.0,368.59,477.89,39.32,0.0,1013.52,2347.26,84.74,12.15,0.7,434.86,2.09,0.04,0.09,61.46,0.0,127.72,418.06,0.0,32.09,0.0,16.42
2007-09-30,30.79,30.79,503.13,503.13,533.92,501.85,127.73,0.0,0.0,629.58,413.1,592.62,207.43,35.9,1249.05,2412.55,1198.8,0.0,20.34,0.0,0.0,1219.14,62.6,0.0,8.22,1312.37,0.0,502.85,435.52,29.22,0.0,1100.18,2412.55,78.94,12.28,0.65,481.04,1.58,0.04,0.31,62.55,0.0,132.59,515.46,0.0,12.08,0.0,22.41
2009-03-31,41.06,41.06,534.77,534.77,575.83,566.91,132.82,0.0,0.0,699.73,534.89,482.36,267.9,59.77,1344.92,2620.48,1161.55,7.33,240.19,0.0,0.0,1409.07,89.75,0.0,5.21,1525.18,0.0,414.45,442.47,41.99,0.0,1095.3,2620.48,117.41,22.47,0.71,748.14,4.22,0.04,0.62,89.23,0.0,196.39,977.81,0.0,168.06,0.0,21.15
2010-03-31,41.06,41.06,652.36,652.36,693.42,572.44,149.57,0.0,0.0,722.01,287.74,663.13,324.81,107.06,1382.74,2798.17,1340.99,11.78,132.02,0.0,0.0,1484.79,90.24,0.0,0.0,1585.5,0.0,459.7,487.6,63.27,0.0,1212.67,2798.17,215.53,11.94,0.94,357.23,4.2,0.04,1.33,89.27,0.0,202.1,756.42,0.0,51.28,0.0,10.47
2011-03-31,41.06,41.06,673.66,673.66,714.72,414.0,144.86,302.23,5.65,866.74,818.73,738.97,281.64,98.5,1937.84,3519.3,1410.85,5.46,192.14,0.0,0.0,1608.45,93.56,118.63,0.17,1820.81,0.0,688.6,708.05,85.11,6.38,1698.49,3519.3,490.87,12.26,1.22,418.04,7.33,0.04,1.44,92.59,0.0,210.35,889.05,3.98,80.75,0.0,0.0
2012-03-31,41.06,41.06,629.54,629.54,670.6,977.59,147.56,344.02,9.43,1478.6,700.45,1030.17,352.79,95.84,2179.25,4328.45,1440.09,3.1,749.2,0.0,0.0,2192.39,100.89,74.44,0.0,2367.72,0.0,661.54,867.36,78.42,88.18,1960.73,4328.45,228.69,16.17,1.05,590.29,5.04,0.04,3.59,97.46,0.0,265.23,1400.0,5.06,281.87,0.0,0.0
2013-03-31,41.06,41.06,700.87,700.87,741.93,1130.88,192.05,342.95,10.37,1676.25,1089.29,748.96,343.67,133.18,2315.1,4733.28,2279.26,1.12,54.68,0.0,0.0,2335.06,97.59,186.56,0.0,2619.21,0.0,809.8,916.68,94.66,0.44,2114.07,4733.28,81.48,23.53,0.87,847.38,17.4,0.04,3.35,94.14,0.0,292.49,1576.11,5.8,81.93,0.0,0.0
2014-03-31,41.06,41.06,794.99,794.99,848.42,1163.3,252.42,341.98,9.7,1767.4,1044.87,903.44,425.75,129.88,2503.94,5119.76,2273.41,0.23,143.32,0.0,0.0,2416.96,89.14,136.51,93.39,2736.0,12.62,765.7,1186.37,177.78,8.45,2383.76,5119.76,701.41,30.17,1.22,1039.73,18.26,0.04,18.83,53.02,12.62,232.84,1668.85,6.94,41.62,12.37,0.0
2015-03-31,45.36,45.36,1046.12,1046.12,1091.48,1415.9,319.82,330.11,13.33,2079.16,964.48,902.64,640.19,206.01,2713.32,5883.96,2354.4,0.0,697.1,0.0,0.0,3051.5,83.61,186.52,84.86,3406.49,9.01,741.62,1256.19,100.2,8.93,2477.47,5883.96,54.35,41.7,1.74,844.06,16.72,0.04,39.13,48.02,9.01,361.52,1475.33,8.67,368.84,0.0,0.0
2016-03-31,45.36,45.36,1371.31,1371.31,1416.67,1503.19,428.11,306.54,14.63,2252.47,874.78,830.41,616.62,362.49,2684.3,6353.44,3327.4,0.0,88.92,0.0,0.0,3416.32,76.57,208.04,75.79,3776.72,15.02,739.68,1210.48,62.44,10.16,2576.72,6353.44,100.68,50.47,2.62,580.8,16.88,0.04,35.68,43.56,15.02,538.94,1237.57,15.41,135.46,0.0,0.0
2017-03-31,45.36,45.36,1628.59,1628.59,1673.95,1637.28,369.04,300.96,18.86,2326.14,1494.54,910.96,647.63,6.51,3059.64,7059.73,3294.08,0.0,131.24,4.3,6.14,3435.76,490.17,42.32,91.03,4059.28,0.0,930.78,1469.6,67.32,462.75,3000.45,7059.73,226.21,1441.42,0.0,647.47,0.0,0.04,3.8,486.37,0.0,70.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,45.36,45.36,1598.93,1598.93,1644.29,1457.75,373.84,308.35,24.15,2164.09,1522.38,961.39,880.13,6.13,3370.03,7178.41,3566.82,5.06,83.31,0.0,6.04,3661.23,544.87,45.94,124.55,4376.59,0.0,1026.01,1289.72,72.29,413.8,2801.82,7178.41,246.47,1357.32,0.0,902.39,0.0,0.04,4.76,540.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,49.24,49.24,1945.88,1945.88,1995.12,1558.22,404.91,314.36,26.66,2304.15,1451.85,979.1,667.47,7.69,3106.11,7405.38,3320.46,3.93,73.8,0.0,5.93,3404.12,596.61,47.99,116.03,4164.75,0.0,1136.12,1632.45,100.3,371.76,3240.63,7405.38,202.62,1605.24,0.0,796.35,0.0,0.04,3.8,592.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,49.25,49.25,2113.25,2113.25,2162.5,1465.0,243.67,501.7,31.33,2241.7,1528.13,943.71,590.66,21.79,3084.29,7488.49,3489.99,3.14,60.88,0.0,5.83,3559.84,723.8,44.39,135.2,4463.23,0.0,1095.53,1436.03,46.28,447.42,3025.26,7488.49,154.2,1176.44,0.0,1082.77,0.0,0.04,2.82,720.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,49.25,49.25,2349.14,2349.14,2398.39,1188.48,311.43,568.45,28.88,2097.24,748.25,1196.15,809.28,6.9,2760.58,7256.21,3329.74,1.93,64.12,4.65,5.73,3406.17,733.1,42.64,105.87,4287.78,0.0,1194.58,1367.28,62.97,343.6,2968.43,7256.21,310.42,1304.73,0.0,1093.38,0.0,0.04,3.93,729.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,49.25,49.25,2476.85,2476.85,2526.1,972.06,342.76,565.52,30.8,1911.14,1848.87,1380.52,471.93,6.26,3707.58,8144.82,3340.89,2.68,73.33,5.67,5.63,3428.2,791.11,0.0,137.99,4357.3,0.0,1532.84,1667.38,76.27,511.03,3787.52,8144.82,334.66,2248.19,0.0,1560.26,0.0,0.04,5.22,785.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,49.25,49.25,2839.97,2839.97,2889.22,849.03,369.77,640.78,32.99,1892.57,1698.28,1036.86,478.33,10.76,3224.23,8006.02,3362.08,7.04,100.44,4.36,5.53,3479.45,786.67,0.0,96.93,4363.05,11.17,1291.67,1774.2,78.77,487.16,3642.97,8006.02,1123.12,2501.82,0.0,1420.43,0.0,0.04,6.83,779.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,52.14,52.14,3843.89,3843.89,3896.03,834.83,500.68,754.66,35.73,2125.9,1521.32,1335.97,666.27,7.13,3530.69,9552.62,3560.2,12.02,316.92,1.17,5.41,3895.72,783.22,0.0,108.85,4787.79,11.23,1396.54,2169.88,591.83,595.35,4764.83,9552.62,820.26,1866.22,0.0,1378.35,0.0,0.04,12.62,770.6,11.23,0.0,0.0,0.0,0.0,0.0,0.0
