Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2019-03-31,250.92,250.92,62.35,13.02,16.28,5.96,0.0,37.26,116.06,0.41,116.47,1.74,114.73,114.73,39.9,74.82,74.82,12.73,5.88,5.88
2019-09-30,272.93,272.93,60.48,30.58,15.26,5.53,5.29,35.84,119.95,5.45,125.4,3.99,121.41,121.41,31.49,89.92,89.92,12.73,7.06,3.53
2019-12-31,178.71,178.71,56.86,-13.04,17.57,5.6,0.0,37.66,74.06,4.89,78.95,7.18,71.77,71.77,19.77,52.0,52.0,12.73,4.09,4.09
2020-03-31,184.76,184.76,64.24,-11.27,19.52,7.05,0.0,34.92,70.3,5.34,75.64,7.2,68.44,68.44,15.2,53.24,53.24,12.73,4.18,4.18
2020-06-30,238.23,238.23,66.0,4.75,17.44,7.06,0.0,37.93,105.04,5.74,110.78,3.21,107.58,107.58,26.35,81.23,81.23,12.73,6.38,6.38
2020-09-30,237.39,237.39,77.18,-3.56,20.93,7.5,3.81,40.53,90.99,0.36,91.35,3.26,88.09,88.09,22.76,65.33,65.33,12.73,2.57,2.57
2020-12-31,274.93,274.93,79.76,-13.55,21.35,8.76,2.66,46.56,129.4,4.84,134.24,2.73,131.51,131.51,33.87,97.63,97.63,25.46,3.84,3.84
2021-03-31,259.16,259.16,87.37,3.98,16.51,8.31,1.51,56.1,85.38,3.3,88.68,1.87,86.81,86.81,22.35,64.45,64.45,25.46,2.53,2.53
2021-06-30,263.8,263.8,91.84,-15.09,21.16,8.99,0.0,51.28,105.62,5.78,111.41,2.13,109.28,109.28,27.84,81.44,81.44,25.46,3.2,3.2
2021-09-30,300.99,300.99,118.86,-26.28,23.19,9.18,0.0,63.44,112.6,38.34,150.93,1.18,149.76,149.76,34.56,115.2,115.2,25.46,4.53,4.53
2021-12-31,391.59,391.59,118.48,0.96,25.01,10.51,2.19,58.92,175.52,9.27,184.8,0.74,184.05,184.05,47.06,137.0,137.0,25.46,5.38,5.38
2022-03-31,363.85,363.85,130.28,-19.94,31.12,10.42,2.14,62.67,147.15,134.4,281.54,2.19,279.36,279.36,54.89,224.46,224.46,25.46,8.82,8.82
2022-06-30,338.8,338.8,112.29,15.64,24.79,10.55,2.23,29.1,144.19,10.9,155.09,1.43,153.66,153.66,39.61,114.05,114.05,25.46,4.48,4.48
2022-09-30,278.4,278.4,84.34,0.33,25.89,10.76,2.07,59.13,95.89,10.39,106.28,0.29,105.99,105.99,27.06,78.92,78.92,25.46,3.1,3.1
2022-12-31,348.49,348.49,135.16,-26.51,27.26,10.91,2.27,63.23,136.15,12.51,148.66,1.38,147.28,147.28,37.82,109.47,109.47,25.46,4.3,4.3
2023-03-31,364.39,364.39,89.57,20.88,22.9,10.63,2.01,54.41,164.0,10.75,174.76,2.29,172.47,172.47,42.3,130.16,130.16,25.46,5.11,5.11
2023-06-30,344.03,344.03,77.62,21.5,26.27,11.15,0.0,48.75,158.73,10.06,168.79,1.15,167.65,167.65,43.35,124.29,124.29,25.46,4.88,4.88
2023-09-30,224.62,224.62,46.95,8.97,26.51,10.48,0.0,44.83,86.87,14.2,101.07,0.5,100.57,100.57,25.84,74.73,74.73,25.46,2.94,2.94
2023-12-31,212.83,212.83,60.65,6.39,30.62,11.33,0.0,47.03,56.8,13.97,70.77,1.27,69.5,69.5,17.14,52.36,52.36,25.46,2.06,2.06
2024-03-31,243.52,243.52,63.16,17.02,37.1,15.66,0.0,54.1,56.48,16.87,73.34,2.29,71.06,71.06,17.62,53.43,53.43,25.46,2.1,2.1
2024-06-30,222.09,222.09,34.73,21.97,43.17,12.0,0.0,39.17,71.05,17.95,89.0,1.6,87.4,87.4,22.32,65.08,65.08,25.46,2.56,2.56
2024-09-30,236.06,236.06,39.17,6.84,44.25,12.29,0.0,44.79,88.72,13.43,102.15,1.47,100.68,100.68,24.35,76.33,76.33,25.46,3.0,2.98
2024-12-31,275.39,275.39,55.11,-7.97,50.34,13.44,0.0,62.45,102.02,15.18,117.2,2.6,114.6,114.6,28.25,86.35,86.35,25.46,3.39,3.37
