Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,939.58,728.99,1668.57,694.06,584.37,-421.69,310.06,119.08,33.92,237.65,111.12,25.53,136.65,13.96,122.69,0.0,122.69,39.81,82.88,82.88,551.69,0.0,1.5,1.5,4.14,7.5,51.03,100.0,92.5
2012-12-31,1560.73,7.1,1567.83,701.43,303.21,-297.28,311.32,112.78,34.04,303.86,98.47,12.76,111.23,14.44,96.79,0.0,96.79,22.81,73.98,73.98,551.69,0.0,1.34,1.34,4.14,7.5,51.03,100.0,92.5
2013-03-31,2171.13,5.1,2176.23,605.71,-24.53,579.2,297.41,119.26,71.98,362.61,164.59,21.85,186.44,35.46,150.98,0.0,150.98,33.46,117.52,117.52,551.69,0.0,2.13,2.13,11.03,20.0,44.14,100.0,80.0
2013-06-30,1435.19,3.09,1438.28,565.46,-11.48,156.91,278.89,111.95,31.8,285.34,19.41,16.96,36.37,29.59,6.78,0.0,6.78,2.3,4.48,4.48,551.69,0.0,0.08,0.08,11.03,20.0,44.14,100.0,80.0
2013-09-30,1815.24,4.79,1820.03,737.83,262.69,8.42,327.07,99.76,33.18,287.73,63.35,14.15,77.5,16.84,60.66,0.0,60.66,20.62,40.04,40.04,551.69,0.0,0.73,0.73,11.03,20.0,44.14,100.0,80.0
2013-12-31,1403.35,4.15,1407.5,652.66,2.98,-49.26,316.02,115.05,32.93,244.94,92.18,10.48,102.66,22.52,80.14,0.0,80.14,27.24,52.9,52.9,551.69,0.0,0.96,0.96,11.03,20.0,44.14,100.0,80.0
2014-03-31,1913.68,8.11,1921.79,690.16,29.93,193.54,325.05,115.24,43.84,304.18,219.85,35.45,255.3,35.56,219.74,0.0,219.74,67.27,152.47,152.47,551.69,0.0,2.76,2.76,11.03,20.0,44.14,100.0,80.0
2014-06-30,1497.58,7.04,1504.62,683.07,134.68,-164.16,327.88,117.01,24.22,234.52,147.4,10.87,158.27,31.09,127.18,0.0,127.18,43.23,83.95,83.95,551.69,0.0,1.52,1.52,11.03,20.0,44.14,100.0,80.0
2014-09-30,2204.77,8.57,2213.34,795.02,171.55,150.27,353.98,144.47,95.45,339.58,163.02,16.64,179.66,34.34,145.32,0.0,145.32,67.79,77.53,77.53,551.69,0.0,1.41,1.41,11.03,20.0,44.14,100.0,80.0
2014-12-31,1960.41,9.35,1969.76,871.39,133.58,-82.35,397.46,123.05,45.99,335.06,145.58,13.94,159.52,26.54,132.98,0.0,132.98,38.67,94.31,94.31,551.69,0.0,1.71,1.71,11.03,20.0,44.14,100.0,80.0
