Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,506.28,506.28,40.56,21.54,0.0,11.87,33.62,398.69,29.25,427.94,265.95,161.99,0.0,161.99,50.49,111.5,0.0,111.5,55.55,20.07,20.07,3.41,61.43,2.14,100.0,38.57
2012-12-31,547.49,547.49,42.66,21.8,0.0,10.86,31.52,440.65,10.27,450.92,285.8,165.12,0.0,165.12,51.47,113.65,0.0,113.65,111.1,10.23,10.23,6.91,62.2,4.2,100.0,37.8
2013-03-31,542.62,542.62,38.47,20.79,46.44,35.41,0.0,401.5,12.69,414.19,286.43,127.76,0.0,127.76,37.6,90.15,0.0,90.15,111.1,8.11,8.11,7.14,64.24,3.97,100.0,35.76
2013-06-30,537.09,537.09,45.48,20.86,38.63,15.06,0.0,417.06,26.17,443.23,272.3,170.93,0.0,170.93,54.94,115.99,0.0,115.99,111.1,10.44,10.44,7.14,64.22,3.98,100.0,35.78
2013-09-30,558.31,558.31,46.82,23.45,38.59,15.13,0.0,434.33,40.98,475.31,294.47,180.84,0.0,180.84,58.12,122.72,0.0,122.72,111.1,11.05,11.05,7.13,64.14,3.98,100.0,35.86
2013-12-31,572.4,572.4,43.93,24.42,38.47,17.56,0.0,448.02,14.52,462.55,309.94,152.61,0.0,152.61,49.05,103.56,0.0,103.56,111.1,9.32,9.32,7.13,64.13,3.99,100.0,35.87
2014-03-31,547.68,547.68,45.02,23.56,40.61,25.96,0.0,412.54,16.75,429.29,287.04,142.26,0.0,142.26,42.01,100.24,0.0,100.24,111.1,9.02,9.02,7.1,63.93,4.01,100.0,36.07
2014-06-30,540.54,540.54,49.06,21.79,40.11,12.64,0.0,416.95,38.01,454.96,276.48,178.48,0.0,178.48,56.24,122.24,0.0,122.24,111.1,11.0,11.0,7.09,63.81,4.02,100.0,36.19
2014-09-30,561.97,561.97,49.18,22.36,39.88,18.14,0.0,432.4,48.77,481.17,290.97,190.2,0.0,190.2,59.93,130.27,0.0,130.27,111.1,11.73,11.73,7.08,63.75,4.03,100.0,36.25
2014-12-31,574.37,574.37,49.27,23.55,42.57,16.19,0.0,442.79,17.38,460.17,298.16,162.01,0.0,162.01,51.05,110.96,0.0,110.96,111.1,9.99,9.99,7.09,63.8,4.02,100.0,36.2
2015-03-31,577.78,577.78,48.37,23.6,43.05,50.55,0.0,412.22,10.25,422.47,301.96,120.51,0.0,120.51,29.83,90.68,0.0,90.68,111.1,8.16,8.16,7.09,63.82,4.02,100.0,36.18
2015-06-30,555.15,555.15,53.23,20.39,46.33,17.57,0.0,417.62,15.93,433.56,288.87,144.69,0.0,144.69,45.69,99.0,0.0,99.0,111.1,8.91,8.91,7.09,63.84,4.02,100.0,36.16
2015-09-30,584.06,584.06,52.92,20.91,53.55,19.63,0.0,437.05,87.55,524.6,304.76,219.84,0.0,219.84,65.85,153.99,0.0,153.99,111.1,13.86,13.86,7.09,63.84,4.02,100.0,36.16
2015-12-31,590.91,590.91,53.36,21.36,49.17,17.57,0.0,449.45,22.01,471.46,324.22,147.24,0.0,147.24,45.05,102.18,0.0,102.18,111.1,9.2,9.2,0.0,0.0,0.0,0.0,0.0
2016-03-31,582.32,582.32,53.08,21.54,47.15,26.28,0.0,434.27,37.09,471.36,299.9,171.46,0.0,171.46,49.35,122.11,0.0,122.11,111.1,10.99,10.99,0.0,0.0,0.0,0.0,0.0
2016-06-30,557.67,557.67,57.4,19.18,47.28,14.48,0.0,419.32,3.93,423.26,290.72,132.53,0.0,132.53,42.36,90.18,0.0,90.18,111.1,8.12,8.12,0.0,0.0,0.0,0.0,0.0
2016-09-30,591.85,591.85,58.02,20.4,46.92,12.83,0.0,453.67,33.65,487.33,302.98,184.35,0.0,184.35,56.67,127.68,0.0,127.68,111.1,11.49,11.49,0.0,0.0,0.0,0.0,0.0
2016-12-31,598.13,598.13,58.22,20.64,50.5,13.65,0.0,455.12,33.54,488.65,287.57,201.08,0.0,201.08,62.84,138.24,0.0,138.24,111.1,12.44,12.44,0.0,0.0,0.0,0.0,0.0
2017-03-31,609.15,609.15,60.98,21.8,50.73,20.51,0.0,455.12,30.37,485.5,283.25,202.24,0.0,202.24,62.99,139.25,0.0,139.25,111.1,12.53,12.53,0.0,0.0,0.0,0.0,0.0
2017-06-30,609.7,609.7,66.33,17.94,52.88,16.91,0.0,455.64,12.08,467.72,290.57,177.15,0.0,177.15,59.8,117.34,0.0,117.34,111.1,10.56,10.56,0.0,0.0,0.0,0.0,0.0
2017-09-30,645.68,645.68,69.65,14.86,51.79,17.52,0.0,491.86,54.55,546.41,304.89,241.52,0.0,241.52,81.54,159.98,0.0,159.98,111.1,14.4,14.4,0.0,0.0,0.0,0.0,0.0
2017-12-31,677.23,677.23,68.56,15.29,47.07,16.91,0.0,529.4,33.05,562.45,330.42,232.03,0.0,232.03,78.33,153.7,-27.64,126.06,111.1,11.35,11.35,0.0,0.0,0.0,0.0,0.0
2018-03-31,699.75,699.75,74.7,15.58,63.89,11.26,0.0,534.33,20.21,554.53,356.72,197.81,0.0,197.81,68.25,129.57,0.0,129.57,111.1,11.66,11.66,0.0,0.0,0.0,0.0,0.0
2018-06-30,753.19,753.19,79.97,12.68,0.0,18.7,49.02,592.81,13.85,606.66,394.67,211.99,0.0,211.99,71.27,140.73,0.0,140.73,111.1,12.67,12.67,0.0,0.0,0.0,0.0,0.0
2018-09-30,815.19,815.19,79.65,13.02,0.0,20.92,46.22,655.4,4.25,659.65,427.15,232.5,0.0,232.5,78.18,154.31,0.0,154.31,111.1,13.89,13.89,0.0,0.0,0.0,0.0,0.0
2018-12-31,854.56,854.56,80.25,14.12,0.0,18.36,54.5,687.34,5.76,693.1,465.86,227.23,0.0,227.23,70.71,156.52,0.0,156.52,111.1,14.09,14.09,0.0,0.0,0.0,0.0,0.0
2019-03-31,881.87,881.87,82.56,14.16,0.0,42.61,51.32,691.22,7.16,698.38,474.83,223.55,592.43,815.99,141.24,674.75,0.0,674.75,111.1,60.73,60.73,0.0,0.0,0.0,0.0,0.0
2019-06-30,923.08,923.08,88.34,16.32,0.0,45.9,59.27,713.24,23.05,736.29,499.79,236.5,0.0,236.5,78.98,157.53,0.0,157.53,111.1,14.18,14.18,0.0,0.0,0.0,0.0,0.0
2019-09-30,993.67,993.67,88.73,17.99,0.0,53.02,49.54,784.38,64.29,848.67,526.61,322.05,0.0,322.05,53.06,269.0,0.0,269.0,111.1,24.21,24.21,0.0,0.0,0.0,0.0,0.0
2019-12-31,976.23,976.23,88.8,18.74,0.0,71.78,48.46,748.46,5.92,754.38,533.38,221.0,0.0,221.0,54.46,166.54,0.0,166.54,111.1,14.99,14.99,0.0,0.0,0.0,0.0,0.0
2020-03-31,941.92,941.92,92.75,19.92,0.0,115.69,43.97,669.59,11.61,681.2,515.64,165.56,0.0,165.56,34.67,130.89,0.0,130.89,111.1,11.78,11.78,0.0,0.0,0.0,0.0,0.0
2020-06-30,948.44,948.44,93.0,16.4,0.0,60.71,39.5,738.83,3.62,742.45,523.46,218.99,0.0,218.99,53.31,165.68,0.0,165.68,111.1,14.91,14.91,0.0,0.0,0.0,0.0,0.0
2020-09-30,992.96,992.96,93.49,17.24,0.0,80.13,37.77,764.33,4.9,769.23,515.41,253.83,0.0,253.83,61.85,191.98,0.0,191.98,111.1,17.28,17.28,0.0,0.0,0.0,0.0,0.0
2020-12-31,1044.95,1044.95,93.87,17.85,0.0,69.69,37.75,825.79,1.5,827.29,507.14,320.16,0.0,320.16,77.97,242.18,0.0,242.18,111.1,21.8,21.8,0.0,0.0,0.0,0.0,0.0
2021-03-31,967.37,967.37,101.87,18.71,0.0,105.53,43.66,697.6,50.44,748.04,484.72,263.32,0.0,263.32,54.12,209.2,0.0,209.2,111.1,18.83,18.83,0.0,0.0,0.0,0.0,0.0
2021-06-30,950.14,950.14,103.1,15.62,0.0,85.2,40.05,706.17,5.49,711.66,458.53,253.13,0.0,253.13,61.55,191.58,0.0,191.58,111.1,17.24,17.24,0.0,0.0,0.0,0.0,0.0
2021-09-30,1021.82,1021.82,105.24,17.9,0.0,165.27,293.03,440.38,3.35,443.73,165.27,278.46,0.0,278.46,67.81,210.65,0.0,210.65,111.1,18.96,18.96,0.0,0.0,0.0,0.0,0.0
2021-12-31,958.33,958.33,104.11,18.94,57.12,96.42,0.0,681.74,2.94,684.68,417.28,267.4,0.0,267.4,65.02,202.38,0.0,202.38,111.1,18.22,18.22,0.0,0.0,0.0,0.0,0.0
2022-03-31,939.74,939.74,102.01,20.18,65.77,-28.37,0.0,780.15,8.65,788.8,410.89,377.91,0.0,377.91,79.11,298.8,0.0,298.8,111.1,26.89,26.89,0.0,0.0,0.0,0.0,0.0
2022-06-30,935.07,935.07,113.73,18.59,55.68,52.99,0.0,694.08,6.73,700.81,404.05,296.76,0.0,296.76,71.03,225.73,0.0,225.73,111.1,20.32,20.32,0.0,0.0,0.0,0.0,0.0
2022-09-30,1048.31,1048.31,112.14,21.92,66.15,27.18,0.0,820.92,3.77,824.69,425.57,399.12,0.0,399.12,95.59,303.53,0.0,303.53,111.1,27.32,27.32,0.0,0.0,0.0,0.0,0.0
2022-12-31,1008.76,1008.76,115.5,25.19,56.68,37.29,0.0,774.1,2.28,776.38,457.26,319.12,0.0,319.12,76.44,242.68,0.0,242.68,111.1,21.84,21.84,0.0,0.0,0.0,0.0,0.0
