Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Equity Share Application Money,Deferred Tax Liabilities [Net],Capital Work-In-Progress,Inventories,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,24.0,24.0,499.24,499.24,0.0,523.24,1924.61,0.0,0.0,1972.03,660.51,121.02,91.88,941.76,3437.03,231.93,1.96,0.0,0.0,233.89,26.33,0.0,546.78,0.0,0.0,70.67,2391.07,0.0,2890.25,3437.03,120.23,11.91,0.91,23.2,175.82,192.16,0.0,0.0,68.34,286.56,0.0,0.0,47.42,0.0,428.52,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,24.0,24.0,655.22,655.22,0.0,679.22,2605.95,0.0,0.0,2632.07,1200.43,124.94,108.68,1489.64,4804.7,186.54,2.35,0.0,0.0,307.96,24.17,0.0,643.27,0.0,0.0,100.39,3575.65,9.74,4161.43,4804.7,130.87,12.31,0.8,23.2,217.02,203.25,0.0,0.0,55.58,311.13,0.0,3.78,26.12,119.07,475.64,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,27.78,27.78,783.06,783.06,0.0,810.83,2994.49,0.0,0.0,3009.34,1480.0,155.84,96.39,1817.34,5637.51,156.59,2.37,0.0,0.0,388.41,22.59,0.0,883.61,0.0,0.0,211.19,4103.33,9.74,4753.9,5637.51,130.69,10.65,2.95,23.2,251.92,380.56,0.0,0.0,85.1,472.6,0.0,0.0,14.85,229.45,429.64,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,27.78,27.78,850.1,850.1,0.0,877.88,4959.25,0.0,0.0,4966.63,776.91,194.57,160.75,1178.06,7022.57,160.18,2.46,0.0,0.0,388.91,26.86,0.0,865.32,0.0,0.0,658.85,5129.18,9.74,6157.25,7022.57,84.71,10.23,2.79,23.2,228.97,362.13,0.0,0.0,45.82,449.54,0.0,0.0,7.38,226.27,359.47,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,27.78,27.78,1015.15,1015.15,0.0,1042.92,5782.79,0.0,0.0,5787.97,298.18,280.12,250.23,925.82,7756.71,169.34,3.31,0.0,0.0,172.64,42.64,0.0,671.73,0.0,0.0,201.88,6528.23,9.74,7084.98,7756.71,40.52,3.72,4.02,23.2,193.82,359.24,0.0,0.0,97.29,456.46,0.0,0.0,5.18,0.0,345.11,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,55.55,55.55,1097.12,1097.12,0.0,1152.67,5748.27,0.0,0.0,5754.24,527.5,210.65,292.96,1106.32,8013.23,196.08,6.33,0.0,0.0,309.56,56.91,0.0,878.36,0.0,0.0,315.58,6447.32,9.74,7134.86,8013.23,42.94,7.01,3.04,50.98,150.95,396.16,0.0,0.0,75.21,511.89,0.0,0.0,5.97,107.15,362.22,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,55.55,55.55,1260.57,1260.57,0.0,1316.12,7559.08,0.0,0.0,7564.99,934.7,234.99,315.85,1608.26,10489.6,221.57,10.81,0.0,0.0,392.44,61.24,0.0,991.13,0.0,0.0,1373.79,7835.23,9.74,9498.48,10489.6,82.77,1.45,0.95,50.98,237.86,381.38,0.0,0.0,122.72,537.45,0.0,0.23,5.91,160.06,279.71,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,55.55,55.55,1474.34,1474.34,0.0,1529.9,5912.83,107.9,58.9,6079.62,1895.61,51.63,2546.98,4600.21,12209.73,216.31,9.53,8.3,0.0,234.15,46.28,9.11,5862.09,295.37,0.0,1082.19,4857.98,112.09,6347.63,12209.73,91.24,0.17,0.68,50.98,276.48,488.87,0.0,290.37,105.99,697.46,4875.09,0.0,0.0,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,55.55,55.55,1732.97,1732.97,0.0,1788.52,5357.74,106.22,49.46,5513.42,2044.42,45.57,3412.31,5636.11,12938.05,266.4,7.71,20.29,0.0,294.4,58.54,8.94,6795.01,8.51,0.0,429.09,5577.06,128.38,6143.03,12938.05,109.0,10.0,3.76,50.98,332.03,581.2,1.3,7.21,133.8,755.49,5677.64,0.0,0.0,0.0,0.0,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,111.1,111.1,1975.6,1975.6,0.0,2086.71,5041.54,137.75,63.83,5243.12,2400.24,43.96,4714.2,7307.76,14637.59,299.76,31.81,0.32,0.0,331.89,90.5,10.0,7551.4,217.94,0.0,874.36,5831.46,162.43,7086.19,14637.59,115.39,4.54,13.31,106.53,368.32,652.02,2.49,215.44,149.36,826.36,6292.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,111.1,111.1,2293.81,2293.81,0.0,2404.92,5607.98,115.66,76.99,5800.64,2574.05,33.46,4365.63,7209.37,15414.93,315.57,27.88,3.2,0.0,346.65,109.93,11.62,7909.32,473.44,0.0,674.75,6170.73,186.69,7505.61,15414.93,111.85,0.04,26.18,106.53,475.91,731.74,1.0,472.47,236.23,973.84,6467.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,111.1,111.1,2866.95,2866.95,0.0,2978.05,6538.68,172.6,83.76,6795.04,2173.67,51.5,4545.72,6988.1,16761.19,283.12,25.69,2.06,0.0,310.87,110.83,13.12,8701.55,463.68,0.0,676.72,6743.27,175.97,8059.64,16761.19,125.6,1.11,15.5,106.53,945.83,714.24,183.97,280.66,217.21,1057.79,7208.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,111.1,111.1,3201.52,3201.52,0.0,3312.62,4865.17,155.69,89.08,5109.94,2227.74,87.83,6465.43,8970.0,17392.56,256.07,22.37,0.0,0.0,278.44,121.59,30.51,9822.75,331.58,0.0,552.56,6529.62,156.04,7569.81,17392.56,116.6,9.58,38.05,106.53,981.16,1224.92,177.18,154.41,189.0,1504.66,7887.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
