Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,15.66,-0.22,15.44,1.43,2.19,0.0,2.34,9.48,15.21,24.69,3.28,21.41,0.0,21.41,2.25,19.16,0.0,19.16,14.52,1.32,1.32,4.34,29.87,10.19,100.0,70.13
2013-03-31,19.26,8.96,28.22,1.66,2.01,0.0,0.51,24.04,0.96,25.0,6.0,19.0,-13.4,5.6,0.79,4.81,0.0,4.81,14.52,0.33,0.33,4.31,29.71,10.21,100.0,70.29
2013-06-30,16.25,1.34,17.59,1.5,2.07,0.0,2.83,11.19,0.01,11.2,3.45,7.75,0.0,7.75,2.41,5.34,0.0,5.34,14.52,0.36,0.36,4.28,29.47,10.24,100.0,70.53
2013-09-30,16.88,-0.1,16.78,1.62,2.07,0.0,4.94,8.15,14.51,22.66,4.82,17.84,-0.45,17.39,1.39,16.0,0.0,16.0,13.89,1.14,1.14,3.65,26.25,10.24,100.0,73.75
2013-12-31,16.93,0.58,17.51,1.65,2.08,0.0,7.11,6.67,13.45,20.12,6.45,13.67,-0.48,13.19,-0.45,13.64,0.0,13.64,13.88,0.98,0.98,3.63,26.18,10.24,100.0,73.82
2014-03-31,17.68,0.71,18.39,1.76,2.1,0.0,2.8,11.73,0.05,11.78,4.84,6.94,-0.36,6.58,2.25,4.33,0.0,4.33,13.82,0.31,0.31,3.57,25.86,10.24,100.0,74.14
2014-06-30,17.1,1.93,19.03,1.63,2.01,-0.03,2.22,13.2,0.13,13.33,6.61,6.72,0.0,6.72,2.21,4.51,0.0,4.51,13.82,0.33,0.33,3.58,25.88,10.24,100.0,74.12
2014-09-30,57.14,2.02,59.16,1.73,2.06,3.91,1.83,49.63,0.17,49.8,5.78,44.02,0.0,44.02,0.86,43.16,0.0,43.16,13.87,3.11,3.08,3.64,26.24,10.23,100.0,73.76
2014-12-31,26.78,2.06,28.84,1.74,2.06,-0.12,4.1,21.06,0.12,21.18,7.9,13.28,0.0,13.28,2.97,10.31,0.0,10.31,13.94,0.74,0.73,3.7,26.58,10.23,100.0,73.42
2015-03-31,19.16,2.43,21.59,2.48,2.04,3.93,2.71,10.43,0.15,10.58,9.28,1.3,0.0,1.3,-1.21,2.51,0.0,2.51,14.02,0.18,0.18,3.79,27.01,10.23,100.0,72.99
2015-06-30,19.17,0.08,19.25,2.05,1.86,0.14,2.24,12.96,0.14,13.1,8.83,4.27,0.0,4.27,2.68,1.59,0.0,1.59,14.14,0.11,0.11,3.9,27.59,10.24,100.0,72.41
2015-09-30,39.91,0.09,40.0,2.0,1.88,4.33,1.8,29.99,0.34,30.33,6.76,23.57,0.0,23.57,-0.07,23.64,0.0,23.64,14.17,1.67,1.64,3.93,27.72,10.24,100.0,72.28
