Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,19788.18,96.91,19885.09,116.57,0.7,-113.08,544.89,1648.1,11046.54,6641.37,1901.13,8542.5,3.06,8539.44,0.0,8539.44,2764.0,5775.44,121.13,5896.57,4277.76,6.89,6.89,263.29,30.77,592.25,100.0,69.23
2012-12-31,20987.18,106.03,21093.21,155.99,0.73,22.03,346.07,2341.65,11296.17,6930.57,1281.17,8211.74,1.21,8210.53,0.0,8210.53,2647.81,5562.72,0.0,5562.72,4277.76,6.5,6.5,263.29,30.77,592.25,100.0,69.23
2013-03-31,21388.72,441.14,21829.86,187.48,0.78,-51.54,735.96,2387.16,14962.56,3607.46,1245.45,4852.91,0.05,4852.86,0.0,4852.86,2044.5,2808.36,580.35,3388.71,4277.76,3.96,3.96,263.29,30.77,592.25,100.0,69.23
2013-06-30,19218.31,90.62,19308.93,114.13,1.02,-36.71,589.73,2332.5,11720.51,4587.75,1196.1,5783.85,0.21,5783.64,0.0,5783.64,1767.66,4015.98,0.0,4015.98,4277.76,4.69,4.69,263.29,30.77,592.25,100.0,69.23
2013-09-30,22311.98,102.69,22414.67,126.24,0.75,-7.45,442.65,2426.5,11819.63,7606.35,1482.97,9089.32,0.09,9089.23,0.0,9089.23,3025.37,6063.86,0.0,6063.86,4277.76,7.09,7.09,263.29,30.77,592.25,100.0,69.23
2013-12-31,20744.56,107.58,20852.14,190.67,0.74,-56.65,448.85,2588.36,9760.73,7919.44,2662.33,10581.77,0.02,10581.75,0.0,10581.75,3241.42,7340.33,-214.36,7125.97,4277.76,8.33,8.33,263.29,30.77,592.25,100.0,69.23
2014-03-31,20880.93,432.16,21313.09,233.04,0.67,205.09,454.46,3580.35,11233.96,5605.52,1371.83,6977.35,0.04,6977.31,0.0,6977.31,2088.08,4889.23,-0.23,4889.0,4277.76,5.71,5.71,265.77,31.08,689.78,100.0,68.94
2014-06-30,21747.0,104.27,21851.27,130.23,0.81,-203.05,406.73,2562.31,12652.28,6301.96,895.18,7197.14,0.13,7197.01,0.0,7197.01,2415.22,4781.79,0.0,4781.79,4277.76,5.59,5.59,265.77,31.06,589.78,100.0,68.94
2014-09-30,20361.14,86.61,20447.75,132.33,0.98,227.99,455.89,2453.75,10601.94,6574.87,1360.89,7935.76,0.14,7935.62,0.0,7935.62,2490.73,5444.89,0.0,5444.89,4277.76,6.36,6.36,265.77,31.06,589.78,100.0,68.94
2014-12-31,18714.7,209.75,18924.45,188.44,1.27,65.08,400.05,3339.54,11139.95,3790.12,1377.57,5167.69,1.25,5166.44,0.0,5166.44,1595.24,3571.2,0.0,3571.2,4277.76,4.17,4.17,265.77,31.06,589.78,100.0,68.94
