Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,868.23,23.95,892.18,24.44,91.47,215.77,560.5,35.18,595.68,158.16,437.52,0.0,437.52,22.09,415.43,415.43,400.68,2.07,2.07,45.09,22.5,155.25,100.0,77.5
2013-03-31,771.51,143.68,915.19,24.32,97.22,238.51,555.14,115.97,671.11,121.65,549.46,0.0,549.46,58.69,490.77,490.77,400.68,2.45,2.45,45.09,22.5,155.25,100.0,77.5
2013-06-30,1638.78,79.01,1717.79,24.77,104.7,709.82,878.5,86.21,964.71,277.78,686.93,0.0,686.93,23.78,663.15,663.15,414.01,3.28,3.28,51.75,25.0,155.25,100.0,75.0
2013-09-30,794.1,83.69,877.79,25.58,120.03,231.93,500.25,250.08,750.33,327.13,423.2,0.0,423.2,75.58,347.62,347.62,414.01,1.68,1.68,51.75,25.0,155.25,100.0,75.0
2013-12-31,801.84,78.13,879.97,37.43,121.76,273.81,446.97,172.04,619.01,103.21,515.8,0.0,515.8,38.75,477.05,477.05,414.01,2.3,2.3,51.75,25.0,155.25,100.0,72.0
2014-03-31,801.08,69.15,870.23,29.22,109.22,273.15,458.64,171.42,630.06,45.74,584.32,0.0,584.32,55.97,528.35,528.35,414.01,2.55,2.55,51.75,25.0,151.55,97.61,73.21
2014-06-30,854.01,24.72,878.73,29.05,119.65,246.91,483.12,164.06,647.18,109.88,537.3,0.0,537.3,32.2,505.1,505.1,414.01,2.44,2.44,51.75,25.0,146.92,94.64,70.98
2014-09-30,849.5,260.77,1110.27,40.15,122.99,328.42,618.71,169.06,787.77,227.48,560.29,0.0,560.29,30.92,529.37,529.37,414.01,2.56,2.56,51.75,25.0,143.12,92.19,69.14
2014-12-31,922.82,30.91,953.73,49.33,125.88,279.59,498.93,224.96,723.89,187.84,536.05,0.0,536.05,-58.15,594.2,594.2,414.01,2.87,2.87,51.75,25.0,143.12,92.19,69.14
2015-03-31,933.62,26.66,960.28,39.03,120.1,280.41,520.74,177.38,698.12,183.59,514.53,0.0,514.53,-39.94,554.47,554.47,414.01,2.68,2.68,51.75,25.0,143.12,92.19,69.14
2015-06-30,1048.16,16.94,1065.1,39.32,124.88,273.52,627.38,236.0,863.38,229.86,633.52,0.0,633.52,17.61,615.91,615.91,414.19,2.97,2.97,90.58,43.74,81.53,69.97,39.36
2015-09-30,1539.07,20.6,1559.67,50.53,132.03,300.48,1076.63,263.02,1339.65,259.85,1079.8,0.0,1079.8,20.29,1059.51,1059.51,414.19,5.12,5.12,0.0,0.0,0.0,0.0,0.0
2015-12-31,1027.38,32.93,1060.31,43.04,143.56,279.82,593.89,282.81,876.7,212.58,664.12,0.0,664.12,27.98,636.14,636.14,414.19,3.07,3.07,0.0,0.0,0.0,0.0,0.0
2016-03-31,942.35,0.0,942.35,46.03,118.85,279.16,498.31,382.68,880.99,152.16,728.83,0.0,728.83,75.51,653.32,653.32,414.19,3.15,3.15,0.0,0.0,0.0,0.0,0.0
2016-06-30,1020.81,34.35,1055.16,49.03,135.34,284.89,585.9,272.0,857.9,238.22,619.68,0.0,619.68,16.84,602.84,602.84,414.19,2.91,2.91,0.0,0.0,0.0,0.0,0.0
2016-09-30,1277.92,23.95,1301.87,56.65,133.31,254.91,857.0,295.91,1152.91,217.65,935.26,0.0,935.26,18.59,916.67,916.67,414.19,4.43,4.43,0.0,0.0,0.0,0.0,0.0
2016-12-31,1309.83,14.67,1324.5,55.22,135.86,343.44,789.98,283.36,1073.34,264.66,808.68,-64.34,744.34,0.0,744.34,744.34,414.19,3.59,3.59,0.0,0.0,0.0,0.0,0.0
2017-03-31,1234.85,0.0,1234.85,50.09,136.2,98.73,949.83,395.88,1345.71,416.39,929.32,0.0,929.32,91.83,837.49,837.49,414.19,4.04,4.04,0.0,0.0,0.0,0.0,0.0
2017-06-30,1805.77,0.0,1805.77,55.85,126.43,622.72,1000.77,340.87,1341.64,384.0,957.64,0.0,957.64,366.93,590.71,590.71,414.19,2.85,2.85,0.0,0.0,0.0,0.0,0.0
2017-09-30,1526.74,0.0,1526.74,42.87,120.84,323.59,1039.44,380.5,1419.94,367.47,1052.47,0.0,1052.47,370.62,681.85,681.85,414.19,3.29,3.29,0.0,0.0,0.0,0.0,0.0
2017-12-31,1417.28,0.0,1417.28,46.67,113.88,109.91,1146.82,407.59,1554.41,314.54,1239.87,-297.38,942.49,416.5,525.99,525.99,414.19,2.54,2.54,0.0,0.0,0.0,0.0,0.0
2018-03-31,1944.35,0.0,1944.35,48.39,116.55,850.83,928.58,478.36,1406.94,390.87,1016.07,0.0,1016.07,315.48,700.59,700.59,414.19,3.38,3.38,0.0,0.0,0.0,0.0,0.0
2018-06-30,1081.23,0.0,1081.23,52.11,114.69,588.75,325.68,452.32,778.0,222.72,555.28,0.0,555.28,195.92,359.36,359.36,414.19,1.74,1.74,0.0,0.0,0.0,0.0,0.0
2018-09-30,1203.27,0.0,1203.27,56.16,121.88,783.14,242.09,852.45,1094.54,250.17,844.37,0.0,844.37,156.81,687.56,687.56,414.19,3.32,3.32,0.0,0.0,0.0,0.0,0.0
2018-12-31,1457.6,0.0,1457.6,51.26,111.49,59.8,1235.05,465.78,1700.83,457.59,1243.24,0.0,1243.24,326.92,916.32,916.32,414.19,4.42,4.42,0.0,0.0,0.0,0.0,0.0
2019-03-31,1594.28,0.0,1594.28,71.36,126.15,335.11,1061.66,572.35,1634.01,491.36,1142.65,-121.9,1020.75,346.27,674.48,674.48,414.19,3.26,3.26,0.0,0.0,0.0,0.0,0.0
2019-06-30,1204.33,0.0,1204.33,59.93,128.79,341.61,674.0,510.58,1184.58,437.53,747.05,0.0,747.05,257.82,489.23,489.23,414.19,2.36,2.36,0.0,0.0,0.0,0.0,0.0
2019-09-30,1071.14,0.0,1071.14,56.65,130.94,797.0,86.55,633.92,720.47,492.82,227.65,0.0,227.65,-258.15,485.8,485.8,406.35,2.35,2.35,0.0,0.0,0.0,0.0,0.0
2019-12-31,1182.76,0.0,1182.76,53.4,137.45,439.48,552.43,559.26,1111.69,450.19,661.5,0.0,661.5,202.57,458.93,458.93,406.35,2.26,2.26,0.0,0.0,0.0,0.0,0.0
2020-03-31,1185.05,0.0,1185.05,54.63,156.11,1406.65,-432.34,1199.21,766.87,371.34,395.53,0.0,395.53,-104.76,500.29,500.29,406.35,2.46,2.46,0.0,0.0,0.0,0.0,0.0
2020-06-30,797.72,0.0,797.72,58.38,154.29,244.13,340.92,578.54,919.46,487.72,431.74,0.0,431.74,145.16,286.58,286.58,406.35,1.41,1.41,0.0,0.0,0.0,0.0,0.0
2020-09-30,1081.96,0.0,1081.96,60.2,155.7,-158.52,1024.58,597.67,1622.25,563.9,1058.35,0.0,1058.35,362.63,695.72,695.72,406.35,3.42,3.42,0.0,0.0,0.0,0.0,0.0
2020-12-31,1305.18,0.0,1305.18,60.92,155.92,141.67,946.67,611.77,1558.44,614.2,944.24,0.0,944.24,321.69,622.55,622.55,406.35,3.06,3.06,0.0,0.0,0.0,0.0,0.0
