Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Government/Other Grants,Raw Materials,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure
2004-03-31,140.0,2.81,142.81,325.48,325.48,468.3,0.0,254.87,0.0,0.0,254.87,0.0,45.81,492.17,0.69,538.67,1291.16,693.12,1.12,196.54,890.79,206.06,0.0,0.0,13.34,1110.18,0.0,0.16,2.47,4.16,174.19,0.0,180.98,1291.16,183.26,1.35,0.0,0.0,0.0,0.0,206.06,0.0,0.0,0.0,0.0,0.0,0.0,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,140.0,2.81,142.81,389.4,389.4,532.21,0.0,462.28,0.0,0.0,522.75,138.85,26.55,499.93,7.49,672.83,1791.24,999.54,126.76,437.15,1563.44,32.03,38.95,0.0,11.37,1645.79,0.0,3.05,42.68,30.58,69.13,0.0,145.45,1791.24,124.33,6.59,0.0,0.0,0.0,0.0,32.03,0.0,60.46,0.0,0.0,0.0,0.0,23.24,0.0,0.0,0.0,0.0,40.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,180.21,2.81,183.03,415.54,415.54,598.56,0.0,845.13,0.0,0.0,937.55,111.47,55.52,554.37,58.92,780.28,2321.61,1403.83,81.12,412.17,1897.13,122.82,31.99,0.0,0.0,2051.94,0.0,4.61,78.38,95.65,54.98,36.06,269.68,2321.61,209.24,9.13,0.0,0.4,0.0,0.0,122.82,0.0,92.42,0.0,0.0,0.0,40.37,5.22,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,360.43,2.81,363.24,383.11,383.11,746.35,0.0,1195.44,0.0,0.0,1248.01,86.81,94.28,849.31,22.77,1053.17,3047.53,1902.15,81.33,417.94,2401.42,78.99,5.47,0.0,5.85,2491.72,0.0,10.44,345.64,56.9,61.51,81.32,555.81,3047.53,423.25,14.49,0.0,0.11,180.21,0.0,78.99,0.0,52.58,0.0,0.0,0.0,78.79,0.0,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,400.68,2.81,403.49,2209.02,2209.02,2612.51,0.0,1780.53,0.0,0.0,1957.95,126.22,114.29,822.23,95.09,1157.82,5728.28,2748.73,93.1,405.83,3247.66,1082.66,0.0,0.0,0.0,4330.33,0.0,18.47,296.34,889.56,113.33,80.26,1397.95,5728.28,545.1,21.12,0.0,16.0,180.21,836.81,257.11,0.0,177.42,0.0,0.0,0.0,254.73,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,400.68,2.81,403.49,2541.78,2541.78,2945.27,0.0,1872.28,0.0,0.0,2101.98,440.72,173.84,785.93,46.88,1447.37,6494.63,3155.11,96.31,1232.55,4483.97,431.75,0.0,0.0,0.0,4915.72,0.0,26.49,211.64,1130.71,123.06,87.0,1578.91,6494.63,877.39,33.96,23.83,0.64,180.21,142.99,301.75,0.0,229.7,0.0,0.0,0.0,395.27,0.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,400.68,2.81,403.49,3084.76,3084.76,3488.24,0.0,1497.15,0.0,0.0,1778.36,1660.03,225.12,813.76,73.68,2772.58,8039.18,4113.43,96.51,1394.61,5604.54,721.03,0.0,0.0,0.0,6325.58,0.0,31.39,157.99,858.68,648.39,17.15,1713.6,8039.18,1069.41,61.7,21.33,8.46,180.21,0.0,721.03,0.0,281.21,0.0,0.0,0.0,941.08,0.0,180.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,400.68,2.81,403.49,3890.58,3890.58,4294.07,0.0,947.67,632.58,0.18,1930.01,650.41,127.75,1393.0,113.93,2285.1,8509.18,5240.24,65.41,1076.78,6382.42,715.04,0.0,698.36,113.09,7908.9,0.0,41.16,265.13,115.03,149.8,29.15,600.28,8509.18,1509.34,42.27,9.24,3.75,180.21,0.0,715.04,0.0,349.58,0.0,30.73,228.02,108.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,400.68,2.81,403.49,4817.95,4817.95,5221.44,0.0,4132.81,603.51,0.0,5166.07,1004.89,182.33,1343.84,257.99,2789.05,13176.56,5742.89,62.18,2189.84,8252.04,1837.55,0.0,1862.56,188.52,12140.67,0.0,62.52,242.73,535.99,156.89,37.76,1035.89,13176.56,5480.75,47.71,0.14,0.0,180.21,0.0,1837.55,0.0,429.75,257.13,33.91,219.81,529.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,400.68,2.81,403.49,6300.48,6300.48,6703.97,0.0,7404.61,569.95,46.58,8574.11,394.7,134.62,2149.05,298.84,2977.21,18255.29,7709.37,59.05,1131.69,9913.49,1207.29,0.0,2141.37,286.23,13548.38,120.01,87.29,729.43,593.59,1645.35,1531.24,4706.91,18255.29,5985.49,176.55,0.14,4.93,180.21,0.0,1207.29,120.01,552.97,1013.38,15.79,89.38,739.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,414.01,2.81,416.82,8919.07,8919.07,9335.89,0.0,7861.22,886.34,281.03,9699.38,405.55,216.67,942.74,304.15,1869.11,20904.38,8481.42,55.82,661.49,9198.73,1786.26,0.0,4326.14,810.76,16121.89,0.0,143.03,829.42,399.83,2840.6,569.61,4782.49,20904.38,1793.49,222.66,0.2,1.05,180.21,0.0,1786.26,0.0,670.79,0.0,29.3,128.88,22.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,414.01,2.81,416.82,10786.34,10786.34,11203.16,0.0,8499.11,831.57,210.7,10257.88,1304.88,187.81,2396.33,457.04,4346.06,25807.1,8404.07,57.85,663.19,9125.11,4762.28,0.0,5458.41,478.21,19824.01,202.87,179.46,748.98,495.83,3690.65,665.3,5983.09,25807.1,3850.61,207.45,0.0,0.0,180.21,0.0,4762.28,202.87,716.5,0.0,17.95,177.08,59.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,414.19,0.0,414.19,13151.62,13151.62,13565.81,0.0,10247.05,827.86,0.0,11074.91,3133.81,185.28,3118.18,51.22,6488.49,31129.21,8466.17,57.4,856.6,9380.17,5184.77,1255.75,6534.92,2853.78,25209.39,128.1,124.82,1181.26,937.62,2099.34,1448.68,5919.82,31129.21,4319.89,363.83,0.0,0.0,180.21,0.0,5184.77,128.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,414.19,84.12,498.31,16450.66,16450.66,16948.97,0.0,16076.45,757.36,0.0,16833.81,3197.37,258.26,1961.64,47.68,5464.95,39247.73,8328.08,61.51,1458.08,9847.67,9515.65,1764.52,5952.23,2199.69,29279.76,894.74,523.0,1792.09,1552.01,3469.38,1736.75,9967.97,39247.73,3093.59,378.92,0.0,0.0,180.21,0.0,9515.65,894.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,414.19,91.69,505.88,17869.07,17869.07,18374.95,0.0,18748.1,842.51,0.0,19590.61,715.14,213.37,1893.46,46.08,2868.05,40833.61,7896.68,59.98,1626.91,9583.57,10023.13,1131.86,8395.38,1483.48,30617.42,519.2,363.41,3286.28,1273.09,2658.99,2115.22,10216.19,40833.61,3827.3,541.64,0.0,0.0,180.21,0.0,10023.13,519.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,414.19,99.94,514.13,19911.6,19911.6,20425.73,165.88,17982.19,718.32,0.0,18700.51,6208.81,194.32,1684.95,44.22,8132.3,47424.42,8985.37,88.85,774.77,9848.99,13455.48,804.66,8116.87,2923.27,35149.27,501.11,625.45,1910.06,3869.48,3056.98,2312.07,12275.15,47424.42,8093.65,620.57,0.0,0.0,180.21,0.0,13455.48,501.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,406.35,97.09,503.44,19292.29,19292.29,19795.73,166.53,24540.66,761.92,0.0,25302.58,2202.12,217.65,4083.54,44.49,6547.8,51812.64,10500.3,82.46,675.36,11258.12,15603.89,954.39,10094.5,3483.6,41394.5,11.89,86.92,2132.67,4444.17,1571.0,2171.49,10418.14,51812.64,4308.59,902.08,0.0,41.4,176.79,0.0,15603.89,11.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,406.35,105.83,512.18,21228.4,21228.4,21740.58,166.53,30844.29,723.74,2.4,31570.43,1733.4,216.69,3114.16,16.54,5080.79,58558.33,10210.0,72.27,590.23,10872.5,20768.88,483.23,14666.23,3819.53,50610.37,926.02,74.22,1632.42,3464.14,704.71,1146.45,7947.96,58558.33,4925.32,1198.29,0.0,40.49,176.79,0.0,20768.88,926.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,422.47,115.35,537.82,25993.26,25993.26,26531.08,166.53,40511.3,642.8,5.47,41159.57,3939.87,311.01,2542.94,19.58,6813.4,74670.58,9909.66,129.01,614.08,10652.75,36371.7,355.64,11994.41,6502.32,65876.82,0.0,79.33,1082.13,6211.5,348.26,1072.54,8793.76,74670.58,6168.34,1554.82,0.0,93.88,176.79,0.0,36371.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,432.03,125.73,557.76,28104.13,28104.13,28661.89,166.53,43935.97,627.33,11.58,44574.88,3203.73,578.79,2518.24,21.95,6322.71,79726.01,10078.69,111.04,637.71,10827.44,44810.74,1280.05,10200.06,5828.64,72946.93,1161.98,79.11,1274.14,2030.17,693.52,1540.16,6779.08,79726.01,5998.07,1653.45,0.0,113.86,176.79,0.0,44810.74,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,432.03,137.05,569.08,28755.6,28755.6,29324.68,166.53,43539.85,531.98,6.27,44078.1,6025.4,499.25,2640.82,20.63,9186.1,82755.41,9935.6,105.49,809.5,10850.59,46022.24,654.88,13155.06,4432.13,75114.9,102.82,87.77,1242.55,3754.63,1128.63,1324.11,7640.51,82755.41,3053.06,1501.61,0.0,110.44,176.79,0.0,46022.24,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,432.03,0.0,432.03,30004.56,30004.56,30436.59,0.0,47933.04,466.45,2.54,48402.03,3539.72,443.09,3611.91,25.84,7620.56,86459.18,11411.06,47.48,835.5,12294.04,52270.18,167.32,12512.0,4117.92,81361.46,128.09,89.97,1304.19,1643.52,300.13,1631.82,5097.72,86459.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
