Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,102.82,0.08,102.9,4.08,0.3,0.0,6.89,91.63,0.0,91.63,73.85,17.78,0.0,17.78,5.14,12.64,12.64,20.49,0.0,6.2,6.2,1.18,57.6,0.87,100.0,42.4
2013-03-31,113.1,0.13,113.23,4.95,0.56,0.0,3.56,104.16,0.0,104.16,81.6,22.56,1.39,23.95,8.41,15.54,15.54,20.49,0.0,7.6,7.6,1.18,57.6,0.87,100.0,42.4
2013-06-30,126.56,0.03,126.59,4.32,0.32,0.0,8.46,113.49,0.0,113.49,89.38,24.11,0.0,24.11,7.6,16.51,16.51,20.49,0.0,8.1,8.1,1.18,57.6,0.87,100.0,42.4
2013-09-30,137.91,0.04,137.95,4.5,0.36,0.0,7.58,125.52,0.0,125.52,99.77,25.74,0.0,25.74,7.0,18.74,18.74,20.49,0.0,9.1,9.1,1.18,57.6,0.87,100.0,42.44
2013-12-31,151.69,0.11,151.8,4.66,0.38,0.0,6.36,140.39,0.0,140.39,111.51,28.89,0.0,28.89,8.54,20.35,20.35,20.49,0.0,9.9,9.9,1.18,57.6,0.87,100.0,42.4
2014-03-31,161.58,0.08,161.67,4.42,0.96,0.0,6.05,150.24,0.0,150.24,122.11,28.14,-0.22,27.91,7.8,20.11,20.11,20.49,0.0,9.8,9.8,1.18,57.6,0.87,100.0,42.4
2014-06-30,175.99,0.01,176.0,5.37,0.48,0.0,7.45,162.7,0.0,162.7,133.6,29.1,0.0,29.1,10.14,18.96,18.96,20.49,0.0,9.3,9.3,1.18,57.6,0.87,100.0,42.4
2014-09-30,198.35,0.1,198.45,6.66,1.21,0.0,12.44,178.13,0.0,178.13,149.06,29.07,0.0,29.07,10.63,18.45,18.45,20.49,0.0,9.01,9.01,1.18,57.62,0.87,100.0,42.38
2014-12-31,215.1,0.42,215.52,6.21,1.0,0.0,8.29,200.02,0.0,200.02,160.03,39.99,0.0,39.99,14.04,25.95,25.95,20.49,0.0,12.67,12.67,1.18,57.62,0.87,100.0,42.38
2015-03-31,226.87,0.19,227.06,6.51,1.04,0.0,12.62,206.9,0.0,206.9,167.6,39.29,0.0,39.29,16.41,22.89,22.89,26.62,0.0,11.0,11.0,1.5,56.53,1.16,100.0,43.47
