Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,242.48,0.05,242.53,7.1,0.73,0.0,11.29,223.4,0.0,223.4,172.71,50.69,0.0,50.69,18.59,32.1,32.1,26.62,0.0,12.06,12.06,1.5,56.54,1.16,100.0,43.46
2015-09-30,263.38,0.0,263.38,9.3,0.83,0.0,13.93,239.32,0.0,239.32,183.27,56.05,0.0,56.05,20.67,35.38,35.38,26.62,0.0,13.29,13.29,1.51,56.55,1.16,100.0,43.45
2015-12-31,282.03,0.33,282.36,8.41,0.93,0.0,14.54,258.48,0.0,258.48,190.8,67.68,0.0,67.68,25.5,42.18,42.18,26.62,0.0,15.84,15.84,1.51,56.55,1.16,100.0,43.45
2016-03-31,295.04,0.24,295.27,8.24,0.96,0.0,9.92,276.14,0.0,276.14,196.71,79.44,0.0,79.44,31.99,47.45,47.45,26.62,0.0,17.82,17.82,0.0,0.0,0.0,0.0,0.0
2016-06-30,309.48,0.14,309.62,9.36,0.74,0.0,13.57,285.95,0.0,285.95,207.41,78.53,0.0,78.53,28.8,49.73,49.73,26.62,851.42,18.68,18.68,0.0,0.0,0.0,0.0,0.0
2016-09-30,332.31,0.06,332.38,9.97,0.98,0.0,14.86,306.58,0.0,306.58,219.3,87.28,0.0,87.28,32.22,55.06,55.06,26.62,851.42,20.68,20.68,0.0,0.0,0.0,0.0,0.0
2016-12-31,349.49,0.16,349.64,10.43,0.91,0.0,14.04,324.26,0.0,324.26,230.37,93.89,0.0,93.89,34.28,59.6,59.6,26.62,851.42,22.39,22.39,0.0,0.0,0.0,0.0,0.0
2017-03-31,360.79,0.69,361.48,9.6,1.1,0.0,13.37,337.41,0.0,337.41,226.94,110.47,0.0,110.47,39.61,70.87,70.87,26.62,1049.68,26.62,26.62,0.0,0.0,0.0,0.0,0.0
2017-06-30,368.82,0.0,368.82,10.32,0.65,0.0,13.37,344.48,0.0,344.48,233.29,111.18,0.0,111.18,39.97,71.22,71.22,26.62,1049.68,26.75,26.75,0.0,0.0,0.0,0.0,0.0
2017-09-30,383.85,0.0,383.85,10.2,0.76,0.0,17.44,355.45,0.01,355.45,241.26,114.19,0.0,114.19,39.2,74.99,74.99,26.62,1049.68,28.17,28.17,0.0,0.0,0.0,0.0,0.0
2017-12-31,392.1,0.0,392.1,10.84,0.8,0.0,18.37,362.07,2.73,364.81,250.47,114.34,0.0,114.34,34.24,80.1,80.1,26.62,1049.68,6.02,6.02,0.0,0.0,0.0,0.0,0.0
2018-03-31,399.49,0.0,399.49,12.8,0.87,0.0,11.84,373.99,0.11,374.1,255.76,118.33,0.0,118.33,42.87,75.46,75.46,26.63,1319.86,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2018-06-30,405.67,0.0,405.67,10.57,0.58,0.0,8.79,385.73,1.6,387.33,270.06,117.26,0.0,117.26,39.98,77.29,77.29,26.63,1319.86,5.81,5.81,0.0,0.0,0.0,0.0,0.0
2018-09-30,420.96,0.0,420.96,6.03,0.62,0.0,10.99,403.32,2.08,405.4,283.81,121.59,0.0,121.59,44.77,76.83,76.83,26.63,1319.86,5.83,5.83,0.0,0.0,0.0,0.0,0.0
2018-12-31,448.54,0.0,448.54,8.47,0.88,0.0,12.21,426.98,0.84,427.82,301.5,126.31,0.0,126.31,45.96,80.35,80.35,26.63,1319.86,5.91,5.91,0.0,0.0,0.0,0.0,0.0
2019-03-31,463.05,0.0,463.05,16.33,0.88,1.09,15.29,429.46,0.75,430.21,313.73,116.48,0.0,116.48,49.47,67.01,67.01,26.63,1755.55,5.09,5.09,0.0,0.0,0.0,0.0,0.0
2019-06-30,484.01,0.0,484.01,12.61,2.2,8.66,8.4,452.14,0.13,452.27,329.37,122.9,0.0,122.9,41.92,80.98,80.98,26.63,1755.55,6.08,6.08,0.0,0.0,0.0,0.0,0.0
2019-09-30,500.49,0.0,500.49,12.26,2.07,6.27,10.7,469.18,0.18,469.36,338.47,130.89,0.0,130.89,33.27,97.62,97.62,26.63,1755.55,7.33,7.33,0.0,0.0,0.0,0.0,0.0
2019-12-31,516.55,0.0,516.55,13.83,2.42,4.55,10.63,485.12,0.24,485.36,339.79,145.57,0.0,145.57,38.96,106.61,106.61,26.63,1755.55,8.01,8.01,0.0,0.0,0.0,0.0,0.0
2020-03-31,528.82,0.0,528.82,15.49,2.78,40.84,14.23,455.47,0.04,455.51,336.59,118.92,0.0,118.92,28.01,90.91,90.91,26.63,2123.44,6.83,6.83,0.0,0.0,0.0,0.0,0.0
2020-06-30,522.4,0.0,522.4,13.8,2.31,44.14,5.39,456.77,0.11,456.87,330.83,126.05,0.0,126.05,32.89,93.16,93.16,26.63,2123.44,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,525.41,0.0,525.41,14.97,2.28,15.11,7.96,485.09,0.4,485.5,313.45,172.05,0.0,172.05,43.63,128.42,128.42,26.63,2123.44,9.64,9.64,0.0,0.0,0.0,0.0,0.0
2020-12-31,502.72,0.0,502.72,19.28,2.55,1.63,12.62,466.64,0.05,466.69,289.21,177.48,0.0,177.48,45.56,131.92,131.92,26.63,2123.44,9.91,9.91,0.0,0.0,0.0,0.0,0.0
2021-03-31,467.27,0.0,467.27,21.94,2.43,7.66,18.47,416.76,0.08,416.85,274.84,142.01,0.0,142.01,39.44,102.57,102.57,26.63,2583.17,7.7,7.7,0.0,0.0,0.0,0.0,0.0
2021-06-30,450.8,0.0,450.8,18.2,2.37,6.55,9.68,414.0,0.04,414.04,268.04,146.0,0.0,146.0,37.16,108.85,108.85,26.63,2583.17,8.17,8.17,0.0,0.0,0.0,0.0,0.0
2021-09-30,467.77,0.0,467.77,18.88,2.52,-6.21,12.83,439.75,0.11,439.86,270.82,169.05,0.0,169.05,45.41,123.64,123.64,26.63,2583.17,9.29,9.29,0.0,0.0,0.0,0.0,0.0
2021-12-31,508.27,0.0,508.27,21.44,2.69,16.36,16.22,451.56,0.21,451.78,296.11,155.67,0.0,155.67,39.97,115.69,115.69,26.63,2583.17,8.69,8.69,0.0,0.0,0.0,0.0,0.0
2022-03-31,560.99,0.0,560.99,18.29,2.23,30.24,27.65,482.58,0.31,482.88,318.54,164.34,0.0,164.34,41.41,122.93,122.93,26.63,3039.99,9.23,9.23,0.0,0.0,0.0,0.0,0.0
2022-06-30,611.21,0.0,611.21,22.04,2.16,-3.69,16.27,574.42,0.37,574.79,356.1,218.69,0.0,218.69,56.48,162.21,162.21,26.63,0.0,12.18,12.18,0.0,0.0,0.0,0.0,0.0
2022-09-30,657.48,0.0,657.48,17.87,3.4,13.23,19.2,603.77,0.07,603.84,400.99,202.85,0.0,202.85,61.14,141.71,141.71,26.63,0.0,10.64,10.64,0.0,0.0,0.0,0.0,0.0
2022-12-31,709.54,0.0,709.54,21.39,3.23,8.42,19.22,657.28,0.17,657.45,452.94,204.51,0.0,204.51,53.01,151.49,151.49,26.63,0.0,11.38,11.38,0.0,0.0,0.0,0.0,0.0
2023-03-31,763.77,0.0,763.77,22.42,3.66,23.8,25.6,688.29,0.52,688.81,490.83,197.99,0.0,197.99,32.19,165.8,165.8,26.63,0.0,12.45,12.45,0.0,0.0,0.0,0.0,0.0
2023-06-30,823.96,0.0,823.96,20.71,2.71,13.71,20.07,766.77,0.13,766.89,533.0,233.9,0.0,233.9,50.44,183.45,183.45,26.63,0.0,13.78,13.78,0.0,0.0,0.0,0.0,0.0
2023-09-30,871.02,0.0,871.02,24.97,2.76,72.19,24.69,746.43,0.01,746.44,548.45,197.99,0.0,197.99,39.92,158.07,158.07,26.63,0.0,11.87,11.87,0.0,0.0,0.0,0.0,0.0
2023-12-31,901.24,0.0,901.24,24.58,3.09,30.81,21.75,821.02,0.69,821.71,566.02,255.69,0.0,255.69,55.55,200.14,200.14,26.63,0.0,15.03,15.03,0.0,0.0,0.0,0.0,0.0
2024-03-31,926.83,0.0,926.83,26.61,4.16,1.78,41.2,853.07,0.81,853.88,583.93,269.95,0.0,269.95,60.92,209.03,209.03,26.63,0.0,15.7,15.7,0.0,0.0,0.0,0.0,0.0
2024-06-30,931.08,0.0,931.08,23.3,2.63,24.47,22.9,857.78,0.05,857.83,602.73,255.1,0.0,255.1,55.46,199.64,199.64,26.63,0.0,14.99,14.99,0.0,0.0,0.0,0.0,0.0
2024-09-30,962.48,0.0,962.48,28.85,2.79,13.74,27.73,889.38,0.21,889.59,615.5,274.09,0.0,274.09,62.6,211.49,211.49,26.63,0.0,15.88,15.88,0.0,0.0,0.0,0.0,0.0
2024-12-31,986.11,0.0,986.11,29.13,3.33,22.13,26.83,904.68,0.03,904.72,635.59,269.12,0.0,269.12,57.0,212.12,212.12,26.63,0.0,15.93,15.93,0.0,0.0,0.0,0.0,0.0
2025-03-31,998.58,0.0,998.58,30.72,4.12,15.43,35.89,912.43,1.07,913.5,634.34,279.15,0.0,279.15,45.24,233.92,233.92,26.63,0.0,17.57,17.57,0.0,0.0,0.0,0.0,0.0
