,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2024-12-31,BRK-B,USD,0001067983,2025-02-24,2025-02-24 06:03:00,2024,FY,89561000000,12855000000,0,0,-6784000000,626000000,591000000,0,-8001000000,-65040000000,30592000000,-18976000000,-396000000,-9237000000,0,18322000000,-10287000000,-1820000000,0,-2918000000,0,-5622000000,-10360000000,-212000000,9733000000,48376000000,38643000000,30592000000,-18976000000,11616000000,https://www.sec.gov/Archives/edgar/data/1067983/000095017025025210/0000950170-25-025210-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000095017025025210/brka-20241231.htm
1,2023-12-31,BRK-B,USD,0001067983,2024-02-26,2024-02-26 06:08:31,2023,FY,97147000000,12486000000,0,0,20441000000,0,1426000000,0,19015000000,-80878000000,49196000000,-19409000000,-8604000000,-251469000000,246134000000,685000000,-32663000000,-1087000000,0,-9171000000,0,-4147000000,-14405000000,116000000,2244000000,38643000000,36399000000,49196000000,-19409000000,29787000000,https://www.sec.gov/Archives/edgar/data/1067983/000095017024019719/0000950170-24-019719-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000095017024019719/brka-20231231.htm
2,2022-12-31,BRK-B,USD,0001067983,2023-02-27,2023-02-27 06:04:49,2022,FY,-22058000000,10899000000,0,0,-14916000000,-5592000000,-4779000000,5592000000,-10137000000,63299000000,37224000000,-15464000000,-10594000000,-251852000000,190070000000,239000000,-87601000000,8171000000,0,-7854000000,0,-1979000000,-1662000000,-268000000,-52307000000,36399000000,88706000000,37224000000,-15464000000,21760000000,https://www.sec.gov/Archives/edgar/data/1067983/000095017023004451/0000950170-23-004451-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000095017023004451/brka-20221231.htm
3,2021-12-31,BRK-B,USD,0001067983,2022-02-28,2022-02-28 06:04:52,2021,FY,90807000000,10718000000,0,0,18869000000,-5834000000,-1862000000,1862000000,24703000000,-80973000000,39421000000,-13276000000,-456000000,-161085000000,203439000000,770000000,29392000000,-752000000,0,-27061000000,0,-695000000,-28508000000,5000000,40310000000,88706000000,48396000000,39421000000,-13276000000,26145000000,https://www.sec.gov/Archives/edgar/data/1067983/000156459022007322/0001564590-22-007322-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000156459022007322/brka-10k_20211231.htm
4,2020-12-31,BRK-B,USD,0001067983,2021-03-01,2021-03-01 06:22:33,2020,FY,43253000000,10596000000,0,0,15566000000,-1609000000,681000000,-681000000,17175000000,-29642000000,39773000000,-13012000000,-2532000000,-238590000000,220338000000,-3961000000,-37757000000,6791000000,0,-24706000000,0,-429000000,-18344000000,92000000,-16236000000,48396000000,64632000000,39773000000,-13012000000,26761000000,https://www.sec.gov/Archives/edgar/data/1067983/000156459021009611/0001564590-21-009611-index.htm,https://www.sec.gov/Archives/edgar/data/1067983/000156459021009611/brka-10k_20201231.htm
