Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,99.23,0.05,99.28,13.79,24.29,5.64,38.59,2.5,0.0,0.0,37.02,-22.56,1.74,-20.82,0.0,-20.82,0.0,-20.82,24.3,-45.12,-45.12,5.0,-18.05,-18.05,0.25,10.0,2.25,100.0,89.99
2012-12-31,104.91,0.02,104.94,9.48,30.71,0.2,39.65,2.54,0.0,0.0,40.26,-17.91,0.22,-17.7,0.0,-17.7,0.0,-17.7,0.0,-17.7,-17.7,5.0,-7.08,-7.08,0.25,10.0,2.25,100.0,89.99
2013-03-31,94.85,0.07,94.92,14.55,30.4,-13.84,36.82,5.48,0.0,0.0,40.76,-19.25,0.67,-18.58,0.0,-18.58,0.0,-18.58,0.0,-18.58,-18.58,5.0,-7.43,-7.43,0.25,10.01,2.25,100.0,89.99
2013-06-30,125.14,0.07,125.2,21.74,14.79,6.82,33.97,1.78,0.0,0.0,47.23,-1.11,2.87,1.77,0.0,1.77,0.0,1.77,0.0,1.77,1.77,5.0,0.71,0.71,0.63,25.0,1.88,100.0,75.0
2013-09-30,115.58,0.08,115.66,15.93,22.96,0.37,36.75,2.34,0.0,0.0,41.36,-4.06,3.34,-0.72,0.0,-0.72,0.0,-0.72,0.51,-1.23,-1.23,5.0,-0.49,-0.49,0.63,25.0,1.88,100.0,75.0
2013-12-31,118.88,0.08,118.96,11.84,28.73,-1.82,35.03,3.03,0.0,0.0,42.2,-0.06,1.58,1.52,0.0,1.52,0.0,1.52,0.0,1.52,1.52,5.0,0.61,0.61,0.63,25.0,1.88,100.0,75.0
2014-03-31,114.15,0.0,114.15,14.35,55.81,-25.4,54.71,2.97,0.0,0.0,29.58,-17.87,1.42,-16.46,0.0,-16.46,13.89,-2.57,0.0,-2.57,-2.57,5.0,-1.03,-1.03,0.63,25.0,1.88,100.0,75.0
2014-06-30,125.57,0.07,125.64,8.33,45.52,-0.15,43.75,3.43,0.0,0.0,44.15,-19.39,1.79,-17.6,0.0,-17.6,0.0,-17.6,0.0,-17.6,-17.6,5.0,-7.04,-7.04,0.63,25.0,1.88,100.0,75.0
2014-09-30,114.55,0.12,114.67,5.93,42.45,4.66,40.32,3.46,0.0,0.0,47.43,-29.57,1.61,-27.96,0.0,-27.96,0.0,-27.96,0.0,-27.96,-27.96,5.0,-11.18,-11.18,0.63,25.0,1.88,100.0,75.0
2014-12-31,108.12,0.08,108.2,0.83,61.54,-23.63,39.17,4.37,0.0,0.0,40.43,-14.51,1.1,-13.41,0.0,-13.41,0.0,-13.41,0.0,-13.41,-13.41,5.0,-5.36,-5.36,0.63,25.0,1.88,100.0,75.0
2015-03-31,120.8,47.75,168.55,11.69,17.77,25.13,36.6,4.02,0.0,0.0,36.56,36.78,1.35,38.13,0.0,38.13,0.0,38.13,0.0,38.13,38.13,5.0,15.25,15.25,0.63,25.0,1.88,100.0,75.0
2015-06-30,120.03,11.95,131.98,9.2,31.31,5.92,38.52,4.28,0.0,0.0,41.73,1.0,1.71,2.72,0.0,2.72,0.0,2.72,0.0,2.72,2.72,5.0,1.09,1.09,0.63,25.0,1.88,100.0,75.0
2015-09-30,128.35,0.0,128.35,11.81,33.08,1.98,41.15,4.46,0.0,0.0,44.05,-8.18,1.49,-6.69,0.0,-6.69,0.0,-6.69,0.0,-6.69,-6.69,5.0,-2.68,-2.68,0.63,25.0,1.88,100.0,75.0
2015-12-31,144.56,0.02,144.58,5.06,46.29,2.72,38.81,4.44,0.0,0.0,40.06,7.19,1.48,8.67,0.0,8.67,0.0,8.67,0.0,8.67,8.67,5.0,3.47,3.47,0.0,0.0,0.0,0.0,0.0
2016-03-31,133.51,25.31,158.82,8.69,48.21,-5.21,50.86,4.24,0.0,0.0,53.07,-1.03,2.09,1.06,0.0,1.06,0.0,1.06,0.5,0.56,0.56,5.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2016-06-30,138.09,1.45,139.54,3.2,50.78,-9.23,42.33,4.07,0.0,0.0,36.5,11.9,1.56,13.46,0.0,13.46,0.0,13.46,2.9,10.57,10.57,5.0,4.23,4.23,0.0,0.0,0.0,0.0,0.0
2016-09-30,136.14,2.02,138.17,3.06,27.62,13.49,46.96,4.06,0.0,0.0,43.82,-0.84,1.82,0.98,0.0,0.98,0.0,0.98,0.19,0.79,0.79,5.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0
2016-12-31,141.12,9.16,150.29,2.44,35.67,8.93,38.12,4.02,0.0,0.0,50.18,10.92,9.83,20.75,0.0,20.75,0.0,20.75,4.79,15.96,15.96,5.0,6.39,6.39,0.0,0.0,0.0,0.0,0.0
2017-03-31,110.95,0.63,111.58,5.3,28.08,4.32,36.07,3.68,0.0,0.0,42.55,-8.42,6.43,-1.99,0.0,-1.99,0.0,-1.99,0.88,-2.88,-2.88,5.0,-1.15,-1.15,0.0,0.0,0.0,0.0,0.0
2017-06-30,127.48,0.0,127.48,5.48,58.44,-18.77,34.94,3.71,11.86,0.0,29.32,2.51,4.65,7.16,0.0,7.16,0.0,7.16,1.37,5.8,5.8,5.0,2.32,2.32,0.0,0.0,0.0,0.0,0.0
2017-09-30,164.26,0.0,164.26,3.12,47.78,2.55,36.4,3.75,15.26,0.0,23.49,31.9,2.5,34.4,0.0,34.4,0.0,34.4,7.01,27.38,27.38,5.0,10.95,10.95,0.0,0.0,0.0,0.0,0.0
2017-12-31,128.54,0.0,128.54,7.79,73.26,-42.61,37.12,3.73,24.57,0.0,39.26,-14.58,2.76,-11.82,0.0,-11.82,0.0,-11.82,-1.46,-10.35,-10.35,5.0,-4.14,-4.14,0.0,0.0,0.0,0.0,0.0
2018-03-31,150.73,0.0,150.73,11.49,24.73,7.84,45.07,3.55,21.11,0.0,25.22,11.72,2.34,14.06,0.0,14.06,0.0,14.06,10.84,3.22,3.22,5.0,1.29,1.29,0.0,0.0,0.0,0.0,0.0
2018-06-30,161.44,0.0,161.44,16.87,19.99,16.48,43.07,3.55,28.62,0.0,27.12,5.73,3.42,9.15,0.0,9.15,0.0,9.15,2.76,6.39,6.39,5.0,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2018-09-30,161.36,0.0,161.36,9.46,27.36,15.9,44.95,3.67,11.68,0.0,37.24,11.09,3.35,14.44,0.0,14.44,0.0,14.44,5.31,9.13,9.13,5.0,3.65,3.65,0.0,0.0,0.0,0.0,0.0
2018-12-31,215.19,0.0,215.19,16.84,41.57,6.51,52.11,3.78,16.51,0.0,40.77,37.1,3.5,40.59,0.0,40.59,0.0,40.59,11.5,29.09,29.09,5.0,11.64,11.64,0.0,0.0,0.0,0.0,0.0
2019-03-31,190.3,0.0,190.3,22.24,80.92,-40.28,60.41,3.91,22.98,0.0,37.67,2.46,6.01,8.47,0.0,8.47,0.0,8.47,-1.35,9.82,9.82,5.0,3.93,3.93,0.0,0.0,0.0,0.0,0.0
2019-06-30,204.56,0.0,204.56,18.75,46.68,4.61,50.73,4.63,16.98,0.0,31.24,30.94,2.99,33.92,0.3,33.63,0.0,33.63,12.11,21.52,21.52,5.0,8.61,8.61,0.0,0.0,0.0,0.0,0.0
2019-09-30,208.48,0.0,208.48,13.28,63.58,-2.71,52.16,4.64,14.01,0.0,34.59,28.92,3.16,32.08,0.28,31.8,0.0,31.8,17.38,14.42,14.42,5.0,5.77,5.77,0.0,0.0,0.0,0.0,0.0
2019-12-31,223.86,0.0,223.86,21.65,76.76,-17.09,52.55,4.77,11.7,0.0,41.53,31.99,3.46,35.45,0.27,35.18,0.0,35.18,8.48,26.7,26.7,5.0,10.68,10.68,0.0,0.0,0.0,0.0,0.0
2020-03-31,194.9,0.0,194.9,16.53,87.22,-24.02,81.25,4.54,13.06,0.0,6.08,10.24,3.38,13.62,0.27,13.35,0.0,13.35,3.77,9.58,9.58,5.0,3.83,3.83,0.0,0.0,0.0,0.0,0.0
2020-06-30,193.58,0.0,193.58,20.85,47.11,4.59,56.35,4.56,9.24,0.0,26.86,24.01,2.65,26.66,0.27,26.38,0.0,26.38,7.75,18.63,18.63,5.0,7.45,7.45,0.0,0.0,0.0,0.0,0.0
2020-09-30,209.48,0.0,209.48,23.98,69.3,-15.72,55.64,4.62,11.49,0.0,29.03,31.13,4.71,35.85,0.28,35.57,0.0,35.57,9.23,26.34,26.34,5.0,10.54,10.54,0.0,0.0,0.0,0.0,0.0
2020-12-31,200.25,0.0,200.25,26.2,21.35,20.76,55.06,5.11,14.33,0.0,31.82,25.63,2.93,28.56,0.26,28.3,0.0,28.3,7.25,21.05,21.05,5.0,8.42,8.42,0.0,0.0,0.0,0.0,0.0
2021-03-31,210.26,0.0,210.26,26.23,56.98,-6.7,52.5,5.84,10.15,0.0,30.68,34.57,2.55,37.12,0.28,36.84,0.0,36.84,9.56,27.28,27.28,5.0,10.91,10.91,0.0,0.0,0.0,0.0,0.0
2021-06-30,175.4,0.0,175.4,17.68,33.06,15.73,54.79,4.76,10.28,0.0,28.23,10.87,2.9,13.77,0.27,13.5,0.0,13.5,3.26,10.24,10.24,5.0,4.1,4.1,0.0,0.0,0.0,0.0,0.0
2021-09-30,197.71,0.0,197.71,22.63,74.42,-16.79,57.69,4.28,9.84,0.0,32.01,13.64,2.84,16.48,0.25,16.24,0.0,16.24,4.29,11.95,11.95,5.0,4.78,4.78,0.0,0.0,0.0,0.0,0.0
2021-12-31,200.53,0.0,200.53,26.58,38.62,12.46,59.06,3.51,14.46,0.0,34.68,11.16,5.33,16.49,0.23,16.26,0.0,16.26,4.85,11.42,11.42,5.0,4.57,4.57,0.0,0.0,0.0,0.0,0.0
2022-03-31,231.96,0.0,231.96,22.72,61.79,3.07,58.46,4.41,0.0,0.0,47.96,33.55,3.68,37.24,0.21,37.03,0.0,37.03,9.05,27.98,27.98,5.0,11.19,11.19,0.0,0.0,0.0,0.0,0.0
2022-06-30,232.33,0.0,232.33,15.89,75.31,-7.83,68.37,4.59,10.74,0.0,41.89,23.37,4.11,27.49,0.19,27.3,0.0,27.3,7.15,20.15,20.15,5.0,8.06,8.06,0.0,0.0,0.0,0.0,0.0
2022-09-30,236.13,0.0,236.13,19.76,71.18,-4.45,61.19,3.29,0.0,0.0,47.72,37.44,6.79,44.23,0.16,44.07,0.0,44.07,11.51,32.56,32.56,5.0,13.03,13.03,0.0,0.0,0.0,0.0,0.0
