Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value
2021-03-31,315.09,315.09,7057.25,7057.25,7372.34,3894.38,1461.0,137.65,68.33,5561.36,1651.59,666.12,1189.63,332.1,3839.44,16773.14,6170.89,3614.7,960.92,0.0,0.55,10747.06,2271.28,1001.24,794.25,14813.83,310.13,502.04,387.34,442.69,2.44,314.67,1959.31,16773.14,487.99,240.16,0.24,2271.28,310.13
2022-03-31,357.16,357.16,8535.95,8535.95,8893.11,2770.72,1466.9,159.65,74.68,4471.95,790.38,870.1,1241.32,367.66,3269.46,16634.52,6800.91,3542.85,144.09,0.0,0.97,10488.82,2271.28,1073.01,831.78,14664.89,185.53,768.45,459.15,92.67,2.05,461.78,1969.63,16634.52,516.83,342.01,1.26,2271.28,185.53
2023-03-31,357.16,357.16,8626.68,8626.68,8983.84,2222.89,1003.28,171.22,156.86,3554.25,976.65,1117.54,1370.22,418.47,3882.88,16420.97,6504.84,3555.47,305.32,0.0,0.92,10366.55,2271.28,1149.86,605.91,14393.6,0.0,706.94,606.79,180.25,1.96,531.43,2027.37,16420.97,982.37,704.39,0.0,2271.28,0.0
2024-03-31,357.16,357.16,8777.6,8777.6,9134.76,2064.94,996.51,200.21,160.08,3421.74,850.19,1226.03,1409.17,409.12,3894.51,16451.01,6631.43,3522.3,205.2,13.68,0.87,10373.48,3500.78,0.68,544.7,14419.64,0.0,665.98,696.5,85.37,3.41,580.11,2031.37,16451.01,860.87,374.06,0.0,3500.78,0.0
2025-03-31,357.16,357.16,8815.82,8815.82,9172.98,1603.36,979.47,187.13,136.63,2906.59,986.31,1217.66,1326.36,402.46,3932.79,16012.36,8925.27,1047.1,98.24,0.0,0.0,10070.61,3500.78,1.12,509.72,14082.23,0.0,510.65,691.47,162.37,1.37,564.27,1930.13,16012.36,0.0,0.0,0.0,0.0,0.0
