Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-06-30,841.52,841.52,81.05,2.27,97.71,134.12,98.81,132.69,304.66,-9.79,8.47,-1.32,141.33,-142.65,0.0,-142.65,-51.27,-91.38,-91.38,296.91,-3.08,-3.57
2020-09-30,13.82,13.82,1.77,0.18,-0.25,2.63,1.01,1.4,5.46,1.62,0.23,1.85,1.31,0.54,0.0,0.54,0.21,0.33,0.33,3.15,1.06,1.17
2020-12-31,2991.13,2991.13,426.82,73.76,-44.15,-455.53,197.62,297.3,2170.84,324.46,46.61,371.07,261.28,109.79,0.0,109.79,28.9,80.89,80.89,315.09,2.57,0.0
2021-03-31,1958.89,1958.89,297.49,81.68,48.54,318.78,106.36,155.94,733.4,216.7,28.1,244.8,112.99,131.81,0.0,131.81,98.87,32.94,32.94,315.09,1.05,0.97
2021-06-30,1623.17,1623.17,250.2,100.87,-64.23,295.19,113.33,146.11,589.16,192.54,22.73,215.27,109.47,105.8,0.0,105.8,36.73,69.07,69.07,315.09,2.19,2.02
2021-09-30,1622.65,1622.65,262.6,119.11,-14.48,318.77,115.05,164.11,577.07,80.42,29.5,109.92,102.4,7.52,0.0,7.52,1.96,5.56,5.56,357.16,0.16,0.16
2021-12-31,1751.97,1751.97,298.83,202.46,-128.73,0.0,118.42,162.02,1094.3,4.67,34.87,39.54,95.68,-56.14,0.0,-56.14,-19.95,-36.19,-36.19,357.16,-1.01,-1.01
2022-03-31,2344.57,2344.57,362.56,283.23,82.9,453.91,109.03,179.32,769.67,103.95,33.66,137.61,93.6,44.01,0.0,44.01,27.29,16.72,16.72,357.16,0.47,0.47
2022-06-30,2121.62,2121.62,378.34,271.65,-127.19,0.0,120.42,169.26,1239.84,69.3,34.22,103.52,79.88,23.64,0.0,23.64,7.94,15.7,15.7,357.16,0.44,0.44
2022-09-30,2042.62,2042.62,316.46,237.61,46.07,0.0,117.69,175.99,1179.95,-31.15,22.21,-8.94,87.53,-96.47,0.0,-96.47,-30.21,-66.26,-66.26,357.16,-1.86,-1.86
2022-12-31,2096.61,2096.61,355.38,247.6,-71.73,0.0,119.7,175.34,1247.03,23.29,24.88,48.17,94.12,-45.95,0.0,-45.95,-19.71,-26.24,-26.24,357.16,-0.73,-0.73
2023-03-31,2320.67,2320.67,373.33,246.46,145.9,428.96,123.64,175.61,773.58,53.19,25.15,78.34,91.79,-13.45,-238.22,-251.67,-418.64,166.97,166.97,357.16,4.67,4.67
2023-06-30,2265.11,2265.11,408.36,255.1,-39.41,464.54,142.64,177.15,784.85,71.88,29.42,101.3,92.09,9.21,0.0,9.21,3.06,6.15,6.15,357.16,0.17,0.17
2023-09-30,2185.16,2185.16,410.24,222.63,34.69,409.64,139.0,150.61,733.44,84.91,28.26,113.17,96.82,16.35,0.0,16.35,-15.63,31.98,31.98,357.16,0.9,0.9
2023-12-31,1995.98,1995.98,350.19,284.34,-22.43,0.0,140.92,161.35,972.43,109.18,34.08,143.26,90.69,52.57,0.0,52.57,22.14,30.43,30.43,357.16,0.85,0.85
2024-03-31,2492.98,2492.98,464.47,340.72,72.8,368.68,134.4,154.65,767.32,189.94,28.21,218.15,88.38,129.77,0.0,129.77,45.3,84.47,84.47,357.16,2.37,2.37
2024-06-30,2202.03,2202.03,375.01,300.96,-8.32,385.31,143.37,152.03,732.77,120.9,3.97,124.87,91.59,33.28,0.0,33.28,11.6,21.68,21.68,357.16,0.61,0.61
2024-09-30,1971.49,1971.49,335.08,263.61,-15.61,370.84,135.23,155.86,716.14,10.34,7.69,18.03,94.62,-76.59,0.0,-76.59,-24.01,-52.58,-52.58,357.16,-1.47,-1.47
2024-12-31,2017.49,2017.49,321.38,263.16,-9.1,0.0,143.06,154.82,1117.6,26.57,1.58,28.15,88.7,-60.55,0.0,-60.55,-16.4,-44.15,-44.15,357.16,-1.24,-1.24
2025-03-31,2533.65,2533.65,362.91,334.15,93.57,373.15,135.25,157.96,853.95,222.71,3.13,225.84,79.82,146.02,0.0,146.02,30.49,115.53,115.53,357.16,3.23,3.23
