Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1502.52,1502.52,619.57,36.61,0.0,586.27,260.07,16.45,276.52,29.89,246.63,0.0,246.63,57.54,189.09,0.0,0.0,189.09,127.83,14.82,14.21,6.71,52.49,6.07,100.0,47.51
2013-03-31,1496.5,1496.5,621.33,42.0,0.0,599.51,233.66,-24.33,209.33,32.05,177.28,0.0,177.28,41.48,135.8,0.0,0.0,135.8,128.12,10.64,10.2,6.74,52.59,6.07,100.0,47.41
2013-06-30,3552.88,3552.88,1677.92,101.72,0.0,1118.25,654.99,161.29,816.28,26.25,790.03,0.0,790.03,191.16,598.87,0.0,0.0,598.87,128.77,46.51,46.51,6.8,52.83,6.07,100.0,47.17
2013-09-30,4156.24,4156.24,1841.88,94.9,0.0,1334.88,884.58,14.36,898.94,23.47,875.47,0.0,875.47,236.83,638.64,0.0,0.0,638.64,232.39,27.52,26.9,14.77,63.54,8.47,100.0,36.46
2013-12-31,4215.78,4215.78,1811.84,114.32,0.0,1438.51,851.11,-35.21,815.9,27.72,788.18,120.0,908.18,210.13,698.05,226.6,0.0,924.65,233.15,39.81,38.84,14.84,63.66,8.47,100.0,36.34
2014-03-31,4370.24,4370.24,1639.82,116.04,0.0,1870.66,743.72,-70.14,673.58,9.39,664.19,0.0,664.19,140.85,523.34,0.0,0.0,523.34,233.47,22.51,21.91,14.87,63.71,8.47,100.0,36.29
2014-06-30,4512.41,4512.41,1694.44,121.29,0.0,2065.76,630.92,78.12,709.04,2.92,706.12,0.0,706.12,179.11,527.01,0.0,0.0,527.01,234.39,22.55,21.85,14.97,63.85,8.47,100.0,36.15
2014-09-30,4803.6,4803.6,1803.89,112.9,0.0,2132.91,753.9,43.78,797.68,2.54,795.14,0.0,795.14,205.67,589.47,0.0,0.0,589.47,235.45,25.16,24.42,15.07,64.01,8.47,100.0,35.99
2014-12-31,5034.81,5034.81,1831.04,111.56,0.0,2252.68,839.53,38.8,878.33,1.66,876.67,0.0,876.67,191.32,685.35,0.0,25.42,710.77,239.98,29.74,28.92,15.18,63.26,8.82,100.0,36.74
2015-03-31,4707.15,4707.15,1814.69,124.55,0.0,2269.12,498.79,-42.49,456.3,1.44,454.86,61.27,516.13,87.13,429.0,0.0,0.0,429.0,480.39,3.84,3.74,60.81,63.29,35.27,100.0,36.71
2015-06-30,5016.31,5016.31,1849.38,123.28,0.0,2459.82,583.83,398.29,982.12,13.41,968.71,0.0,968.71,165.61,803.1,0.0,0.0,803.1,479.99,8.36,8.17,60.88,63.32,35.27,100.0,36.68
2015-09-30,5259.91,5259.91,1836.12,141.88,0.0,2532.3,749.61,474.21,1223.82,10.6,1213.22,0.0,1213.22,230.22,983.0,0.0,0.0,983.0,480.77,10.23,10.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,5226.74,5226.74,1847.78,118.74,0.0,2509.28,750.94,76.05,826.99,16.4,810.59,0.0,810.59,187.16,623.43,0.0,0.0,623.43,483.04,6.48,6.34,0.0,0.0,0.0,0.0,0.0
2016-03-31,5466.81,5466.81,1895.72,157.83,0.0,2651.45,761.81,134.9,896.71,12.91,883.8,0.0,883.8,120.53,763.27,0.0,0.0,763.27,483.55,7.92,7.76,0.0,0.0,0.0,0.0,0.0
2016-06-30,5646.76,5646.76,1850.38,142.1,0.0,2864.65,789.63,175.01,964.64,14.63,950.01,0.0,950.01,212.53,737.48,0.0,0.0,737.48,485.26,7.61,7.49,0.0,0.0,0.0,0.0,0.0
2016-09-30,5682.19,5682.19,1959.93,147.81,0.0,2805.81,768.64,381.02,1149.66,17.01,1132.65,0.0,1132.65,260.44,872.21,0.0,0.0,872.21,485.68,8.99,8.86,0.0,0.0,0.0,0.0,0.0
2016-12-31,5912.86,5912.86,1951.54,154.66,0.0,2939.82,866.84,178.34,1045.18,20.2,1024.98,0.0,1024.98,173.09,851.89,0.0,0.0,851.89,486.26,8.78,8.65,0.0,0.0,0.0,0.0,0.0
2017-03-31,5923.58,5923.58,1982.56,177.64,0.0,3138.92,624.46,158.57,783.03,11.95,771.08,0.0,771.08,185.34,585.74,0.0,0.0,585.74,486.77,6.03,5.95,0.0,0.0,0.0,0.0,0.0
2017-06-30,5753.54,5753.54,2039.43,147.86,0.0,2937.78,628.47,395.47,1023.94,17.22,1006.72,0.0,1006.72,211.34,795.38,0.0,0.0,795.38,487.51,8.17,8.07,0.0,0.0,0.0,0.0,0.0
2017-09-30,5919.37,5919.37,2023.75,158.44,0.0,2842.34,894.84,735.4,1630.24,18.96,1611.28,0.0,1611.28,232.87,1378.41,0.0,0.0,1378.41,487.97,14.14,13.99,0.0,0.0,0.0,0.0,0.0
2017-12-31,5967.71,5967.71,2020.41,170.11,0.0,2961.76,815.43,190.71,1006.14,17.9,988.24,0.0,988.24,150.0,838.24,0.0,0.0,838.24,489.48,8.59,8.51,0.0,0.0,0.0,0.0,0.0
2018-03-31,6020.57,6020.57,2022.87,179.76,0.0,2902.64,915.3,401.68,1316.98,16.72,1300.26,0.0,1300.26,313.02,987.24,0.0,0.0,987.24,489.69,10.08,10.01,0.0,0.0,0.0,0.0,0.0
2018-06-30,6286.85,6286.85,2012.48,169.06,0.0,3165.76,939.55,179.27,1118.82,8.0,1110.82,0.0,1110.82,194.6,916.22,0.0,0.0,916.22,489.98,9.32,9.28,0.0,0.0,0.0,0.0,0.0
2018-09-30,6870.86,6870.86,2069.44,175.94,0.0,3375.78,1249.7,408.45,1658.15,11.88,1646.27,0.0,1646.27,309.2,1337.07,0.0,0.0,1337.07,490.22,13.59,13.53,0.0,0.0,0.0,0.0,0.0
2018-12-31,6989.7,6989.7,2154.7,162.1,0.0,3356.6,1316.3,81.4,1397.7,12.9,1384.8,0.0,1384.8,231.9,1152.9,0.0,0.0,1152.9,490.5,11.72,11.64,0.0,0.0,0.0,0.0,0.0
2019-03-31,7064.6,7064.6,2202.9,151.6,0.0,3700.6,1009.5,292.3,1301.8,10.3,1291.5,0.0,1291.5,310.4,981.1,0.0,0.0,981.1,491.7,9.98,9.84,0.0,0.0,0.0,0.0,0.0
2019-06-30,6858.7,6858.7,2240.2,158.1,0.0,3607.6,852.8,238.8,1091.6,12.1,1079.5,0.0,1079.5,256.8,822.7,0.0,0.0,822.7,482.2,8.5,8.43,0.0,0.0,0.0,0.0,0.0
2019-09-30,7095.7,7095.7,2351.0,170.4,0.0,3656.7,917.6,580.1,1497.7,12.0,1485.7,0.0,1485.7,88.9,1396.8,0.0,0.0,1396.8,482.4,14.44,14.35,0.0,0.0,0.0,0.0,0.0
2019-12-31,7699.1,7699.1,2357.9,166.9,0.0,4198.7,975.6,289.6,1265.2,15.7,1249.5,0.0,1249.5,326.3,923.2,0.0,0.0,923.2,482.7,9.55,9.48,0.0,0.0,0.0,0.0,0.0
