Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Share Capital Suspense,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Employees Stock Options,Long Term Borrowings,Long Term Loans And Advances,"Stores, Spares And Loose Tools",Capital Goods,Short Term Borrowings,Inventories,Government/Other Grants,Deferred Tax Liabilities [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,20.27,20.27,415.07,415.07,435.34,0.0,0.0,0.0,0.0,0.2,70.16,0.0,55.84,126.0,561.54,133.24,0.0,19.85,0.0,153.09,73.24,0.46,0.0,226.78,0.0,276.21,29.15,29.4,0.0,334.76,561.54,9.33,345.95,21.31,705.44,5.77,15.2,0.0,73.24,0.0,0.0,0.0,0.0,0.0,0.0,9.67,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,20.35,20.35,462.48,462.48,482.82,0.0,0.0,0.0,0.0,0.12,111.77,0.0,60.63,172.4,655.35,170.05,0.0,7.05,0.0,177.1,114.93,0.32,0.0,292.36,0.0,217.42,122.17,23.4,0.0,362.99,655.35,17.99,424.71,14.66,916.22,3.75,15.2,0.0,114.93,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,20.8,20.8,577.06,577.06,597.86,0.0,0.0,0.0,0.0,0.14,195.77,0.0,202.15,397.91,995.92,156.8,0.0,19.33,0.0,176.13,294.75,0.63,0.0,471.51,0.0,412.76,51.58,60.07,0.0,524.41,995.92,46.43,470.29,5.36,1190.0,6.17,15.2,0.0,294.75,0.0,0.0,0.0,0.0,0.0,0.0,9.93,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,121.22,121.22,756.76,756.76,877.98,0.14,0.0,0.0,0.0,0.14,498.7,0.0,139.27,690.63,1568.89,247.04,0.0,54.65,0.0,301.68,283.21,1.51,0.0,586.41,0.0,792.02,28.92,161.55,0.0,982.48,1568.89,136.38,1633.97,51.14,2730.65,2.9,105.35,0.0,283.21,0.0,0.0,0.0,0.0,0.0,0.0,23.43,52.65,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,121.4,121.4,1107.0,1107.0,1228.4,0.0,0.0,0.0,0.0,0.1,509.1,125.0,258.4,987.5,2216.0,290.9,0.0,138.5,0.0,429.4,298.6,1.5,0.0,729.5,0.0,1057.4,81.4,347.7,0.0,1486.5,2216.0,169.5,1813.3,0.0,2559.3,4.4,105.35,0.0,298.6,0.0,0.0,0.0,0.0,0.0,0.0,45.3,95.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,121.7,121.7,1759.2,1759.2,1880.9,0.0,0.0,0.0,0.0,0.1,501.1,170.7,199.0,870.8,2751.8,482.5,7.6,154.1,0.0,644.2,453.5,15.5,0.0,1113.2,0.0,854.5,496.1,286.7,0.0,1638.6,2751.8,138.7,1555.4,45.4,4275.5,3.7,105.35,0.0,453.5,0.0,0.0,0.0,0.0,0.0,0.0,57.9,0.0,1.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,122.3,122.3,2744.2,2744.2,2866.5,0.2,0.0,0.0,0.0,997.6,453.3,121.1,260.5,1204.5,5836.5,586.4,7.6,320.8,0.0,914.8,3113.9,22.3,0.0,4051.0,0.0,993.0,138.0,653.1,0.0,1785.5,5836.5,335.5,1772.6,0.0,4156.9,969.6,105.35,0.0,3113.9,0.0,0.0,0.0,997.6,0.0,0.0,272.2,369.6,1.4,767.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,126.0,126.0,3258.0,3258.0,3384.0,0.0,0.0,393.1,133.8,1166.9,303.4,532.4,151.0,1529.5,6080.4,597.0,3.0,60.8,0.0,660.8,3114.9,53.2,0.0,4239.2,0.0,964.3,193.8,682.5,0.0,1841.2,6080.4,354.1,1761.6,13.3,4165.7,43.0,105.35,0.0,3158.8,0.0,0.0,0.0,640.0,410.3,1.4,73.6,542.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,127.5,127.5,3315.7,3315.7,3443.2,0.0,0.0,430.9,170.6,1201.5,468.4,566.9,138.8,1700.7,6345.4,646.3,6.3,162.7,0.0,815.3,3133.1,82.0,0.0,4364.5,120.3,1243.1,138.9,478.4,0.0,1980.9,6345.4,265.8,2083.4,11.9,4702.8,4.6,105.35,0.0,3177.0,0.0,120.3,0.0,600.0,334.1,0.9,63.7,526.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,128.1,128.1,4054.4,4054.4,4182.5,0.3,0.0,227.0,169.2,696.2,564.4,804.6,206.0,2379.5,7258.5,713.3,6.8,28.4,0.0,748.5,3807.5,94.4,0.0,5100.0,0.0,1372.5,271.1,331.0,183.9,2158.5,7258.5,558.9,2470.6,11.9,5549.7,1.2,105.35,0.0,3851.4,0.0,0.0,0.0,300.0,449.6,0.8,29.3,804.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
