Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2683.7,0.03,2683.73,2640.56,-104.34,25.94,2.42,49.97,69.18,7.43,76.61,21.79,54.82,0.0,54.82,18.06,36.76,36.76,79.81,0.0,0.92,0.92,31.5,79.0,8.4,100.0,21.0
2013-03-31,2744.74,0.03,2744.77,2380.18,200.32,24.12,2.44,55.69,82.02,6.24,88.26,20.87,67.39,0.0,67.39,23.48,43.91,43.91,79.83,0.0,1.1,1.1,31.51,79.0,8.4,100.0,21.0
2013-06-30,2553.47,0.02,2553.49,2437.13,-31.27,25.04,2.4,65.22,54.97,20.11,75.08,19.43,55.65,0.0,55.65,14.33,41.32,41.32,79.86,0.0,1.04,1.03,31.53,79.0,8.4,100.0,21.0
2013-09-30,2637.3,0.03,2637.33,2442.59,43.46,28.25,2.63,49.83,70.57,9.29,79.86,20.41,59.45,0.0,59.45,19.24,40.21,40.21,79.86,0.0,1.01,1.01,31.53,79.0,8.4,100.0,21.0
2013-12-31,2899.6,0.06,2899.66,2888.93,-147.67,25.03,2.45,59.92,71.0,6.35,77.35,20.11,57.24,0.0,57.24,18.21,39.03,39.03,79.88,0.0,0.98,0.98,31.54,79.0,8.4,100.0,21.0
2014-03-31,3166.09,0.05,3166.14,2904.66,76.86,22.98,3.12,76.46,82.06,12.28,94.34,17.0,77.34,65.76,143.1,23.87,119.23,119.23,79.9,0.0,2.99,2.98,31.55,79.0,8.4,100.0,21.0
2014-06-30,2679.7,0.0,2679.7,2722.92,-165.58,19.65,3.01,50.82,48.88,20.47,69.35,16.61,52.74,0.0,52.74,15.44,37.3,37.3,79.91,0.0,0.93,0.93,31.55,79.0,8.4,100.0,21.0
2014-09-30,2815.66,0.0,2815.66,2512.9,149.32,21.16,2.62,61.14,68.52,11.01,79.53,15.62,63.91,0.0,63.91,19.94,43.97,43.97,79.92,0.0,1.1,1.1,32.63,82.0,7.33,100.0,18.0
2014-12-31,3517.22,0.01,3517.23,3409.39,-80.52,19.91,2.49,81.1,84.86,7.31,92.17,14.49,77.68,0.0,77.68,25.0,52.68,52.68,79.93,0.0,1.32,1.32,34.64,87.0,5.33,100.0,13.0
2015-03-31,3007.74,0.0,3007.74,2742.92,91.16,19.09,2.9,63.8,87.87,11.26,99.13,15.75,83.38,-4.95,78.43,30.42,48.01,48.01,79.94,0.0,1.2,1.2,34.64,87.0,5.33,100.0,13.0
2015-06-30,2870.83,0.0,2870.83,2936.84,-214.1,21.52,2.56,50.38,73.63,5.59,79.22,15.46,63.76,0.0,63.76,21.8,41.96,41.96,79.95,0.0,1.05,1.05,34.65,87.0,5.33,100.0,13.0
2015-09-30,3060.6,0.02,3060.62,2829.88,67.68,20.22,2.39,57.62,82.83,13.05,95.88,19.29,76.59,0.0,76.59,23.75,52.84,52.84,79.96,0.0,1.32,1.32,34.65,87.0,5.33,100.0,13.0
