Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2016-12-31,926.25,46.63,972.88,633.09,24.44,-72.92,102.7,29.73,210.76,45.08,8.3,53.38,15.23,38.15,0.0,38.15,10.84,27.31,27.31,18.74,0.0,1.46,1.46
2017-03-31,1027.16,62.58,1089.74,628.69,47.08,10.46,96.85,34.23,222.9,49.53,7.53,57.06,15.56,41.5,0.0,41.5,-7.05,48.55,48.55,18.74,1123.27,0.0,0.0
2017-06-30,1074.6,59.74,1134.34,723.44,35.71,-56.81,103.39,30.92,235.0,62.69,3.14,65.83,13.48,52.35,0.0,52.35,17.17,35.18,35.18,18.75,0.0,0.0,0.0
2017-09-30,1116.82,58.48,1175.3,595.65,58.65,71.75,108.28,31.25,236.13,73.59,6.85,80.44,14.24,66.2,0.0,66.2,20.45,45.75,45.75,18.75,0.0,2.44,2.44
2017-12-31,1102.95,69.55,1172.5,650.83,24.6,51.44,112.39,34.41,241.9,56.93,8.16,65.09,14.66,50.43,0.0,50.43,15.49,34.94,34.94,18.75,0.0,1.86,1.86
2018-03-31,1032.23,83.84,1116.07,728.4,20.59,-66.33,108.85,31.72,239.77,53.07,9.89,62.96,14.0,48.96,-25.25,23.71,3.12,20.59,20.59,18.75,0.0,1.1,1.1
2018-06-30,1286.67,74.95,1361.62,800.66,52.05,15.51,110.61,33.86,259.08,89.85,1.88,91.73,12.7,79.03,3.0,82.03,28.0,54.03,54.03,18.77,0.0,2.88,2.88
2018-09-30,1287.68,81.99,1369.67,857.75,54.71,-47.1,117.22,35.07,255.04,96.98,4.07,101.05,16.42,84.63,0.0,84.63,27.47,57.16,57.16,18.7,0.0,3.06,3.06
2018-12-31,1259.96,80.79,1340.75,841.0,40.93,-32.75,112.52,35.3,245.95,97.8,34.91,132.71,11.21,121.5,-12.0,109.5,32.25,77.25,77.25,18.7,0.0,4.13,4.13
2019-03-31,1148.74,74.79,1223.53,695.97,39.78,37.93,98.74,35.97,233.69,81.45,15.82,97.27,11.35,85.92,0.0,85.92,30.85,55.07,55.07,18.77,0.0,2.95,2.94
2019-06-30,1182.9,69.45,1252.35,722.56,37.03,12.39,107.72,38.26,227.43,106.96,8.84,115.8,8.5,107.3,19.1,126.4,37.95,88.45,88.45,18.78,0.0,4.71,4.71
