Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,217.77,0.4,218.17,128.81,22.69,-3.75,8.08,2.67,34.3,25.37,1.24,26.62,7.05,19.57,0.0,19.57,3.56,16.0,0.0,16.0,18.1,0.0,9.07,9.07,0.51,28.28,1.3,100.0,71.72
2013-03-31,259.62,0.72,260.34,159.28,3.68,2.58,8.9,2.65,56.44,26.81,0.18,26.99,0.06,26.92,-10.02,16.91,-1.84,18.74,-0.32,18.42,18.1,0.0,10.37,10.37,0.51,28.28,1.3,100.0,71.72
2013-06-30,203.55,0.43,203.98,123.08,2.32,-2.28,9.67,2.94,43.74,24.51,1.45,25.96,3.09,22.87,0.0,22.87,5.06,17.81,0.02,17.83,18.1,0.0,9.85,9.85,0.51,28.12,1.3,100.0,71.88
2013-09-30,208.16,1.44,209.6,100.39,19.0,3.51,8.9,3.08,50.53,24.19,11.37,35.56,5.4,30.16,0.0,30.16,6.72,23.44,1.49,24.93,18.1,0.0,13.77,13.77,0.51,27.91,1.3,100.0,72.09
2013-12-31,211.2,1.16,212.36,118.45,11.16,-2.67,9.01,3.31,46.81,26.3,1.37,27.67,2.75,24.92,0.0,24.92,6.22,18.7,0.0,18.7,18.1,0.0,10.33,10.33,0.49,27.32,1.32,100.0,72.68
2014-03-31,273.85,4.23,278.09,147.31,18.4,-2.37,11.11,3.24,65.35,35.04,2.91,37.95,3.24,34.71,-10.0,24.71,2.94,21.77,0.62,22.39,18.1,437.5,12.37,12.37,0.48,27.26,1.32,100.0,72.75
2014-06-30,259.92,1.97,261.89,166.48,1.38,-3.77,11.19,3.52,47.43,35.65,0.22,35.87,2.09,33.78,-2.5,31.28,7.41,23.88,0.0,23.88,18.1,0.0,13.19,13.19,0.49,27.1,1.32,100.0,72.9
2014-09-30,213.27,1.13,214.4,131.87,2.73,3.37,10.01,3.56,34.65,28.22,14.78,43.0,1.58,41.41,-2.5,38.91,8.37,30.55,0.0,30.55,18.1,0.0,16.88,16.88,0.49,27.09,1.32,100.0,72.91
2014-12-31,248.35,0.49,248.84,155.98,0.18,3.37,9.61,3.63,40.01,36.06,1.02,37.08,1.93,35.15,-2.5,32.65,6.75,25.89,-0.03,25.87,18.1,0.0,14.29,14.29,0.49,27.09,1.32,100.0,72.91
2015-03-31,287.64,1.98,289.62,145.53,51.24,-0.59,9.62,6.96,39.04,37.83,3.81,41.64,1.64,40.0,-2.5,37.5,9.82,27.68,-0.05,27.63,18.1,505.51,15.27,15.27,0.49,27.09,1.32,100.0,72.91
2015-06-30,271.75,1.38,273.14,165.82,10.66,-0.31,10.63,4.39,41.71,40.24,1.3,41.54,1.85,39.69,0.0,39.69,13.67,26.02,1.53,27.55,18.1,0.0,15.22,15.22,0.49,27.09,1.32,100.0,72.91
2015-09-30,227.96,1.13,229.09,133.04,11.89,-1.78,10.12,4.45,36.31,35.05,1.27,36.33,2.43,33.9,0.0,33.9,11.33,22.57,0.0,22.57,18.1,0.0,12.47,12.47,0.49,27.09,1.32,100.0,72.91
2015-12-31,268.58,1.17,269.75,158.31,21.33,-0.9,11.22,4.49,36.36,38.94,2.54,41.48,1.65,39.83,0.0,39.83,14.11,25.72,-0.02,25.7,18.1,0.0,2.92,2.92,0.0,0.0,0.0,0.0,0.0
2016-03-31,315.96,1.57,317.53,185.79,17.33,0.01,11.44,4.39,48.16,50.4,5.08,55.48,2.0,53.48,0.0,53.48,17.1,36.39,-0.95,35.44,18.1,567.75,19.58,19.58,0.0,0.0,0.0,0.0,0.0
2016-06-30,311.73,0.98,312.71,186.33,14.05,-1.51,12.95,4.65,43.0,53.24,2.93,56.17,3.38,52.79,0.0,52.79,18.72,34.07,0.0,34.07,18.1,0.0,18.83,18.83,0.0,0.0,0.0,0.0,0.0
2016-09-30,224.49,0.85,225.34,121.12,17.21,0.9,12.2,4.73,34.95,34.23,4.62,38.85,2.94,35.91,0.0,35.91,9.96,25.95,0.0,25.95,18.1,0.0,2.86,2.86,0.0,0.0,0.0,0.0,0.0
2016-12-31,303.08,1.62,304.7,173.57,16.2,1.94,13.67,4.84,43.38,51.1,2.13,53.23,3.93,49.3,0.0,49.3,10.95,38.35,0.0,38.35,18.1,0.0,4.23,4.23,0.0,0.0,0.0,0.0,0.0
2017-03-31,343.13,0.0,343.13,197.55,28.61,-3.12,15.53,5.06,40.51,58.99,3.7,62.69,3.54,59.15,0.0,59.15,24.94,34.21,0.0,34.21,18.1,640.54,15.0,15.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,315.12,0.0,315.12,192.96,17.84,-6.05,17.45,5.78,31.83,55.31,4.02,59.33,2.44,56.89,0.0,56.89,18.82,38.07,0.0,38.07,18.1,0.0,16.83,16.83,0.0,0.0,0.0,0.0,0.0
2017-09-30,251.86,0.0,251.86,132.15,27.48,-2.27,15.91,6.86,35.3,36.43,4.55,40.98,3.8,37.18,0.0,37.18,13.14,24.04,0.0,24.04,18.1,0.0,2.26,2.26,0.0,0.0,0.0,0.0,0.0
2017-12-31,313.02,0.0,313.02,184.68,24.49,-2.76,17.98,6.68,35.44,46.51,4.19,50.7,3.84,46.86,0.0,46.86,16.36,30.5,0.0,30.5,18.1,0.0,3.37,3.37,0.0,0.0,0.0,0.0,0.0
2018-03-31,393.27,0.0,393.27,240.23,19.21,-6.01,17.66,6.77,52.88,62.53,5.47,68.0,3.51,64.49,0.0,64.49,22.84,41.65,0.0,41.65,18.1,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.0
2018-06-30,388.44,0.0,388.44,226.3,33.27,-7.04,19.68,6.86,39.55,69.82,7.54,77.36,2.8,74.56,0.0,74.56,25.82,48.74,0.0,48.74,18.1,0.0,5.39,5.39,0.0,0.0,0.0,0.0,0.0
2018-09-30,357.3,0.0,357.3,184.54,21.34,24.12,21.86,7.17,43.14,55.13,7.02,62.15,3.19,58.96,0.0,58.96,20.54,38.42,0.0,38.42,18.1,0.0,4.25,4.25,0.0,0.0,0.0,0.0,0.0
2018-12-31,435.88,0.0,435.88,265.47,23.32,-3.5,23.31,7.38,54.13,65.77,4.09,69.86,3.64,66.22,0.0,66.22,20.01,46.21,0.0,46.21,18.1,0.0,5.11,5.11,0.0,0.0,0.0,0.0,0.0
2019-03-31,481.6,0.0,481.6,292.68,14.84,0.34,24.07,7.52,51.32,90.83,5.26,96.09,2.29,93.8,-6.05,87.75,29.65,58.1,0.0,58.1,18.1,0.0,6.42,6.42,0.0,0.0,0.0,0.0,0.0
2019-06-30,403.28,0.0,403.28,250.52,15.55,-11.16,23.83,7.9,45.0,71.64,6.63,78.27,2.07,76.2,0.0,76.2,26.25,49.95,0.0,49.95,18.1,0.0,5.52,5.52,0.0,0.0,0.0,0.0,0.0
2019-09-30,329.37,0.0,329.37,168.51,30.51,0.82,22.36,8.55,47.55,51.07,8.58,59.65,3.52,56.13,0.0,56.13,-15.81,71.94,0.0,71.94,18.1,0.0,7.95,7.95,0.0,0.0,0.0,0.0,0.0
2019-12-31,384.59,0.0,384.59,218.84,26.59,3.07,21.63,8.6,48.74,57.12,8.43,65.55,4.35,61.2,0.0,61.2,14.17,47.03,0.0,47.03,18.1,0.0,5.2,5.2,0.0,0.0,0.0,0.0,0.0
2020-03-31,392.45,0.0,392.45,234.25,29.62,-6.68,24.43,8.91,52.49,49.43,11.71,61.14,2.23,58.91,0.0,58.91,14.43,44.48,0.0,44.48,18.1,0.0,4.92,4.92,0.0,0.0,0.0,0.0,0.0
2020-06-30,300.63,0.0,300.63,172.17,13.99,0.08,21.25,9.17,44.29,39.68,7.74,47.42,1.62,45.8,0.0,45.8,10.63,35.17,0.0,35.17,18.1,0.0,3.89,3.89,0.0,0.0,0.0,0.0,0.0
2020-09-30,348.32,0.0,348.32,180.67,28.39,-4.49,23.32,9.39,54.62,56.42,3.96,60.38,1.7,58.68,0.0,58.68,15.05,43.63,0.0,43.63,18.1,0.0,4.82,4.82,0.0,0.0,0.0,0.0,0.0
2020-12-31,389.41,0.0,389.41,240.15,32.94,-3.47,24.59,9.67,37.71,47.82,8.55,56.37,1.83,54.54,0.0,54.54,14.12,40.42,0.0,40.42,18.1,0.0,4.47,4.47,0.0,0.0,0.0,0.0,0.0
2021-03-31,546.04,0.0,546.04,325.72,46.84,-9.59,26.82,9.75,56.32,90.18,5.39,95.57,1.37,94.2,0.0,94.2,24.35,69.85,0.0,69.85,18.1,0.0,7.72,7.72,0.0,0.0,0.0,0.0,0.0
2021-06-30,533.07,0.0,533.07,324.27,41.29,-4.11,28.36,10.34,47.44,85.48,9.98,95.46,1.11,94.35,0.0,94.35,24.17,70.18,0.0,70.18,18.1,0.0,7.76,7.76,0.0,0.0,0.0,0.0,0.0
2021-09-30,435.06,0.0,435.06,273.98,34.48,-5.23,27.71,11.86,52.3,39.96,4.82,44.78,1.73,43.05,0.0,43.05,11.04,32.01,0.0,32.01,18.1,0.0,3.54,3.54,0.0,0.0,0.0,0.0,0.0
2021-12-31,643.83,0.0,643.83,430.76,42.28,-6.32,28.62,12.29,64.58,71.62,6.83,78.45,2.71,75.74,0.0,75.74,18.75,56.99,0.0,56.99,18.1,0.0,6.3,6.3,0.0,0.0,0.0,0.0,0.0
2022-03-31,916.38,0.0,916.38,618.18,42.29,-9.7,47.2,14.95,74.81,128.65,14.54,143.19,3.3,139.89,0.0,139.89,37.54,102.35,0.0,102.35,18.1,0.0,11.31,11.31,0.0,0.0,0.0,0.0,0.0
2022-06-30,987.8,0.0,987.8,753.57,52.15,-23.29,29.9,13.77,69.31,92.39,17.72,110.11,2.61,107.5,0.0,107.5,27.64,79.86,0.0,79.86,18.1,0.0,8.83,8.83,0.0,0.0,0.0,0.0,0.0
2022-09-30,862.3,0.0,862.3,550.61,54.76,-3.76,35.06,14.11,96.15,115.37,12.6,127.97,4.22,123.75,0.0,123.75,31.84,91.91,0.0,91.91,18.1,0.0,10.16,10.16,0.0,0.0,0.0,0.0,0.0
2022-12-31,1058.69,0.0,1058.69,729.46,55.01,-16.09,39.43,14.41,95.4,141.07,22.34,163.41,9.11,154.3,0.0,154.3,38.74,115.56,0.0,115.56,18.1,0.0,12.77,12.77,0.0,0.0,0.0,0.0,0.0
2023-03-31,1253.46,0.0,1253.46,763.13,51.64,37.63,40.97,14.73,122.38,222.98,3.18,226.16,11.63,214.53,0.0,214.53,56.47,158.06,0.0,158.06,18.1,0.0,17.47,17.47,0.0,0.0,0.0,0.0,0.0
2023-06-30,983.26,0.0,983.26,636.45,48.92,-23.06,42.5,15.32,85.12,178.01,13.92,191.93,7.64,184.29,0.0,184.29,46.88,137.41,0.0,137.41,18.1,0.0,15.19,15.19,0.0,0.0,0.0,0.0,0.0
2023-09-30,830.34,0.0,830.34,411.44,73.7,10.29,42.6,15.72,93.12,183.47,13.56,197.03,6.33,190.7,0.0,190.7,49.52,141.18,0.0,141.18,18.1,0.0,15.6,15.6,0.0,0.0,0.0,0.0,0.0
2023-12-31,902.25,0.0,902.25,463.68,85.51,14.44,48.17,16.13,98.55,175.77,17.68,193.45,7.73,185.72,0.0,185.72,47.4,138.32,0.0,138.32,18.1,0.0,15.29,15.29,0.0,0.0,0.0,0.0,0.0
2024-03-31,1001.67,0.0,1001.67,537.06,24.47,18.55,52.24,16.2,119.11,234.04,13.18,247.22,7.88,239.34,0.0,239.34,59.95,179.39,0.0,179.39,18.1,2346.47,19.82,19.82,0.0,0.0,0.0,0.0,0.0
2024-06-30,1044.59,0.0,1044.59,590.19,51.33,-7.57,52.73,16.93,99.77,241.21,25.78,266.99,6.24,260.75,0.0,260.75,66.55,194.2,0.0,194.2,18.1,2540.67,21.46,21.46,0.0,0.0,0.0,0.0,0.0
2024-09-30,905.49,0.0,905.49,451.48,62.17,-11.28,52.78,17.86,119.22,213.26,31.64,244.9,6.73,238.17,0.0,238.17,60.71,177.46,0.0,177.46,18.1,0.0,19.61,19.61,0.0,0.0,0.0,0.0,0.0
2024-12-31,1207.24,0.0,1207.24,612.83,75.31,18.73,56.43,19.1,154.37,270.47,11.8,282.27,7.88,274.39,0.0,274.39,69.97,204.42,0.0,204.42,18.1,0.0,22.59,22.59,0.0,0.0,0.0,0.0,0.0
