Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%)
2012-09-30,7146.0,80.58,7226.58,2079.41,1103.03,-318.06,289.24,188.86,1384.69,2499.41,184.98,2684.39,23.29,2661.1,0.0,2661.1,824.68,1836.42,0.0,1836.42,785.63,2.34,2.31,783.26,99.7
2012-12-31,7627.07,85.03,7712.1,2374.48,646.52,56.0,346.22,205.22,1431.12,2652.54,329.8,2982.34,25.15,2957.19,0.0,2957.19,905.34,2051.85,0.0,2051.85,787.83,2.61,2.57,785.47,99.7
2013-03-31,8180.3,77.1,8257.4,2414.05,868.46,265.27,343.4,206.69,1659.9,2499.63,253.98,2753.61,24.27,2729.34,0.0,2729.34,801.36,1927.98,0.0,1927.98,790.18,2.44,2.41,787.83,99.7
2013-06-30,7338.52,72.18,7410.7,2188.27,865.37,-184.68,426.87,215.3,1323.56,2576.01,203.18,2779.19,16.95,2762.24,0.0,2762.24,870.91,1891.33,0.0,1891.33,790.18,2.39,2.36,787.85,99.7
2013-09-30,7775.79,86.74,7862.53,2570.45,541.5,-133.57,369.87,220.87,1338.44,2954.97,246.19,3201.16,-32.67,3233.83,0.0,3233.83,1003.3,2230.53,0.0,2230.53,792.0,2.82,2.78,789.69,99.71
2013-12-31,8623.11,103.74,8726.85,2796.67,603.22,39.49,400.82,225.92,1602.35,3058.38,391.06,3449.44,9.14,3440.3,0.0,3440.3,1054.96,2385.34,0.0,2385.34,793.55,3.01,2.97,791.33,99.72
2014-03-31,9145.14,93.38,9238.52,2707.89,1011.38,150.35,410.81,237.83,1754.7,2965.56,266.71,3232.27,9.53,3222.74,0.0,3222.74,944.73,2278.01,0.0,2278.01,795.32,2.87,2.83,793.24,99.74
2014-06-30,9164.42,83.87,9248.29,2660.62,1920.8,-603.86,508.66,231.32,1484.48,3046.27,234.55,3280.82,15.15,3265.67,0.0,3265.67,1079.28,2186.39,0.0,2186.39,795.5,2.75,2.72,793.42,99.74
2014-09-30,8930.32,93.42,9023.74,2792.72,638.99,123.45,397.87,243.22,1582.06,3245.43,356.22,3601.65,18.39,3583.26,0.0,3583.26,1158.1,2425.16,0.0,2425.16,797.43,3.04,3.01,795.4,99.75
2014-12-31,8800.22,142.37,8942.59,2731.05,579.5,167.01,419.12,237.63,1581.71,3226.57,581.99,3808.56,8.37,3800.19,0.0,3800.19,1165.19,2635.0,0.0,2635.0,799.54,3.3,3.27,797.55,99.75
2015-03-31,9188.25,104.53,9292.78,2803.44,759.37,98.87,454.39,249.57,1933.6,2993.54,370.37,3363.91,15.51,3348.4,0.0,3348.4,987.22,2361.18,0.0,2361.18,801.55,2.95,2.93,799.56,99.75
2015-06-30,9077.85,82.17,9160.02,2569.08,629.02,543.19,627.46,257.61,1539.04,2994.62,356.49,3351.11,10.46,3340.65,0.0,3340.65,1174.56,2166.09,0.0,2166.09,801.55,1.8,1.79,0.0,0.0
2015-09-30,8699.36,99.53,8798.89,2691.47,438.01,-16.0,578.05,258.2,1724.64,3124.52,392.57,3517.09,10.31,3506.78,0.0,3506.78,1244.28,2262.5,0.0,2262.5,802.65,1.88,1.87,0.0,0.0
