Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital,Revaluation Reserve,Money Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2011-03-31,410.55,410.55,18588.28,18588.28,0.0,18998.83,189237.8,26267.88,8208.86,242713.37,13886.16,7522.49,71991.62,142407.83,2273.15,4632.12,242713.37,1390.0,26435.0,12.65,9.41,3.24,1599.42,1.0,1186.74,0.26,0.0,32473.11,477864.55,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,413.2,413.2,22395.34,22395.34,0.0,22808.54,220104.3,34071.67,8643.28,285627.79,10702.92,3230.99,93192.09,169759.54,2259.33,6482.93,285627.79,1622.0,31738.0,13.66,9.45,4.21,1806.3,1.0,1186.74,0.25,0.0,34634.6,514871.98,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,467.95,467.95,32639.91,32639.91,0.0,33107.86,252613.59,43951.1,10888.11,340560.66,14792.09,5642.87,113737.54,196965.96,2355.64,7066.56,340560.66,1947.0,37901.0,17.0,12.23,4.77,2393.42,1.0,704.13,0.36,0.0,27894.88,576010.77,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,469.84,469.84,37750.64,37750.64,0.0,38220.49,280944.56,50290.94,13788.89,383244.89,17041.32,11197.38,113548.43,230066.76,2410.21,8980.79,383244.89,2402.0,42420.0,16.07,12.62,3.45,3146.41,1.0,1024.62,0.44,0.0,36601.58,611446.37,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,474.1,474.1,44202.41,44202.41,0.0,44676.52,322441.94,79758.27,15055.67,461932.39,19818.84,16280.19,132342.83,281083.03,2514.31,9893.19,461932.39,2589.0,42230.0,15.0,12.0,3.0,4110.19,1.0,1316.71,0.0,0.0,80592.46,559591.13,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,476.57,476.57,52688.34,52688.34,0.0,53164.91,357967.56,99226.38,15108.77,525467.62,22361.15,10964.29,122006.2,338773.72,3523.17,27839.08,525467.62,2904.0,50135.0,15.29,12.51,2.78,6087.51,2.0,2522.14,0.74,1.0,80764.78,668725.82,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,479.01,479.01,55283.53,55283.53,0.0,55762.54,414378.79,105030.87,26295.47,601467.67,30857.94,19398.24,128793.37,373069.35,3746.89,45601.87,601467.67,3304.0,56617.0,15.0,12.0,3.0,21280.48,5.0,8626.6,2.0,2.0,81055.36,669625.84,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,513.31,513.31,62931.95,62931.95,0.0,63445.26,453622.72,148016.14,26245.45,691329.58,35481.06,7973.83,153876.08,439650.3,3971.68,50376.62,691329.58,3703.0,59614.0,17.0,13.0,4.0,34248.64,7.0,16592.0,4.0,4.0,49565.6,735297.7,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,514.33,514.33,66161.97,66161.97,0.0,66676.3,548471.34,152775.78,33073.11,800996.53,35099.03,32105.6,174969.28,494797.97,4036.64,59988.01,800996.53,0.0,0.0,16.0,0.0,0.0,29789.44,5.0,11275.6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,564.34,564.34,84383.51,84383.51,0.0,84947.85,640104.94,147954.13,42157.9,915164.82,84959.24,12309.04,156734.32,571424.16,4312.9,85425.16,915164.82,0.0,0.0,18.0,0.0,0.0,30233.82,5.0,9360.41,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,612.75,612.75,100990.26,100990.26,0.0,101603.01,707306.08,142873.16,44336.17,996118.42,51808.56,9921.26,226119.62,623720.19,4245.03,80303.76,996118.42,4594.0,78307.0,19.12,16.47,2.65,25314.84,4.0,6993.52,1.05,1.0,50375.27,80303.76,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,613.95,613.95,114411.51,114411.51,148.6,115174.06,821720.91,185133.86,53149.28,1175178.11,94034.51,16952.62,275597.2,707695.95,4572.35,76325.48,1175178.11,4758.0,85815.0,18.54,16.34,2.2,21822.32,2.82,5512.16,0.73,0.73,66947.44,1292104.57,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,615.37,615.37,124377.87,124377.87,423.41,125416.66,946945.21,186300.04,58663.63,1317325.53,66117.76,40293.05,288814.83,845302.84,4733.85,72063.2,1317325.53,4910.0,91898.0,17.64,14.57,3.07,36467.35,2.02,3558.92,0.39,0.39,68176.55,1441248.94,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,617.31,617.31,149617.69,149617.69,0.0,150235.0,1068641.39,196811.75,61520.46,1477208.6,86077.49,28376.9,331527.25,965068.38,5684.58,60474.0,1477208.6,0.0,0.0,16.63,0.0,0.0,15127.12,1.43,3247.47,0.31,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,619.47,619.47,177997.47,177997.47,1108.18,179725.12,1172952.02,184146.52,73106.22,1609929.88,73638.44,26093.66,396141.79,1040811.32,6291.7,66952.97,1609929.88,0.0,0.0,17.07,0.0,0.0,14490.11,1.28,3685.45,0.33,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
