Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Intangible Assets Under Development,Capital Goods,Preference Share Capital,Equity Share Application Money,Government/Other Grants,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2005-03-31,8.93,8.93,99.59,99.59,0.0,108.52,21.12,0.0,0.0,21.53,0.0,0.0,14.26,3.76,18.02,148.07,49.03,0.0,29.04,78.07,17.93,0.0,0.0,0.0,96.0,0.0,26.47,4.99,16.48,4.14,52.07,148.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.93,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,8.15,10.24,201.68,201.68,0.0,211.92,0.0,0.0,0.0,0.61,0.0,14.36,6.75,5.92,27.03,239.57,100.58,9.95,26.66,137.19,31.46,0.0,0.0,0.0,168.65,0.0,39.16,0.92,29.95,0.89,70.92,239.57,22.57,18.42,0.16,210.62,111.99,0.0,11.55,19.94,0.0,0.0,0.61,0.0,10.08,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,8.15,10.24,249.88,249.88,0.0,260.13,0.0,0.0,0.0,0.33,0.0,24.48,11.06,7.88,43.43,303.89,126.69,34.43,13.1,174.21,41.24,0.28,0.0,0.0,215.73,0.0,52.6,7.36,26.89,1.31,88.15,303.89,8.46,23.09,0.77,292.16,0.0,0.0,24.67,16.59,0.0,0.0,0.33,0.0,8.08,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,35.86,35.86,302.92,302.92,0.0,338.78,0.0,0.0,0.0,1.9,0.0,23.02,23.04,14.88,60.95,401.63,124.19,39.9,33.08,197.16,86.0,1.65,0.0,0.0,284.8,0.0,62.49,6.09,48.25,0.0,116.83,401.63,35.46,33.94,1.08,364.85,10.57,25.62,0.0,86.0,0.0,0.0,1.9,0.0,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,35.86,35.86,358.82,358.82,0.0,394.68,0.0,0.0,0.0,1.89,0.0,12.65,35.82,32.88,81.36,477.92,138.39,40.93,37.74,217.06,106.7,3.53,0.0,0.0,327.28,0.0,82.42,6.89,61.21,0.12,150.64,477.92,37.22,39.71,0.54,494.54,8.48,25.62,0.0,106.7,0.0,0.0,1.89,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,40.0,40.0,599.16,599.16,0.0,639.16,0.0,0.0,0.0,2.04,0.0,56.36,50.1,29.44,135.91,784.82,121.99,57.02,47.61,226.63,175.77,2.84,0.0,0.0,405.23,0.0,104.51,177.19,97.77,0.12,379.59,784.82,31.0,40.52,0.45,468.62,5.75,25.62,0.0,175.77,0.0,0.0,2.04,0.0,10.27,0.0,3.2,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,40.0,40.0,704.34,704.34,0.0,744.34,0.0,8.39,6.06,14.46,0.0,31.67,24.43,52.29,108.39,867.18,161.28,51.07,52.47,267.7,18.69,5.65,19.28,0.22,311.54,250.04,119.99,86.8,79.68,19.14,555.65,867.18,466.53,63.74,0.0,553.1,7.62,25.62,0.0,23.82,0.0,250.04,0.0,2.88,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,40.0,40.0,797.74,797.74,0.0,837.74,0.65,0.0,7.09,7.74,0.0,20.85,45.04,52.32,118.21,963.69,240.27,38.48,50.65,331.07,70.03,7.65,23.3,0.22,432.27,191.52,166.04,106.4,55.12,12.35,531.43,963.69,535.07,74.9,0.0,729.96,2.92,25.62,18.09,59.31,0.0,191.52,0.0,1.68,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,40.0,40.0,966.04,966.04,0.0,1006.04,1.42,0.04,7.99,9.44,0.0,23.06,19.58,70.97,113.6,1129.09,263.84,24.05,34.63,322.51,75.03,11.18,62.91,52.36,523.99,311.62,203.4,29.81,26.59,33.69,605.1,1129.09,492.74,136.79,0.0,908.82,0.91,25.62,17.58,59.31,317.64,0.0,0.0,0.0,14.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,40.0,40.0,1161.87,1161.87,0.0,1201.87,3.19,0.09,9.32,12.6,0.0,27.19,33.58,73.11,133.88,1348.35,255.52,16.29,30.47,302.27,144.12,13.65,45.94,46.56,552.54,407.14,226.59,58.94,36.23,66.91,795.81,1348.35,600.17,158.79,0.0,1060.62,4.31,25.62,77.99,67.45,412.37,0.0,0.0,0.0,16.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
