Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,255.72,255.72,126.77,14.65,57.72,56.58,8.62,65.2,0.01,65.19,0.0,65.19,17.15,48.04,48.04,40.0,797.74,12.44,12.01,2.44,61.04,1.56,100.0,38.96
2013-03-31,256.35,256.35,125.67,15.38,59.49,55.81,16.69,72.5,0.01,72.49,0.0,72.49,20.76,51.73,51.73,40.0,797.74,13.38,12.93,2.44,61.04,1.56,100.0,38.96
2013-06-30,264.26,264.26,124.4,14.93,64.98,59.95,32.9,92.85,0.01,92.84,0.0,92.84,23.3,69.54,69.54,40.0,0.0,17.95,17.38,2.44,61.04,1.56,100.0,38.96
2013-09-30,307.93,307.93,139.97,15.13,82.06,70.77,9.33,80.1,0.01,80.09,0.0,80.09,19.32,60.77,60.77,40.0,0.0,15.65,15.19,2.44,61.04,1.56,100.0,38.96
2013-12-31,304.13,304.13,146.14,14.67,69.83,73.48,10.87,84.35,0.02,84.34,0.0,84.34,23.91,60.43,60.43,40.0,0.0,15.51,15.51,2.44,61.04,1.56,100.0,38.96
2014-03-31,307.81,307.81,147.66,13.69,75.43,71.03,13.7,84.73,0.02,84.72,0.0,84.72,26.88,57.84,57.84,40.0,0.0,14.79,14.46,2.44,61.04,1.56,100.0,38.96
2014-06-30,290.71,290.71,145.45,11.56,64.94,68.76,28.34,97.09,0.02,97.07,0.0,97.07,25.81,71.26,71.26,40.0,0.0,18.15,17.82,2.44,61.04,1.56,100.0,38.96
2014-09-30,301.06,301.06,154.9,11.99,88.33,45.84,27.52,73.36,0.02,73.33,0.0,73.33,17.55,55.79,55.79,40.0,0.0,14.17,13.95,2.44,61.05,1.56,100.0,38.95
2014-12-31,324.0,324.0,172.42,12.66,80.37,58.54,24.15,82.69,0.27,82.42,0.0,82.42,21.28,61.15,61.15,40.0,0.0,15.48,15.29,2.44,61.08,1.56,100.0,38.92
2015-03-31,326.73,326.73,160.53,12.95,76.71,76.55,19.48,96.03,0.03,96.0,0.0,96.0,24.89,71.1,71.1,80.0,0.0,8.97,8.89,4.92,61.45,3.08,100.0,38.55
2015-06-30,335.52,335.52,155.34,13.7,71.56,94.92,20.55,115.46,0.03,115.44,0.0,115.44,30.91,84.53,84.53,80.0,0.0,10.63,10.57,4.92,61.47,3.08,100.0,38.53
2015-09-30,347.75,347.75,175.28,14.48,86.66,71.34,26.31,97.64,0.03,97.62,0.0,97.62,30.39,67.23,67.23,80.0,0.0,8.43,8.4,0.0,0.0,0.0,0.0,0.0
2015-12-31,383.1,383.1,180.6,15.3,126.89,60.31,17.67,77.98,0.02,77.96,0.0,77.96,17.93,60.03,60.03,80.0,0.0,7.54,7.5,0.0,0.0,0.0,0.0,0.0
2016-03-31,380.77,380.77,185.02,15.1,120.46,60.19,24.95,85.14,0.02,85.12,0.0,85.12,23.63,61.49,61.49,80.0,0.0,7.69,7.69,0.0,0.0,0.0,0.0,0.0
2016-06-30,417.3,417.3,213.47,15.44,109.04,79.34,24.77,104.11,0.02,104.1,0.0,104.1,24.42,79.67,79.67,80.0,0.0,9.96,9.96,0.0,0.0,0.0,0.0,0.0
2016-09-30,422.49,422.49,213.15,15.13,123.98,70.24,25.58,95.81,0.04,95.77,0.0,95.77,22.05,73.72,73.72,80.0,0.0,9.22,9.22,0.0,0.0,0.0,0.0,0.0
2016-12-31,462.63,462.63,224.15,15.38,123.06,100.04,29.47,129.51,0.02,129.49,0.0,129.49,42.65,86.84,86.84,80.0,0.0,10.85,10.85,0.0,0.0,0.0,0.0,0.0
2017-03-31,430.55,430.55,217.5,15.02,138.43,59.6,14.8,74.4,0.02,74.38,0.0,74.38,20.58,53.8,53.8,80.0,0.0,6.72,6.72,0.0,0.0,0.0,0.0,0.0
2017-06-30,427.24,427.24,214.55,15.27,131.93,65.5,37.6,103.1,0.02,103.08,0.0,103.08,27.97,75.11,75.11,80.0,0.0,9.39,9.39,0.0,0.0,0.0,0.0,0.0
2017-09-30,437.49,437.49,223.9,13.41,120.72,79.46,36.55,116.01,0.02,115.99,0.0,115.99,29.58,86.41,86.41,80.0,0.0,10.8,10.8,0.0,0.0,0.0,0.0,0.0
2017-12-31,430.01,430.01,225.3,12.82,112.21,79.68,25.21,104.9,0.01,104.88,0.0,104.88,27.15,77.73,77.73,80.0,0.0,9.72,9.72,0.0,0.0,0.0,0.0,0.0
2018-03-31,438.01,438.01,210.32,12.28,115.41,100.0,31.28,131.28,0.02,131.26,0.0,131.26,28.4,102.86,102.86,80.0,0.0,12.86,12.86,0.0,0.0,0.0,0.0,0.0
2018-06-30,461.99,461.99,226.08,11.72,123.12,101.07,19.48,120.55,0.01,120.54,0.0,120.54,28.22,92.33,92.33,80.0,0.0,11.54,11.54,0.0,0.0,0.0,0.0,0.0
2018-09-30,493.63,493.63,231.83,11.39,156.71,93.7,36.94,130.64,0.02,130.62,0.0,130.62,40.94,89.68,89.68,80.0,0.0,11.21,11.21,0.0,0.0,0.0,0.0,0.0
2018-12-31,487.98,487.98,244.36,11.35,163.51,68.76,22.3,91.06,0.01,91.04,0.0,91.04,30.04,61.0,61.0,80.0,0.0,7.63,7.63,0.0,0.0,0.0,0.0,0.0
2019-03-31,516.27,516.27,246.85,11.43,187.37,70.62,25.56,96.18,0.01,96.17,0.0,96.17,24.17,72.0,72.0,79.12,0.0,9.03,9.03,0.0,0.0,0.0,0.0,0.0
2019-06-30,495.4,495.4,249.94,13.73,149.72,82.01,30.71,112.72,1.25,111.47,0.0,111.47,28.03,83.44,83.44,76.43,0.0,10.77,10.77,0.0,0.0,0.0,0.0,0.0
2019-09-30,501.71,501.71,267.95,14.11,140.04,79.61,55.89,135.5,1.17,134.34,0.0,134.34,27.49,106.85,106.85,76.43,0.0,13.98,13.98,0.0,0.0,0.0,0.0,0.0
