Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-06-30,177.01,0.67,177.68,29.21,1.0,0.0,41.23,106.24,0.16,106.4,84.26,22.14,22.14,7.91,14.23,14.23,85.68,0.0,0.0
2017-09-30,211.99,1.86,213.85,31.39,1.17,0.0,1.15,180.14,0.16,180.3,88.41,91.89,91.89,30.95,60.94,60.94,85.68,7.12,7.02
2017-12-31,227.76,0.0,227.76,31.29,1.48,0.0,-2.93,197.92,1.58,199.5,100.6,98.9,98.9,34.54,64.36,64.36,85.68,6.59,6.5
2018-03-31,249.92,0.0,249.92,38.68,1.52,0.0,18.61,191.11,0.45,191.56,80.93,110.63,110.63,38.92,71.71,71.71,128.43,6.73,6.71
2018-06-30,284.0,1.76,285.76,40.51,1.6,0.0,34.05,209.6,0.31,209.91,97.55,112.36,112.36,40.14,72.22,72.22,143.36,6.05,6.02
2018-09-30,302.27,7.15,309.42,46.58,2.13,0.0,40.72,219.99,0.67,220.66,106.61,114.05,114.05,40.59,73.46,73.46,143.36,5.56,5.51
2018-12-31,349.19,0.0,349.19,48.99,2.02,0.0,35.92,262.26,1.64,263.9,110.19,153.71,153.71,53.97,99.74,99.74,143.41,6.96,6.89
2019-03-31,335.53,0.0,335.53,49.97,2.05,0.0,64.09,219.42,0.91,220.33,102.73,117.6,117.6,41.29,76.31,76.31,143.55,5.77,5.72
2019-06-30,375.8,0.0,375.8,58.64,3.27,0.0,43.04,270.85,0.9,271.75,123.62,148.13,148.13,52.3,95.83,95.83,143.55,6.67,6.61
2019-09-30,391.53,0.0,391.53,65.41,6.21,0.0,58.51,261.4,1.12,262.52,135.51,127.01,127.01,26.13,100.88,100.88,143.8,7.02,6.96
2019-12-31,452.04,0.0,452.04,67.44,5.09,0.0,89.23,290.28,1.52,291.8,145.88,145.92,145.92,37.93,107.99,107.99,143.88,7.51,7.44
2020-03-31,460.92,0.0,460.92,68.17,5.07,140.68,49.64,197.36,0.12,197.48,167.64,29.84,29.84,7.03,22.81,22.81,143.99,1.58,1.57
2020-06-30,510.1,0.0,510.1,76.71,5.48,138.97,18.88,270.06,0.58,270.64,185.1,85.54,85.54,21.94,63.6,63.6,144.06,4.42,4.39
2020-09-30,470.67,0.0,470.67,72.46,6.11,65.32,30.99,295.79,0.74,296.53,191.73,104.8,104.8,26.63,78.17,78.17,144.11,5.43,5.49
2020-12-31,439.68,0.0,439.68,74.19,5.3,242.38,33.79,84.02,0.47,84.49,179.89,-95.4,-95.4,-23.79,-71.61,-71.61,144.11,-4.64,-4.64
2021-03-31,607.1,0.0,607.1,76.24,6.56,200.24,40.49,283.57,1.81,285.38,186.02,99.36,99.36,27.09,72.27,72.27,155.58,4.65,4.61
2021-06-30,510.11,0.0,510.11,80.05,6.08,156.26,31.67,236.05,1.0,237.05,196.34,40.71,40.71,11.12,29.59,29.59,155.61,1.9,1.89
2021-09-30,509.91,0.0,509.91,90.42,6.48,91.12,42.45,279.44,0.42,279.86,182.75,97.11,97.11,25.12,71.99,71.99,155.74,4.62,4.6
2021-12-31,575.71,0.0,575.71,91.52,6.31,73.77,40.73,363.38,0.97,364.35,192.5,171.85,171.85,42.64,129.21,129.21,155.79,8.29,8.26
2022-03-31,693.66,0.0,693.66,91.5,7.34,128.29,47.21,419.32,0.21,419.53,216.54,202.99,202.99,51.62,151.37,151.37,155.87,9.71,9.67
2022-06-30,620.76,0.0,620.76,99.16,6.84,66.34,43.94,404.48,0.5,404.98,225.64,179.34,179.34,46.76,132.58,132.58,155.93,8.5,8.46
2022-09-30,671.43,0.0,671.43,105.87,7.92,77.95,52.65,427.04,0.78,427.82,221.26,206.56,206.56,47.85,158.71,158.71,156.11,10.17,10.12
2022-12-31,758.85,0.0,758.85,104.77,7.8,59.28,64.4,522.6,0.59,523.19,258.71,264.48,264.48,67.06,197.42,197.42,156.17,12.64,12.59
2023-03-31,1065.41,0.0,1065.41,134.52,12.49,105.32,70.72,742.36,0.81,743.17,345.64,397.53,397.53,100.98,296.55,296.55,158.91,18.67,18.59
2023-06-30,1170.03,0.0,1170.03,156.32,12.06,76.4,75.82,849.43,0.69,850.12,384.92,465.2,465.2,118.91,346.29,346.29,158.93,21.79,21.67
2023-09-30,1246.94,0.0,1246.94,161.76,12.28,95.85,84.89,892.16,0.65,892.81,423.87,468.94,468.94,119.73,349.21,349.21,159.11,21.95,21.82
2023-12-31,1292.2,0.0,1292.2,156.71,13.06,126.2,82.11,914.12,3.03,917.15,441.5,475.65,475.65,122.23,353.42,353.42,159.18,22.21,22.06
2024-03-31,1457.49,0.0,1457.49,194.64,13.75,153.32,85.87,1009.91,1.61,1011.52,482.15,529.37,529.37,132.38,396.99,396.99,159.38,24.93,24.78
2024-06-30,1512.03,0.0,1512.03,187.79,14.35,174.59,90.8,1044.5,0.55,1045.05,510.31,534.74,534.74,137.08,397.66,397.66,159.41,24.95,24.82
2024-09-30,1453.29,0.0,1453.29,188.83,17.19,420.15,91.16,735.96,0.63,736.59,484.6,251.99,251.99,65.93,186.06,186.06,159.46,11.67,11.61
2024-12-31,1380.38,0.0,1380.38,178.37,15.53,751.86,90.23,344.39,1.55,345.94,474.87,-128.93,-128.93,-29.41,-99.52,-99.52,159.57,-6.24,-6.24
2025-03-31,1406.63,0.0,1406.63,175.36,15.16,582.91,105.42,527.78,1.08,528.86,477.78,51.08,51.08,3.87,47.21,47.21,159.72,2.96,2.95
