Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,174.29,0.41,174.7,0.0,0.0,8.94,5.95,70.0,89.81,17.88,107.69,0.05,107.64,107.64,32.58,75.06,0.0,75.06,328.23,0.0,2.29,2.29,7.06,21.51,25.76,100.0,78.49
2013-03-31,178.38,0.65,179.03,0.0,0.0,8.26,5.89,68.79,96.09,18.09,114.18,0.07,114.11,114.11,36.77,77.34,-0.07,77.27,328.23,0.0,2.35,2.35,7.06,21.51,25.76,100.0,78.49
2013-06-30,167.78,6.13,173.91,0.0,0.0,8.8,5.66,61.58,97.87,17.42,115.29,0.06,115.23,115.23,36.71,78.52,0.0,78.52,328.23,0.0,2.39,2.39,7.06,21.51,25.76,100.0,78.49
2013-09-30,147.99,1.65,149.64,0.0,0.0,10.53,5.59,54.03,79.49,62.12,141.61,0.07,141.54,141.54,27.67,113.87,0.0,113.87,328.23,0.0,3.47,3.47,8.21,25.0,24.62,100.0,75.0
2013-12-31,138.73,0.71,139.44,0.0,0.0,10.05,5.54,58.73,65.12,2.33,67.45,0.08,67.37,67.37,21.29,46.08,0.0,46.08,328.23,0.0,1.4,1.4,8.21,25.0,24.62,100.0,75.0
2014-03-31,157.3,2.26,159.56,0.0,0.0,10.78,5.55,58.01,85.22,1.43,86.65,0.05,86.6,86.6,29.95,56.65,0.0,56.65,328.23,0.0,1.73,1.73,8.21,25.0,24.62,100.0,75.0
2014-06-30,141.07,1.86,142.93,0.0,0.0,10.65,8.21,55.74,68.33,2.28,70.61,0.03,70.58,70.58,22.25,48.33,0.0,48.33,328.23,0.0,1.47,1.47,8.21,25.0,24.62,100.0,75.0
2014-09-30,152.14,1.45,153.59,0.0,0.0,12.12,8.24,51.64,81.59,57.36,138.95,0.06,138.89,138.89,27.32,111.57,0.0,111.57,328.23,0.0,3.4,3.4,8.21,25.0,24.62,100.0,75.0
2014-12-31,182.94,1.06,184.0,0.0,0.0,11.87,8.21,65.36,98.56,1.1,99.66,0.04,99.62,99.62,32.74,66.88,0.0,66.88,328.23,0.0,2.04,2.04,8.21,25.0,24.62,100.0,75.0
2015-03-31,216.41,2.32,218.73,0.0,0.0,13.11,8.85,80.31,116.46,1.08,117.54,0.04,117.5,117.5,39.51,77.99,0.0,77.99,328.23,0.0,2.38,2.38,8.21,25.0,24.62,100.0,75.0
2015-06-30,167.25,1.06,168.31,0.0,0.0,11.83,10.53,53.36,92.59,67.54,160.13,0.02,160.11,160.11,33.18,126.93,0.0,126.93,328.28,0.0,3.87,3.87,8.21,25.01,24.62,100.0,74.99
2015-09-30,139.59,1.3,140.89,0.0,0.0,11.97,10.54,44.57,73.81,2.88,76.69,0.05,76.64,76.64,26.66,49.98,0.0,49.98,339.28,0.0,1.48,1.48,9.31,27.44,24.62,100.0,72.56
2015-12-31,696.93,2.44,699.37,0.0,0.0,13.43,10.56,393.18,282.2,2.95,285.15,0.02,285.13,285.13,98.8,186.33,0.0,186.33,339.3,0.0,5.49,5.49,0.0,0.0,0.0,0.0,0.0
2016-03-31,169.84,1.37,171.21,0.0,0.0,12.11,10.45,82.78,65.87,70.58,136.45,0.05,136.4,136.4,24.17,112.23,0.0,112.23,339.3,0.0,3.31,3.31,0.0,0.0,0.0,0.0,0.0
2016-06-30,250.68,2.32,253.0,0.0,0.0,15.13,10.54,101.74,125.59,13.21,138.8,0.49,138.31,138.31,45.5,92.81,0.0,92.81,339.36,0.0,2.74,2.74,0.0,0.0,0.0,0.0,0.0
2016-09-30,194.32,0.59,194.91,0.0,0.0,10.58,10.62,85.32,88.39,17.13,105.52,0.4,105.12,105.12,34.3,70.82,0.0,70.82,339.38,0.0,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2016-12-31,207.18,1.55,208.73,0.0,0.0,15.1,10.56,92.26,90.81,16.24,107.05,0.67,106.38,106.38,33.75,72.63,0.0,72.63,339.42,0.0,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2017-03-31,234.01,0.0,234.01,0.0,0.0,14.8,7.43,96.64,115.14,13.28,128.42,0.61,127.81,127.81,41.93,85.88,0.0,85.88,339.54,0.0,2.53,2.53,0.0,0.0,0.0,0.0,0.0
2017-06-30,202.16,0.0,202.16,0.0,0.0,15.85,10.41,80.26,95.64,12.05,107.69,0.66,107.03,107.03,33.97,73.06,0.0,73.06,339.6,0.0,2.15,2.15,0.0,0.0,0.0,0.0,0.0
